Date,Open,High,Low,Close,Volume
2024-01-02,4.925272,5.074728,4.874321,5.02038,1826458
2024-01-03,4.986413,4.986413,4.816576,4.82337,1100909
2024-01-04,4.877717,4.877717,4.755435,4.809783,853466
2024-01-05,4.775815,4.874321,4.755435,4.775815,746598
2024-01-08,4.769022,4.884511,4.755435,4.884511,770592
2024-01-09,4.796196,4.884511,4.769022,4.86413,756019
2024-01-10,4.836957,4.894701,4.819973,4.84375,954003
2024-01-11,4.809783,4.932065,4.762228,4.898098,1255616
2024-01-12,4.97962,5.016984,4.884511,4.884511,578938
2024-01-16,4.850543,4.891304,4.796196,4.84375,792378
2024-01-17,4.755435,4.904891,4.755435,4.809783,1025248
2024-01-18,4.82337,4.904891,4.660326,4.830163,1066022
2024-01-19,4.86413,4.904891,4.782609,4.898098,819021
2024-01-22,4.952446,4.952446,4.799592,4.877717,734822
2024-01-23,4.959239,5.033967,4.932065,5,1614931
2024-01-24,5.074728,5.074728,4.802989,4.82337,651066
2024-01-25,4.904891,4.938859,4.799592,4.918478,1056307
2024-01-26,4.945652,5.067935,4.938859,4.986413,683155
2024-01-29,4.959239,5.040761,4.884511,5.027174,545670
2024-01-30,4.993207,5.046196,4.952446,4.986413,767354
2024-01-31,5,5,4.809783,4.836957,980646
2024-02-01,4.850543,4.972826,4.847147,4.938859,671674
2024-02-02,4.86413,4.86413,4.694293,4.694293,1020538
2024-02-05,4.626359,4.626359,4.402174,4.490489,1567680
2024-02-06,4.456522,4.572011,4.456522,4.517663,1157728
2024-02-07,4.504076,4.626359,4.439538,4.605978,1274310
2024-02-08,4.599185,4.673913,4.497283,4.660326,1579898
2024-02-09,4.694293,4.694293,4.483696,4.612772,1318176
2024-02-12,4.619565,4.816576,4.619565,4.775815,1415622
2024-02-13,4.646739,4.656929,4.341033,4.347826,1305811
2024-02-14,4.402174,4.490489,4.361413,4.442935,1238835
2024-02-15,4.463315,4.612772,4.463315,4.612772,1123872
2024-02-16,4.572011,4.612772,4.476902,4.565217,782810
2024-02-20,4.497283,4.653533,4.483696,4.646739,1206598
2024-02-21,4.626359,4.626359,4.425951,4.449728,973581
2024-02-22,4.436141,4.449728,4.358016,4.436141,1357626
2024-02-23,4.449728,4.456522,4.04212,4.116848,3787014
2024-02-26,4.08288,4.337636,4.076087,4.211957,3185114
2024-02-27,4.259511,4.412364,4.21875,4.368207,2424678
2024-02-28,4.307065,4.358016,4.191576,4.23913,2166048
2024-02-29,4.361413,4.514266,4.320652,4.429348,2893805
2024-03-01,4.402174,4.497283,4.330842,4.408967,2486944
2024-03-04,4.402174,4.490489,4.347826,4.429348,2294848
2024-03-05,4.342391,4.456522,4.296875,4.307065,2166195
2024-03-06,4.361413,4.388587,4.259511,4.307065,2291610
2024-03-07,4.313859,4.334239,4.19837,4.259511,2188570
2024-03-08,4.307065,4.381793,4.276495,4.347826,2367859
2024-03-11,4.341033,4.456522,4.334239,4.408967,2215654
2024-03-12,4.429348,4.429348,4.205163,4.225543,1877536
2024-03-13,4.21875,4.544837,4.191576,4.422554,2745280
2024-03-14,4.429348,4.480299,4.293478,4.334239,2431744
2024-03-15,4.327446,4.415761,4.211957,4.286685,11369139
2024-03-18,4.259511,4.361413,4.23981,4.273098,2788704
2024-03-19,4.211957,4.391984,4.19837,4.293478,2043136
2024-03-20,4.252717,4.54144,4.252717,4.470109,3324806
2024-03-21,4.476902,4.66712,4.449728,4.605978,3206899
2024-03-22,4.592391,4.6875,4.507473,4.544837,2980947
2024-03-25,4.735054,5.210598,4.6875,4.877717,6409235
2024-03-26,4.877717,4.884511,4.680707,4.721467,3548256
2024-03-27,4.735054,4.826766,4.69769,4.809783,2649453
2024-03-28,4.82337,4.840353,4.728261,4.748641,2008397
2024-04-01,4.816576,4.857337,4.70788,4.775815,1913158
2024-04-02,4.714674,4.782609,4.673913,4.728261,1844710
2024-04-03,4.701087,5.027174,4.701087,5.027174,2319283
2024-04-04,5.081522,5.15625,4.918478,4.938859,1488192
2024-04-05,4.904891,4.972826,4.796196,4.959239,1565178
2024-04-08,4.952446,5.101902,4.932065,5.013587,1405171
2024-04-09,5.02038,5.129076,5.01019,5.074728,1021715
2024-04-10,4.904891,5,4.82337,4.972826,1558848
2024-04-11,4.952446,5.224185,4.945652,5.190217,1233830
2024-04-12,5.169837,5.180027,4.901495,4.918478,982118
2024-04-15,4.925272,5.054348,4.884511,4.945652,1294918
2024-04-16,4.898098,4.972826,4.857337,4.925272,1643046
2024-04-17,5,5.074728,4.884511,4.891304,1093107
2024-04-18,4.898098,5.02038,4.85394,4.891304,1711347
2024-04-19,4.870924,4.966033,4.86413,4.932065,1394573
2024-04-22,4.966033,5.095109,4.952446,5.013587,1207187
2024-04-23,5.013587,5.142663,4.97962,5.057745,1335987
2024-04-24,5.033967,5.088315,4.952446,5.081522,1547072
2024-04-25,5.040761,5.112092,4.938859,5.067935,2066394
2024-04-26,5.061141,5.197011,5.047554,5.169837,958566
