Date,Open,High,Low,Close,Volume
2018-01-02,77.99,78.47,77.33,77.91,1294600
2018-01-03,77.95,78.02,76.88,77.55,1374500
2018-01-04,78,79.58,77.9,78.93,873800
2018-01-05,79.14,79.32,78.52,79.09,759600
2018-01-08,78.92,79.09,78.34,78.94,881800
2018-01-09,79.3,82.23,79.26,81.68,2424600
2018-01-10,81.76,83.79,81.75,82.79,1541100
2018-01-11,83.32,84.09,83.16,83.9,1242000
2018-01-12,84.26,84.75,83.75,84.37,1390200
2018-01-16,84.75,85.2,82.04,82.51,1506200
2018-01-17,82.92,83.2,82.2,82.98,1774100
2018-01-18,83.26,83.6,82.56,83.06,864000
2018-01-19,83.01,83.47,81.72,83.17,1699800
2018-01-22,83.38,83.52,82.39,83.35,1137300
2018-01-23,82.76,83.43,81.86,82.9,921800
2018-01-24,83.51,83.99,82.87,83.34,1072400
2018-01-25,83.86,83.92,83.06,83.4,1098700
2018-01-26,83.82,84.81,83.14,84.81,1184100
2018-01-29,84.89,86.68,84.88,85.71,2314600
2018-01-30,84.78,85.42,82.95,83.98,2324900
2018-01-31,83.89,84.1,82.16,82.8,2362900
2018-02-01,83.59,86.19,83.1,85.91,2178900
2018-02-02,84.41,85.07,82.99,83.04,1686800
2018-02-05,81.99,82.95,77.56,78.09,1760300
2018-02-06,75.69,79.19,75.21,78.57,2344100
2018-02-07,78.03,79.85,77.78,78.51,1732000
2018-02-08,78.53,78.53,73.8,73.86,1714400
2018-02-09,75.05,76.05,72.47,75.38,2590400
2018-02-12,76.35,77.41,75.07,75.47,1785500
2018-02-13,74.63,75.09,74.02,74.34,1990800
2018-02-14,74.1,77.67,74,77.3,1974700
2018-02-15,78,79,76.75,77.18,1522900
2018-02-16,76.68,77.97,76.65,77.58,1137800
2018-02-20,77.19,78.47,77.03,78.03,1226100
2018-02-21,78.05,79.54,77.88,78.32,1006500
2018-02-22,78.72,78.97,76.96,77.03,1098600
2018-02-23,77.28,78.06,77.03,78.02,833400
2018-02-26,78.31,78.52,77.14,78.42,1597400
2018-02-27,78.7,79.83,78.18,78.22,1474200
2018-02-28,78.84,78.84,76.17,76.17,1548000
2018-03-01,76.23,76.61,73.4,73.88,1436900
2018-03-02,73.21,73.87,71.85,73.73,1140300
2018-03-05,72.98,75.34,72.55,74.9,1080700
2018-03-06,75.12,76.08,74.46,75.85,1112700
2018-03-07,74.76,76.1,74.68,76.04,1929800
2018-03-08,76.25,76.47,75.02,76.4,1051300
2018-03-09,77.17,78.98,76.7,78.71,1448200
2018-03-12,78.71,79.02,78.05,78.41,1270800
2018-03-13,78.81,79.01,77.61,77.84,1357500
2018-03-14,78.46,78.46,76.05,76.27,762900
2018-03-15,76.46,77.26,76.18,76.49,1209300
2018-03-16,76.58,77.34,76.15,76.36,1629300
2018-03-19,76.41,77.19,75.18,75.8,883400
2018-03-20,76.34,77.18,76.11,76.56,695800
2018-03-21,76.75,78.35,76.75,77.2,1072500
2018-03-22,75.8,76.71,73.39,73.6,1271700
2018-03-23,73.8,73.81,70.15,70.36,1512900
2018-03-26,71.91,73.18,71.25,73.11,1445700
2018-03-27,73.38,74.56,71.42,71.96,1775400
2018-03-28,72.1,72.95,71.26,72.01,1530900
2018-03-29,72.48,73.67,72.4,73.06,1368700
2018-04-02,72.6,73.11,69.9,70.97,1478300
2018-04-03,71.25,71.61,69.19,70.8,2137900
2018-04-04,69.34,71.45,69.27,71.24,1186100
2018-04-05,71.96,72.35,71.06,71.34,1658200
2018-04-06,70.27,71,68.49,69.16,1450000
2018-04-09,69.4,70.05,68.43,68.52,1441600
2018-04-10,69.48,70.13,68.82,69.42,2108700
2018-04-11,68.38,68.97,67.85,68.01,3285900
2018-04-12,68.45,69.78,68.27,69.38,2540700
2018-04-13,70.32,70.51,68.95,69.26,1791300
2018-04-16,69.76,70.52,69.48,70,1343400
2018-04-17,70.61,70.82,69.42,69.75,1505100
2018-04-18,70.45,71.13,69.75,70.84,1664800
2018-04-19,70.96,72.25,70.96,71.62,1541900
2018-04-20,71.89,72.21,71.11,71.58,1532600
2018-04-23,72,72.65,71.69,72.22,1383700
2018-04-24,72.54,74.17,71.42,72.01,1171800
2018-04-25,71.84,72.25,70.81,71.9,821700
2018-04-26,71.86,72.36,71.15,71.78,875900
2018-04-27,71.57,71.75,70.37,71.64,1120800
2018-04-30,71.99,72.42,70.62,70.64,1035300
2018-05-01,70.4,70.64,69.57,70.2,1946300
2018-05-02,69.85,69.85,67.35,67.72,3081800
2018-05-03,66.36,67.7,64.62,66.43,2848300
2018-05-04,65.76,69.22,65.76,68.95,2590700
2018-05-07,69.01,69.26,68.31,68.62,1851000
2018-05-08,69.08,69.17,68.04,68.4,2902300
2018-05-09,68.66,68.87,66.94,67.59,2369900
2018-05-10,67.43,67.83,66.35,67.68,3032300
2018-05-11,67.9,68.98,67.44,68.01,2034500
2018-05-14,68.25,68.63,67.97,68.08,941500
2018-05-15,67.98,69.36,67.78,68.18,1833100
2018-05-16,68.03,68.57,67.42,67.97,1634200
2018-05-17,68.14,69.33,67.99,69.02,1654800
2018-05-18,68.89,69.12,68.5,68.98,1379000
2018-05-21,69.28,70.67,69.28,69.83,1623000
2018-05-22,69.97,70.93,69.91,70.45,1304800
2018-05-23,69.94,70.15,69.27,69.75,1527700
2018-05-24,68.83,69.74,68.24,69.43,1297600
2018-05-25,69.04,69.4,68.56,68.88,878100
2018-05-29,67.5,67.98,64.88,65.47,2115600
2018-05-30,66.46,67.39,66.02,67.1,1409500
2018-05-31,66.91,66.99,65.74,66.29,1984600
2018-06-01,67.62,67.81,66.87,67.38,1353300
2018-06-04,68,68.61,67.35,67.59,2510500
2018-06-05,67.2,67.5,66.15,67.47,2291700
2018-06-06,67.9,68.51,67.56,68.44,1593100
2018-06-07,68.83,69.12,68.08,68.57,1904800
2018-06-08,68.63,69.33,68.21,69.25,1071300
2018-06-11,69.58,70.08,69.25,69.4,965200
2018-06-12,69.46,69.57,68.7,69.1,1880900
2018-06-13,69.01,69.7,68.34,68.89,1896000
2018-06-14,68.92,69.16,67.95,68.05,2455200
2018-06-15,66.82,67.58,66.13,67.19,3424600
2018-06-18,66.55,66.78,65.87,66.72,1644400
2018-06-19,65.82,65.95,64.97,65.32,2553300
2018-06-20,65.63,65.63,64.28,65.05,1786800
2018-06-21,64.81,65.48,64.62,64.97,1139300
2018-06-22,65.61,66.08,65.3,65.37,1640700
2018-06-25,64.84,65.36,64.33,64.85,1520300
2018-06-26,64.85,64.96,64.09,64.24,1354500
2018-06-27,64,64.19,62.08,62.09,2560500
2018-06-28,62.09,62.43,61.18,62.25,1243000
2018-06-29,62.88,63.55,62.23,62.25,1501400
2018-07-02,61.87,63.02,61.87,63.01,1196900
2018-07-03,63.15,63.96,62.76,62.89,1098400
2018-07-05,63.61,63.73,62.8,63.28,1302900
2018-07-06,62.74,63.82,62.61,63.36,1442200
2018-07-09,63.6,65.54,63.44,65.35,2244700
