Date,Open,High,Low,Close,Volume
2014-01-02,13.51,13.54,13.12,13.35,431500
2014-01-03,13.45,13.48,13.32,13.4,289200
2014-01-06,13.74,13.8,13.58,13.59,460600
2014-01-07,14.04,14.22,13.96,14.05,760900
2014-01-08,14.19,14.29,13.94,14.01,983700
2014-01-09,13.79,13.87,13.61,13.79,444700
2014-01-10,13.86,13.92,13.78,13.82,658500
2014-01-13,14.01,14.07,13.88,13.93,669000
2014-01-14,14.51,14.64,14.29,14.58,1424200
2014-01-15,14.6,14.83,14.5,14.78,664900
2014-01-16,14.19,14.26,13.58,13.71,1895300
2014-01-17,13.81,13.85,13.53,13.59,1125300
2014-01-21,13.32,13.47,13.19,13.29,917700
2014-01-22,13.56,13.62,13.15,13.22,1140000
2014-01-23,15.32,16.3,15.3,16.23,6848700
2014-01-24,15.43,15.84,15.31,15.46,2565500
2014-01-27,15.63,15.67,15.32,15.55,647700
2014-01-28,15.7,16.23,15.48,16.16,2828600
2014-01-29,16.01,16.46,15.96,16.23,1387500
2014-01-30,16.04,16.13,15.85,15.86,694200
2014-01-31,15.8,15.84,15.7,15.76,533800
2014-02-03,15.86,15.86,15.17,15.39,1247900
2014-02-04,15.57,15.83,15.57,15.74,759900
2014-02-05,15.59,15.64,15.2,15.28,1042300
2014-02-06,15.59,15.66,15.33,15.46,724200
2014-02-07,15.69,15.75,15.48,15.6,548800
2014-02-10,15.86,15.9,15.65,15.81,679100
2014-02-11,15.83,15.93,15.71,15.83,540500
2014-02-12,16.23,16.4,15.99,16.03,2338200
2014-02-13,16,16.11,15.85,16.11,739100
2014-02-14,16.08,16.39,16.08,16.28,473800
2014-02-18,16.17,16.23,16.01,16.11,733300
2014-02-19,16.22,16.32,16.06,16.11,688800
2014-02-20,15.9,16.15,15.74,16.1,1120800
2014-02-21,16.08,16.17,15.82,15.87,582900
2014-02-24,15.81,15.85,15.5,15.53,707000
2014-02-25,15.68,15.75,15.58,15.62,473200
2014-02-26,15.91,16,15.73,15.86,475100
2014-02-27,16.02,16.17,15.93,16.16,708400
2014-02-28,16.12,16.13,15.8,15.84,538400
2014-03-03,15.56,15.56,15.3,15.42,869500
2014-03-04,15.59,15.84,15.52,15.82,842600
2014-03-05,15.86,16.04,15.82,15.93,1033900
2014-03-06,16.7,16.88,16.57,16.86,1012200
2014-03-07,16.59,16.64,16.08,16.24,963700
2014-03-10,16.28,16.36,16.2,16.31,654000
2014-03-11,16.26,16.42,16.23,16.32,398000
2014-03-12,16.05,16.17,15.98,16.05,604800
2014-03-13,16.03,16.06,15.62,15.71,575900
2014-03-14,15.75,15.89,15.7,15.76,482600
2014-03-17,16,16.17,15.96,16.12,280200
2014-03-18,16.18,16.45,16.17,16.42,342900
2014-03-19,16.25,16.41,16,16.12,328800
2014-03-20,15.82,16.02,15.75,15.99,423000
2014-03-21,15.95,15.96,15.57,15.63,368900
2014-03-24,15.42,15.47,14.78,14.9,746800
2014-03-25,15.03,15.24,14.87,15.07,420400
2014-03-26,15.19,15.25,14.95,14.99,663400
2014-03-27,15.31,15.38,14.99,15.09,881200
2014-03-28,15.02,15.03,14.72,14.74,998300
2014-03-31,14.87,15.08,14.8,14.89,1268800
2014-04-01,15.13,15.29,15.12,15.19,1038900
2014-04-02,15.26,15.26,14.94,15.09,1038800
2014-04-03,15.25,15.5,15.22,15.46,1062600
2014-04-04,15.41,15.41,14.98,14.99,1005200
2014-04-07,15.03,15.03,14.54,14.58,793700
2014-04-08,14.43,14.48,14.21,14.28,993800
2014-04-09,14.62,14.67,14.36,14.62,875600
2014-04-10,14.67,14.78,14.34,14.35,1363400
2014-04-11,14.28,14.29,13.59,13.71,1784800
2014-04-14,13.65,13.91,13.59,13.89,850200
2014-04-15,13.69,13.82,13.47,13.67,1675200
2014-04-16,13.76,14.06,13.74,14.03,371200
2014-04-17,14.2,14.69,14.2,14.63,624300
2014-04-21,14.69,14.69,14.45,14.63,469700
2014-04-22,14.99,15.07,14.88,15.04,1011100
2014-04-23,15.02,15.06,14.86,14.88,1002200
2014-04-24,14.51,14.52,13.52,13.85,2738200
2014-04-25,13.9,13.91,13.65,13.66,678100
2014-04-28,13.55,13.61,12.95,13.38,1270400
2014-04-29,13.59,13.65,13.49,13.64,651500
2014-04-30,13.59,13.59,13.41,13.45,554800
2014-05-01,13.37,13.77,13.37,13.63,474900
2014-05-02,13.35,13.62,13.3,13.55,575100
2014-05-05,13.35,13.5,13.29,13.4,223800
2014-05-06,13.11,13.11,12.87,12.88,665600
2014-05-07,13.25,13.27,12.61,12.8,1227100
2014-05-08,12.87,13.03,12.77,12.84,433400
2014-05-09,12.57,12.66,12.45,12.52,652700
2014-05-12,13.36,13.41,13.2,13.32,1100200
2014-05-13,13.17,13.22,13.08,13.21,508200
2014-05-14,13.15,13.19,13.04,13.06,395100
2014-05-15,12.86,12.88,12.61,12.77,514900
2014-05-16,12.64,12.64,12.5,12.6,280100
2014-05-19,12.45,12.62,12.43,12.59,337300
2014-05-20,12.77,12.83,12.66,12.71,416900
2014-05-21,12.79,12.84,12.76,12.82,245000
2014-05-22,12.13,12.46,12.08,12.34,1777500
2014-05-23,12.45,12.57,12.4,12.5,567000
2014-05-27,12.72,13.02,12.72,12.96,446300
2014-05-28,13.08,13.18,12.95,13,463500
2014-05-29,13.2,13.24,12.94,12.97,340900
2014-05-30,13.01,13.17,12.94,13.05,344100
2014-06-02,13.15,13.2,12.87,12.91,311900
2014-06-03,13.39,13.41,13.25,13.29,621700
2014-06-04,13.55,13.76,13.49,13.69,579500
2014-06-05,13.51,13.78,13.51,13.78,259500
2014-06-06,13.71,13.71,13.59,13.59,240200
2014-06-09,13.62,13.62,13.51,13.6,270800
2014-06-10,13.4,13.5,13.34,13.5,339200
2014-06-11,13.47,13.47,13.38,13.45,232400
2014-06-12,13.35,13.4,13.27,13.33,266900
2014-06-13,13.46,13.57,13.42,13.53,329700
2014-06-16,13.39,13.49,13.37,13.43,270300
2014-06-17,13.22,13.41,13.19,13.39,385500
2014-06-18,13.2,13.36,13.15,13.36,315100
2014-06-19,13.11,13.12,12.92,12.96,477400
2014-06-20,13.27,13.5,13.16,13.37,658700
2014-06-23,13.3,13.33,13.16,13.24,250400
2014-06-24,13.27,13.28,13.13,13.13,206600
2014-06-25,13.12,13.26,13.07,13.26,327600
2014-06-26,13.14,13.2,13.04,13.19,228300
2014-06-27,12.89,13.05,12.84,13.04,278600
2014-06-30,12.93,13.12,12.85,13.03,408000
