Date,Open,High,Low,Close,Volume
2013-01-02,36.13,36.38,35.83,36.19,8229700
2013-01-03,36.32,36.4,35.71,35.85,8564600
2013-01-04,35.94,36.05,35.55,35.58,7705000
2013-01-07,34.99,35.18,34.43,34.76,12497600
2013-01-08,34.93,35.31,34.65,34.78,6513700
2013-01-09,34.91,35.23,34.8,34.88,5400700
2013-01-10,35.04,35.56,34.8,35.55,8024800
2013-01-11,35.6,35.88,35.46,35.83,8307700
2013-01-14,35.8,35.85,35.31,35.38,9530900
2013-01-15,35.45,35.99,35.21,35.93,8270100
2013-01-16,35.8,36,35.55,35.77,4543400
2013-01-17,35.99,37.08,35.97,37,11461600
2013-01-18,37.06,37.15,36.63,36.99,11866400
2013-01-22,37.03,37.44,36.8,37.44,8718800
2013-01-23,37.3,37.97,37.05,37.88,12682100
2013-01-24,37.95,38.53,37.88,38.41,13364100
2013-01-25,38.5,39.26,38.23,38.58,15477200
2013-01-28,38.71,38.75,38.17,38.35,7698000
2013-01-29,38.2,38.53,38.02,38.23,7748800
2013-01-30,38.28,38.42,38.06,38.21,6144900
2013-01-31,38.2,38.57,37.96,38.19,10543000
2013-02-01,38.45,39.15,38.4,38.56,11080200
2013-02-04,38.29,38.81,37.92,37.94,8536400
2013-02-05,38.22,38.55,38.2,38.33,8637200
2013-02-06,38.22,38.68,37.98,38.67,8650300
2013-02-07,38.52,38.9,38.31,38.77,9693900
2013-02-08,38.77,39.2,38.71,39.03,5914000
2013-02-11,39.12,39.21,38.93,39.06,5049900
2013-02-12,39.27,39.91,39.17,39.79,7696600
2013-02-13,39.87,39.98,39.48,39.77,5722600
2013-02-14,39.72,39.88,39.41,39.57,8023000
2013-02-15,39.4,39.74,38.76,39.14,9977700
2013-02-19,39.26,39.72,38.89,39.41,8142900
2013-02-20,39.41,39.63,38.63,38.64,8441600
2013-02-21,37.8,38.16,37.23,37.67,13460000
2013-02-22,37.98,38.12,37.56,37.67,8770400
2013-02-25,38.07,38.38,35.86,35.86,20372000
2013-02-26,36.15,37.22,35.92,36.59,18853100
2013-02-27,36.48,37.8,36.46,37.71,17520600
2013-02-28,37.74,38.46,37.6,38.15,13931600
2013-03-01,37.91,38.52,37.8,38.38,11073400
2013-03-04,38.12,38.44,37.91,38.43,8527400
