Date,Dividend,Split
1995-02-27,0.036444,
1995-05-26,0.036444,
1995-08-30,0.036444,
1995-11-29,0.036444,
1996-02-29,0.04,
1996-06-05,0.04,
1996-09-04,0.04,
1996-12-04,0.04,
1997-03-05,0.040889,
1997-06-04,0.040889,
1997-09-03,0.040889,
1997-12-03,0.040889,
1998-03-05,0.043556,
1998-04-01,,1.5
1998-06-04,0.043333,
1998-09-02,0.043333,
1998-12-02,0.043333,
1999-03-03,0.045333,
1999-04-01,,1.5
1999-06-02,0.045,
1999-09-01,0.045,
1999-12-01,0.045,
2000-03-03,0.048,
2000-05-31,0.048,
2000-08-30,0.048,
2000-11-29,0.048,
2001-03-08,0.05,
2001-05-30,0.05,
2001-08-29,0.05,
2001-11-28,0.05,
2002-03-07,0.053,
2002-05-30,0.053,
2002-09-05,0.053,
2002-11-27,0.053,
2003-03-06,0.055,
2003-06-05,0.055,
2003-09-04,0.055,
2003-11-26,0.055,
2004-03-04,0.058,
2004-06-03,0.058,
2004-09-02,0.058,
2004-12-01,0.058,
2005-03-02,0.06,
2005-06-01,0.06,
2005-08-31,0.06,
2005-11-30,0.06,
2006-03-02,0.063,
2006-06-01,0.063,
2006-08-31,0.063,
2006-11-22,0.063,
2007-03-08,0.065,
2007-05-31,0.065,
2007-08-30,0.065,
2007-11-23,0.065,
2008-03-06,0.068,
2008-06-09,0.068,
2008-07-02,0.632,
2008-09-05,0.7,
2008-11-28,0.7,
2009-03-13,0.7,
2009-06-12,0.7,
2009-09-03,0.7,
2009-11-30,0.7,
2010-03-05,0.725,
2010-06-04,0.725,
2010-09-02,0.725,
2010-12-03,0.725,
2011-02-16,0.725,
2011-06-02,0.725,
2011-09-01,0.725,
2011-12-02,0.725,
2012-03-02,0.725,
2012-06-01,0.725,
2012-09-07,0.725,
2012-12-07,0.725,
2013-03-07,0.54,
2013-05-30,0.54,
2013-09-04,0.54,
2013-11-21,0.54,
2014-03-06,0.54,
2014-06-05,0.54,
2014-08-27,0.54,
2014-11-20,0.54,
2015-03-04,0.54,
2015-05-29,0.54,
2015-09-03,0.54,
2015-11-20,0.54,
2016-03-02,0.54,
2016-05-26,0.54,
2016-08-31,0.54,
2016-11-23,0.54,
2017-03-01,0.54,
2017-06-01,0.54,
2017-08-31,0.54,
2017-11-24,0.54,
2018-03-02,0.54,
2018-06-01,0.54,
2018-08-30,0.54,
2018-11-23,0.54,
2019-03-11,0.25,
2019-05-31,0.25,
2019-08-29,0.25,
2019-11-29,0.25,
2020-03-06,0.25,
2020-05-29,0.25,
2020-08-28,0.25,
2020-11-27,0.25,
2021-03-05,0.25,
2021-05-28,0.25,
2021-08-27,0.25,
2021-11-26,0.25,
2022-03-07,0.25,
2022-05-27,0.25,
2022-08-29,0.25,
