Date,Open,High,Low,Close,Volume
2016-01-04,65.93,66.2,64.97,65.38,3899500
2016-01-05,65.48,66.03,65.23,65.59,2699100
2016-01-06,64.47,64.68,62.53,63.62,4167100
2016-01-07,62.27,63.13,61.68,61.82,6444900
2016-01-08,62.36,63.81,62.01,62.65,4510300
2016-01-11,63.15,63.5,62.12,63.16,4568600
2016-01-12,63.22,64.5,63.17,64.32,4915300
2016-01-13,63.83,64.03,60.13,60.27,5475500
2016-01-14,60.21,62.12,58.92,60.74,7445800
2016-01-15,59.02,60.15,58.33,59.55,8374900
2016-01-19,60.44,60.5,57.62,58.38,5212800
2016-01-20,57.63,60.6,56.43,59.81,8220000
2016-01-21,59.75,62.56,59.15,61.65,6139900
2016-01-22,62.58,63.61,61.61,62.46,4769700
2016-01-25,62.4,62.4,60,60.12,3231000
2016-01-26,60.71,62.06,60.28,61.94,3255400
2016-01-27,61.81,62.45,60.01,60.64,4022700
2016-01-28,61.27,61.64,58.8,59.21,4650600
2016-01-29,59.89,61.31,59.37,61.28,3171000
2016-02-01,60.32,61.9,60.01,61.42,3495700
2016-02-02,60.4,60.76,58.99,59.07,3929000
2016-02-03,59.16,59.73,57.69,59.39,3559900
2016-02-04,59.28,60.9,58.89,60.71,4331500
2016-02-05,60.68,60.71,59.13,60.01,3703700
2016-02-08,59.59,59.8,57.89,59.44,5116000
2016-02-09,59,61.63,59,60.77,5311100
2016-02-10,61.63,62.84,61.18,61.38,3575500
2016-02-11,60.5,62.18,60.1,61.59,4797600
2016-02-12,62.06,63.89,61.63,63.8,3711600
2016-02-16,64.27,65.55,63.98,65.06,5517600
2016-02-17,65.74,67.88,65.65,66.68,4907300
2016-02-18,64.1,65.68,64,64.94,7969300
2016-02-19,64.5,65.81,64.25,65.71,3596800
2016-02-22,66.21,67.53,66.18,66.79,5341400
2016-02-23,66.51,66.86,66.05,66.27,3016300
2016-02-24,65.64,67.26,65.03,67.03,3740700
2016-02-25,67.56,68.33,66.78,68.3,4236200
2016-02-26,68.97,69,67.8,68.15,2961100
2016-02-29,68.33,68.85,67.68,68.15,4900600
2016-03-01,68.33,69.18,68.28,68.93,3416000
2016-03-02,68.57,69,68.14,68.83,2733000
2016-03-03,68.57,69.01,68.06,68.68,2341000
2016-03-04,68.8,69.28,68.4,68.98,1828900
2016-03-07,68.51,69.54,68.35,69.54,2741900
2016-03-08,68.9,69.45,68.18,68.41,4362100
2016-03-09,68.74,68.77,68.09,68.59,2283900
2016-03-10,68.74,69.15,66.72,67.96,2281300
2016-03-11,68.97,69.17,68.4,68.89,1878100
2016-03-14,71.05,71.3,69.94,70.93,8951400
2016-03-15,70.06,71.03,70.01,70.41,4007400
2016-03-16,69.98,71.69,69.85,71.24,3383000
2016-03-17,70.98,71.82,70.54,71.8,4546600
2016-03-18,72.61,73.89,72.25,73.16,13530700
2016-03-21,72.56,72.85,71.82,72.3,13663900
2016-03-22,70.89,71.28,69.99,70.92,7183000
2016-03-23,70.55,70.83,69.19,69.6,7108000
2016-03-24,69.02,69.72,68.37,68.64,5624400
2016-03-28,70.1,71.84,70,71.34,6831100
2016-03-29,70.98,71.45,70.66,70.7,4708900
2016-03-30,71.4,71.77,70.43,71.55,2362700
