Date,Open,High,Low,Close,Volume
2020-01-02,13.68,13.71,13.14,13.3,3288500
2020-01-03,13.22,13.48,13.07,13.48,2928400
2020-01-06,13.27,14.08,13.26,14.07,4184200
2020-01-07,14.09,14.39,14.02,14.18,8298600
2020-01-08,14.15,14.47,14.1,14.13,3304000
2020-01-09,14.12,14.32,13.99,14.26,2683800
2020-01-10,14.31,14.39,13.98,14.07,2349700
2020-01-13,14.11,14.46,13.92,14.43,2639700
2020-01-14,14.35,14.74,14.29,14.68,5575300
2020-01-15,14.29,14.33,13.59,14,7098500
2020-01-16,14.14,14.45,13.91,14.01,3885100
2020-01-17,14.06,14.29,13.93,14.28,3800400
2020-01-21,14.11,14.41,14,14.35,2818200
2020-01-22,14.43,14.56,14.36,14.39,1567100
2020-01-23,14.3,14.55,14.09,14.45,2963900
2020-01-24,14.5,14.53,14.21,14.28,2064500
2020-01-27,13.97,14.26,13.92,14.12,2367100
2020-01-28,14.31,14.8,14.31,14.51,4137000
2020-01-29,14.68,14.83,14.48,14.52,2455500
2020-01-30,14.42,14.64,14.22,14.6,2136100
2020-01-31,14.54,14.72,14.26,14.63,4010100
2020-02-03,14.75,14.82,14.39,14.43,3118500
2020-02-04,14.62,14.66,14.33,14.37,4640800
2020-02-05,14.54,14.6,14.1,14.19,17388800
2020-02-06,14.27,14.55,14.16,14.31,6465300
2020-02-07,14.23,14.42,13.99,14.08,5127100
2020-02-10,14.06,14.4,14.02,14.28,5042900
2020-02-11,14.58,14.6,14.26,14.29,5139200
2020-02-12,14.36,14.57,14.33,14.51,8755100
2020-02-13,14.46,14.56,14.33,14.4,7018200
2020-02-14,14.4,14.72,13.6,13.95,15706700
2020-02-18,13.79,13.94,13.28,13.3,7048200
2020-02-19,13.32,13.46,13,13.06,6322400
2020-02-20,13.05,13.29,13.01,13.25,4558200
2020-02-21,13.13,13.2,12.69,12.94,7514100
2020-02-24,12.46,12.6,12.29,12.41,8164700
2020-02-25,12.4,12.44,11.88,11.9,6323400
2020-02-26,11.92,12.09,11.63,11.65,5172800
2020-02-27,11.21,11.74,10.92,11.53,8367300
2020-02-28,11.14,11.82,11.1,11.79,7384900
2020-03-02,11.81,12.24,11.7,11.96,8155500
2020-03-03,11.92,12.27,11.63,11.85,6364100
2020-03-04,12.28,12.8,12.13,12.78,9017800
2020-03-05,12.39,12.66,12.24,12.56,6467300
2020-03-06,12.17,12.22,11.46,11.67,6358700
2020-03-09,10.76,10.94,10.18,10.22,6683400
2020-03-10,10.62,10.7,9.79,10.06,5763800
2020-03-11,9.85,9.96,8.89,8.95,8059300
2020-03-12,8.33,8.44,7.02,7.9,12998500
2020-03-13,8.21,8.59,7.63,8.25,14448500
2020-03-16,7.35,8.22,7,7.86,6998000
2020-03-17,8.07,9.28,7.96,8.71,6601500
2020-03-18,8.14,9.25,7.68,8.54,10238600
