Date,Dividend,Split
1995-03-17,0.103333,
1995-06-22,0.103333,
1995-09-19,0.115,
1995-12-19,0.115,
1996-03-19,0.115,
1996-06-20,0.115,
1996-09-17,0.126667,
1996-12-17,0.126667,
1997-03-26,0.126667,
1997-06-25,0.126667,
1997-09-25,0.13,
1997-10-30,,2
1997-12-24,0.13,
1998-03-26,0.133333,
1998-06-24,0.133333,
1998-09-24,0.133333,
1998-12-17,0.133333,
1999-03-25,0.133333,
1999-06-23,0.133333,
1999-09-23,0.133333,
1999-12-16,0.136667,
2000-03-23,0.136667,
2000-06-22,0.136667,
2000-09-21,0.136667,
2000-12-18,0.136667,
2001-03-22,0.15,
2001-04-23,,1.5
2001-06-21,0.15,
2001-09-20,0.15,
2001-12-17,0.15,
2002-03-22,0.17,
2002-06-24,0.17,
2002-09-20,0.17,
2002-12-17,0.17,
2003-03-27,0.2,
2003-06-23,0.2,
2003-09-23,0.2,
2003-12-17,0.2,
2004-03-24,0.24,
2004-06-23,0.24,
2004-09-22,0.24,
2004-12-21,0.24,
2005-03-23,0.28,
2005-06-22,0.28,
2005-09-21,0.28,
2005-12-21,0.28,
2006-03-22,0.31,
2006-06-21,0.31,
2006-09-20,0.31,
2006-12-20,0.31,
2007-03-21,0.34,
2007-06-20,0.34,
2007-09-19,0.34,
2007-12-19,0.34,
2023-12-26,8,
