Date,Open,High,Low,Close,Volume
2006-01-03,60.41,60.65,59.7,60.58,1063900
2006-01-04,60.66,61.59,60.66,61.45,810700
2006-01-05,61,61.3,60.84,61.12,827600
2006-01-06,61.2,61.86,61.2,61.67,830500
2006-01-09,61.5,62.53,61.24,62.31,514300
2006-01-10,62.06,62.95,61.72,62.89,669200
2006-01-11,62.95,63.2,62.39,62.5,516000
2006-01-12,62.51,63.19,61.94,62.7,563200
2006-01-13,63,63.63,62.85,63.63,936400
2006-01-17,63.63,63.63,62,62.22,788700
2006-01-18,62.23,62.39,61.71,61.88,554200
2006-01-19,62,62.15,60.91,61.39,659300
2006-01-20,60.75,61,60.09,60.15,1284300
2006-01-23,60.15,60.63,60.15,60.42,776200
2006-01-24,60.6,60.88,59.95,60.38,637400
2006-01-25,60.71,62.02,60.5,61.22,753300
2006-01-26,61.84,62.96,61.84,62.55,844000
2006-01-27,62.56,63.16,62.43,62.62,574800
2006-01-30,62.75,63.06,62.4,62.68,1055200
2006-01-31,62.43,62.91,61.51,61.56,939900
2006-02-01,61.57,61.71,60.9,61.03,863300
2006-02-02,61.2,61.63,60.32,60.6,798100
2006-02-03,60.4,60.57,59.21,59.72,939400
2006-02-06,59.72,60.69,59.41,60.17,898800
2006-02-07,60.22,61,60.15,60.55,917200
2006-02-08,60.75,61.56,60.41,61.35,867900
2006-02-09,60.77,60.78,57.7,57.98,2995600
2006-02-10,59.41,59.6,56.9,57.67,3006700
2006-02-13,57.55,57.96,57.1,57.15,1697800
2006-02-14,57.04,59.14,57.04,58.7,1931300
2006-02-15,58.5,59.23,58.5,59.05,1550200
2006-02-16,58.98,59.49,58.82,59.45,581500
2006-02-17,59.45,59.85,59.02,59.19,941700
2006-02-21,59.3,59.69,57.79,58.11,1026200
2006-02-22,58.36,59.87,58.36,59.77,845600
2006-02-23,59.78,59.78,58.8,59,1109000
2006-02-24,59,59.48,58.41,59.25,666400
2006-02-27,59.43,59.94,59.35,59.69,505500
2006-02-28,59.35,59.79,58.7,58.74,666200
2006-03-01,58.73,58.85,58.41,58.7,621500
2006-03-02,58.45,58.67,58.04,58.25,652100
2006-03-03,58.19,58.31,57.67,57.71,869700
2006-03-06,57.71,57.97,57.31,57.36,715600
2006-03-07,57.36,57.82,57.1,57.68,656100
2006-03-08,57.6,57.85,57.45,57.62,645200
2006-03-09,57.35,58.2,57.35,57.66,678200
2006-03-10,57.5,58.17,57.31,57.61,604800
2006-03-13,57.81,58.59,57.7,58.1,879000
2006-03-14,58,59.3,57.94,59.07,689900
2006-03-15,59.14,59.96,56.86,59.71,1773500
2006-03-16,59.95,60.2,59.73,60.03,532600
2006-03-17,60.48,60.76,59.87,60.03,1139600
2006-03-20,60.03,60.54,59.85,60.2,389800
2006-03-21,60.5,61.02,60.2,60.39,1354200
2006-03-22,59.93,60.09,59.52,59.95,654600
2006-03-23,59.7,59.7,58.95,59.2,736200
2006-03-24,59.1,60,58.71,59.14,701500
2006-03-27,59.02,59.28,58.76,58.99,636500
2006-03-28,59,59.36,58.53,59.15,707700
2006-03-29,59.12,60.32,59.05,60.12,910800
2006-03-30,61.45,61.63,60.7,60.79,1454400
2006-03-31,60.2,60.58,59.77,60.13,1027900
2006-04-03,60.6,60.69,59.77,59.77,763400
2006-04-04,59.77,60,59.3,59.6,1124600
2006-04-05,59.4,59.78,59.11,59.3,676500
2006-04-06,59.3,59.46,58.67,59.12,567200
2006-04-07,59.25,59.43,58.23,58.61,583400
2006-04-10,58.67,59.03,58.35,58.71,339900
2006-04-11,58.69,58.84,57.79,57.99,467800
2006-04-12,58,58.68,57.99,58.52,576500
2006-04-13,58.52,58.52,57.83,57.87,709400
2006-04-17,57.75,58.19,57.75,57.97,398800
2006-04-18,57.78,58.57,57.78,58.46,864400
2006-04-19,58.35,58.97,58.2,58.62,682800
2006-04-20,58.62,59.33,58.44,59.31,471200
2006-04-21,59.35,59.35,58.78,59.11,518500
2006-04-24,59,59.2,58.73,58.9,566800
2006-04-25,58.97,59.3,58.85,59.02,606800
2006-04-26,59.15,60.57,59.11,60.45,815500
2006-04-27,59.9,60,59.02,59.2,1336400
2006-04-28,59.21,60.18,59,59.63,676200
2006-05-01,59.85,59.96,58.94,59.26,476500
2006-05-02,59.45,59.5,58.8,59.28,761500
2006-05-03,59.25,59.53,58.98,59.05,460200
2006-05-04,59.28,59.4,59.13,59.25,392900
2006-05-05,59.5,60.74,59.29,60.74,912000
2006-05-08,60.4,60.87,60.27,60.29,508400
2006-05-09,60.15,60.45,60,60.27,296100
2006-05-10,60.27,60.59,60.04,60.35,426200
2006-05-11,60.35,60.35,59.63,59.95,401800
2006-05-12,59.95,60.01,58.92,58.98,494900
2006-05-15,58.98,59.75,58.98,59.73,572900
2006-05-16,59.85,59.94,59.24,59.58,371800
2006-05-17,59.5,59.7,59.25,59.28,758100
2006-05-18,59.15,59.15,57.2,57.38,1166000
2006-05-19,57.45,58.19,57.17,57.4,745700
2006-05-22,57.4,57.91,57.12,57.33,1058400
2006-05-23,57.33,57.4,56.84,56.84,1245100
2006-05-24,56.64,56.99,56,56.71,1571300
2006-05-25,57.15,57.33,56.8,57.27,564900
2006-05-26,57.65,57.8,57.27,57.74,421100
2006-05-30,57.64,57.64,56.67,56.68,459800
2006-05-31,56.5,57.23,56.25,57.13,1233200
2006-06-01,57.5,57.89,57.13,57.75,863400
2006-06-02,57.74,57.88,57.2,57.78,587400
2006-06-05,57.65,57.68,56.4,56.5,787500
2006-06-06,56.75,57.17,56.22,56.56,1558200
2006-06-07,56.76,57.63,56.53,57.18,666200
2006-06-08,57.45,57.9,56.78,57.78,858800
2006-06-09,57.78,57.81,57.19,57.25,826700
2006-06-12,57.25,57.25,56.4,56.52,678400
2006-06-13,56.51,56.87,56.26,56.51,1934600
2006-06-14,56.6,56.92,56.4,56.78,1471800
2006-06-15,57.15,58.58,57.06,58.49,656200
