Date,Open,High,Low,Close,Volume
1998-01-02,23.9375,24,23.4375,23.8125,2523000
1998-01-05,23.8125,23.8125,23.5625,23.75,4786400
1998-01-06,23.6562,23.875,23.5,23.8125,3398600
1998-01-07,23.5625,23.7188,23.4375,23.625,3008800
1998-01-08,23.5,23.5625,23.1875,23.1875,2421400
1998-01-09,23.1562,23.1875,22.625,22.6875,3791400
1998-01-12,22.375,23.3438,22.3125,23.1875,3502200
1998-01-13,23.25,23.5625,23.1562,23.5625,3108600
1998-01-14,23.5312,23.5938,23.125,23.5312,3033400
1998-01-15,23.4688,23.6875,23.1875,23.4062,2870600
1998-01-16,23.6875,23.9688,23.4688,23.7812,3836000
1998-01-20,23.625,24,23.5938,24,3861600
1998-01-21,23.5625,23.8125,23.4062,23.6875,3762000
1998-01-22,23.5625,23.9375,23.4688,23.9375,3307800
1998-01-23,23.8438,23.9062,23.25,23.5312,4894600
1998-01-26,23.2812,23.5938,23.125,23.5,2739600
1998-01-27,23.4062,23.875,23.3438,23.6562,4139600
1998-01-28,23.6562,23.9375,23.375,23.8125,3481800
1998-01-29,23.75,24.3438,23.6875,23.9688,3768400
1998-01-30,23.9375,23.9688,23.5312,23.5625,3288000
1998-02-02,23.9375,23.9688,23.7812,23.8125,2673400
1998-02-03,23.75,24.2812,23.7188,24.2812,3526000
1998-02-04,24.25,24.3438,24,24.2812,3928000
1998-02-05,24.25,24.625,23.9688,24.25,4567600
1998-02-06,24.125,24.6562,24.0938,24.4062,3472000
1998-02-09,24.2812,24.6562,24.2812,24.5312,3309000
1998-02-10,24.8125,25.1562,24.6875,25,6703600
1998-02-11,25.0312,25.1875,24.8125,25.0938,4215400
1998-02-12,25.125,25.7188,25.0938,25.5938,9246800
1998-02-13,25.6875,26.8125,25.6875,26.5,11104600
1998-02-17,26.375,26.5,25.5312,26.0938,6314600
1998-02-18,25.9062,26.4375,25.9062,26.25,5030800
1998-02-19,26.125,26.5,25.9688,26,5036200
1998-02-20,26.375,26.5,26.25,26.4688,4681400
1998-02-23,26.5,26.625,26.2812,26.4375,2862800
1998-02-24,26.2812,26.3125,25.8438,25.9375,2954000
1998-02-25,25.8438,26.1875,25.75,26.1875,3374600
1998-02-26,26.2188,27,26,26.9375,5023800
1998-02-27,27.0625,27.9375,27.0625,27.2812,9600400
1998-03-02,27.375,27.4688,26.5938,26.5938,3730600
1998-03-03,26.5,27,26.25,26.7812,4924800
1998-03-04,26.6562,26.9688,26.3125,26.9375,4150000
1998-03-05,26.5,26.7812,26.4688,26.7188,3102000
1998-03-06,26.7812,27.0938,26.75,26.9062,2531400
1998-03-09,26.9375,27.3125,26.7188,27.0625,3108000
1998-03-10,27.1875,27.5625,27.1875,27.4062,4020400
1998-03-11,27.4375,27.9375,27.4062,27.9375,5496400
1998-03-12,27.6562,28.125,27.6562,27.9688,5598600
1998-03-13,28.125,28.25,27.3125,27.3125,7257400
1998-03-16,26.5,26.8125,26,26.5,11299200
1998-03-17,26.5312,26.5625,26.25,26.25,5705600
1998-03-18,26.3125,26.625,26.1562,26.2188,4769600
1998-03-19,26.125,26.1875,25.3125,25.75,6909200
1998-03-20,25.875,25.875,25.5312,25.75,7143200
1998-03-23,25,25.9062,25,25.75,5525000
1998-03-24,26.25,26.25,25.8125,26.25,5113000
1998-03-25,26.5,26.6562,26.2188,26.5,5818600
1998-03-26,26.875,27.6875,26.875,27.6875,11559600
1998-03-27,28.875,29.3125,28.5,28.6875,23576600
1998-03-30,29.25,29.8125,29,29.6875,9919000
1998-03-31,29.6562,30.125,29.3125,30,10573800
1998-04-01,30.0312,31.0625,29.8125,30.7188,11722200
1998-04-02,30.9375,31.5,30.7812,31.4375,12115800
1998-04-03,31.5,31.9062,31.3438,31.75,8421000
1998-04-06,31.7188,31.75,30.8438,30.9062,7378200
1998-04-07,30.6875,30.7188,30.25,30.4375,5831600
1998-04-08,30.5,30.9688,30.25,30.5,6853200
1998-04-09,30.5625,31.25,30.3125,31.0938,4550800
1998-04-13,31,31.0625,30.8125,30.875,4037200
1998-04-14,30.8125,31.0312,30.75,31.0312,3792400
1998-04-15,31.0312,31.0312,30.625,30.9688,3944600
1998-04-16,30.9375,30.9688,30.3438,30.8125,4610800
1998-04-17,30.6875,30.9375,30.1875,30.9062,5537200
1998-04-20,31.125,31.3125,30.7188,31.2812,5721400
1998-04-21,31,31.0312,30.6562,31,4165000
1998-04-22,30.875,30.9062,30.3438,30.5312,4243600
1998-04-23,30,30.1875,29.0625,29.1875,6449800
1998-04-24,29.1875,29.4688,28.8438,29.0625,4724000
1998-04-27,28.75,29.5625,28.5312,29.375,4887200
1998-04-28,29.375,29.4375,28.75,29.0625,2944200
1998-04-29,29.375,29.8438,29.0312,29.6562,3347200
1998-04-30,30.25,31,30.1562,30.9375,8779800
1998-05-01,31.25,31.4375,30.875,31.2812,8679400
1998-05-04,31,31.2812,30.9062,31.2812,3715000
1998-05-05,31.2812,31.2812,30.7812,30.8438,4714800
1998-05-06,31,31.3438,30.7188,30.7188,3791400
1998-05-07,30.8438,30.8438,30.5,30.6875,3500400
1998-05-08,30.6875,31.125,30.6562,31.0938,4250400
1998-05-11,31.125,31.375,30.7188,30.7188,4048800
1998-05-12,30.6562,31.4688,30.6562,31.4688,3253000
1998-05-13,31.4688,31.8438,31.3125,31.7812,3749600
1998-05-14,31.625,32.0625,31.5625,32.0312,3756200
1998-05-15,32,32.0312,31.8125,31.8438,3976400
1998-05-18,31.8438,31.875,31.4688,31.4688,2569600
1998-05-19,31.5625,31.6875,31.25,31.4062,2426800
1998-05-20,31.75,33,31.75,32.9375,7184800
1998-05-21,32.5625,33.1875,32.3438,32.9688,5312000
1998-05-22,33.0625,33.3438,32.6875,32.8125,3304400
1998-05-26,32.75,33.3125,32.75,32.875,4005200
1998-05-27,32.5625,33.0312,32.5312,32.875,7393400
1998-05-28,32.7812,33.5312,32.5938,33.4375,2660200
1998-05-29,33.3125,33.4375,32.75,32.8125,3002400
1998-06-01,32.8125,33.625,32.7812,33.5938,2602800
1998-06-02,33.5,33.75,33.25,33.5,3471600
1998-06-03,33.5,33.5,32.8125,32.9375,2674400
1998-06-04,32.9375,33.4688,32.875,33.4375,2269800
1998-06-05,33.5312,33.6875,33.1562,33.5938,2410000
1998-06-08,33.5938,33.9688,33.4688,33.6562,2042400
1998-06-09,33.5,33.5312,33,33,2399000
1998-06-10,32.9375,33.3438,32.875,33,3592200
1998-06-11,32.9062,33,32,32.125,3606200
1998-06-12,32.125,32.4375,31.6875,32.3125,2951800
1998-06-15,32.125,32.625,31.8438,31.8438,4075600
1998-06-16,32.125,32.125,31.8125,32.0625,2470400
1998-06-17,32.25,32.8125,32.1875,32.7188,3925200
1998-06-18,33.3125,34,33.2812,33.9375,7739600
1998-06-19,34.0938,34.1875,33.6875,34.0312,4380800
1998-06-22,33.7812,34.0625,33.6562,33.9688,3335800
1998-06-23,33.9375,33.9375,33.4062,33.7188,3685200
1998-06-24,33.6875,33.8125,33.375,33.75,3107600
1998-06-25,33.875,34.0938,33.6562,33.9688,3745800
1998-06-26,34.0625,34.9688,34.0625,34.4688,4403800
1998-06-29,34.5,34.7188,34.4062,34.5938,3078200
1998-06-30,34.5938,34.6875,34.375,34.5,2993400
1998-07-01,34.7188,35.625,34.7188,35.625,4416000
1998-07-02,35.5312,35.875,35.375,35.5,3091800
1998-07-06,35.5312,36.875,35.4062,36.75,3964400
1998-07-07,37,37.4688,36.9688,37.0625,6994200
1998-07-08,36.875,36.9062,36.1562,36.5,4408200
1998-07-09,36.375,36.4688,35.8125,36,4751800
1998-07-10,36.2188,36.5312,35.8125,36.5312,3158000
1998-07-13,37.125,37.25,36.75,36.8125,4242600
1998-07-14,36.9375,37.0938,36.1875,36.4062,3251000
1998-07-15,36.1875,36.2188,35,35.5625,3895200
1998-07-16,35.5625,35.9375,35.1875,35.9375,3689400
1998-07-17,35.9688,36.8438,35.8438,36.625,3346200
1998-07-20,35.5,35.5938,34.5625,35.2812,13803800
1998-07-21,35.4062,35.4062,34.625,34.625,5610200
1998-07-22,34.1875,34.4375,33.375,33.625,6182000
1998-07-23,33.5,34.7188,33.4375,34.1875,7176000
1998-07-24,34.8125,34.9375,33.5312,33.7812,5138000
