Date,Open,High,Low,Close,Volume
2023-01-03,71.29,71.58,68.41,69.1,3536800
2023-01-04,70.61,71.61,69.58,70.79,5214600
2023-01-05,69.86,70.78,68.98,69.1,4026000
2023-01-06,70.68,73.26,69.74,72.77,4858400
2023-01-09,74,75.39,73.56,73.8,3398400
2023-01-10,73.99,75.53,73.36,75.45,2744500
2023-01-11,75.74,75.99,74.73,75.4,3997500
2023-01-12,75.67,75.91,73.98,75.24,3370500
2023-01-13,74.77,75.07,73.91,74.92,4004200
2023-01-17,74.87,75.77,73.58,74.49,3030000
2023-01-18,75.38,76.08,73.83,73.9,4412700
2023-01-19,73.52,73.67,71.41,71.75,4882300
2023-01-20,72.53,73.75,71.47,73.6,3925400
2023-01-23,73.85,76.66,73.85,76.31,4608800
2023-01-24,75.43,76.64,75.26,75.72,3233500
2023-01-25,74.57,76.22,73.8,76.13,3697000
2023-01-26,77.31,78.36,76.24,78.26,4797600
2023-01-27,77.31,78.6,77.1,77.68,4450200
2023-01-30,76.81,77.41,75.49,75.68,4574100
2023-01-31,75.68,77.74,75.64,77.62,9737400
2023-02-01,77.9,82.08,77.88,81.16,7167000
2023-02-02,82.02,84.95,82,84.53,8886200
2023-02-03,83.72,87.76,83.51,85.34,8935100
2023-02-06,84.29,86.24,83.8,84.47,5810300
2023-02-07,84.63,87,84.16,86.52,6388600
2023-02-08,85.82,86.42,84.6,84.79,4189100
2023-02-09,86.2,86.82,84.27,84.89,4792300
2023-02-10,84.09,84.17,81.95,82.6,6291200
2023-02-13,82.88,84.47,82.8,84.33,4421600
2023-02-14,83.43,85.78,83.06,84.88,4553700
2023-02-15,84.29,86,84.15,85.91,4016600
2023-02-16,84.66,85.66,84.3,84.64,4760500
2023-02-17,84,84.11,82.52,83.27,4733500
2023-02-21,82.37,83.21,80.37,80.68,6795100
2023-02-22,81.13,81.2,79.17,79.78,3997500
2023-02-23,81.45,81.88,79.76,81.2,4841300
2023-02-24,80.08,80.4,79.44,79.68,4280200
2023-02-27,81.41,81.61,80.42,80.62,3175600
2023-02-28,80.45,82.09,80.26,81.03,3719400
2023-03-01,81.37,81.95,80.58,80.78,3383600
2023-03-02,79.56,81.56,78.96,81.05,3395100
2023-03-03,81.25,82.87,80.42,82.6,5001500
2023-03-06,83.15,83.62,81.58,81.97,3443100
2023-03-07,82.77,83.81,81.32,82.11,4364800
2023-03-08,82.13,84.65,82.13,84.52,5563200
2023-03-09,84.61,85.78,83.08,83.26,4814500
2023-03-10,83.85,84.07,81.31,81.57,4727100
2023-03-13,80.58,82.37,80.08,81.28,5788100
2023-03-14,82.76,83.71,81.83,83.24,5799200
2023-03-15,82.05,82.28,79.05,80.51,6068800
2023-03-16,80.1,82.8,79.48,82.25,6275800
2023-03-17,82.21,82.24,79.9,80.71,8782500
2023-03-20,81.04,82.83,80.57,82.29,3825800
2023-03-21,83,83.78,81.45,82.29,3771800
2023-03-22,82.25,83.72,80.47,80.57,5048100
2023-03-23,82.01,83.79,80.67,82.3,4942500
2023-03-24,81.38,81.79,78.91,79.43,5487600
2023-03-27,79.58,79.79,76.99,77.55,7203400
2023-03-28,77.42,77.92,76.17,77.86,4260200
2023-03-29,79.4,81.51,78.92,80.87,4717500
2023-03-30,82.05,83.09,81.64,82.78,3555900
2023-03-31,82.49,83.92,82.25,83.78,3115200
2023-04-03,83.55,84.33,81.87,82.71,3434900
2023-04-04,83.05,83.06,80.81,81.64,4198100
2023-04-05,80.99,80.99,78.18,79.52,6202200
2023-04-06,78.46,79.9,77.34,78.7,3417100
2023-04-10,78.18,80.76,77.91,80.55,3132100
2023-04-11,81.15,81.55,80.38,80.55,2837100
2023-04-12,81.29,81.58,79.06,79.23,2406800
2023-04-13,79.26,80.68,78.42,80.13,2885600
2023-04-14,80.33,81.4,78.79,79.53,2837900
2023-04-17,78.83,80.7,78.75,80.54,2849100
2023-04-18,81.48,82.26,80.02,80.77,3415700
2023-04-19,80.19,80.19,78.67,79.38,2947800
2023-04-20,77.74,78.71,76.95,77.5,6401600
2023-04-21,77.1,77.14,76.17,76.8,3683300
2023-04-24,76.75,77.28,76.26,77.27,2893900
2023-04-25,76.93,76.93,74.35,74.37,5923000
2023-04-26,75.04,75.24,73.64,74.11,4232600
2023-04-27,72.69,72.79,70.3,71.8,7746600
2023-04-28,72.09,73.1,71.61,72.99,4460700
2023-05-01,73.4,76.01,73.4,75.38,5312300
2023-05-02,76.3,78.01,75.21,76.12,5503600
2023-05-03,76.15,77.98,75.85,76.25,5536700
2023-05-04,75.71,76.28,74.83,76.03,6144700
2023-05-05,71,76.56,70.75,75.18,9468200
2023-05-08,75.19,75.85,73.72,74.27,4222800
2023-05-09,73.45,73.52,71.53,72.71,5017400
2023-05-10,73.51,74.59,73.27,74.17,6898700
2023-05-11,73.85,73.98,71.84,73.15,4613200
2023-05-12,73.99,74.18,72.8,73.81,2907500
2023-05-15,73.67,75.42,73.24,75.38,3181500
2023-05-16,75.4,76.17,73.99,74.05,3354200
2023-05-17,75.07,76.88,74.44,76.6,4100700
2023-05-18,77.14,78.49,76.76,78.3,5384900
2023-05-19,78,78.36,77.47,77.87,3672600
2023-05-22,77.38,79.63,77.35,79.19,4828000
2023-05-23,78.32,78.83,77.47,77.62,4555800
2023-05-24,74.9,75.5,72.56,73.62,7827800
2023-05-25,73.12,74.43,71.35,74.14,7471600
2023-05-26,75,78.97,74.7,78.32,8215900
2023-05-30,80,80.13,76.24,76.85,4875800
2023-05-31,76.29,77.46,74.93,75.26,7860500
2023-06-01,75.85,77.44,74.17,76.66,5417800
2023-06-02,77.14,77.8,75.73,77.2,3400200
2023-06-05,77.5,77.63,74.74,75.27,4185200
2023-06-06,75.15,77.7,75.01,77.5,4750300
2023-06-07,77.99,81.83,77.98,80.99,8071400
2023-06-08,81.17,81.88,80.16,80.75,5026700
2023-06-09,81.98,82.11,79.37,80.07,3334100
2023-06-12,80.8,83.35,80.61,82.92,5703500
2023-06-13,83.74,85.86,83.74,85.71,8013300
2023-06-14,85.6,87.13,85.05,86.64,5908500
2023-06-15,85.76,86.38,85.27,85.37,5077000
2023-06-16,86.44,86.44,84.85,85.49,9205100
2023-06-20,84.73,85.26,83.14,84.39,4311200
2023-06-21,83.63,84.58,82.9,82.96,3856500
2023-06-22,82.58,83.55,81.93,83.12,3253800
2023-06-23,81.65,82.28,80.8,81.97,4591300
2023-06-26,82.39,83.83,82.23,82.84,3685900
