Date,Open,High,Low,Close,Volume
2024-01-02,404.45,404.65,382.26,383.69,2176900
2024-01-03,373.76,379.76,371.25,372.98,1289600
2024-01-04,362.57,369.155,360.1,362.41,2054400
2024-01-05,360.7,371.44,360.15,365.39,1489200
2024-01-08,367.32,378.63,365,378.45,1816200
2024-01-09,371.57,380.06,371.56,378.73,846200
2024-01-10,380,394.45,376.19,393.15,1463300
2024-01-11,395.91,399.35,383.2,392.6,1208000
2024-01-12,393.6,397.85,388.87,391.59,786200
2024-01-16,388.26,405.66,382.705,405.44,1513200
2024-01-17,401.79,404.01,387.275,400.38,1050600
2024-01-18,404.25,408.4,384.55,392.18,1246900
2024-01-19,395.41,401.66,391.5,401.05,975000
2024-01-22,406.78,426.51,406.78,413.42,1910200
2024-01-23,418.61,418.92,407.03,411.06,762700
2024-01-24,417.69,424.78,409.36,410.11,1163200
2024-01-25,416.04,416.04,397.38,400.3,971800
2024-01-26,394.7,401.725,391.35,395.29,973600
2024-01-29,397.28,420.34,397.28,420.17,1072800
2024-01-30,418.49,421.99,410.73,415.53,782000
2024-01-31,409.06,411,394.1,400.52,1543700
2024-02-01,404.93,411.31,399.88,409.07,1129200
2024-02-02,416.4,437.22,412.03,436.01,1959600
2024-02-05,437.99,454.59,427.36,436.89,2015100
2024-02-06,447,451.31,429.13,443.31,1545300
2024-02-07,447.5,463.2,440.265,457.39,1403300
2024-02-08,457.85,477.095,457.61,475.12,1267500
2024-02-09,486.72,507.25,481.86,500.9,2181400
2024-02-12,500.01,509.62,487.07,487.99,1364300
2024-02-13,463,480,451,472.13,1766700
2024-02-14,481.58,486.775,473.21,486.51,825900
2024-02-15,488,488,474.08,474.21,858400
2024-02-16,471.29,477,464.55,465.06,832100
2024-02-20,457.13,459.78,433.65,444.81,1183900
2024-02-21,432.37,437.73,423.22,427.49,991700
2024-02-22,443.94,450.47,435.78,449.98,1233900
2024-02-23,452.75,459.699,447.68,451.52,801300
2024-02-26,454.81,459.27,450.77,450.8,635800
2024-02-27,454.15,458.8,445.8,449.95,580700
2024-02-28,444.04,448.555,440.27,443.45,917200
2024-02-29,437,447.936,433.54,447.58,1542400
2024-03-01,449.12,449.12,430.835,436.84,1444400
2024-03-04,437.08,443.09,427.29,439,1006700
2024-03-05,428.28,428.905,398,405,2476400
2024-03-06,420.25,424,407.07,409.5,1417600
2024-03-07,406.23,413.87,397.07,412.01,3660400
2024-03-08,383.45,411.5,378,383.42,6256700
2024-03-11,379.62,382.95,363.96,366.99,2334700
