Date,Open,High,Low,Close,Volume
2015-01-02,72.26,72.27,70.26,70.35,130600
2015-01-05,70.03,70.24,68.83,68.99,218000
2015-01-06,69.37,69.5,67.39,67.66,173700
2015-01-07,68.29,68.41,66.18,68.27,275900
2015-01-08,68.95,71.84,68.06,71.7,157800
2015-01-09,71.54,72.45,70.85,71.51,147300
2015-01-12,71.7,72.19,70.61,70.99,168300
2015-01-13,71.69,73.26,71.54,72.61,330900
2015-01-14,71.77,73.15,71.51,72.96,143300
2015-01-15,72.95,73,70.38,70.6,139400
2015-01-16,70.2,72.47,70,72.41,138700
2015-01-20,72.62,73,71.37,72.16,137300
2015-01-21,71.73,72.79,71.05,71.55,124100
2015-01-22,72.17,75.09,71.16,74.44,249500
2015-01-23,74.57,75.2,73.85,74.02,112800
2015-01-26,74.07,74.57,72.82,74.36,112400
2015-01-27,73.27,74.63,73.27,74.15,108800
2015-01-28,76.1,78.49,72.83,73.26,164700
2015-01-29,73.61,76.49,73.61,75.95,261000
2015-01-30,75.25,77.3,75.07,75.97,205300
2015-02-02,76.12,76.85,74.72,75.08,330400
2015-02-03,75.42,76.45,74.17,75.95,181500
2015-02-04,75.39,78.43,74.95,77.98,128600
2015-02-05,78.44,80.7,78.41,80.41,165300
2015-02-06,80.41,82.43,80.41,81.68,232800
2015-02-09,81.63,82.16,79.95,80.07,162700
2015-02-10,80.72,81.47,79.93,80.52,169900
2015-02-11,80.62,81.52,80.44,80.92,107900
2015-02-12,81.5,82.41,80.92,81.88,127200
2015-02-13,81.89,82.85,81.15,81.22,136200
2015-02-17,81.04,81.22,79.53,79.74,184700
2015-02-18,79.35,81.7,79.35,80.52,398000
2015-02-19,80.12,81.82,79.47,79.56,137900
2015-02-20,79.61,79.74,77.46,78.97,178700
2015-02-23,78.95,80.07,78.1,80.07,154100
2015-02-24,80.25,81.32,79.63,80.1,108900
2015-02-25,80.26,80.57,79.19,79.83,86400
2015-02-26,79.53,81.2,79.33,80.93,108100
2015-02-27,80.54,80.94,79.54,79.59,130200
2015-03-02,79.72,81.59,79.72,80.86,123000
2015-03-03,80.46,81.16,78.88,80.27,106000
2015-03-04,79.89,84.84,79.39,83.79,248500
2015-03-05,84.21,86.11,83.52,86.01,218100
2015-03-06,85.19,86.59,83.77,84.21,120000
2015-03-09,84.33,85.47,84.21,85.27,173700
2015-03-10,84.16,85.21,83.64,84.56,95400
2015-03-11,84.44,85.93,84.44,85.71,281300
2015-03-12,86.72,87.8,85.23,86,248100
2015-03-13,86.08,86.8,84.32,85.5,157900
2015-03-16,86.11,86.84,85.85,86.03,129700
2015-03-17,86.05,86.83,85.65,86.67,192000
2015-03-18,86.74,86.98,85.3,86.9,120900
2015-03-19,86.38,87.45,86.03,87.31,116000
2015-03-20,87.8,88.93,86.72,88.8,286200
2015-03-23,87.02,88.36,86.26,86.93,184500
2015-03-24,86.58,87.16,85.75,85.81,162000
2015-03-25,86.39,86.39,82.89,83.09,155200
2015-03-26,83.11,84.37,81.94,83.49,185400
2015-03-27,83.29,84.06,82.61,83.98,231700
2015-03-30,84.62,86.98,84.38,86.47,145900
2015-03-31,86.25,86.25,82.81,82.9,230500
2015-04-01,82.54,84.4,82.04,82.87,296500
2015-04-02,82.98,84.64,82.77,84.52,286600
2015-04-06,84.36,86.54,83.49,85.43,211800
2015-04-07,85.72,87.13,85.67,86.01,230000
2015-04-08,85.77,87.54,85.29,87.5,177800
2015-04-09,87.23,87.63,86.42,87.27,236000
2015-04-10,87.75,88.08,87.03,88.07,103800
2015-04-13,88.4,88.71,87.6,88.15,251000
2015-04-14,88.55,90.17,88.45,89.3,263200
2015-04-15,89.76,89.85,88.34,88.57,381200
2015-04-16,88.67,89.91,88.18,89.79,219400
2015-04-17,88.8,89.97,86.94,87.31,191100
2015-04-20,88.12,89.11,87.58,88.72,119300
2015-04-21,89.38,90.01,88.21,90.01,195800
