Date,Open,High,Low,Close,Volume
2022-01-03,51.78,52.02,50.19,50.4,115400
2022-01-04,50.92,51.6,50.48,51.18,119200
2022-01-05,51.27,51.27,49.34,49.42,58200
2022-01-06,49.59,50.28,49.03,49.52,57100
2022-01-07,49.52,49.72,48.43,48.81,84800
2022-01-10,48.24,48.68,47.7,48.24,69800
2022-01-11,48.24,49.03,47.52,48.8,60000
2022-01-12,49.32,50.03,48.44,49.06,68200
2022-01-13,49.51,50.17,48.85,49.09,54300
2022-01-14,48.69,49.11,47.81,48.86,77100
2022-01-18,48.49,48.49,47.6,48.31,73700
2022-01-19,48.48,49.19,47.28,47.41,120100
2022-01-20,47.76,49.08,46.28,46.38,78600
2022-01-21,46.33,47.86,46.09,46.48,111900
2022-01-24,45.87,47.29,44.35,47.13,195500
2022-01-25,46.39,46.58,44.8,45.25,197500
2022-01-26,46.02,47.03,44.89,45.28,126100
2022-01-27,45.46,46.22,43.91,44.14,98400
2022-01-28,44.3,45.1,43.66,44.98,68100
2022-01-31,44.68,46.82,44.68,46.81,285000
2022-02-01,47.31,47.71,45.84,46.37,119300
2022-02-02,46.38,47.17,45.95,47.14,124600
2022-02-03,46.33,47.44,46.26,47.01,97200
2022-02-04,46.59,47.09,45.76,46.68,73000
2022-02-07,46.68,47.08,46.24,46.58,54000
2022-02-08,46.66,47.71,46.66,47.27,54000
2022-02-09,47.65,48.38,47.65,47.92,55000
2022-02-10,46.85,48.04,46.81,47.29,93100
2022-02-11,47.3,47.77,46.2,46.97,72200
2022-02-14,46.96,47.31,46.24,46.51,93500
2022-02-15,47.09,47.93,46.67,47.44,81500
2022-02-16,47.09,48.13,47.01,48.12,72500
2022-02-17,47.54,48.35,47,47.37,73700
2022-02-18,47.23,49.79,47.23,48.86,180900
2022-02-22,48.86,50.91,48.65,49.94,141000
2022-02-23,50.3,50.3,47.48,47.54,133600
2022-02-24,46.44,48.35,45.45,47.97,267700
2022-02-25,48.44,50.12,48.12,49.89,113600
2022-02-28,48.95,50,48.55,49.73,162700
2022-03-01,49.73,49.78,47.66,48.35,204100
2022-03-02,48.72,49.75,48.66,49.69,98900
2022-03-03,50.08,50.53,49.11,49.76,139400
2022-03-04,49.24,49.9,48.23,48.49,137700
2022-03-07,47.16,47.16,45.31,45.38,121500
2022-03-08,45.47,46.06,44.75,44.92,97700
2022-03-09,46.06,46.58,45.39,45.96,66900
2022-03-10,45.03,45.54,44.48,45.16,83700
2022-03-11,45.62,45.98,45.28,45.31,106800
2022-03-14,45.92,47.09,45.39,46.03,224300
2022-03-15,46.72,47.24,46.03,46.31,148200
2022-03-16,47.02,48.29,46.86,48.2,114300
2022-03-17,48.32,48.78,47.81,48.67,86200
2022-03-18,48.69,49.52,48.01,48.92,400600
2022-03-21,48.9,49.02,48.19,48.66,114000
2022-03-22,49.16,49.69,48.61,48.84,113800
2022-03-23,48.5,48.64,47.84,47.97,81100
2022-03-24,48.35,48.61,47.71,48.27,93400
2022-03-25,48.72,49.5,48.34,49.39,95600
2022-03-28,49.58,49.9,49.05,49.2,104800
2022-03-29,49.63,50.99,49.63,50.88,164700
2022-03-30,50.88,51.77,50.06,50.86,87300
2022-03-31,50.91,53.48,50.91,52.68,329800
2022-04-01,52.94,56.41,52.94,56.31,418600
2022-04-04,56.65,57.56,55.02,55.97,215500
2022-04-05,56.35,58.33,56.23,56.83,356600
2022-04-06,56.27,57.19,55.99,56.65,270200
2022-04-07,56.33,56.33,51.22,51.51,462800
2022-04-08,51.72,52.25,51.24,51.98,229400
2022-04-11,51.98,54.04,51.98,53.87,242300
2022-04-12,54.54,55.34,53.2,53.49,245200
2022-04-13,53.84,54.69,53.66,53.96,201600
2022-04-14,54,54.59,52.76,52.76,209100
2022-04-18,52.5,53.25,51.41,51.79,251300
2022-04-19,51.79,52.97,51.79,52.46,253500
2022-04-20,52.99,53.3,51.89,52.25,228100
2022-04-21,52.81,52.96,51.44,51.56,345600
2022-04-22,51.21,51.26,47.58,47.72,430100
2022-04-25,47.21,47.33,46.25,46.86,329800
2022-04-26,46.78,46.78,45.29,45.53,357300
2022-04-27,45.71,46,44.94,45.34,320000
2022-04-28,45.9,46.31,45.14,46.09,228600
2022-04-29,45.66,46.18,44.49,44.79,221600
2022-05-02,44.7,45.79,43.72,44.81,319200
2022-05-03,45,46.07,44.25,45.65,201100
2022-05-04,45.75,46.15,44.51,45.91,164700
2022-05-05,45.29,45.66,43.17,43.61,219700
2022-05-06,43.51,44.4,42.14,42.76,201400
2022-05-09,42.27,42.34,41.08,41.33,210500
2022-05-10,41.71,42.36,40.32,41.13,391100
2022-05-11,41.13,41.73,39.49,39.49,255500
2022-05-12,39.48,40.78,39.38,40.6,264000
2022-05-13,41.02,42.39,40.66,41.69,268000
2022-05-16,41.85,42.3,40.9,41.42,146800
2022-05-17,42.11,42.35,41.51,41.84,162600
2022-05-18,41.1,41.4,38.88,39.19,258400
2022-05-19,39.04,40.58,38.84,40.2,246700
2022-05-20,40.76,41.33,39.87,40.96,461300
2022-05-23,41,41.48,40.77,41.31,205600
2022-05-24,41.23,41.5,39.34,40.45,158500
2022-05-25,40.06,41.26,40.06,40.89,204300
2022-05-26,41.39,41.65,41.1,41.4,101200
2022-05-27,41.38,42.14,41.38,41.99,102600
2022-05-31,41.5,42.15,40.99,41.88,308700
2022-06-01,41.89,41.89,40.09,40.18,150500
2022-06-02,40.38,41.13,39.99,40.97,148900
2022-06-03,40.65,40.65,39.49,39.93,117300
