Date,Open,High,Low,Close,Volume
1997-01-02,0.005534,0.005534,0.005534,0.005534,0
1997-01-03,0.006836,0.006836,0.005859,0.005859,364800
1997-01-06,0.005859,0.00651,0.005859,0.005859,384000
1997-01-07,0.005859,0.00651,0.005859,0.00651,1075200
1997-01-08,0.005859,0.005859,0.005859,0.005859,76800
1997-01-09,0.007161,0.007161,0.005859,0.005859,1958400
1997-01-10,0.005859,0.006348,0.005859,0.006348,1248000
1997-01-13,0.005859,0.005859,0.005859,0.005859,172800
1997-01-14,0.005859,0.005859,0.005859,0.005859,96000
1997-01-15,0.006185,0.006185,0.005859,0.005859,2688000
1997-01-16,0.005697,0.005697,0.005534,0.005534,153600
1997-01-17,0.005534,0.006022,0.005534,0.006022,6566400
1997-01-20,0.006022,0.006022,0.006022,0.006022,0
1997-01-21,0.006022,0.006022,0.005534,0.006022,2342400
1997-01-22,0.005534,0.006022,0.005534,0.005534,96000
1997-01-23,0.005534,0.005534,0.005534,0.005534,0
1997-01-24,0.005534,0.005534,0.005534,0.005534,192000
1997-01-27,0.005534,0.006022,0.005534,0.006022,787200
1997-01-28,0.006022,0.006022,0.005534,0.005859,499200
1997-01-29,0.006185,0.006185,0.006185,0.006185,384000
1997-01-30,0.006185,0.006185,0.006185,0.006185,0
1997-01-31,0.005534,0.005534,0.005534,0.005534,211200
1997-02-03,0.005534,0.005534,0.005534,0.005534,384000
1997-02-04,0.005534,0.005534,0.005534,0.005534,0
1997-02-05,0.006185,0.00651,0.005534,0.00651,3724800
1997-02-06,0.006104,0.006104,0.006104,0.006104,288000
1997-02-07,0.006104,0.006104,0.006104,0.006104,0
1997-02-10,0.005534,0.005534,0.005534,0.005534,172800
1997-02-11,0.005534,0.005534,0.005534,0.005534,0
1997-02-12,0.005534,0.006266,0.005534,0.005534,2112000
1997-02-13,0.005859,0.005859,0.005534,0.005534,499200
1997-02-14,0.006185,0.006185,0.005534,0.006185,8928000
1997-02-18,0.00651,0.00651,0.005859,0.005859,1152000
1997-02-19,0.005859,0.005859,0.005859,0.005859,249600
1997-02-20,0.005859,0.00651,0.005859,0.005859,1670400
1997-02-21,0.005859,0.005859,0.005859,0.005859,0
1997-02-24,0.005859,0.005859,0.005534,0.005859,3264000
1997-02-25,0.005859,0.006185,0.005859,0.005859,1248000
1997-02-26,0.006185,0.006185,0.005534,0.005859,441600
1997-02-27,0.005534,0.005534,0.005534,0.005534,384000
1997-02-28,0.006185,0.006185,0.006185,0.006185,38400
1997-03-03,0.005208,0.005371,0.005208,0.005208,2400000
1997-03-04,0.005208,0.005371,0.005208,0.005371,192000
1997-03-05,0.005371,0.005371,0.005371,0.005371,0
1997-03-06,0.005371,0.005371,0.005371,0.005371,4800000
1997-03-07,0.005208,0.005859,0.005208,0.005208,2592000
1997-03-10,0.005859,0.005859,0.005208,0.005208,2380800
1997-03-11,0.005371,0.005534,0.005371,0.005534,2707200
1997-03-12,0.005371,0.005371,0.005208,0.005208,7104000
1997-03-13,0.005208,0.005208,0.005208,0.005208,0
1997-03-14,0.005208,0.005534,0.005208,0.005534,211200
1997-03-17,0.005534,0.005534,0.005208,0.005208,249600
1997-03-18,0.005208,0.005859,0.005208,0.005859,1113600
1997-03-19,0.005859,0.005859,0.005859,0.005859,96000
1997-03-20,0.005208,0.005208,0.005208,0.005208,7872000
1997-03-21,0.005208,0.005534,0.005208,0.005534,3820800
1997-03-24,0.005534,0.005534,0.005534,0.005534,0
1997-03-25,0.005208,0.005208,0.005208,0.005208,192000
1997-03-26,0.005534,0.005534,0.005534,0.005534,153600
1997-03-27,0.005208,0.005208,0.005208,0.005208,192000
1997-03-31,0.005208,0.005534,0.005208,0.005208,4800000
1997-04-01,0.005208,0.005208,0.005208,0.005208,0
1997-04-02,0.005208,0.005859,0.005208,0.005859,5049600
1997-04-03,0.005208,0.005859,0.005208,0.005859,115200
1997-04-04,0.005208,0.005859,0.005208,0.005859,710400
1997-04-07,0.005208,0.005534,0.005208,0.005208,9888000
1997-04-08,0.005208,0.005208,0.005208,0.005208,0
1997-04-09,0.005859,0.005859,0.005208,0.005534,652800
1997-04-10,0.005208,0.005859,0.005208,0.005859,4896000
1997-04-11,0.005208,0.005859,0.005208,0.005859,902400
1997-04-14,0.005859,0.005859,0.005859,0.005859,192000
1997-04-15,0.005208,0.005534,0.005208,0.005534,806400
1997-04-16,0.005534,0.005534,0.005534,0.005534,0
1997-04-17,0.005534,0.005534,0.005534,0.005534,0
1997-04-18,0.005208,0.005208,0.005208,0.005208,1785600
1997-04-21,0.005534,0.005534,0.005046,0.005046,7468800
1997-04-22,0.005208,0.005208,0.005046,0.005208,1996800
1997-04-23,0.005208,0.005371,0.005208,0.005208,7641600
1997-04-24,0.005534,0.006348,0.005534,0.005697,7276800
1997-04-25,0.005697,0.006185,0.005534,0.005534,2956800
1997-04-28,0.005371,0.005859,0.005371,0.005859,4512000
1997-04-29,0.006185,0.006185,0.005534,0.005534,403200
1997-04-30,0.005534,0.00651,0.005534,0.006348,3456000
1997-05-01,0.005859,0.005859,0.005859,0.005859,2265600
1997-05-02,0.00651,0.00651,0.00651,0.00651,96000
1997-05-05,0.005859,0.005859,0.005859,0.005859,384000
1997-05-06,0.005534,0.00651,0.005534,0.005697,3244800
1997-05-07,0.006185,0.006185,0.006185,0.006185,384000
1997-05-08,0.005697,0.005697,0.005697,0.005697,192000
1997-05-09,0.006185,0.006185,0.006185,0.006185,576000
1997-05-12,0.005697,0.006185,0.005697,0.006022,7104000
1997-05-13,0.005697,0.005697,0.005697,0.005697,480000
1997-05-14,0.006022,0.006836,0.006022,0.006836,2208000
1997-05-15,0.006185,0.006836,0.006185,0.006836,7084800
1997-05-16,0.006836,0.006836,0.006836,0.006836,192000
1997-05-19,0.006185,0.00651,0.006185,0.006185,806400
1997-05-20,0.006185,0.006836,0.006185,0.006836,672000
1997-05-21,0.006185,0.006185,0.006185,0.006185,384000
1997-05-22,0.006185,0.006836,0.006185,0.006185,556800
1997-05-23,0.006185,0.006836,0.006185,0.006185,2745600
1997-05-27,0.006022,0.006022,0.006022,0.006022,403200
1997-05-28,0.00651,0.00651,0.00651,0.00651,441600
1997-05-29,0.006022,0.006022,0.006022,0.006022,230400
1997-05-30,0.006022,0.006022,0.005859,0.005859,729600
1997-06-02,0.005859,0.005859,0.005859,0.005859,384000
1997-06-03,0.005859,0.00651,0.005859,0.005859,940800
1997-06-04,0.005697,0.005859,0.005534,0.005534,2937600
1997-06-05,0.005859,0.005859,0.005859,0.005859,3091200
1997-06-06,0.005534,0.005859,0.005534,0.005859,8678400
1997-06-09,0.005534,0.006185,0.005534,0.006185,8524800
1997-06-10,0.006185,0.006185,0.005859,0.006185,19276800
1997-06-11,0.006022,0.007487,0.006022,0.00651,12422400
1997-06-12,0.006836,0.006836,0.00651,0.00651,480000
1997-06-13,0.007161,0.007161,0.00651,0.007161,345600
1997-06-16,0.007161,0.007161,0.00651,0.00651,6028800
1997-06-17,0.006592,0.007161,0.00651,0.00651,1612800
1997-06-18,0.007161,0.007161,0.006185,0.006185,6336000
1997-06-19,0.006185,0.006836,0.006185,0.006185,748800
1997-06-20,0.006185,0.006185,0.006185,0.006185,288000
1997-06-23,0.006836,0.006836,0.006185,0.006185,1632000
1997-06-24,0.00651,0.00651,0.006022,0.006348,7065600
1997-06-25,0.006185,0.006348,0.006022,0.006022,3360000
1997-06-26,0.005859,0.006185,0.005859,0.006185,480000
1997-06-27,0.006185,0.006185,0.005859,0.005859,5088000
1997-06-30,0.006185,0.006185,0.006185,0.006185,38400
1997-07-01,0.006185,0.006185,0.006185,0.006185,0
1997-07-02,0.005859,0.005859,0.005534,0.005534,2688000
1997-07-03,0.005859,0.005859,0.005859,0.005859,441600
1997-07-07,0.005697,0.005697,0.005534,0.005534,1728000
1997-07-08,0.005534,0.005534,0.005371,0.005534,3840000
1997-07-09,0.005371,0.005697,0.005371,0.005371,1209600
1997-07-10,0.005371,0.005534,0.005371,0.005534,6048000
1997-07-11,0.005371,0.005697,0.005371,0.005697,787200
1997-07-14,0.005697,0.005697,0.005534,0.005534,134400
1997-07-15,0.005697,0.005697,0.005697,0.005697,3475200
1997-07-16,0.005697,0.005697,0.005697,0.005697,0
1997-07-17,0.005697,0.005697,0.005697,0.005697,0
1997-07-18,0.005859,0.006836,0.005859,0.006836,17644800
1997-07-21,0.00651,0.006999,0.00651,0.006673,5971200
1997-07-22,0.006999,0.006999,0.006673,0.006999,4454400
1997-07-23,0.006673,0.006836,0.006673,0.006673,3321600
1997-07-24,0.006836,0.006836,0.006673,0.006673,5088000
1997-07-25,0.007161,0.007487,0.006999,0.007487,14438400
1997-07-28,0.00765,0.00765,0.006836,0.007324,2227200
1997-07-29,0.007324,0.007324,0.006673,0.007324,1382400
1997-07-30,0.007324,0.007324,0.007324,0.007324,0
1997-07-31,0.007324,0.007324,0.007161,0.007161,1344000
1997-08-01,0.007161,0.007161,0.007161,0.007161,0
1997-08-04,0.006836,0.007324,0.006836,0.007161,4416000
1997-08-05,0.007324,0.007324,0.007161,0.007324,5107200
1997-08-06,0.007161,0.007324,0.007161,0.007324,384000
1997-08-07,0.007324,0.007324,0.007161,0.007324,4531200
1997-08-08,0.006999,0.007813,0.006999,0.007813,14112000
1997-08-11,0.007813,0.007813,0.007731,0.007813,3340800
1997-08-12,0.007487,0.008464,0.007487,0.007813,2515200
1997-08-13,0.008464,0.008464,0.007487,0.007813,10195200
1997-08-14,0.007487,0.008138,0.007161,0.00765,5817600
1997-08-15,0.007813,0.007813,0.007161,0.00765,2092800
1997-08-18,0.00765,0.00765,0.007487,0.007487,806400
1997-08-19,0.007161,0.007161,0.007161,0.007161,192000
1997-08-20,0.007161,0.007161,0.006836,0.006836,1881600
1997-08-21,0.007161,0.007161,0.006836,0.006836,633600
1997-08-22,0.007161,0.007161,0.007161,0.007161,1497600
1997-08-25,0.007161,0.007161,0.006836,0.006836,288000
1997-08-26,0.006836,0.006836,0.006836,0.006836,0
1997-08-27,0.007161,0.007161,0.007161,0.007161,748800
1997-08-28,0.007161,0.007161,0.007161,0.007161,0
1997-08-29,0.006836,0.007487,0.006836,0.007161,1766400
1997-09-02,0.007161,0.008138,0.007161,0.008138,4953600
1997-09-03,0.007813,0.00944,0.007813,0.00944,6854400
1997-09-04,0.008464,0.010091,0.008464,0.009277,10790400
1997-09-05,0.009766,0.009766,0.009115,0.009115,10214400
1997-09-08,0.009766,0.009766,0.009115,0.009115,15936000
1997-09-09,0.009115,0.009766,0.009115,0.009766,2323200
1997-09-10,0.009277,0.009766,0.009115,0.009115,4089600
1997-09-11,0.00944,0.00944,0.009115,0.00944,537600
1997-09-12,0.008789,0.00944,0.008789,0.009277,7910400
1997-09-15,0.008952,0.009115,0.008626,0.009115,4108800
1997-09-16,0.00944,0.00944,0.008952,0.008952,3513600
1997-09-17,0.00944,0.009766,0.00944,0.009766,3782400
1997-09-18,0.008789,0.008789,0.008789,0.008789,864000
1997-09-19,0.008789,0.009766,0.008789,0.008952,7142400
1997-09-22,0.009766,0.009766,0.009115,0.00944,13843200
1997-09-23,0.009766,0.009766,0.009277,0.009277,5260800
1997-09-24,0.009766,0.009766,0.008789,0.009766,2227200
1997-09-25,0.008789,0.008789,0.008789,0.008789,576000
1997-09-26,0.009766,0.009766,0.008789,0.009115,6278400
1997-09-29,0.009115,0.009766,0.008952,0.008952,1958400
1997-09-30,0.008626,0.009277,0.008626,0.009115,6720000
1997-10-01,0.00944,0.010417,0.009277,0.010254,9196800
1997-10-02,0.010417,0.010417,0.009115,0.009766,4147200
1997-10-03,0.010091,0.011068,0.009766,0.010579,19891200
1997-10-06,0.011068,0.01237,0.010417,0.011068,13132800
1997-10-07,0.01237,0.013997,0.010417,0.011068,50457600
1997-10-08,0.011719,0.011719,0.010091,0.010742,12307200
1997-10-09,0.010742,0.010742,0.00944,0.00944,6624000
1997-10-10,0.010091,0.010091,0.009766,0.009766,6604800
1997-10-13,0.010417,0.010742,0.009603,0.010742,5683200
1997-10-14,0.010417,0.011068,0.010254,0.010254,13094400
1997-10-15,0.009766,0.010579,0.009766,0.010091,12537600
1997-10-16,0.010742,0.011393,0.010417,0.010417,8006400
1997-10-17,0.010417,0.010579,0.010254,0.010579,6643200
1997-10-20,0.010254,0.010417,0.009928,0.010254,4992000
1997-10-21,0.010254,0.010254,0.009766,0.009766,1324800
1997-10-22,0.010417,0.010905,0.010417,0.010417,3801600
1997-10-23,0.010742,0.010742,0.009928,0.010417,8467200
1997-10-24,0.010579,0.010905,0.010417,0.010417,5740800
1997-10-27,0.010905,0.010905,0.009766,0.009766,9484800
1997-10-28,0.009115,0.010742,0.009115,0.009766,11097600
1997-10-29,0.010091,0.010091,0.009115,0.009115,10752000
1997-10-30,0.00944,0.00944,0.009115,0.009115,3072000
1997-10-31,0.009766,0.009766,0.009766,0.009766,192000
1997-11-03,0.009766,0.009766,0.009766,0.009766,2016000
1997-11-04,0.009928,0.009928,0.009115,0.009115,3763200
1997-11-05,0.009766,0.010254,0.009766,0.010254,10214400
1997-11-06,0.010417,0.010417,0.008464,0.009603,11558400
1997-11-07,0.00944,0.009603,0.009277,0.009603,4243200
1997-11-10,0.009603,0.011068,0.009603,0.011068,14419200
1997-11-11,0.011068,0.011068,0.010417,0.011068,1305600
1997-11-12,0.010417,0.010417,0.010091,0.010091,2073600
1997-11-13,0.010417,0.010417,0.010417,0.010417,4032000
1997-11-14,0.011068,0.011393,0.010254,0.011068,10732800
1997-11-17,0.011068,0.011719,0.010417,0.011393,9100800
1997-11-18,0.011068,0.011393,0.010417,0.011068,4723200
1997-11-19,0.011068,0.011393,0.011068,0.011393,4780800
1997-11-20,0.011393,0.011393,0.011068,0.011068,1440000
1997-11-21,0.011068,0.011393,0.010905,0.011393,3148800
1997-11-24,0.011393,0.011393,0.011068,0.011393,7622400
1997-11-25,0.011393,0.011393,0.011393,0.011393,2496000
1997-11-26,0.011556,0.011556,0.011068,0.011068,2304000
1997-11-28,0.011556,0.011556,0.011556,0.011556,576000
1997-12-01,0.011556,0.011556,0.01123,0.01123,2707200
1997-12-02,0.011556,0.011556,0.011068,0.01123,6662400
1997-12-03,0.011068,0.011556,0.011068,0.011068,1958400
1997-12-04,0.011068,0.01123,0.011068,0.01123,2112000
1997-12-05,0.011068,0.011393,0.011068,0.011393,1708800
1997-12-08,0.011068,0.011068,0.010254,0.010254,6086400
1997-12-09,0.010579,0.010579,0.010091,0.010254,2956800
1997-12-10,0.010254,0.010254,0.010091,0.010091,2419200
1997-12-11,0.009766,0.009766,0.009115,0.009115,3340800
