Date,Open,High,Low,Close,Volume
1996-01-02,30.1667,30.875,30.125,30.625,6413700
1996-01-03,30.7083,30.9583,30.4583,30.6667,5153400
1996-01-04,30.9167,31.125,30.2917,30.625,10272300
1996-01-05,30.3333,30.375,29.5417,29.9167,7449000
1996-01-08,29.9583,30.0833,29.9167,30,1794600
1996-01-09,30.25,30.4167,29.5833,29.75,6379200
1996-01-10,29.4167,29.5833,28.7917,29.125,7147800
1996-01-11,29.5,29.5,29.1667,29.2917,4768200
1996-01-12,29.4583,30.25,29.4167,30.0833,6399600
1996-01-15,30.0833,30.2917,30,30,3871800
1996-01-16,30,30.125,29.6667,30.125,4442400
1996-01-17,30.125,30.4167,30.0833,30.3333,5321400
1996-01-18,30.4167,30.5833,30.125,30.5417,4041000
1996-01-19,30.5417,31.375,30.5417,31.2917,8835600
1996-01-22,31.25,31.5417,31.1667,31.5,5757600
1996-01-23,31.3333,31.5833,31.125,31.1667,4397400
1996-01-24,31.2083,31.5,31.0417,31.4167,4540800
1996-01-25,31.5,31.5,30.75,30.875,3903900
1996-01-26,30.5833,30.9167,30.4167,30.9167,5396400
1996-01-29,30.7917,31,30.7917,31,4428000
1996-01-30,31.0417,31.6667,30.9167,31.6667,5662200
1996-01-31,31.6667,32.0417,30.8333,30.9167,10546800
1996-02-01,31.1667,31.4167,30.7083,31.125,7982400
1996-02-02,31.125,31.2917,30.9167,30.9167,4003500
1996-02-05,30.9583,31.7083,30.75,31.6667,5277300
1996-02-06,31.625,31.625,31.2083,31.4583,4751700
1996-02-07,31.5417,31.625,31.375,31.5833,4865100
1996-02-08,31.6667,32.125,31.5833,31.9583,7497000
1996-02-09,31.875,32.2917,31.75,32.2083,7005300
1996-02-12,32.25,32.9167,32.2083,32.7917,6814800
1996-02-13,32.6667,33.1667,32.3333,32.875,10135800
1996-02-14,32.875,33.125,32.625,32.625,5271000
1996-02-15,32.5417,32.5417,32.0417,32.125,5740200
1996-02-16,32,32.5417,31.9167,32.2083,5475600
1996-02-20,31.9167,32.1667,31.75,32,4762500
1996-02-21,32.0833,32.625,32.0833,32.625,4988700
1996-02-22,32.7083,33.2917,32.5,33.125,8287500
1996-02-23,33.25,33.5833,33.0417,33.375,8231400
1996-02-26,33.2083,33.8333,33.125,33.5,6270900
1996-02-27,33.625,33.625,32.8333,33.3333,5725200
1996-02-28,33.5833,33.9583,33.1667,33.2917,6345300
1996-02-29,33.2917,33.7083,33,33,5167800
1996-03-01,33.25,33.5,32.9167,33.3333,4547100
1996-03-04,33.4167,33.8333,33.2083,33.8333,4385100
1996-03-05,34.1667,34.7083,34.1667,34.6667,8670900
1996-03-06,34.5,34.875,34.4583,34.5417,5564700
1996-03-07,34.5833,34.8333,34.2917,34.8333,5133600
1996-03-08,34.3333,34.5417,33.25,33.25,7953600
1996-03-11,33.125,34.0417,33.125,34,6544500
1996-03-12,33.75,34.1667,33.2083,34.125,7254000
