Date,Open,High,Low,Close,Volume
2011-01-03,77.46,78.18,75.85,76.25,5621000
2011-01-04,75.59,75.8,73.4,75,7149600
2011-01-05,76.93,77.47,75.42,77.13,9796200
2011-01-06,77.56,78.68,76.97,77.62,7111300
2011-01-07,78.58,78.58,75.5,76.29,5969500
2011-01-10,76.28,76.32,74.76,75.58,3899600
2011-01-11,76.17,77.35,75.64,76.14,3616300
2011-01-12,77.99,79.97,76.79,79.81,7246100
2011-01-13,80.92,82.18,79.85,80.69,7216700
2011-01-14,81.86,83.31,80.7,82.97,6149900
2011-01-18,83.5,85.45,83.36,85.07,7578900
2011-01-19,82.22,82.22,75.74,76.15,24277500
2011-01-20,76.64,76.72,71.86,72.67,19891900
2011-01-21,74.63,75.52,73.02,73.2,9401100
2011-01-24,73.93,76.57,73.6,76.03,7443200
2011-01-25,76.47,76.7,73.14,75.71,7851400
2011-01-26,76.71,79.1,76.42,78.81,7607700
2011-01-27,80.05,81.08,78.12,78.67,8325900
2011-01-28,79.85,80.63,78.09,79.78,6824600
2011-01-31,80.79,81.16,79.07,81.04,5270600
2011-02-01,81.75,84.1,81.6,83.88,7021100
2011-02-02,84.04,84.47,82.26,83.21,6644200
2011-02-03,83.36,83.48,81.1,83.02,5549100
2011-02-04,83.23,83.47,81.41,82.53,5253500
2011-02-07,83.38,84.19,82.6,83.75,5637200
2011-02-08,83.79,84.45,82.18,84.05,5806400
2011-02-09,85.15,85.99,84,84.52,6265300
2011-02-10,83.88,86,83.15,85.92,4379500
2011-02-11,85.2,88.57,85.2,88.32,6024800
2011-02-14,87.58,89.24,87.32,89.06,5014400
2011-02-15,88.07,88.68,84.86,84.92,6965000
2011-02-16,86,86.4,85.01,86.27,4673000
2011-02-17,85.49,87,84.9,86.75,3993100
2011-02-18,86.92,86.92,82.88,83.02,6130800
2011-02-22,80.46,83.93,79.06,80.15,8404700
2011-02-23,80.33,81.5,75.4,81.31,11986000
2011-02-24,83.33,84.1,80.61,82.2,8344900
2011-02-25,83.09,85,83,84.93,5562900
2011-02-28,85.99,86.4,84.4,85.85,4751100
2011-03-01,86.07,86.67,83.76,84.96,6836900
2011-03-02,83.29,85.69,83.18,84.43,3813400
2011-03-03,85.56,86.32,84.6,86.1,4290700
2011-03-04,86.48,86.48,84.43,85.5,3409500
2011-03-07,85.03,86,82.07,82.72,4170600
2011-03-08,82.9,83.01,79.64,81.56,5625800
2011-03-09,79.29,81.23,78.43,78.84,5730800
2011-03-10,77.25,78.27,75.19,75.23,8433900
2011-03-11,73.52,77.5,73.03,76.28,6771800
2011-03-14,75.63,77.1,75.02,76.29,4070200
2011-03-15,73.78,76.92,73.06,76.3,6603200
2011-03-16,76.45,77.81,74.34,75.48,6574700
2011-03-17,76.91,77.84,76,76.92,4027700
2011-03-18,78.06,78.65,75.51,75.53,4184400
2011-03-21,76.83,77.24,75.63,77.24,3268300
2011-03-22,77.51,77.51,75.76,76.21,2974400
2011-03-23,76,77.64,75.16,77.27,2792700
2011-03-24,77.47,77.7,75.8,77.55,3701400
2011-03-25,78.04,80.85,77.94,78.82,5040300
2011-03-28,79.56,79.72,77.63,77.67,3218600
2011-03-29,77.87,78.94,76.66,78.85,2558400
2011-03-30,79.96,80.49,78.89,80.45,5134900
