Date,Open,High,Low,Close,Volume
2004-11-19,9.06,9.93,8.5,9.84,3906200
2004-11-22,9.9,11,9.51,9.62,728000
2004-11-23,9.5,9.75,8.76,9.38,505800
2004-11-24,9.5,10,9.5,9.78,319500
2004-11-26,9.3,9.95,9.25,9.8,65600
2004-11-29,10,10.1,9.46,9.8,130700
2004-11-30,9.8,9.99,9.31,9.88,194900
2004-12-01,9.5,10.22,9.5,9.99,209800
2004-12-02,10.03,11,9.97,10.85,337400
2004-12-03,10.99,11.35,10.58,11.14,288100
2004-12-06,11.39,11.68,11,11.13,192600
2004-12-07,11.38,11.38,10.64,10.91,195900
2004-12-08,10.96,11.2,10.51,10.9,78500
2004-12-09,10.8,10.96,10.53,10.81,40900
2004-12-10,10.71,10.71,10.15,10.41,86100
2004-12-13,10.1,10.97,9.88,10.33,77500
2004-12-14,10.85,10.85,10.1,10.23,29800
2004-12-15,10,10.45,9.9,10.05,191400
2004-12-16,9.85,10.18,9.85,10.01,108800
2004-12-17,9.9,10.15,9.32,9.5,418100
2004-12-20,9.9,9.9,9.04,9.3,173700
2004-12-21,9,9.76,9,9.47,81400
2004-12-22,9.37,9.69,9,9.61,50000
2004-12-23,9.6,9.9,9.59,9.77,29900
2004-12-27,9.72,9.79,9.46,9.72,72000
2004-12-28,9.63,9.73,9.22,9.5,58200
2004-12-29,9.4,9.65,9.4,9.5,80100
2004-12-30,9.33,9.61,9.3,9.39,33300
2004-12-31,9.39,9.55,9.25,9.3,53000
