Date,Open,High,Low,Close,Volume
2015-01-02,54.5992,55.1431,54.4179,54.5706,7415962
2015-01-05,55.5439,55.8015,54.9332,55.3817,16727338
2015-01-06,55.6107,57.729,55.5821,57.5573,25453510
2015-01-07,57.6718,58.7977,57.5954,58.7882,19528956
2015-01-08,59.1603,60.0573,59.0172,59.9714,20038808
2015-01-09,59.9332,60.2385,59.3225,59.6947,13245358
2015-01-12,60.2099,60.5916,59.2557,59.4466,12124312
2015-01-13,60.0286,60.7061,58.9027,59.3416,10516890
2015-01-14,58.8931,60.0286,58.6641,59.771,10331289
2015-01-15,59.9141,60.105,58.9981,59.0458,10023701
2015-01-16,59.0267,60.2672,58.7118,60.1431,11917018
2015-01-20,59.8378,60.4008,59.0458,59.7424,13734983
2015-01-21,59.5611,59.9046,59.2366,59.313,9517307
2015-01-22,59.4084,59.8378,58.7118,59.7233,8902131
2015-01-23,59.5992,60.1145,59.5515,59.6279,6528097
2015-01-26,59.7137,60.0954,59.2748,59.9427,7036901
2015-01-27,60,60.1336,59.2844,59.6947,8347425
2015-01-28,59.9427,60.0763,58.5115,58.6355,9293769
2015-01-29,58.7214,59.3034,57.9771,59.2462,9527682
2015-01-30,58.7118,59.0935,57.2805,57.5191,12667071
2015-02-02,57.729,58.1393,57.042,58.0916,9711502
2015-02-03,58.1011,58.2634,57.1947,58.2252,12028420
2015-02-04,57.2233,57.2519,55.6679,56.3454,20380142
2015-02-05,56.5553,56.6317,55.8302,56.4599,13268099
2015-02-06,56.3931,57.0324,55.8969,56.0973,10338310
2015-02-09,55.9637,56.2977,55.2767,55.6584,10494777
2015-02-10,56.2977,56.6221,56.0782,56.1546,9997291
2015-02-11,56.0687,56.2595,55.7252,56.0496,10987127
2015-02-12,56.2977,56.4027,55.9065,56.1832,7553670
2015-02-13,56.2023,56.2405,55.9256,56.1164,8278466
2015-02-17,56.0496,56.2691,56.0115,56.0973,10676290
2015-02-18,55.9828,56.3073,55.563,56.1069,11039842
2015-02-19,56.1546,56.2882,55.1622,55.6298,10308338
2015-02-20,55.4866,55.8015,55.0859,55.6775,12161830
2015-02-23,55.7156,55.9828,55.5057,55.6298,9002215
2015-02-24,55.8111,55.8874,55.3912,55.687,8084377
2015-02-25,55.7824,56.2691,55.4008,55.8111,8861050
