Date,Open,High,Low,Close,Volume
2021-01-04,116.43,116.81,112.62,113.51,1671400
2021-01-05,113.93,114,112.11,112.72,1137900
2021-01-06,112.95,114.49,111.89,113.5,2122600
2021-01-07,113.45,114.06,112.42,113.34,2612300
2021-01-08,111.83,114.3,111.83,113.48,2439400
2021-01-11,113.82,113.82,111.9,112.59,1998900
2021-01-12,112.47,114.11,111.97,113,2027600
2021-01-13,112.6,113.78,112.02,113.48,1498700
2021-01-14,113.69,113.9,111.88,111.99,1358300
2021-01-15,111.53,112.76,111.06,111.84,2533300
2021-01-19,112.12,113.09,111.56,112.22,1656300
2021-01-20,112.19,113.93,111.54,113.44,1704000
2021-01-21,113.12,113.44,111.81,111.83,1249100
2021-01-22,111.59,112.24,110.71,111.52,1490400
2021-01-25,111.52,112.91,110.79,112.03,1223100
2021-01-26,112.12,112.41,110.97,111.26,1140700
2021-01-27,110.44,110.59,106.95,107.6,2370600
2021-01-28,108.6,110.87,107.6,108.83,2144300
2021-01-29,107.74,110.48,107.29,109.91,2488400
2021-02-01,110.73,112.62,109.97,109.99,2278400
2021-02-02,110.79,113.35,110.75,112.9,2110400
2021-02-03,112.52,112.79,110.99,111.14,1631800
2021-02-04,111.58,112.06,110.65,111.7,1590600
2021-02-05,112.44,113.98,112.07,113.6,1638800
2021-02-08,113.42,114.1,112.83,113.87,1346300
2021-02-09,113.76,114.22,112.87,113.85,1271500
2021-02-10,114.58,114.67,112.51,112.73,1331800
2021-02-11,113.34,113.56,112.59,112.8,1104900
2021-02-12,112.78,113.18,111.77,112.8,1339100
2021-02-16,112.8,114.5,112.72,114.5,2340800
2021-02-17,114.86,118.02,114.54,117.68,2558900
2021-02-18,117.51,118.31,116.82,117.73,2422800
2021-02-19,118.36,118.43,116.63,117.07,1445500
2021-02-22,116.96,118.42,116.62,118.39,1758900
2021-02-23,119.31,119.85,117.8,118.33,1342100
2021-02-24,118.15,119.93,118.05,119.02,1536800
2021-02-25,119.2,119.9,117.91,118.23,1419200
2021-02-26,118.58,118.58,115.08,115.22,1845700
2021-03-01,115.62,118.25,115.62,117.46,1330300
2021-03-02,117.01,117.46,115.42,115.96,1757000
2021-03-03,115.59,116.24,114.97,115.03,2388100
2021-03-04,115.28,116.45,112.98,113.21,2210300
2021-03-05,114.17,117.11,113.38,117.01,2015500
2021-03-08,117.41,119.12,117.17,117.35,1840700
2021-03-09,117.07,119.2,116.69,116.81,2038700
2021-03-10,117.06,117.73,116.38,117.35,1449200
2021-03-11,116.6,118.57,115.96,118.2,3677400
2021-03-12,118.7,118.71,117.16,117.89,1441900
2021-03-15,117.77,118.93,117.17,118.86,1358800
2021-03-16,118.5,119.61,118.45,118.78,1368700
2021-03-17,119.43,119.83,118.3,119.16,1702200
2021-03-18,119.22,119.61,118.05,119.32,2267600
2021-03-19,119.42,119.44,116.7,116.88,4104300
2021-03-22,116.97,117.88,116.55,117.28,2146300
2021-03-23,117.52,117.98,116.63,116.93,1581400
2021-03-24,116.64,118.75,116.48,118,1493400
