Date,Open,High,Low,Close,Volume
2012-01-03,26.55,26.96,26.39,26.77,64731500
2012-01-04,26.82,27.47,26.78,27.4,80516100
2012-01-05,27.38,27.73,27.29,27.68,56081400
2012-01-06,27.53,28.19,27.53,28.11,99455500
2012-01-09,28.05,28.1,27.72,27.74,59706800
2012-01-10,27.93,28.15,27.75,27.84,60014400
2012-01-11,27.43,27.98,27.37,27.72,65582400
2012-01-12,27.87,28.02,27.65,28,49370800
2012-01-13,27.93,28.25,27.79,28.25,60196100
2012-01-17,28.4,28.65,28.17,28.26,72395300
2012-01-18,28.31,28.4,27.97,28.23,64860600
2012-01-19,28.16,28.44,28.03,28.12,74053500
2012-01-20,28.82,29.74,28.75,29.71,165902900
2012-01-23,29.55,29.95,29.35,29.73,76078100
2012-01-24,29.47,29.57,29.18,29.34,51703300
2012-01-25,29.07,29.65,29.07,29.56,59231700
2012-01-26,29.61,29.7,29.4,29.5,49102800
2012-01-27,29.45,29.53,29.17,29.23,44187700
2012-01-30,28.97,29.62,28.83,29.61,51114800
2012-01-31,29.66,29.7,29.23,29.53,50572400
2012-02-01,29.79,30.05,29.76,29.89,67409900
2012-02-02,29.9,30.17,29.71,29.95,52223300
2012-02-03,30.14,30.4,30.09,30.24,41838500
2012-02-06,30.04,30.22,29.97,30.2,28039700
2012-02-07,30.15,30.49,30.05,30.35,39242400
2012-02-08,30.26,30.67,30.22,30.66,49659100
2012-02-09,30.68,30.8,30.48,30.77,50481600
2012-02-10,30.64,30.8,30.36,30.5,44605300
2012-02-13,30.63,30.77,30.43,30.58,33319800
2012-02-14,30.33,30.46,29.85,30.25,59644000
2012-02-15,30.33,30.39,30.03,30.05,43311300
2012-02-16,30.31,31.55,30.3,31.29,94705100
2012-02-17,31.2,31.32,30.95,31.25,70036500
2012-02-21,31.18,31.61,31.15,31.44,50829900
2012-02-22,31.45,31.68,31.18,31.27,49253200
2012-02-23,31.2,31.59,31,31.37,35034700
2012-02-24,31.48,31.5,31.24,31.48,35575400
2012-02-27,31.24,31.5,31.1,31.35,34568400
2012-02-28,31.41,31.93,31.38,31.87,45230600
2012-02-29,31.89,32,31.61,31.74,59323600
2012-03-01,31.93,32.39,31.85,32.29,77344100
2012-03-02,32.31,32.44,32,32.08,47314200
2012-03-05,32.01,32.05,31.62,31.8,45240000
2012-03-06,31.54,31.98,31.49,31.56,51932900
2012-03-07,31.67,31.92,31.53,31.84,34340400
2012-03-08,32.04,32.21,31.9,32.01,36747400
2012-03-09,32.1,32.16,31.92,31.99,34628400
2012-03-12,31.97,32.2,31.82,32.04,34073600
2012-03-13,32.24,32.69,32.15,32.67,48951700
2012-03-14,32.53,32.88,32.49,32.77,41986900
2012-03-15,32.79,32.94,32.58,32.85,49068300
2012-03-16,32.91,32.95,32.5,32.6,65626400
2012-03-19,32.54,32.61,32.15,32.2,44789200
2012-03-20,32.1,32.15,31.74,31.99,41566800
2012-03-21,31.96,32.15,31.82,31.91,37928600
2012-03-22,31.81,32.09,31.79,32,31749500
2012-03-23,32.1,32.11,31.72,32.01,35912200
2012-03-26,32.19,32.61,32.15,32.59,36758300
2012-03-27,32.65,32.7,32.4,32.52,36274900
2012-03-28,32.52,32.7,32.04,32.19,41344800
2012-03-29,32.06,32.19,31.81,32.12,37038500
2012-03-30,32.4,32.41,32.04,32.26,31749400
2012-04-02,32.22,32.46,31.95,32.29,35853600
2012-04-03,32.16,32.19,31.66,31.94,42752100
2012-04-04,31.66,31.69,31.05,31.21,49455900
2012-04-05,31.15,31.63,31.05,31.52,50368600
2012-04-09,31.22,31.4,30.97,31.1,31056400
2012-04-10,31.06,31.19,30.3,30.47,54131300
2012-04-11,30.43,30.53,30.23,30.35,43014000
2012-04-12,30.48,31.04,30.42,30.98,38304000
2012-04-13,30.89,31.16,30.72,30.81,39749200
2012-04-16,30.99,31.19,30.77,31.08,38124800
2012-04-17,31.27,31.61,31.2,31.44,34361500
2012-04-18,31.28,31.31,31.04,31.14,40552900
2012-04-19,31.13,31.68,30.94,31.01,54781200
2012-04-20,32.15,32.89,32.05,32.42,106045000
2012-04-23,32.31,32.5,32.03,32.12,61398200
2012-04-24,32.21,32.52,31.83,31.92,40871100
2012-04-25,31.92,32.32,31.87,32.2,62495500
2012-04-26,32.12,32.23,31.92,32.11,40308100
2012-04-27,32.12,32.22,31.88,31.98,41419100
2012-04-30,31.98,32.11,31.92,32.02,35697200
2012-05-01,32.05,32.34,31.95,32.01,43832300
2012-05-02,31.85,31.93,31.64,31.8,37385300
2012-05-03,31.88,31.9,31.61,31.76,31501300
2012-05-04,31.45,31.57,30.92,30.98,57927200
2012-05-07,30.7,30.86,30.57,30.65,48641400
2012-05-08,30.48,30.78,30.17,30.5,46328300
2012-05-09,30.19,30.83,30.1,30.76,50309300
2012-05-10,30.86,31.02,30.45,30.74,43839200
2012-05-11,30.69,31.54,30.69,31.16,43459300
2012-05-14,30.82,31.04,30.64,30.68,40528900
2012-05-15,30.64,30.8,30.15,30.21,61822800
2012-05-16,30.31,30.32,29.74,29.9,60083700
2012-05-17,29.99,30.21,29.71,29.72,48484000
2012-05-18,29.79,29.81,29.17,29.27,56205300
2012-05-21,29.1,29.79,29.06,29.75,38787900
2012-05-22,29.69,29.88,29.5,29.76,39504900
2012-05-23,29.35,29.4,28.64,29.11,65171000
2012-05-24,29.16,29.3,28.76,29.07,52575000
2012-05-25,29.2,29.36,29.01,29.06,29507200
2012-05-29,29.38,29.72,29.22,29.56,37758800
2012-05-30,29.35,29.48,29.12,29.34,41585500
2012-05-31,29.3,29.42,28.94,29.19,39134000
2012-06-01,28.76,28.96,28.44,28.45,56634300
2012-06-04,28.62,28.78,28.32,28.55,47926300
2012-06-05,28.51,28.75,28.39,28.51,45715400
2012-06-06,28.88,29.37,28.81,29.35,46860500
2012-06-07,29.64,29.7,29.17,29.23,37792800
2012-06-08,29.21,29.68,29.05,29.65,42551100
2012-06-11,29.73,29.81,28.82,28.9,46361900
2012-06-12,29.1,29.3,28.84,29.29,35337900
2012-06-13,29.22,29.44,29.05,29.13,32984600
2012-06-14,29.33,29.46,28.88,29.34,39458900
2012-06-15,29.59,30.08,29.49,30.02,62314400
2012-06-18,29.99,30.03,29.71,29.84,58679900
2012-06-19,30.19,31.11,30.05,30.7,75725800
2012-06-20,30.93,31.05,30.64,30.93,36257100
2012-06-21,30.96,31.14,30.06,30.14,48456600
2012-06-22,30.3,30.73,30.03,30.7,45098100
2012-06-25,30.3,30.32,29.62,29.87,42217200
2012-06-26,30,30.27,29.94,30.02,38421300
2012-06-27,30.19,30.5,30.03,30.17,33781700
2012-06-28,29.98,30.05,29.42,29.91,45328400
2012-06-29,30.45,30.69,30.14,30.59,55227200
2012-07-02,30.62,30.62,30.21,30.56,30589100
2012-07-03,30.23,30.76,30.17,30.76,20938100
2012-07-05,30.59,30.78,30.38,30.7,28801900
2012-07-06,30.61,30.7,29.95,30.19,38294800
2012-07-09,30.12,30.23,29.78,30,30680800
2012-07-10,30.08,30.22,29.51,29.74,37534100
2012-07-11,29.71,29.74,29.11,29.3,39184900
2012-07-12,29.15,29.18,28.54,28.63,63523600
2012-07-13,28.76,29.48,28.72,29.39,39085000
2012-07-16,29.48,29.53,29.04,29.44,27900600
2012-07-17,29.64,29.86,29.2,29.66,33771300
2012-07-18,29.6,30.45,29.46,30.45,41090400
2012-07-19,30.51,30.8,30.38,30.67,46663200
2012-07-20,31,31.05,30.05,30.12,64021700
2012-07-23,29.57,29.58,29.01,29.28,55151900
2012-07-24,29.24,29.36,28.9,29.15,47723300
2012-07-25,29.24,29.33,28.78,28.83,45579500
2012-07-26,29.23,29.5,29.09,29.16,45301400
2012-07-27,29.48,29.85,29.18,29.76,44242600
2012-07-30,29.75,29.82,29.46,29.64,28905000
2012-07-31,29.48,29.71,29.33,29.47,37620900
2012-08-01,29.59,29.65,29.21,29.41,31721800
2012-08-02,29.21,29.53,28.97,29.19,39520500
2012-08-03,29.53,29.94,29.48,29.75,35859400
2012-08-06,30,30.11,29.81,29.95,27471800
2012-08-07,30.07,30.35,29.87,30.26,28002900
2012-08-08,30.21,30.47,30.11,30.33,26257600
2012-08-09,30.39,30.65,30.3,30.5,24920800
2012-08-10,30.5,30.62,30.25,30.42,27810300
2012-08-13,30.35,30.46,30.16,30.39,23049100
2012-08-14,30.3,30.39,30.01,30.13,34551400
2012-08-15,30.11,30.28,30.02,30.2,24351000
2012-08-16,30.36,30.94,30.26,30.78,35787200
2012-08-17,30.92,30.92,30.59,30.9,32589900
2012-08-20,30.82,30.85,30.58,30.74,23737700
2012-08-21,30.76,30.96,30.61,30.8,28822700
2012-08-22,30.59,30.76,30.47,30.54,33437400
2012-08-23,30.39,30.4,30.08,30.26,28355600
2012-08-24,30.25,30.63,30.18,30.56,22943300
2012-08-27,30.93,30.96,30.59,30.69,34691100
2012-08-28,30.7,30.8,30.52,30.63,23947900
2012-08-29,30.65,30.75,30.44,30.65,23346800
2012-08-30,30.53,30.61,30.22,30.32,23982100
2012-08-31,30.6,30.96,30.38,30.82,36590100
2012-09-04,30.45,30.66,30.15,30.39,48556700
2012-09-05,30.22,30.53,30.21,30.39,33650000
2012-09-06,30.5,31.36,30.46,31.35,48371700
2012-09-07,31.04,31.07,30.73,30.95,42649100
2012-09-10,30.83,30.9,30.51,30.72,40524000
2012-09-11,30.69,30.91,30.61,30.79,25191800
2012-09-12,30.94,31.18,30.73,30.78,32775800
2012-09-13,30.89,31.18,30.4,30.94,45047300
2012-09-14,31.01,31.25,30.81,31.21,51422800
2012-09-17,31.19,31.26,31.04,31.21,36488500
2012-09-18,31.1,31.21,31.03,31.18,34542700
2012-09-19,31.09,31.19,31.04,31.05,48871900
2012-09-20,30.95,31.48,30.91,31.45,45543000
2012-09-21,31.43,31.61,31.09,31.19,102348900
2012-09-24,31,31.07,30.64,30.78,46825900
2012-09-25,30.95,31,30.36,30.39,54266400
2012-09-26,30.28,30.6,30.04,30.17,54672000
2012-09-27,30.17,30.4,29.89,30.16,47129900
2012-09-28,30.18,30.26,29.74,29.76,54229300
2012-10-01,29.81,29.98,29.42,29.49,54042700
2012-10-02,29.68,29.89,29.5,29.66,43338900
2012-10-03,29.75,29.99,29.67,29.86,46655900
2012-10-04,29.97,30.03,29.57,30.03,43634900
2012-10-05,30.23,30.25,29.74,29.85,41133900
2012-10-08,29.64,29.92,29.55,29.78,29752000
2012-10-09,29.68,29.74,29.18,29.28,45121100
2012-10-10,29.15,29.31,28.95,28.98,47227100
2012-10-11,29.22,29.25,28.87,28.95,41488500
