Date,Open,High,Low,Close,Volume
2004-01-02,51.557,52.6424,51.34,52.4615,6585255
2004-01-05,53.547,54.8494,53.2213,54.4515,5038146
2004-01-06,54.2706,54.6324,53.5831,54.3429,3697060
2004-01-07,54.3067,55.6092,54.0535,54.4876,5523989
2004-01-08,56.0072,56.9841,55.7178,56.9117,5217138
2004-01-09,56.1881,57.5268,55.8625,56.8394,3722294
2004-01-12,57.4544,58.8293,57.3459,58.6122,5433360
2004-01-13,60.8554,60.9639,58.6122,59.0464,8314839
2004-01-14,59.3358,59.5529,58.2866,59.1549,5042264
2004-01-15,58.974,59.1549,57.5268,59.0102,3352536
2004-01-16,59.0102,61.6875,59.0102,61.3257,5654723
2004-01-20,61.5066,62.9539,61.1448,61.6875,7605117
2004-01-21,61.4343,61.6875,59.4082,60.8192,7590883
2004-01-22,61.8323,61.8323,60.385,60.4574,4540887
2004-01-23,60.4574,61.5066,60.4212,60.6745,3796340
2004-01-26,60.4212,62.592,59.5529,62.3388,3841475
2004-01-27,61.9408,63.3157,61.6514,62.1941,3604744
2004-01-28,62.9539,63.2071,61.0001,61.1448,4056702
2004-01-29,61.6875,61.6875,60.0594,60.5659,4273090
2004-01-30,60.5659,61.1448,59.9871,59.9871,3903083
2004-02-02,60.168,60.4574,59.372,59.5167,3196457
2004-02-03,58.974,60.0232,58.4313,59.6253,3195600
2004-02-04,59.0464,59.4082,57.6353,57.961,3519062
2004-02-05,58.2504,59.372,58.178,58.7931,2394724
2004-02-06,59.0102,61.7237,59.0102,61.2896,3609194
2004-02-09,61.5066,61.579,60.2765,60.783,1903380
2004-02-10,60.5298,61.7961,60.4212,61.2534,1970184
2004-02-11,63.3157,64.9438,62.5559,64.5458,4793731
2004-02-12,63.8584,64.2202,61.5428,63.388,2732448
2004-02-13,63.3518,64.0031,61.5066,62.3026,2532340
2004-02-17,63.4604,63.4604,61.7237,62.0493,4044292
2004-02-18,62.0493,62.4111,61.3981,61.6875,2551190
2004-02-19,62.9539,63.786,62.4473,62.99,5975975
2004-02-20,62.8091,64.4372,62.592,63.9307,5649914
2004-02-23,64.8352,65.3418,61.3257,61.7961,5802151
2004-02-24,60.5298,62.1579,60.0232,61.1448,4342935
2004-02-25,61.7961,63.6775,61.6875,63.3157,4877423
2004-02-26,63.2795,65.7759,62.8091,65.4503,4829414
2004-02-27,65.1247,67.6573,64.582,66.7528,5562491
2004-03-01,66.6442,68.3809,66.3186,68.2362,3932242
2004-03-02,67.6573,68.0191,66.2824,66.4272,4338125
2004-03-03,66.4272,66.9337,65.5588,66.3548,2827776
2004-03-04,66.391,66.9337,65.8483,66.4272,2695439
2004-03-05,65.595,66.8975,65.3056,65.4141,3260580
2004-03-08,65.4141,65.7759,63.7136,63.8945,3511075
2004-03-09,66.789,66.789,62.7729,63.2795,3556320
2004-03-10,63.6775,63.8222,60.8192,61.2896,3982767
2004-03-11,59.8785,61.6152,59.6976,60.2403,4668028
2004-03-12,60.783,62.0855,60.5659,61.8323,3491921
2004-03-15,61.1448,61.6514,56.4414,59.0826,3276611
2004-03-16,59.5167,60.6383,59.1549,60.0956,3484320
2004-03-17,60.783,63.0262,60.5659,62.3026,4396417
2004-03-18,61.8684,62.3026,60.2041,61.6514,2565866
2004-03-19,61.6514,61.8323,60.6745,61.2896,3016083
