Date,Open,High,Low,Close,Volume
2025-01-02,84.98,87.65,84.74,87.33,18860000
2025-01-03,87.95,90.2,87.51,89.87,17484600
2025-01-06,95.57,101.52,95.48,99.26,42903300
2025-01-07,103.41,106.74,101.16,101.91,53570000
2025-01-08,102.82,103.48,98.3,99.41,33516900
2025-01-10,98.12,100.78,96.87,99.34,20512600
2025-01-13,95.84,96,92.88,95.06,22699100
2025-01-14,97.05,97.41,95.38,97.36,18613400
2025-01-15,99.44,103.93,99.35,103.19,27568100
2025-01-16,104.32,104.8,101.87,102.6,16243800
2025-01-17,104.64,105.88,102.5,105.75,18908900
2025-01-21,105.43,110.24,105.23,109.38,23533600
2025-01-22,109.17,110.67,107.76,109.23,20004300
2025-01-23,104.79,106.18,103.35,104.84,22677600
2025-01-24,105.5,105.72,102.72,103.19,19743800
2025-01-27,94.86,96.1,88.36,91.11,50696200
2025-01-28,92.61,93.45,88.04,88.25,34793600
2025-01-29,89.88,90.45,87.76,89.01,25342800
2025-01-30,90.66,93.16,90.3,92.5,22497100
2025-01-31,91.65,94.27,91.14,91.24,20492100
2025-02-03,88.65,91.4,88.02,89.92,18607900
2025-02-04,89.05,91.45,88.8,90.66,12827500
2025-02-05,90.39,93.65,90.22,93.6,15660000
2025-02-06,94.88,96.61,93.58,94.54,16141100
2025-02-07,95.59,95.93,91.59,92.3,15602800
2025-02-10,93.19,96.26,93.17,95.93,16217900
2025-02-11,94.25,95.84,93.56,94.08,12124000
2025-02-12,89.6,92.64,87.35,91.68,22874700
2025-02-13,92.06,96.07,92.02,95.66,16579900
2025-02-14,98.41,100.7,98,99.52,21284500
2025-02-18,102.64,107.88,102.05,106.79,29641900
2025-02-19,105.76,107.19,103.62,104.36,17875900
2025-02-20,103.98,104.85,102.34,103.18,14488000
2025-02-21,103.64,103.66,97.75,98.84,18650800
2025-02-24,100.22,100.7,95.28,95.41,14883700
2025-02-25,95.5,95.93,92.76,93.22,18608200
2025-02-26,96,99.72,95.5,97.71,21335200
2025-02-27,97.84,99.89,91.49,91.82,22386300
2025-02-28,91,94.46,89.87,93.63,23359100
2025-03-03,95.81,96.2,89.39,90.54,20281800
2025-03-04,90.2,93.59,86.8,91.2,23611500
2025-03-05,92.15,95.05,90.43,94.34,14010300
2025-03-06,90.93,93.29,89.03,89.27,18708100
2025-03-07,90.29,93.34,89.49,92.96,19133900
2025-03-10,89.59,91.37,85.76,87.08,21897900
2025-03-11,87.9,91.1,86.07,89.05,21962100
2025-03-12,92.47,96.99,92.24,95.64,23584700
2025-03-13,94.25,98.12,94,94.88,18824700
2025-03-14,98.75,102.78,98.75,100.79,24623600
2025-03-17,101.06,104.45,100.96,103.11,17095100
2025-03-18,101.9,103.31,100.29,101.72,18434100
2025-03-19,100.82,103.6,100.49,102.06,16633100
2025-03-20,101.58,104.69,101.35,103,29204400
2025-03-21,98.2,98.5,93.7,94.72,63239600
2025-03-24,96.1,98.42,95.33,96.94,35406600
2025-03-25,96.18,96.38,93.25,94.18,22191700
2025-03-26,96,96.64,90.97,92.13,27107200
2025-03-27,91.09,92.21,89.61,91.16,15658700
2025-03-28,90.47,90.89,87.6,88.44,17118000
2025-03-31,86,87.09,84.1,86.89,21089500
2025-04-01,88.53,88.89,86.25,88.71,15337100
2025-04-02,87.13,89.93,86.7,88.6,14520400
2025-04-03,82.92,83.35,74.21,74.34,44839500
2025-04-04,70.65,71.34,63.86,64.72,50737700
2025-04-07,63.94,72.46,61.54,68.37,50181800
2025-04-08,71.6,72.97,63.52,65.54,40822100
2025-04-09,66.2,78.56,63.7,77.87,63132600
2025-04-10,72.5,73.05,67.5,70.05,44882300
2025-04-11,69.04,70.17,66.83,69.55,30807800
2025-04-14,74.67,74.78,69.97,71.02,32634700
2025-04-15,71.12,72.8,70.55,71.04,19132700
2025-04-16,67.93,70.45,67.17,69.33,28475000
2025-04-17,70.44,70.48,67,68.8,20694100
2025-04-21,67.76,68,65.65,66.74,19826100
2025-04-22,67.54,70.4,67.44,70.21,20351200
2025-04-23,73.69,75.4,72.5,72.93,26385500
2025-04-24,74.57,77.59,73.6,77.42,23875600
2025-04-25,77.55,80.3,76.9,79.78,19746200
2025-04-28,78.77,79.61,76.92,78.56,16882400
2025-04-29,77.94,78.19,76.47,76.88,17098000
2025-04-30,73.62,77.15,73.5,76.95,19779300
2025-05-01,79.4,79.89,77.64,77.77,15349200
2025-05-02,79.58,81.67,79.1,80.72,18899700
2025-05-05,79.41,81.15,79.05,80.42,12513600
2025-05-06,79.04,81.22,78.54,80.51,13173800
2025-05-07,80.99,82.87,80.2,82.62,14889700
2025-05-08,84.25,86.21,83.36,85.15,17580500
2025-05-09,85.57,86.27,84.68,85.86,13017600
2025-05-12,92.81,94.2,91.95,92.29,27765300
2025-05-13,92.55,97.41,92.55,96.93,28009100
2025-05-14,96.3,97.65,94.32,95.32,28044400
2025-05-15,94.01,95.61,92.17,95.45,24196100
2025-05-16,95.9,98.19,95.7,98,22609300
2025-05-19,95.71,99.02,95.7,98.65,14380100
2025-05-20,97.92,98.63,96.97,98.1,12331300
2025-05-21,97.16,98.82,95.26,95.84,15764300
2025-05-22,95.41,97.22,94.37,94.83,13245200
2025-05-23,92.26,93.84,90.93,93.37,16545000
2025-05-27,95.18,96.7,94.19,96.38,17612600
2025-05-28,96.7,97.21,95.6,96.18,10500300
2025-05-29,98.59,99.63,96.11,96.8,14628700
2025-05-30,96.04,96.61,92.22,94.46,23758200
2025-06-02,94.58,99.24,94.4,98.18,16850300
2025-06-03,98.36,102.93,96.96,102.25,22757600
2025-06-04,102.38,103.91,101.7,103.25,14595900
2025-06-05,106.3,109.03,105.53,106.29,28833700
2025-06-06,108.08,111.05,108.04,108.56,20710100
2025-06-09,109.51,112.53,108.58,110.95,20159700
