Date,Open,High,Low,Close,Volume
1996-01-02,8.959413,9.040371,8.90544,9.040371,190838
1996-01-03,9.040371,9.067358,8.986399,9.013385,360833
1996-01-04,9.013385,9.094344,9.013385,9.067358,163046
1996-01-05,9.094344,9.175302,9.067358,9.175302,180648
1996-01-08,9.175302,9.229275,9.175302,9.202288,31034
1996-01-09,9.229275,9.229275,9.12133,9.202288,93103
1996-01-10,9.175302,9.175302,9.013385,9.013385,199176
1996-01-11,9.013385,9.094344,9.013385,9.013385,158414
1996-01-12,9.067358,9.094344,8.959413,8.959413,334430
1996-01-15,8.959413,9.013385,8.932427,8.986399,173237
1996-01-16,9.013385,9.013385,8.959413,8.959413,302006
1996-01-17,8.986399,9.013385,8.959413,8.959413,241790
1996-01-18,8.986399,9.148316,8.986399,9.040371,195470
1996-01-19,9.013385,9.094344,8.959413,8.959413,46320
1996-01-22,8.986399,9.040371,8.986399,8.986399,29645
1996-01-23,9.013385,9.013385,8.932427,8.959413,392794
1996-01-24,8.959413,9.040371,8.959413,8.959413,110242
1996-01-25,8.986399,9.013385,8.878454,8.90544,483581
1996-01-26,8.90544,8.959413,8.770509,8.90544,389551
1996-01-29,8.878454,9.148316,8.878454,8.986399,828202
1996-01-30,9.013385,9.067358,8.959413,9.067358,220020
1996-01-31,9.067358,9.175302,9.067358,9.094344,100051
1996-02-01,9.094344,9.175302,9.094344,9.148316,83376
1996-02-02,9.094344,9.175302,9.067358,9.12133,180648
1996-02-05,9.148316,9.148316,8.986399,9.148316,395573
1996-02-06,9.202288,9.256261,9.067358,9.256261,266340
1996-02-07,9.256261,9.283247,9.12133,9.148316,176942
1996-02-08,9.12133,9.12133,9.067358,9.067358,130622
1996-02-09,9.040371,9.229275,9.040371,9.175302,484970
1996-02-12,9.229275,9.256261,9.175302,9.202288,214462
1996-02-13,9.202288,9.202288,9.12133,9.148316,85229
1996-02-14,9.067358,9.12133,8.986399,9.040371,123674
1996-02-15,9.040371,9.175302,9.013385,9.175302,230210
1996-02-16,9.12133,9.202288,9.094344,9.202288,117653
1996-02-20,9.202288,9.202288,9.094344,9.12133,241327
1996-02-21,9.12133,9.229275,9.094344,9.202288,183427
1996-02-22,9.229275,9.283247,9.175302,9.256261,381214
1996-02-23,9.310233,9.364206,9.256261,9.256261,345084
1996-02-26,9.256261,9.256261,9.148316,9.148316,35203
1996-02-27,9.12133,9.148316,8.986399,9.013385,385382
1996-02-28,9.067358,9.067358,8.986399,8.986399,339989
1996-02-29,9.040371,9.12133,9.013385,9.013385,106536
1996-03-01,9.013385,9.040371,8.986399,9.013385,251518
1996-03-04,8.959413,9.12133,8.932427,9.12133,186206
1996-03-05,9.12133,9.148316,8.986399,9.040371,163046
1996-03-06,9.040371,9.202288,9.013385,9.12133,187596
1996-03-07,9.12133,9.202288,9.12133,9.202288,60679
1996-03-08,9.175302,9.175302,9.013385,9.067358,374729
1996-03-11,9.067358,9.148316,9.067358,9.12133,58363
1996-03-12,9.094344,9.12133,9.094344,9.12133,35203
1996-03-13,9.094344,9.283247,9.094344,9.283247,111631
1996-03-14,9.283247,9.47215,9.256261,9.364206,115337
1996-03-15,9.229275,9.256261,9.12133,9.148316,546113
1996-03-18,9.175302,9.283247,9.148316,9.283247,153782
1996-03-19,9.283247,9.337219,9.256261,9.337219,156562
