Date,Open,High,Low,Close,Volume
2008-01-02,28.835,29.085,27.71,27.9,350600
2008-01-03,28.06,28.265,27.41,27.52,439000
2008-01-04,27.185,27.275,26.4,26.485,263000
2008-01-07,26.625,27.19,26.245,26.565,349200
2008-01-08,26.58,27.05,25.44,25.45,414200
2008-01-09,25.37,26.09,25.28,26.055,392800
2008-01-10,25.815,26.78,25.465,26.47,381000
2008-01-11,26.125,26.495,24.97,25.125,399800
2008-01-14,25.345,25.965,25.27,25.63,405200
2008-01-15,25.27,25.595,24.515,24.69,509000
2008-01-16,24.54,24.64,23.385,23.435,831600
2008-01-17,23.58,23.675,22.2,22.395,1168000
2008-01-18,22.255,23.015,22.17,22.47,1039400
2008-01-22,21.615,22.935,21.15,22.32,620400
2008-01-23,21.73,23.05,21.585,22.925,1001400
2008-01-24,23.295,23.585,22.955,23.17,781200
2008-01-25,23.38,24.17,23.185,23.72,571800
2008-01-28,23.585,24.135,23.25,23.645,702400
2008-01-29,23.82,24.005,23.31,23.875,381400
2008-01-30,23.685,25.09,23.54,24.16,600400
2008-01-31,23.755,25.25,23.63,24.94,590400
2008-02-01,25.035,25.83,24.83,25.54,447600
2008-02-04,25.54,25.6,25.05,25.38,320000
2008-02-05,24.88,25.36,24.22,24.27,394400
2008-02-06,24.45,24.95,24.035,24.115,265800
2008-02-07,23.925,25.255,23.58,24.27,314800
2008-02-08,23.815,24.425,23.815,24.095,313400
2008-02-11,24.07,24.365,23.71,24.115,288600
2008-02-12,24.29,24.9,23.955,24.395,294000
2008-02-13,24.645,25.335,24.145,24.995,607200
2008-02-14,25.08,25.84,24.5,24.58,435000
2008-02-15,24.365,24.825,24.005,24.24,838000
2008-02-19,24.54,24.975,24.18,24.575,651400
2008-02-20,24.465,25.28,24.215,25.04,686800
2008-02-21,25.33,25.58,24.84,24.895,803200
2008-02-22,26.02,26.02,24.69,25.015,1355200
2008-02-25,25.255,26.325,25.24,26.26,1123800
2008-02-26,26.275,27.1,26.125,26.805,830800
2008-02-27,26.53,27.76,26.53,27.34,800400
2008-02-28,27.23,27.3,26.475,26.6,764200
2008-02-29,26.1,26.33,25.53,25.695,1008800
2008-03-03,25.645,26.415,25.18,26.025,770400
2008-03-04,25.705,26.145,25.145,25.675,758800
2008-03-05,25.805,26.185,25.41,26.155,783600
2008-03-06,25.965,26.34,25.79,25.875,919200
2008-03-07,25.595,26.21,25.15,25.735,586400
2008-03-10,25.825,25.825,25.3,25.435,735800
2008-03-11,26.35,26.805,25.625,26.805,905800
2008-03-12,26.965,27.09,26.47,26.68,626000
2008-03-13,26,26.98,25.92,26.74,885800
2008-03-14,26.905,26.905,25.295,25.665,617600
2008-03-17,25.015,25.74,25.015,25.34,720000
2008-03-18,25.815,26.45,25.425,26.4,702200
2008-03-19,26.48,26.915,25.63,25.63,694800
2008-03-20,25.88,26.575,25.47,26.34,1493000
2008-03-24,26.49,27.36,26.37,27.1,338400
2008-03-25,27.165,27.72,26.995,27.61,369400
2008-03-26,27.435,27.5,26.94,27.305,389000
2008-03-27,27.415,27.5,26.81,26.855,287600
2008-03-28,26.945,27.23,26.77,26.87,323800
2008-03-31,26.955,27.13,26.27,26.925,501600
2008-04-01,27.225,28.245,27.19,28.24,371600
2008-04-02,28.24,28.475,28.005,28.335,345200
2008-04-03,27.875,27.955,27.27,27.775,460200
2008-04-04,27.79,28.305,27.5,27.975,345000
2008-04-07,28.14,28.405,27.58,27.785,357000
2008-04-08,27.095,27.92,27.095,27.69,340200
2008-04-09,27.775,27.925,27.31,27.5,430000
2008-04-10,27.57,28.125,27.25,28.055,220200
2008-04-11,27.77,28.165,27.105,27.29,343400
2008-04-14,27.185,27.68,27.02,27.06,241600
2008-04-15,27.2,27.415,26.755,27.28,204600
2008-04-16,27.44,28.135,27.42,28.075,495600
2008-04-17,28.025,28.025,27.38,27.635,168400
2008-04-18,28.115,28.69,27.91,28.59,326800
2008-04-21,28.31,28.85,28.2,28.81,270400
2008-04-22,28.64,28.64,28.175,28.56,537800
2008-04-23,28.64,28.945,28.38,28.895,325600
2008-04-24,28.865,29.285,28.125,29.025,355000
2008-04-25,29.16,29.53,28.76,29.425,266200
2008-04-28,29.38,29.575,29.255,29.47,512600
2008-04-29,29.485,29.585,29.18,29.345,299800
2008-04-30,29.465,29.83,27.95,29.515,382400
2008-05-01,29.525,30.21,29.45,30.11,402000
2008-05-02,30.29,30.425,29.73,29.77,364000
2008-05-05,29.74,29.755,29.27,29.695,284800
2008-05-06,29.47,30.105,29.175,29.98,294200
2008-05-07,30.03,30.125,29.395,29.565,316800
2008-05-08,29.52,29.96,29.285,29.825,191000
2008-05-09,29.505,30.09,29.185,30,152800
2008-05-12,29.99,30.835,29.58,30.81,319400
2008-05-13,30.83,31.52,30.385,31.45,395000
2008-05-14,31.41,31.41,30.46,30.5,500600
2008-05-15,30.465,31.565,30.4,31.45,361600
2008-05-16,31.68,31.935,30.675,31.445,273800
2008-05-19,31.395,31.91,31.145,31.355,467800
2008-05-20,31.325,31.58,30.725,31.11,359400
2008-05-21,31.27,31.46,30.07,30.57,481600
2008-05-22,34.19,35.24,33.765,34.865,2141800
2008-05-23,33.48,34.78,33.48,34.53,833600
2008-05-27,34.745,35.21,34.605,34.8,1029800
2008-05-28,35.01,36.08,34.9,36.08,1261000
2008-05-29,35.85,36.245,34.93,35.735,823000
2008-05-30,35.975,36.255,35.7,35.925,1023200
2008-06-02,35.925,36.24,34.405,35.79,608800
2008-06-03,35.835,36.29,35.1,35.39,752200
2008-06-04,35.245,36.725,35.18,36.125,926200
2008-06-05,36.275,37.46,36.25,37.32,1039200
2008-06-06,36.965,37.48,36.535,36.535,852600
2008-06-09,36.33,37.345,35.975,37.105,832400
2008-06-10,36.79,37.295,36.02,36.04,1423000
2008-06-11,36.04,36.465,35.435,35.45,857200
2008-06-12,35.33,36.715,34.57,36.225,839000
2008-06-13,36.84,37.495,36.8,37.345,970800
2008-06-16,37.505,37.81,37.355,37.72,1188000
2008-06-17,38.04,38.04,37.47,37.64,624600
2008-06-18,37.425,38.15,37.2,37.55,977400
2008-06-19,37.17,38.21,37.17,38.2,406600
2008-06-20,38,38,37.115,37.715,901400
2008-06-23,37.68,38.645,37.505,38.16,470200
2008-06-24,37.91,38.35,37.52,37.52,470600
2008-06-25,37.57,38.445,37.53,38.035,653600
2008-06-26,37.74,37.74,36.61,36.74,549600
2008-06-27,36.815,37.16,36.405,36.73,1256800
2008-06-30,36.775,37.27,36.355,36.445,471000
2008-07-01,36.345,37.275,35.85,36.895,439800
2008-07-02,36.83,37.18,34.505,34.545,758400
2008-07-03,34.56,34.58,33.015,33.48,797800
2008-07-07,33.75,34.305,33.025,33.425,741000
2008-07-08,33.465,35.02,33.41,35.01,910400
2008-07-09,35.08,35.745,34.535,34.845,764200
2008-07-10,34.6,34.99,34.185,34.685,741800
2008-07-11,34.35,35.16,33.83,35.02,591200
2008-07-14,35.345,35.805,34.085,35.43,694400
2008-07-15,34.955,36.965,34.43,36.495,1602600
2008-07-16,36.68,38.49,35.815,38.36,1101600
2008-07-17,38.455,38.46,37.78,38.2,605800
2008-07-18,38.25,38.465,37.525,37.86,427200
2008-07-21,38.055,38.69,37.55,38.515,402800
2008-07-22,38.205,39.49,37.885,39.31,1015200
2008-07-23,38.48,38.62,36.965,37.46,1292400
2008-07-24,37.5,37.915,36.27,36.41,776600
2008-07-25,36.82,37.385,36.035,36.78,523600
2008-07-28,36.73,37.16,36,36.135,414200
2008-07-29,36.335,36.875,35.77,36.78,523800
2008-07-30,37.135,37.52,36.445,37,831200
2008-07-31,36.51,36.59,35.325,35.33,744200
2008-08-01,35.68,35.845,34.67,34.855,785400
2008-08-04,34.93,35.165,34.32,34.56,454800
2008-08-05,34.14,35.245,34.14,34.765,432000
2008-08-06,34.125,35.395,34.125,35.1,518400
2008-08-07,34.62,34.795,34.255,34.39,577000
2008-08-08,34.28,35.15,34.28,35.05,587600
2008-08-11,35.325,36.29,35.035,36.15,718200
2008-08-12,36.085,36.085,35.435,35.6,442800
2008-08-13,35.435,35.985,35.085,35.81,432000
2008-08-14,35.435,36.04,35.415,35.99,380000
2008-08-15,36.455,36.5,35.825,35.935,636000
2008-08-18,36.075,36.49,35.53,35.84,257000
2008-08-19,35.56,36.46,35.52,35.885,404000
2008-08-20,35.975,36.485,35.735,36.24,496600
2008-08-21,36.06,36.225,35.39,35.885,719200
2008-08-22,28.43,28.98,26.95,27.37,6761200
2008-08-25,27.205,27.425,26.24,26.335,1915800
2008-08-26,25.745,27,25.67,26.55,1819000
2008-08-27,26.67,26.75,26.185,26.45,770400
2008-08-28,26.305,26.8,26.11,26.765,889200
2008-08-29,26.845,27.04,26.345,26.815,1061800
2008-09-02,26.525,26.58,25.165,25.195,1575600
2008-09-03,25.25,25.72,24.695,25.005,603600
2008-09-04,25.1,25.585,24.625,24.7,861000
2008-09-05,24.555,25.06,24.17,24.705,661800
2008-09-08,25.53,25.85,24.54,24.805,507000
2008-09-09,24.805,25.225,23.46,23.515,960800
2008-09-10,23.86,25.195,23.835,25.105,999600
2008-09-11,24.935,25.3,24.23,25.055,708400
