Date,Open,High,Low,Close,Volume
2015-01-02,26.6575,26.7825,26.345,26.6725,6459200
2015-01-05,26.645,26.6925,26.2975,26.39,8153600
2015-01-06,26.48,26.9775,26.44,26.4925,10623200
2015-01-07,26.8975,26.99,26.5175,26.735,7292000
2015-01-08,26.9675,27.0575,26.8275,26.8975,7602000
2015-01-09,26.9325,27.005,26.5925,26.66,6123200
2015-01-12,26.625,26.8375,26.41,26.5925,5828000
2015-01-13,26.8225,27.115,26.5475,26.6975,6757200
2015-01-14,26.4475,26.9,26.375,26.8625,7327600
2015-01-15,26.8825,26.9575,26.53,26.76,17293200
2015-01-16,26.7825,27.08,26.7225,27.055,7870000
2015-01-20,27.1525,27.2725,26.88,27.2325,7362000
2015-01-21,27.075,27.5625,26.9425,27.4725,12105600
2015-01-22,27.57,27.68,27.1275,27.3875,9290400
2015-01-23,27.47,27.555,27.335,27.37,6736400
2015-01-26,27.3275,27.445,27.155,27.4375,5524800
2015-01-27,27.4675,27.8775,27.1575,27.805,8527600
2015-01-28,27.82,28.16,27.44,27.48,8128800
2015-01-29,27.545,27.93,27.43,27.915,6823200
2015-01-30,27.865,27.8775,27.29,27.31,7745600
2015-02-02,27.3825,27.5475,27.005,27.5175,7201600
2015-02-03,27.505,27.6175,27.29,27.56,8641600
2015-02-04,27.495,27.6575,27.285,27.36,6255200
2015-02-05,27.455,27.5225,27.2075,27.4275,5231600
2015-02-06,27.3225,27.35,26.265,26.45,8789200
2015-02-09,26.415,26.59,26.045,26.13,8292800
2015-02-10,26.2,27.01,26.1375,26.9575,13585200
2015-02-11,26.795,26.81,26.2125,26.265,8516800
2015-02-12,26.2625,26.3425,25.96,26.335,9439200
2015-02-13,26.215,26.2175,25.77,25.905,9944400
2015-02-17,25.875,26.1925,25.675,25.855,11421600
2015-02-18,25.8725,26.635,25.855,26.6225,9638000
2015-02-19,26.7375,26.7375,26.2575,26.3575,13082400
2015-02-20,26.3125,26.49,26.07,26.4,6802400
2015-02-23,26.435,26.555,26.3225,26.4975,6257200
2015-02-24,26.43,26.7625,26.365,26.52,7480800
2015-02-25,26.305,26.365,25.87,25.945,8103600
2015-02-26,26.0175,26.1075,25.8025,25.87,6974400
2015-02-27,25.95,26.01,25.7375,25.865,6523600
2015-03-02,25.865,25.865,25.1775,25.385,9909200
2015-03-03,25.31,25.54,25.1425,25.485,8036400
2015-03-04,25.405,25.52,25.27,25.3475,11915200
2015-03-05,25.4575,25.74,25.405,25.5325,7867200
2015-03-06,25.21,25.21,24.5575,24.675,12492400
2015-03-09,24.695,24.885,24.645,24.7325,9764800
2015-03-10,24.37,24.8875,24.37,24.4975,13714800
2015-03-11,24.645,24.7625,24.38,24.495,9078400
2015-03-12,24.695,25.3175,24.67,25.13,12999200
2015-03-13,25.09,25.2425,24.875,25.1525,13275200
2015-03-16,25.4325,25.99,25.4025,25.7425,13684400
2015-03-17,25.75,26,25.6775,25.82,8612400
2015-03-18,25.815,26.8475,25.7475,26.725,15167600
2015-03-19,26.625,26.8675,26.2375,26.37,11399200
2015-03-20,26.4925,26.7225,26.205,26.4975,27418000
2015-03-23,26.2675,26.545,26.2675,26.435,9677600
2015-03-24,26.335,26.59,26.1875,26.21,8434800
2015-03-25,26.21,26.3075,25.855,25.855,6805200
2015-03-26,25.7025,25.945,25.575,25.68,6850000
2015-03-27,25.74,26.0075,25.685,25.885,6067200
2015-03-30,26.0825,26.265,25.945,26.185,6348400
2015-03-31,26.1125,26.2475,25.8475,26.0125,9165200
2015-04-01,25.985,26.29,25.715,26.19,7567200
2015-04-02,26.155,26.3175,26.0675,26.1875,5280800
2015-04-06,26.305,26.6575,26.2825,26.385,6706400
2015-04-07,26.3525,26.44,26.0475,26.0725,4168000
2015-04-08,25.99,26.085,25.8225,26.01,5707600
2015-04-09,25.97,26.025,25.735,26.0025,5278400
