Date,Open,High,Low,Close,Volume
2011-01-03,2.5,2.583857,2.478571,2.548714,399560000
2011-01-04,2.590714,2.641429,2.547,2.591,440657000
2011-01-05,2.587857,2.611286,2.553,2.567571,317996000
2011-01-06,2.516857,2.567,2.509286,2.542714,319914000
2011-01-07,2.552429,2.579286,2.519714,2.561429,221550000
2011-01-10,2.567143,2.685,2.559714,2.684,436744000
2011-01-11,2.706,2.732857,2.653857,2.666429,325227000
2011-01-12,2.685857,2.7,2.639286,2.698571,210987000
2011-01-13,2.692,2.747857,2.671429,2.735571,299033000
2011-01-14,2.725857,2.760714,2.697,2.735429,195755000
2011-01-18,2.735286,2.783429,2.708143,2.766857,185808000
2011-01-19,2.754429,2.769286,2.700286,2.726714,217406000
2011-01-20,2.668857,2.689,2.59,2.642857,382312000
2011-01-21,2.640857,2.651143,2.595571,2.601286,249081000
2011-01-24,2.571286,2.634571,2.515286,2.628,269717000
2011-01-25,2.614143,2.669286,2.593714,2.667714,214641000
2011-01-26,2.677143,2.679857,2.597571,2.614714,598416000
2011-01-27,2.959286,3.025571,2.922571,3.012429,1290422000
2011-01-28,3.024143,3.114286,2.980714,3.114,628054000
2011-01-31,3.044286,3.093,3.003714,3.058286,410641000
2011-02-01,3.066143,3.096857,3.029286,3.041429,286608000
2011-02-02,2.981857,3.052429,2.975,3.018,333585000
2011-02-03,3.015,3.047429,2.996,3.021286,212457000
2011-02-04,3.042286,3.157143,3.029143,3.143857,442624000
2011-02-07,3.182714,3.183,3.112286,3.114571,254324000
2011-02-08,3.117857,3.119857,3.087714,3.109,173677000
2011-02-09,3.104143,3.199714,3.104143,3.175571,289541000
2011-02-10,3.156714,3.214286,3.147286,3.188571,217567000
2011-02-11,3.203429,3.308571,3.198857,3.301,462994000
2011-02-14,3.366857,3.536429,3.351,3.536429,785239000
2011-02-15,3.478429,3.495,3.400143,3.439857,480739000
2011-02-16,3.467286,3.498429,3.376286,3.396,455553000
2011-02-17,3.369571,3.454286,3.343714,3.366143,394492000
2011-02-18,3.396857,3.405286,3.305571,3.364429,321132000
2011-02-22,3.219571,3.277286,3.153,3.165714,553742000
2011-02-23,3.079286,3.112857,2.934143,3.017143,689332000
2011-02-24,3.035714,3.091286,3.004,3.074,316288000
2011-02-25,3.066143,3.107,3.015,3.034857,294686000
2011-02-28,3.055,3.061571,2.9,2.952429,405244000
