Date,Open,High,Low,Close,Volume
1999-01-04,11.9597,12.1562,11.8861,11.9843,728634
1999-01-05,11.9843,11.9843,11.8861,11.9106,771135
1999-01-06,11.9106,11.9352,11.7878,11.8124,740086
1999-01-07,11.8861,11.9106,11.7387,11.7633,439013
1999-01-08,11.7878,11.7878,11.6405,11.6405,401092
1999-01-11,11.5914,11.5914,11.444,11.444,525034
1999-01-12,11.4194,11.4931,11.3949,11.4931,603420
1999-01-13,11.4686,11.5914,11.3949,11.5177,792768
1999-01-14,11.444,11.5422,11.4194,11.4931,1094350
1999-01-15,11.4931,11.4931,11.3949,11.4686,190366
1999-01-19,11.444,11.444,11.223,11.2475,579242
1999-01-20,11.2475,11.2475,11.0265,11.0511,438504
1999-01-21,11.1002,11.2721,11.1002,11.2475,2772269
1999-01-22,11.1984,11.223,11.1493,11.1984,636250
1999-01-25,11.2475,11.2721,11.1248,11.1739,253737
1999-01-26,11.1493,11.1739,11.002,11.0511,651266
1999-01-27,10.9283,10.9528,10.7073,10.7318,1886609
1999-01-28,10.7564,10.8792,10.7564,10.7809,575679
1999-01-29,10.7809,10.8055,10.6582,10.6582,453519
1999-02-01,10.6582,10.7073,10.4371,10.4371,618181
1999-02-02,10.4126,10.4371,10.1179,10.2652,989242
1999-02-03,10.2652,10.609,10.2407,10.609,4139188
1999-02-04,10.6582,10.6582,10.4126,10.4371,1318056
1999-02-05,10.388,10.5108,10.388,10.4126,598075
1999-02-08,10.4371,10.4862,10.3635,10.4617,1195387
1999-02-09,10.5108,10.5108,10.2652,10.3389,2311878
1999-02-10,10.3143,10.4371,10.3143,10.4371,2042617
1999-02-11,10.5108,10.6336,10.4371,10.5845,4082944
1999-02-12,10.5354,10.5599,10.2898,10.2898,1454977
1999-02-16,10.3143,10.5354,10.3143,10.388,461663
1999-02-17,10.3635,10.5108,10.3143,10.388,1404840
1999-02-18,10.4126,10.5108,10.388,10.4371,1069409
1999-02-19,10.4617,10.4617,10.388,10.4371,788187
1999-02-22,10.5354,10.5354,10.3143,10.388,1387280
1999-02-23,10.3635,10.388,10.1424,10.167,562954
1999-02-24,10.167,10.3635,10.1424,10.2652,1137361
1999-02-25,10.2898,10.2898,9.995088,10.2652,326778
1999-02-26,10.2898,10.3635,10.1916,10.1916,1558558
1999-03-01,10.2161,10.2407,10.0688,10.1179,336958
1999-03-02,10.1424,10.7073,10.1424,10.609,1883809
1999-03-03,10.6336,10.9037,10.6336,10.8301,2478067
1999-03-04,10.8546,10.9283,10.8055,10.8792,1683518
1999-03-05,10.9283,11.1002,10.9283,11.1002,567026
1999-03-08,11.0511,11.0511,10.9528,10.9528,1700824
1999-03-09,10.9283,11.002,10.8055,10.8792,1241960
1999-03-10,10.8792,10.9037,10.8301,10.9037,859192
1999-03-11,10.9037,10.9037,10.7809,10.8055,774698
1999-03-12,10.7809,10.9037,10.7073,10.9037,604183
1999-03-15,10.8546,10.8792,10.609,10.7809,1019527
1999-03-16,10.7318,10.8792,10.7073,10.8055,583569
1999-03-17,10.7809,10.8792,10.7564,10.8792,627343
1999-03-18,10.8301,10.9528,10.7809,10.9283,218616
1999-03-19,10.8055,10.9528,10.8055,10.9037,640577
1999-03-22,10.9037,10.9528,10.7318,10.7318,509509
1999-03-23,10.7809,10.8792,10.7809,10.8301,949794
1999-03-24,10.8301,11.444,10.8301,11.444,3200847
1999-03-25,11.3458,11.3458,11.1248,11.223,1752487
1999-03-26,11.1739,11.2967,11.0756,11.0756,854102
1999-03-29,11.1002,11.1984,11.002,11.1493,2542710
1999-03-30,11.0511,11.1493,10.9774,10.9774,2047198
1999-03-31,10.8301,10.8301,10.5108,10.609,1067882
1999-04-01,10.5599,10.9528,10.5354,10.8792,696058
1999-04-05,10.9774,11.0756,10.7073,10.7809,554301
1999-04-06,10.7564,10.8792,10.6827,10.6827,716927
1999-04-07,10.7318,10.7318,10.4862,10.5599,1057193
1999-04-08,10.5108,10.8546,10.5108,10.7809,454283
1999-04-09,10.7564,10.7809,10.6582,10.7318,363426
1999-04-12,10.6827,10.7809,10.5354,10.7809,671880
1999-04-13,10.7073,10.7564,10.6336,10.6336,324488
1999-04-14,10.6336,10.7073,10.5354,10.5599,419671
1999-04-15,10.4126,10.609,10.4126,10.4862,784115
1999-04-16,10.4617,10.5845,10.3635,10.5108,618435
1999-04-19,10.5599,10.9528,10.4126,10.7809,838578
1999-04-20,10.7564,11.1002,10.7564,10.9528,761464
1999-04-21,11.002,11.002,10.7073,10.7809,703693
1999-04-22,10.8301,10.8546,10.6336,10.6827,271297
1999-04-23,10.5599,10.6582,10.5108,10.5845,622762
1999-04-26,10.5599,10.6336,10.4371,10.4862,1321110
1999-04-27,10.5108,10.8055,10.5108,10.7564,458100
1999-04-28,10.5845,10.7809,10.5845,10.7809,1416038
1999-04-29,10.7809,10.9037,10.7318,10.9037,744158
1999-04-30,10.9037,10.9774,10.6827,10.9037,626325
1999-05-03,10.8546,10.9037,10.7564,10.8792,203855
1999-05-04,10.8055,10.8792,10.7809,10.8055,417635
1999-05-05,10.8055,10.8792,10.6827,10.8301,436213
1999-05-06,10.8055,10.8055,10.6582,10.6827,333904
1999-05-07,10.6336,10.6582,10.5108,10.5599,1097659
1999-05-10,10.5845,10.609,10.5599,10.5845,230068
1999-05-11,10.5108,10.6336,10.4862,10.5599,856647
1999-05-12,10.5599,10.5845,10.3635,10.5599,567790
1999-05-13,10.5845,10.6582,10.5599,10.6582,1188515
1999-05-14,10.609,10.609,10.4126,10.5108,467517
1999-05-17,10.4862,10.7073,10.4617,10.6827,907038
1999-05-18,10.6336,10.7318,10.6336,10.6582,483805
1999-05-19,10.6827,10.8792,10.6582,10.8792,945977
1999-05-20,10.8792,11.002,10.8301,10.9283,617163
1999-05-21,10.9037,10.9283,10.8792,10.8792,186803
1999-05-24,10.9037,10.9774,10.8792,10.9037,385822
1999-05-25,10.9528,11.1002,10.9037,11.0265,1370228
1999-05-26,11.0265,11.0511,10.9283,11.002,571607
1999-05-27,10.9528,10.9774,10.6827,10.9037,1232798
1999-05-28,10.8792,11.0511,10.8301,10.9774,541322
1999-06-01,10.9528,10.9774,10.9037,10.9037,529615
1999-06-02,10.9037,11.002,10.9037,10.9774,944450
1999-06-03,10.9774,11.0511,10.9774,11.0265,732197
1999-06-04,11.002,11.0756,11.002,11.0756,276133
1999-06-07,10.8055,10.9037,10.5354,10.8301,5772824
1999-06-08,10.8055,10.8546,10.7809,10.7809,1301513
1999-06-09,10.8301,10.9283,10.8055,10.8792,2326130
1999-06-10,10.8546,10.8792,10.7809,10.8546,1957869
1999-06-11,10.8546,10.8546,10.8301,10.8546,314308
1999-06-14,10.8301,10.8546,10.7809,10.7809,894568
1999-06-15,10.8055,10.8301,10.7564,10.7564,1957869
1999-06-16,10.7809,10.8792,10.7809,10.8546,885406
1999-06-17,10.8055,10.8301,10.8055,10.8055,238721
1999-06-18,10.7318,10.8055,10.6336,10.7318,910601
1999-06-21,10.6336,10.7564,10.6336,10.7564,939360
1999-06-22,10.7073,10.8055,10.7073,10.7564,333650
1999-06-23,10.7318,10.7687,10.7073,10.7564,596294
1999-06-24,10.7073,10.7318,10.5108,10.5845,729397
1999-06-25,10.6336,10.6827,10.5354,10.5354,1134816
1999-06-28,10.5354,10.5845,10.5108,10.5108,412036
1999-06-29,10.4617,10.5354,10.4126,10.4862,716672
1999-06-30,10.4862,10.5354,10.1179,10.1424,1067373
1999-07-01,10.1916,10.4371,10.1916,10.388,630651
1999-07-02,10.4371,10.4617,10.3635,10.4371,243048
1999-07-06,10.4371,10.4371,10.2898,10.3143,404401
1999-07-07,10.2898,10.3389,10.2898,10.3389,245593
1999-07-08,10.3389,10.388,10.3143,10.3635,669590
1999-07-09,10.3635,10.4862,10.3635,10.4862,607746
1999-07-12,10.4126,10.4617,10.3635,10.388,268498
1999-07-13,10.3635,10.388,10.3143,10.3635,202328
1999-07-14,10.3389,10.4371,10.3389,10.388,960229
1999-07-15,10.388,10.4371,10.3389,10.4126,470316
1999-07-16,10.388,10.4371,10.3143,10.3389,414326
1999-07-19,10.3635,10.4126,10.3389,10.388,430869
1999-07-20,10.3635,10.5108,10.3635,10.4126,344084
