Date,Shares
2015-11-03,318671000
2016-02-18,319742000
2016-04-08,320722000
2016-05-03,321544000
2016-08-02,322185000
2016-11-01,323446000
2017-02-22,323446000
2017-04-06,323704000
2017-05-03,323446016
2017-05-08,325870016
2017-08-02,362759008
2018-11-14,363288000
2018-11-15,363288000
2018-11-19,369667008
2018-11-21,369667008
2018-11-22,369667008
2018-11-26,369667008
2018-11-28,369667008
2018-11-29,369667008
2018-12-02,369667008
2018-12-03,369667008
2018-12-04,369667008
2018-12-06,369667008
2018-12-07,369667008
2018-12-09,369667008
2018-12-11,369667008
2018-12-12,369667008
2018-12-14,369667008
2018-12-16,369667008
2018-12-17,369667008
2018-12-19,369667008
2018-12-21,369667008
2018-12-30,369667008
2019-01-05,369667008
2019-01-07,369667008
2019-01-09,369667008
2019-01-10,369667008
2019-01-12,369667008
2019-01-14,369667008
2019-01-16,369667008
2019-01-20,369667008
2019-01-23,369667008
2019-01-25,369667008
2019-01-26,369667008
2019-01-28,369667008
2019-01-30,369667008
2019-02-04,369667008
2019-02-07,369667008
2019-02-10,369667008
2019-02-13,369667008
2019-02-15,369667008
2019-02-17,369667008
2019-02-18,369667008
2019-02-20,369667008
2019-02-28,372494016
2019-03-01,372494016
2019-03-07,372494016
2019-03-09,372494016
2019-03-10,372494016
2019-03-11,372494016
2019-03-14,372494016
2019-03-17,372494016
2019-03-26,372494016
2019-03-29,372494016
2019-04-01,372494016
2019-04-05,372968992
2019-04-09,372968992
2019-04-10,372968992
2019-04-14,372968992
2019-04-17,372968992
2019-04-18,372968992
2019-04-21,372968992
2019-04-22,372968992
2019-04-29,372968992
2019-05-02,372968992
2019-05-05,373103008
2019-05-06,373103008
2019-05-09,373103008
2019-05-10,373103008
2019-05-12,373103008
2019-05-19,373103008
2019-05-22,373103008
2019-05-23,373103008
2019-05-28,373103008
2019-06-03,373103008
2019-06-04,373103008
2019-06-05,373103008
2019-06-06,373103008
2019-06-10,373103008
2019-06-11,373103008
2019-06-12,373103008
2019-06-17,373103008
2019-06-19,373103008
2019-06-21,373103008
2019-06-23,373103008
2019-06-24,373103008
2019-06-26,373103008
2019-07-03,379497984
2019-07-04,373103008
2019-07-05,367667008
2019-07-06,373103008
2019-07-11,372345984
2019-07-12,373356000
2019-07-13,373103008
2019-07-24,374127008
2019-07-25,373103008
2019-08-02,373347008
2019-08-05,377494016
2019-08-06,373347008
2019-08-07,394598016
2019-08-08,366972000
2019-08-09,382648000
2019-08-11,373347008
2019-08-23,373095008
2019-08-25,373347008
2019-08-30,369035008
2019-09-02,367662016
2019-09-04,373347008
2019-09-06,371836992
2019-09-09,376148000
2019-09-11,380822016
2019-09-12,373347008
2019-09-13,373347008
2019-09-20,372967008
2019-09-21,373347008
2019-10-04,373856000
2019-10-08,373347008
2019-10-21,373748000
2019-10-22,373347008
2019-11-01,373543008
2019-11-05,378811008
2019-11-06,383528000
2019-11-07,378192992
2019-11-08,370535008
2019-11-09,373544000
2019-11-14,377982016
2019-11-15,372412000
2019-11-16,373544000
2019-12-18,374780992
2019-12-19,373544000
2020-01-08,370680000
2020-01-09,376816992
2020-01-10,377225984
2020-01-11,373948992
2020-01-12,373544000
2020-01-13,373273984
2020-01-14,373544000
2020-02-07,374548000
2020-02-08,373544000
2020-02-12,374419008
2020-02-13,372296000
2020-02-14,373544000
2020-03-03,382263008
2020-04-15,382683008
2020-05-08,382799008
2020-05-21,382302016
2020-05-22,382799008
2020-07-15,382799008
2020-07-16,382799008
2020-07-21,382799008
2020-07-22,382799008
2020-08-07,383023008
2020-08-28,383023008
2020-09-05,380460000
2020-09-06,383023008
2020-09-21,390689984
2020-09-22,383023008
2020-11-04,383212000
2020-11-26,383212000
2021-02-19,391860000
2021-03-17,384840992
2021-03-18,391860000
2021-04-21,392129984
2021-04-23,394097984
2021-04-24,396856000
2021-04-27,392129984
2021-05-07,392216992
2021-08-06,392409984
2021-09-11,399267008
2021-11-05,395854016
2021-11-06,392704992
2021-11-17,392704992
2021-11-19,392704992
2022-02-11,392704992
2022-02-25,405384992
2022-03-15,407848992
2022-03-16,405384992
2022-04-21,405734016
2022-05-06,405798016
2022-05-10,406487008
2022-05-11,407459008
2022-05-19,408320992
2022-05-20,405798016
2022-07-29,414382016
2022-07-30,405798016
2022-08-06,405952992
2022-08-20,405952992
2022-09-01,405952992
2022-09-03,405952992
2022-09-10,403020992
2022-09-12,405952992
2022-10-21,418224000
2022-10-22,405952992
2022-11-04,406134016
2022-11-05,406134016
2023-02-04,412975008
2023-02-05,406134016
2023-02-25,412508000
2023-03-07,412508000
2023-03-11,412508000
2023-03-18,419865984
2023-03-21,412508000
2023-03-24,418700000
2023-03-25,412508000
2023-03-30,418267008
2023-04-01,412508000
2023-04-04,415480000
2023-04-06,412508000
2023-04-13,412508000
2023-04-14,412983008
2023-05-06,413063008
2023-05-12,423771008
2023-05-13,418863008
2023-05-16,413063008
2023-06-23,414128000
2023-06-24,413063008
2023-07-12,418376000
2023-07-13,413063008
