Date,Open,High,Low,Close,Volume
2023-01-03,118.55,119.49,117.44,118.75,8124800
2023-01-04,119.96,122.23,119.53,121.21,8550700
2023-01-05,120.28,122.34,120.08,120.62,6046700
2023-01-06,122,125.36,121.77,124.53,10080700
2023-01-09,125,126.61,124.55,124.85,9397900
2023-01-10,125.21,126.33,124.37,125.84,5899900
2023-01-11,126.32,128.26,126.01,127.94,6989200
2023-01-12,128.35,128.46,126.46,127.89,8366400
2023-01-13,126.66,129.23,126.66,128.85,4856500
2023-01-17,128,129.05,127.83,128.14,6172200
2023-01-18,127.8,128.59,126,126.43,6828800
2023-01-19,124.79,125.44,123.61,124.53,5273500
2023-01-20,124.68,126.64,124.04,126.62,5673200
2023-01-23,126.9,128.75,126.54,128.29,5581600
2023-01-24,126.81,128.01,120.45,126.83,5486200
2023-01-25,125.86,127.01,124.83,126.82,5933700
2023-01-26,128.46,128.99,126.01,127.53,5838800
2023-01-27,127.07,128.58,126.7,127.53,5730000
2023-01-30,126.5,127.56,126.21,126.37,6494600
2023-01-31,126.42,127.85,126.01,127.33,7686900
2023-02-01,127.9,130.22,126.22,129.5,6387900
2023-02-02,130.45,131.31,127.86,129.06,5214500
2023-02-03,126.79,129.42,126.44,127.61,4930200
2023-02-06,125.52,126.1,124.32,125.73,4666400
2023-02-07,123.96,125.93,123.25,125.33,5288900
2023-02-08,123.38,124.1,121.8,122.91,5877800
2023-02-09,124.71,125.02,121.5,122.18,5929000
2023-02-10,121.51,122.64,120.54,122.23,5195500
2023-02-13,122.82,125.72,122.46,125.15,5689800
2023-02-14,123.95,126.36,123.74,126.2,4845900
2023-02-15,124.9,127.5,124.9,127.48,5687900
2023-02-16,125.43,127.21,124.11,124.38,4722200
2023-02-17,123.71,124.89,123.44,124.84,5161500
2023-02-21,123.28,124,120.98,121.1,5110300
2023-02-22,121.1,121.4,119.64,119.9,5022000
2023-02-23,120.76,120.76,118.55,119.96,4101900
2023-02-24,117.97,118.74,117.34,118.04,4693000
2023-02-27,119.26,119.82,118.32,118.53,4239800
2023-02-28,118.74,120.4,117.85,118.79,8414100
2023-03-01,117.95,119.79,117.83,118.58,4120500
2023-03-02,117.55,119.96,117.55,119.58,4443200
2023-03-03,120.13,121.04,119.02,120.94,3871800
2023-03-06,121.13,121.99,119.96,120.17,5183800
2023-03-07,120.2,121.02,119.23,119.59,5345700
2023-03-08,119.27,120.04,118.73,119.86,4175200
2023-03-09,120.08,121.86,117.55,117.87,5635900
2023-03-10,118.83,118.99,116.64,117.49,5979600
2023-03-13,115.82,118.29,115.79,116.86,6038200
2023-03-14,119,119.49,117.23,119,6050800
2023-03-15,116.32,118.63,115.81,118.17,6599200
2023-03-16,116.86,120.81,116.61,120.65,5658700
2023-03-17,121.17,121.73,118.67,120.39,12868900
2023-03-20,120.99,122.68,119.81,121.2,7594100
2023-03-21,123.5,126.06,122.97,125.61,15078800
2023-03-22,123.66,125.26,119.33,119.5,17625500
2023-03-23,120.47,123.27,119.47,120.97,7628100
2023-03-24,120.23,121,119.32,120.71,6158800
2023-03-27,121.02,121.07,117.61,117.81,6564200
2023-03-28,117.95,118.44,116.85,117.87,4461400
2023-03-29,118.64,120.57,118.49,120.49,5644000
2023-03-30,121.03,121.44,119.34,120.1,4578900
2023-03-31,120.92,122.71,120.6,122.64,5659400
2023-04-03,122.5,122.85,120.82,121.67,4838400
2023-04-04,121.38,123.95,121.36,123.69,5895300
2023-04-05,123,123.33,120.56,120.9,4331400
2023-04-06,119.51,120.49,117.85,120.22,4256900
2023-04-10,119.3,121.91,119.13,121.91,3731200
2023-04-11,122.04,124.08,122.04,123.3,4471000
2023-04-12,124.76,124.86,123.22,123.66,4524900
2023-04-13,124.64,126.67,124.46,126.43,5355300
2023-04-14,127,127.49,125.49,125.95,4828700
2023-04-17,126.03,126.48,125.13,126.19,3917900
2023-04-18,127.23,127.28,125.02,126.21,3857700
2023-04-19,126,126.08,124.92,125.67,3547400
2023-04-20,124.8,125.35,123.71,124.45,3891600
2023-04-21,124.4,125.68,123.62,125.53,3651400
2023-04-24,125.51,127.13,125.15,127.09,3790900
2023-04-25,126.53,126.77,124.05,124.66,4383300
2023-04-26,124.21,124.98,123.29,123.84,4003200
2023-04-27,124.44,126.01,123.14,125.7,4252100
2023-04-28,125.15,127.07,124.96,126.72,4421400
2023-05-01,126.92,128.68,126.86,127.92,4112600
2023-05-02,127.15,127.58,125.17,127.26,3831600
2023-05-03,125.49,128.38,123.67,126.74,4560100
2023-05-04,124.94,125.19,122.82,123.67,6177100
2023-05-05,125.93,127.03,125.22,126.59,4887800
2023-05-08,127.26,127.69,125.98,126.88,3892600
2023-05-09,125.27,125.66,124.17,125.1,4082100
2023-05-10,126.29,126.46,122.17,123.51,5052600
2023-05-11,123.45,123.86,121.9,122.22,5923100
2023-05-12,120.99,121.2,119.03,120.21,6574200
2023-05-15,119.82,119.99,118.01,119.83,5518200
2023-05-16,117.5,117.84,116.12,116.48,8306400
2023-05-17,116.38,117.13,115.25,116.98,7765400
2023-05-18,117.43,119.15,116.85,118.87,5970500
2023-05-19,114.56,115.49,113.1,114.76,11674300
2023-05-22,112.85,112.85,110.02,110.18,12710300
2023-05-23,109.77,111.06,108.19,108.78,11790400
2023-05-24,109,109.1,107.2,108.29,8503200
2023-05-25,108.35,108.97,107.42,107.48,6729800
2023-05-26,107,108.45,107,107.51,7911200
2023-05-30,108.4,108.88,106.27,106.52,9335200
2023-05-31,105.7,106.17,104.83,105.26,21465200
2023-06-01,104.18,104.6,102.9,103.63,12025200
2023-06-02,107.63,108.42,106.13,107.78,11838200
2023-06-05,107.88,107.88,105.18,105.2,7434000
2023-06-06,105.49,106.75,105.2,106.19,7896300
2023-06-07,106.04,108.24,105.42,107.09,11123900
2023-06-08,107.16,107.52,105.67,106.2,9137600
2023-06-09,105.91,106.28,105.35,105.86,5795200
2023-06-12,106.29,106.85,104.6,106.83,7964600
2023-06-13,107.14,107.48,106.29,106.78,8460500
2023-06-14,107.48,113.4,107.48,112.86,17415500
2023-06-15,111.83,112.82,110.16,112.41,10374200
2023-06-16,114,114.76,113.06,113.59,14445500
2023-06-20,111.41,112.82,108.96,109.54,10602400
2023-06-21,109.13,110.36,108.71,109.98,8377800
2023-06-22,110.82,111.25,109.78,110.46,6002900
2023-06-23,107.75,110.29,107.3,109.52,14329200
2023-06-26,109.67,112.21,109.67,111.74,6887100
2023-06-27,112.53,114.18,112.43,113.61,7138600
2023-06-28,113.34,113.75,112.12,113.03,6766000
2023-06-29,113.6,114.27,112.61,113.37,12465500
2023-06-30,111.59,112.25,109.8,110.37,19629600
2023-07-03,111.06,111.3,109.11,109.11,5734200
