Date,Open,High,Low,Close,Volume
2021-01-04,257.7,265.5,255.6,264.9,82687
2021-01-05,263.4,270,260.7,269.7,62680
2021-01-06,264.45,271.05,260.55,262.95,71953
2021-01-07,264.6,279.9,264.6,279,44053
2021-01-08,280.35,289.2,279.15,288.15,49967
2021-01-11,288.15,295.05,274.8,281.1,76753
2021-01-12,280.35,294.9,279.9,285.45,64260
2021-01-13,285.45,287.1,274.05,274.95,46707
2021-01-14,278.7,280.95,265.95,267,93347
2021-01-15,266.25,271.5,252.75,254.7,157220
2021-01-19,256.95,259.35,250.95,258.3,81980
2021-01-20,260.4,262.2,253.05,253.65,63460
2021-01-21,254.1,255.15,247.95,249.9,61087
2021-01-22,247.95,250.65,246.15,248.4,45420
2021-01-25,256.5,266.4,253.2,266.1,82380
2021-01-26,268.5,281.25,267.45,273.6,77980
2021-01-27,270.45,286.5,263.55,281.7,148427
2021-01-28,282.6,286.05,273.75,276.6,125360
2021-01-29,276.75,331.8,275.7,295.5,290500
2021-02-01,344.1,345,309,310.35,198960
2021-02-02,325.05,325.35,291.15,293.1,125460
2021-02-03,292.65,304.95,288.75,298.5,150987
2021-02-04,301.65,309.9,292.35,309,132767
2021-02-05,303.75,310.95,295.95,302.7,84347
2021-02-08,306.15,315.15,303.75,315.15,84027
2021-02-09,317.25,339.3,313.95,339.15,88993
2021-02-10,342,358.35,333.75,348,104853
2021-02-11,348.9,349.8,336.3,341.25,60200
2021-02-12,342.45,347.55,335.85,342.9,81140
2021-02-16,339.6,342,330.15,336.9,92013
2021-02-17,375,401.25,357.15,381.9,354427
2021-02-18,373.8,389.25,365.1,375.75,88493
2021-02-19,375,386.7,370.05,373.8,73620
2021-02-22,362.4,367.2,332.85,334.65,101733
2021-02-23,326.4,341.1,318,337.95,84280
2021-02-24,333.75,344.1,329.4,341.55,55513
2021-02-25,341.7,346.35,331.35,336.6,72860
2021-02-26,340.5,356.25,333.45,340.35,116167
2021-03-01,345.3,366,342.45,354.3,97447
2021-03-02,353.85,367.5,351.3,356.1,89080
2021-03-03,357.3,364.35,347.4,351.6,51747
2021-03-04,348.45,353.85,325.8,335.7,143527
