Date,Open,High,Low,Close,Volume
2017-01-03,15.062,15.398,14.926,15.132,5509000
2017-01-04,15.218,15.796,15.178,15.766,10076500
2017-01-05,15.742,15.934,15.668,15.826,7820000
2017-01-06,15.848,16.478,15.78,16.42,8433000
2017-01-09,16.36,16.514,16.26,16.4,6696000
2017-01-10,16.45,16.486,16.228,16.334,6344000
2017-01-11,16.252,16.98,16.252,16.78,10423500
2017-01-12,16.604,16.752,16.182,16.692,6990000
2017-01-13,16.764,16.8,16.526,16.706,3729000
2017-01-17,16.616,16.65,16.258,16.282,4399500
2017-01-18,16.602,16.87,16.538,16.57,7330500
2017-01-19,16.592,16.72,16.478,16.54,6510500
2017-01-20,16.624,16.854,16.622,16.68,6259500
2017-01-23,16.768,16.782,16.452,16.65,4944000
2017-01-24,16.772,16.918,16.428,16.794,7439000
2017-01-25,16.982,17.392,16.898,17.272,13432000
2017-01-26,18.402,18.596,17.882,17.896,21847000
2017-01-27,17.802,18.1,17.742,18.018,9904500
2017-01-30,17.92,18.066,17.602,18.024,7928500
2017-01-31,18.02,18.134,17.79,18.124,6634500
2017-02-01,18.234,18.234,17.878,17.94,14421000
2017-02-02,17.85,17.968,17.646,17.772,10627000
2017-02-03,17.836,17.998,17.824,17.894,12274000
2017-02-06,17.838,18.142,17.726,18.1,7208500
2017-02-07,18.162,18.232,18.07,18.132,8234500
2017-02-08,17.952,18.088,17.878,18.018,9436500
2017-02-09,18.028,18.462,18.002,18.46,9100000
2017-02-10,18.516,18.564,18.34,18.492,8237000
2017-02-13,18.436,18.5,18.3,18.348,4799000
2017-02-14,18.336,18.66,18.27,18.578,7112500
2017-02-15,18.488,18.944,18.466,18.794,7922500
2017-02-16,18.788,18.838,18.308,18.37,7056000
2017-02-17,18.374,18.594,18.246,18.548,5585000
2017-02-21,18.604,18.702,18.434,18.636,3088500
2017-02-22,18.542,18.734,18.434,18.596,2738500
2017-02-23,18.672,18.68,18.282,18.53,4160000
2017-02-24,18.32,18.478,18.132,18.364,5191000
2017-02-27,18.122,18.122,17.386,17.55,27963500
2017-02-28,17.444,17.656,17.364,17.384,10841500
2017-03-01,17.604,17.798,17.348,17.778,15829000
2017-03-02,17.818,17.828,17.248,17.268,7057000
2017-03-03,17.206,17.438,17.202,17.294,5947500
2017-03-06,17.186,17.354,17.112,17.252,7096000
2017-03-07,17.266,17.538,17.22,17.412,7393000
2017-03-08,17.464,17.654,17.396,17.458,3970000
2017-03-09,17.462,17.626,17.278,17.566,4466000
2017-03-10,17.654,17.718,17.38,17.606,4285500
2017-03-13,17.618,17.772,17.532,17.728,6464000
2017-03-14,17.698,17.722,17.336,17.494,5713000
2017-03-15,17.576,17.754,17.458,17.682,5103500
2017-03-16,17.758,17.874,17.698,17.76,4768000
2017-03-17,17.81,17.894,17.702,17.742,5034500
2017-03-20,17.77,17.79,17.55,17.622,3106500
2017-03-21,17.76,17.8,16.758,16.786,12050500
2017-03-22,16.77,17.038,16.692,17.008,7117000
2017-03-23,17.024,17.162,16.826,16.88,4300500
2017-03-24,17.008,17.138,16.862,16.962,4093000
2017-03-27,16.848,17.118,16.684,16.974,4531000
2017-03-28,17.08,17.274,16.966,17.2,4702000
2017-03-29,17.256,17.576,17.22,17.522,7192000
2017-03-30,17.488,17.54,17.362,17.388,3859000
2017-03-31,17.364,17.6,17.276,17.494,4553000
2017-04-03,17.52,17.672,17.082,17.244,6249000
2017-04-04,17.212,17.476,17.04,17.058,5884000
2017-04-05,17.198,17.536,17.082,17.132,7081500
2017-04-06,17.15,17.284,17.02,17.238,3368000
2017-04-07,17.18,17.314,17.104,17.204,3835000
2017-04-10,17.19,17.278,17.084,17.106,3357000
2017-04-11,17.07,17.198,16.964,17.078,4695000
2017-04-12,17.002,17.142,16.806,16.898,4368500
2017-04-13,16.874,17.04,16.868,16.928,5659500
2017-04-17,17.008,17.284,16.984,17.282,5591000
2017-04-18,17.2,17.534,17.186,17.52,6908500
2017-04-19,17.592,17.68,17.53,17.63,5973500
2017-04-20,17.698,17.698,17.492,17.652,6760000
2017-04-21,17.76,17.886,17.616,17.664,5382500
2017-04-24,17.934,17.934,17.67,17.884,6560000
2017-04-25,17.984,18.16,17.912,18.048,7088000
2017-04-26,18.086,18.242,17.806,18.184,14074500
2017-04-27,19.256,19.384,18.66,18.866,23452000
2017-04-28,18.86,19.064,18.588,18.896,11710500
2017-05-01,18.928,19.088,18.742,18.986,13706500
2017-05-02,18.964,19.02,18.754,18.992,5852000
2017-05-03,18.938,19.03,18.746,18.822,4912000
2017-05-04,18.918,19.26,18.83,19.204,7579000
2017-05-05,19.224,19.638,19.224,19.614,9089500
2017-05-08,19.536,19.818,19.43,19.58,10865500
2017-05-09,19.632,19.694,19.392,19.466,7929500
2017-05-10,19.444,19.514,19.272,19.294,6050000
2017-05-11,19.3,19.384,19.1,19.352,5501000
2017-05-12,19.362,19.47,19.198,19.38,4830500
2017-05-15,19.448,19.722,19.382,19.59,4462500
2017-05-16,19.752,20.038,19.562,20.036,9230000
2017-05-17,19.74,19.88,19.612,19.71,18149000
