Date,Open,High,Low,Close,Volume
2013-01-02,44.1,44.9,44.09,44.78,3100400
2013-01-03,44.77,45.27,44.49,44.69,2448000
2013-01-04,44.7,45.31,44.61,45.28,1839200
2013-01-07,45.08,45.88,44.88,45.48,2484500
2013-01-08,45.41,45.57,44.71,45.01,2448000
2013-01-09,45.11,45.34,45.04,45.25,1351200
2013-01-10,45.5,45.6,45.2,45.47,1893200
2013-01-11,45.39,45.5,45.09,45.43,1442400
2013-01-14,45.49,45.99,45.27,45.53,1811700
2013-01-15,45.32,46.13,45.3,46.06,2129500
2013-01-16,45.77,46.06,45.36,45.91,2765100
2013-01-17,46.1,46.88,45.8,46.64,3114500
2013-01-18,46.76,47.69,46.55,47.52,5357800
2013-01-22,47.63,48.37,47.4,48.11,3244100
2013-01-23,48.24,48.24,47.63,47.98,2294700
2013-01-24,48.12,48.34,47.6,47.78,2651700
2013-01-25,48,48,47.18,47.68,2058600
2013-01-28,47.78,47.78,46.79,47.19,3392700
2013-01-29,47.53,47.65,46.51,47.04,2732200
2013-01-30,47,47.14,46.22,46.3,2672900
2013-01-31,46.32,46.39,46,46.01,2422200
2013-02-01,46.47,47.13,46.19,46.98,2594300
2013-02-04,46.49,46.67,46.03,46.12,2107900
2013-02-05,46.25,46.45,46.03,46.23,2141900
2013-02-06,46.13,47.28,46.06,46.96,2938100
2013-02-07,46.87,46.92,46.01,46.28,3010200
2013-02-08,46.36,46.89,46.36,46.74,1197200
2013-02-11,46.61,47.08,46.5,46.87,1367400
2013-02-12,46.82,47.52,46.79,47.24,1516200
2013-02-13,47.21,47.62,47,47.47,2237600
2013-02-14,47.3,48.34,47.25,48.23,2881100
2013-02-15,48.23,48.31,47.93,48.12,1985800
2013-02-19,48.24,48.6,47.58,47.72,2253600
2013-02-20,47.55,47.73,45.84,45.95,3406600
2013-02-21,45.66,45.76,44.32,44.7,4741300
2013-02-22,45.15,45.5,44.8,45.18,2359200
2013-02-25,45.47,45.56,43.68,43.71,3033200
2013-02-26,44.04,44.17,43.41,43.85,2945000
2013-02-27,43.8,45.08,43.78,44.93,2301400
2013-02-28,44.96,45.61,44.73,45.05,2595800
2013-03-01,44.69,44.99,44.24,44.37,2626600
2013-03-04,44.65,45.04,43.98,45.02,3116000
2013-03-05,45.61,46.11,45.32,45.41,2767100
2013-03-06,45.66,46.87,45.59,46.49,3792600
