Date,Open,High,Low,Close,Volume
2021-01-04,13.1042,13.6525,12.9625,13.1135,560640000
2021-01-05,13.0997,13.4435,13.087,13.4047,322760000
2021-01-06,13.2225,13.245,12.586,12.6145,580424000
2021-01-07,12.9675,13.3778,12.8865,13.344,461480000
2021-01-08,13.3625,13.421,13.042,13.2767,292528000
2021-01-11,13.4187,13.961,13.3625,13.6215,518344000
2021-01-12,13.7525,13.7545,13.345,13.4847,291476000
2021-01-13,13.49,13.625,13.385,13.5317,210028000
2021-01-14,13.575,13.5997,13.1805,13.2002,283120000
2021-01-15,13.228,13.3252,12.8485,12.8595,277780000
2021-01-19,13.0162,13.094,12.844,13.0253,226188000
2021-01-20,13.1117,13.4305,13.0568,13.3658,258572000
2021-01-21,13.4185,13.9993,13.253,13.8675,337780000
2021-01-22,13.74,13.8418,13.6272,13.7125,246820000
2021-01-25,13.7817,13.8285,13.2365,13.6532,251112000
2021-01-26,13.5805,13.6447,13.3875,13.4353,163980000
2021-01-27,13.23,13.2327,12.7937,12.9178,371272000
2021-01-28,12.9963,13.3398,12.9605,13.051,228316000
2021-01-29,13.075,13.3348,12.9115,12.9897,271552000
2021-02-01,13.0533,13.2708,12.9028,13.237,217204000
2021-02-02,13.3988,13.572,13.2855,13.5568,220440000
2021-02-03,13.636,13.9318,13.5165,13.5305,245408000
2021-02-04,13.531,13.6735,13.3378,13.6643,201340000
2021-02-05,13.725,13.7373,13.5457,13.591,169152000
2021-02-08,13.7273,14.4738,13.7273,14.4388,434624000
2021-02-09,14.3407,14.5833,14.2225,14.2633,287560000
2021-02-10,14.4633,14.905,14.3415,14.7642,485352000
2021-02-11,14.9803,15.2723,14.925,15.2507,450828000
2021-02-12,15.05,15.2913,14.775,14.9613,374756000
2021-02-16,15.0642,15.3725,14.95,15.3302,321960000
2021-02-17,15.171,15.2235,14.78,14.906,274756000
2021-02-18,14.729,14.8733,14.575,14.829,233868000
2021-02-19,15.0245,15.177,14.8468,14.9265,271724000
2021-02-22,14.7747,15.1333,14.325,14.3558,325884000
2021-02-23,14.0752,14.2388,13.3895,14.142,391780000
2021-02-24,14.1228,14.5068,13.756,14.499,448320000
2021-02-25,14.0455,14.3748,13.2163,13.3075,824436000
2021-02-26,13.7525,13.8545,13.361,13.7145,500932000
2021-03-01,13.875,13.925,13.5533,13.8418,353184000
2021-03-02,13.9,13.9205,13.396,13.4062,264116000
2021-03-03,13.4263,13.4515,12.7987,12.8048,377592000
2021-03-04,12.8007,12.975,12.0837,12.3702,573344000
2021-03-05,12.55,12.55,11.6792,12.4615,542840000
2021-03-08,12.45,12.4712,11.5665,11.5933,543112000
2021-03-09,12.1302,12.6167,12.0592,12.5203,521824000
2021-03-10,12.8405,12.98,12.4575,12.4683,384376000
2021-03-11,12.95,13.0463,12.7345,12.9935,299916000
2021-03-12,12.6482,12.8888,12.59,12.856,243964000
2021-03-15,12.8647,13.2067,12.7673,13.1912,221988000
2021-03-16,13.3565,13.5125,13.1167,13.2913,272128000
2021-03-17,13.0398,13.4532,12.9895,13.3413,243864000
2021-03-18,13.1365,13.184,12.717,12.7225,293896000
2021-03-19,12.75,12.9215,12.6125,12.8457,299208000
2021-03-22,12.9128,13.3945,12.9067,13.1862,297804000
2021-03-23,13.2542,13.3445,13.0212,13.0708,222048000
2021-03-24,13.1512,13.1593,12.6368,12.643,245840000
2021-03-25,12.4995,12.7148,12.272,12.5352,295144000
2021-03-26,12.5545,12.8562,12.3735,12.8392,363968000
2021-03-29,12.8202,13.0625,12.7,12.9482,273520000
2021-03-30,12.842,12.9753,12.705,12.8717,200204000
2021-03-31,13.0155,13.4705,12.9825,13.3483,314776000
2021-04-01,13.5723,13.87,13.5112,13.8118,308276000
2021-04-05,13.8675,14.014,13.733,13.9875,255672000
2021-04-06,13.9998,14.0542,13.7735,13.8615,191744000
2021-04-07,13.8807,14.2435,13.7115,14.1435,251284000
2021-04-08,14.2528,14.4715,14.249,14.317,244416000
2021-04-09,14.214,14.408,14.175,14.4,195172000
2021-04-12,14.2898,15.3525,14.1392,15.209,869324000
2021-04-13,15.2315,15.7,15.1257,15.6795,676212000
2021-04-14,15.625,15.7205,15.2275,15.277,385500000
2021-04-15,15.6625,16.2143,15.6315,16.1373,598480000
2021-04-16,16.053,16.1658,15.8652,15.9125,335208000
2021-04-19,15.5365,15.8075,15.233,15.3617,404420000
2021-04-20,15.3232,15.497,14.963,15.1713,334132000
2021-04-21,15.1187,15.3625,15.1023,15.3605,216776000
2021-04-22,15.375,15.4385,14.7835,14.8503,277788000
2021-04-23,14.9342,15.335,14.9003,15.2653,227500000
2021-04-26,15.185,15.479,15.125,15.478,197796000
2021-04-27,15.5785,15.6705,15.3545,15.3818,164572000
2021-04-28,15.3645,15.5323,15.2155,15.2767,209416000
2021-04-29,15.4,15.4365,15.0715,15.3247,173196000
2021-04-30,15.1745,15.365,14.997,15.0095,201912000
2021-05-03,15.125,15.2467,14.7875,14.8368,203912000
2021-05-04,14.6372,14.6375,14.0103,14.3512,405324000
2021-05-05,14.709,14.8135,14.3875,14.4585,292024000
2021-05-06,14.4952,14.5712,14.218,14.523,193380000
2021-05-07,14.8083,14.9707,14.6718,14.8123,229328000
2021-05-10,14.7872,14.806,14.25,14.2657,268904000
2021-05-11,13.825,14.3547,13.75,14.3062,285584000
2021-05-12,14.0095,14.2603,13.7093,13.7585,303408000
2021-05-13,14.0337,14.0808,13.459,13.6652,285404000
2021-05-14,13.89,14.328,13.7485,14.243,258616000
2021-05-17,14.157,14.1692,13.8535,14.1655,216980000
