Date,Open,High,Low,Close,Volume
2018-01-02,16.3,16.45,16.23,16.43,2475000
2018-01-03,16.45,16.53,16.41,16.49,2816600
2018-01-04,16.54,16.69,16.51,16.59,2343200
2018-01-05,16.89,17.1,16.52,16.8,1798400
2018-01-08,16.8,16.85,16.67,16.83,3595500
2018-01-09,16.86,16.97,16.79,16.88,2128200
2018-01-10,16.85,16.9,16.77,16.85,2523800
2018-01-11,16.87,17.22,16.87,17.08,3338200
2018-01-12,17.11,17.18,16.98,17.15,1864900
2018-01-16,17.2,17.26,16.94,16.97,1854100
2018-01-17,16.97,17.29,16.94,17.21,1902100
2018-01-18,17.18,17.23,17,17.01,2863900
2018-01-19,17.08,17.28,16.97,17.22,4544100
2018-01-22,17.16,17.19,16.98,17.18,1733000
2018-01-23,17.11,17.12,16.95,17.07,1519800
2018-01-24,17.12,17.19,16.98,17.09,1711800
2018-01-25,17.11,17.15,16.98,17.04,1250100
2018-01-26,17.11,17.16,16.92,17.14,1314700
2018-01-29,17.1,17.24,17.01,17.06,1280900
2018-01-30,17.02,17.21,16.92,17.05,1991000
2018-01-31,17.04,17.14,16.95,17.11,1710700
2018-02-01,17.02,17.1,16.8,16.82,2126600
2018-02-02,16.78,16.83,16.39,16.41,2367800
2018-02-05,16.4,16.59,15.83,15.83,3209600
2018-02-06,15.61,16.31,15.22,16.29,6201900
2018-02-07,16.21,16.36,15.97,16.06,2698100
2018-02-08,16.01,16.14,15.64,15.65,2564800
2018-02-09,15.79,16.35,15.35,15.77,3827900
2018-02-12,15.91,15.96,15.67,15.75,2714300
2018-02-13,15.7,16.25,15.7,16.22,2672100
2018-02-14,16.11,16.4,16.06,16.34,2778200
2018-02-15,16.37,16.49,16.23,16.37,1884900
2018-02-16,16.32,16.44,16.2,16.26,2258400
2018-02-20,16.15,16.23,15.93,15.95,2015700
2018-02-21,15.96,16.23,15.96,16.01,3429100
2018-02-22,16.12,16.34,16.12,16.22,2407600
2018-02-23,16.3,16.51,16.14,16.5,1737600
2018-02-26,16.53,16.66,16.45,16.64,1084600
2018-02-27,16.61,16.67,16.37,16.38,1359700
2018-02-28,16.39,16.45,16.12,16.13,2055300
2018-03-01,16.11,16.19,15.7,15.75,2916100
2018-03-02,15.75,15.9,15.64,15.87,4372600
2018-03-05,15.79,16.18,15.76,16.15,1831400
2018-03-06,16.16,16.44,16.09,16.42,1961900
2018-03-07,16.27,16.35,16.1,16.3,1819300
2018-03-08,16.37,16.39,16.15,16.22,1075800
2018-03-09,16.3,16.47,16.23,16.47,1245000
2018-03-12,16.51,16.67,16.46,16.55,956500
2018-03-13,16.56,16.67,16.31,16.37,1025500
2018-03-14,16.45,16.47,16.27,16.33,1461200
2018-03-15,16.34,16.5,16.34,16.42,1464600
2018-03-16,16.44,16.68,16.44,16.6,2281400
2018-03-19,16.55,16.65,16.32,16.34,2723400
2018-03-20,16.37,16.41,16.27,16.36,1672400
2018-03-21,16.36,16.58,16.33,16.51,1560300
2018-03-22,16.38,16.57,16.25,16.27,2142700
2018-03-23,16.29,16.33,15.56,15.56,2208000
2018-03-26,15.74,15.76,15.34,15.68,2485900
2018-03-27,15.71,15.88,15.51,15.58,1557600
2018-03-28,15.58,15.69,15.43,15.43,3200500
2018-03-29,15.56,15.95,15.44,15.8,1930600
2018-04-02,15.76,15.83,15.28,15.41,1884800
2018-04-03,15.42,15.66,15.2,15.64,1978900
2018-04-04,15.43,15.79,15.34,15.78,2055100
2018-04-05,15.78,15.94,15.63,15.75,2166900
2018-04-06,15.59,15.79,15.38,15.5,1306800
2018-04-09,15.55,15.9,15.51,15.65,2584000
2018-04-10,15.78,16.15,15.74,15.95,1651200
2018-04-11,15.83,15.93,15.76,15.8,2031600
2018-04-12,15.88,15.97,15.76,15.91,957100
2018-04-13,15.9,16.06,15.69,15.72,943300
2018-04-16,15.81,15.99,15.73,15.95,2730500
2018-04-17,16.02,16.13,15.93,16.1,1472400
2018-04-18,16.1,16.19,16,16.03,1515800
2018-04-19,15.98,16.22,15.95,16.19,1550500
2018-04-20,16.23,16.23,16.1,16.17,2417100
2018-04-23,16.18,16.27,16.09,16.18,1107800
2018-04-24,16.24,16.29,15.87,15.9,1173000
2018-04-25,15.87,15.95,15.75,15.88,1094500
2018-04-26,15.99,16.05,15.88,15.97,1101000
2018-04-27,15.95,16.29,15.86,16.01,883200
2018-04-30,16.06,16.16,15.92,15.98,1387600
2018-05-01,15.94,16.03,15.82,16.01,1874500
2018-05-02,15.95,16,15.69,15.71,2250600
2018-05-03,15.7,15.92,15.55,15.88,1368200
2018-05-04,15.81,16.15,15.77,16.14,1236100
2018-05-07,16.16,16.45,16.09,16.39,1493700
2018-05-08,16.31,16.47,16.31,16.37,2328600
