Date,Shares
2015-11-05,209278000
2016-02-23,209990000
2016-04-06,210097000
2016-05-04,210105000
2016-08-03,210427000
2016-11-02,210685000
2017-02-01,210685000
2017-03-01,210758000
2017-04-07,210908992
2017-05-03,210976992
2017-05-22,210976992
2017-07-05,379928000
2017-07-10,379928000
2017-08-02,411248992
2018-11-13,411360992
2018-11-14,411360992
2018-11-15,411360992
2018-11-19,411360992
2018-11-21,411360992
2018-11-22,411360992
2018-11-26,411360992
2018-11-28,411360992
2018-11-29,411360992
2018-12-02,411360992
2018-12-03,411360992
2018-12-04,411360992
2018-12-06,411360992
2018-12-07,411360992
2018-12-10,411360992
2018-12-11,411360992
2018-12-12,411360992
2018-12-14,411360992
2018-12-16,411360992
2018-12-17,411360992
2018-12-19,411360992
2018-12-21,411360992
2018-12-30,411360992
2019-01-05,411360992
2019-01-07,411360992
2019-01-09,411360992
2019-01-10,411361984
2019-01-12,411361984
2019-01-14,411360992
2019-01-16,411360992
2019-01-20,411360992
2019-01-24,411360992
2019-01-25,411360992
2019-01-26,411360992
2019-01-28,411360992
2019-01-30,411360992
2019-02-04,411360992
2019-02-07,411360992
2019-02-10,411360992
2019-02-13,411360992
2019-02-15,411360992
2019-02-17,411360992
2019-02-18,411360992
2019-02-20,411360992
2019-02-28,411360992
2019-03-01,411360992
2019-03-07,411611008
2019-03-09,411611008
2019-03-10,411611008
2019-03-11,411611008
2019-03-14,411611008
2019-03-17,411611008
2019-03-26,411611008
2019-03-29,411611008
2019-04-01,411611008
2019-04-05,412743008
2019-04-09,412743008
2019-04-10,412743008
2019-04-14,412743008
2019-04-17,412743008
2019-04-18,412743008
2019-04-21,412743008
2019-04-22,412743008
2019-04-29,412743008
2019-05-02,412752992
2019-05-05,412756000
2019-05-07,412756000
2019-05-09,412756000
2019-05-10,412756000
2019-05-12,412756000
2019-05-19,412756000
2019-05-22,412756000
2019-05-23,412756000
2019-05-28,412756000
2019-06-03,412756000
2019-06-04,412756000
2019-06-05,412756000
2019-06-06,412756000
2019-06-10,412756000
2019-06-11,412756000
2019-06-12,412756000
2019-06-17,412756000
2019-06-19,412756000
2019-06-21,412756000
2019-06-23,412756000
2019-06-24,412756000
2019-06-26,412756000
2019-07-03,411392000
2019-07-04,412756000
2019-07-05,407816992
2019-07-06,412756000
2019-07-10,413227008
2019-07-11,416480992
2019-07-12,416329984
2019-07-13,412756000
2019-08-01,412964992
2019-08-02,412968000
2019-08-06,412968000
2019-08-07,433228992
2019-08-08,407415008
2019-08-09,418062016
2019-08-10,412968000
2019-08-23,407747008
2019-08-24,412968000
2019-08-30,405446016
2019-09-02,402828992
2019-09-04,412968000
2019-09-06,414480000
2019-09-09,409806016
2019-09-11,400385984
2019-09-12,416001984
2019-09-13,412968000
2019-09-20,405356992
2019-09-21,412968000
2019-10-04,410903008
2019-10-08,412968000
2019-10-21,416156000
2019-10-22,412968000
2019-11-01,413084992
2019-11-05,410615008
2019-11-06,401080000
2019-11-07,403492992
2019-11-08,406422016
2019-11-09,413084992
2019-11-14,415791008
2019-11-15,410161984
2019-11-16,413084992
2019-12-18,412916000
2019-12-19,413084992
2020-01-08,406639008
2020-01-09,412761984
2020-01-10,406316992
2020-01-11,406633984
2020-01-12,413084992
2020-01-13,412428992
2020-01-14,413084992
2020-02-07,411889984
2020-02-08,413084992
2020-02-12,415107008
2020-02-13,415640992
2020-02-14,413084992
2020-02-26,413239008
2020-02-27,413319008
2020-04-07,413856992
2020-04-30,413883008
2020-05-01,413907008
2020-05-21,398036000
2020-05-22,413907008
2020-06-15,414105984
2020-07-08,444011008
2020-07-30,444196992
2020-07-31,444201984
2020-08-28,444201984
2020-09-05,450804992
2020-09-06,444201984
2020-09-21,452104992
2020-09-22,444201984
2020-10-29,444392992
2020-10-31,444396992
2020-11-03,444396992
2020-11-26,444396992
2021-02-24,444872000
2021-02-25,444984000
2021-03-17,444984000
2021-04-09,445534016
2021-04-23,455310016
2021-04-24,459270016
2021-04-27,445534016
2021-05-01,445536992
2021-05-03,445536992
2021-08-05,445817984
2021-08-06,445536992
2021-08-14,453478016
2021-08-15,445660992
2021-08-20,457328992
2021-08-31,452383008
2021-09-01,450072992
2021-09-02,445660992
2021-10-21,445728992
2021-10-22,445660992
2021-10-27,445796000
2021-10-28,445660992
2021-11-04,445934016
2021-11-05,449308000
2021-11-06,445936992
2021-11-20,445936992
2022-02-11,445936992
2022-03-02,456484000
2022-03-03,446212992
2022-03-16,458712000
2022-03-17,455875008
2022-03-19,446212992
2022-04-08,446592000
2022-05-06,446616000
2022-05-10,446616000
2022-06-14,473223008
2022-06-15,446616000
2022-07-06,459990016
2022-07-07,446616000
2022-08-10,446856992
2022-08-12,446862016
2022-08-16,452987008
2022-08-17,446862016
2022-09-02,446862016
2022-10-04,427585984
2022-10-07,446862016
2022-10-21,447430016
2022-10-22,446862016
2022-11-03,446948000
2022-11-04,446862016
2022-11-05,446953984
2023-01-04,459256992
2023-01-05,446953984
2023-02-04,447932000
2023-02-05,446953984
2023-03-02,447158016
2023-03-03,447220992
2023-03-18,458723008
2023-03-22,447220992
2023-03-30,454775008
2023-04-01,454444992
2023-04-07,447440000
2023-04-25,452096000
2023-04-26,447440000
2023-05-06,447440992
2023-05-07,447443008
2023-05-11,452044000
2023-05-12,450148992
2023-05-13,447443008
2023-05-16,447444992
2023-05-23,447444992
2023-06-13,447744992
2023-07-12,454185984
2023-07-13,447444992
2023-07-19,453867008
2023-07-20,447444992
2023-07-27,447673984
2023-08-22,447675008
2023-09-27,582473024
2023-10-11,582473024
2023-10-12,582473024
2023-10-13,582473024
2023-10-14,582473024
2023-10-17,587164992
2023-10-18,582473024
2023-10-19,582473024
2023-10-25,582473024
2023-10-27,582473024
2023-11-01,582537024
2023-11-02,582537024
2023-11-03,582550976
2023-11-04,582537024
2023-11-08,596777024
2023-11-09,582550976
2023-11-15,582550976
2023-11-16,582550976
2023-11-17,582550976
2023-11-18,582550976
2023-11-22,582550976
2023-11-23,582550976
2023-11-25,582550976
2023-11-28,582550976
2023-11-29,582550976
2023-11-30,582550976
2023-12-01,582550976
2023-12-05,582550976
2023-12-06,590371008
2023-12-08,582550976
2023-12-12,582550976
2023-12-13,582550976
2023-12-14,582550976
2023-12-15,582550976
2023-12-16,582550976
2023-12-21,582550976
2023-12-22,582550976
2023-12-27,582550976
2023-12-28,582550976
2023-12-29,582550976
2023-12-30,582550976
2024-01-03,582550976
2024-01-04,582550976
2024-01-05,582550976
2024-01-06,582550976
2024-01-18,587105984
2024-01-19,582550976
2024-01-20,582550976
2024-01-23,588092032
2024-01-24,582550976
2024-01-30,582550976
2024-02-01,582550976
2024-02-02,582550976
2024-02-03,584172032
2024-02-06,582550976
2024-02-07,582550976
2024-02-08,582550976
2024-02-09,582550976
2024-02-10,582550976
2024-02-13,582550976
2024-02-14,582550976
2024-02-15,582550976
2024-02-16,582550976
2024-02-17,582550976
2024-02-21,582550976
2024-02-24,582550976
2024-02-27,583092992
2024-02-28,583092992
2024-03-02,583158976
2024-03-05,583158976
2024-03-07,583158976
2024-03-13,583158976
2024-03-15,583158976
2024-03-16,583158976
2024-03-20,583158976
2024-03-22,583158976
2024-03-23,583158976
2024-03-26,583158976
2024-03-27,583158976
2024-04-12,583640000
2024-04-16,583640000
2024-04-17,583640000
2024-04-20,583640000
2024-04-23,583640000
2024-04-24,583640000
2024-04-25,583640000
2024-04-26,583640000
2024-04-30,583640000
2024-05-01,583644032
2024-05-02,583644032
2024-05-03,583646976
2024-05-04,583646976
2024-05-07,583646976
2024-05-08,583646976
2024-05-11,583646976
2024-05-14,583646976
2024-05-18,583646976
2024-05-21,583646976
2024-05-23,583646976
2024-05-24,583646976
2024-05-25,583646976
2024-05-30,583646976
2024-06-04,583646976
2024-06-05,583646976
2024-06-07,583646976
2024-06-11,583646976
2024-06-12,583646976
2024-06-13,583646976
2024-06-15,588579008
2024-06-18,583646976
2024-06-19,583646976
2024-06-21,583646976
2024-06-22,583646976
2024-06-25,583646976
2024-06-27,583646976
2024-06-28,583646976
2024-07-02,583646976
2024-07-03,583646976
2024-07-04,583646976
2024-07-10,583646976
2024-07-11,583646976
2024-07-12,583646976
2024-07-13,583646976
2024-07-16,583646976
2024-07-17,583646976
2024-07-18,583646976
2024-07-19,583646976
2024-07-20,583646976
2024-07-23,583646976
2024-07-24,592062016
2024-07-25,589096000
2024-07-26,583646976
2024-07-27,583646976
2024-07-30,583646976
2024-07-31,583646976
2024-08-01,583646976
2024-08-06,583646976
2024-08-07,584073984
2024-08-08,584073984
2024-08-09,584073984
2024-08-10,586342016
2024-08-14,584073984
2024-08-15,584073984
2024-08-20,584073984
2024-08-21,584073984
2024-08-22,584073984
2024-08-23,584073984
2024-08-24,584073984
2024-08-27,584073984
2024-08-28,584073984
2024-08-29,585596992
2024-08-30,584073984
2024-08-31,584073984
2024-09-04,584833984
2024-09-05,589958016
2024-09-06,584073984
2024-09-07,588884992
2024-09-10,584073984
2024-09-11,586112000
2024-09-12,593652992
2024-09-13,584073984
2024-09-14,584073984
2024-09-16,584073984
2024-09-18,584073984
2024-09-20,584883968
2024-09-25,584073984
2024-09-28,584073984
2024-10-01,584073984
2024-10-02,584073984
2024-10-04,584073984
2024-10-05,584073984
2024-10-08,584073984
2024-10-11,584073984
2024-10-12,584073984
2024-10-15,584073984
2024-10-16,584073984
2024-10-18,588897984
2024-10-24,584073984
2024-10-25,584678016
2024-10-29,586947008
2024-10-30,584073984
2024-10-31,584184000
2024-11-01,584184000
2024-11-02,584184000
2024-11-05,584184000
2024-11-06,584184000
2024-11-07,584184000
2024-11-08,584184000
2024-11-14,584184000
2024-11-16,584184000
2024-11-19,584184000
2024-11-21,584184000
2024-11-22,584184000
2024-11-23,584184000
2024-11-26,584184000
2024-11-27,584251008
2024-11-28,584251008
2024-12-03,584251008
2024-12-04,584251008
2024-12-05,584251008
2024-12-11,584251008
2024-12-17,590953984
2024-12-18,584251008
2024-12-19,584251008
2024-12-21,584251008
2024-12-24,584251008
2024-12-27,584251008
2024-12-28,583203008
2025-01-03,582953024
2025-01-07,590296000
2025-01-11,582953024
2025-02-03,623953024
2025-02-04,626907008
2025-02-05,623953024
2025-02-08,624017984
2025-02-13,623953024
2025-02-15,631094976
2025-02-25,623953024
2025-02-26,624110976
2025-02-27,624339968
2025-02-28,624339968
2025-03-04,647761984
2025-03-07,624339968
2025-03-11,624339968
2025-03-13,624339968
2025-03-15,624339968
2025-03-20,624339968
2025-03-22,632572992
2025-03-25,624339968
2025-03-27,640662976
2025-03-28,624339968
2025-03-29,624339968
2025-04-03,624622016
2025-04-04,624622016
2025-04-05,624622016
2025-04-08,624622016
2025-04-09,624622016
2025-04-10,652454016
2025-04-11,624622016
2025-04-15,624622016
2025-04-18,624622016
2025-04-22,658288000
2025-04-23,624622016
2025-04-29,624622016
2025-04-30,624622016
2025-05-01,624627008
2025-05-02,624632000
2025-05-03,624632000
2025-05-07,624632000
2025-05-10,624632000
2025-05-13,624632000
2025-05-17,624632000
2025-05-21,624632000
2025-05-22,624632000
2025-05-23,624632000
2025-05-29,624632000
2025-05-30,624632000
2025-06-04,624632000
2025-06-05,624632000
2025-06-07,624632000
2025-06-10,624632000
2025-06-11,624632000
2025-06-12,624632000
2025-06-16,636798016
2025-06-17,624632000
2025-06-18,624632000
2025-06-19,624632000
2025-06-28,624632000
2025-07-02,624632000
2025-07-08,624632000
2025-07-10,624632000
2025-07-11,624632000
2025-07-12,624632000
2025-07-16,624632000
2025-07-18,624632000
2025-07-22,624632000
2025-07-24,624632000
2025-07-30,624632000
2025-08-01,624632000
2025-08-02,624632000
2025-08-05,624632000
2025-08-06,629748992
2025-08-07,629756032
2025-08-08,629756032
2025-08-09,629756032
