Date,Shares
2015-10-20,242255000
2016-04-15,238862000
2016-05-10,237750000
2016-07-19,236538000
2016-10-19,235881000
2017-02-09,234530000
2017-04-17,232744000
2017-05-10,232744000
2017-07-20,230754000
2017-10-17,230268000
2018-11-13,224106000
2018-11-14,224106000
2018-11-15,224106000
2018-11-19,224106000
2018-11-21,224106000
2018-11-22,224106000
2018-11-26,224106000
2018-11-28,224106000
2018-11-29,224106000
2018-12-02,224106000
2018-12-03,224106000
2018-12-04,224106000
2018-12-06,224106000
2018-12-07,224106000
2018-12-10,224106000
2018-12-11,224106000
2018-12-12,224106000
2018-12-14,224106000
2018-12-16,224106000
2018-12-17,224106000
2018-12-19,224106000
2018-12-21,224106000
2018-12-31,224106000
2019-01-05,224106000
2019-01-07,224106000
2019-01-09,224106000
2019-01-10,224106000
2019-01-12,224106000
2019-01-14,224106000
2019-01-16,224106000
2019-01-20,224106000
2019-01-24,224106000
2019-01-25,224106000
2019-01-26,224106000
2019-01-28,224106000
2019-01-30,224106000
2019-02-04,224106000
2019-02-07,224106000
2019-02-10,224106000
2019-02-13,224106000
2019-02-15,223691008
2019-02-17,223691008
2019-02-18,223691008
2019-02-20,223691008
2019-02-28,223691008
2019-03-01,223691008
2019-03-07,223691008
2019-03-09,223691008
2019-03-10,223691008
2019-03-11,223691008
2019-03-14,223691008
2019-03-17,223691008
2019-03-26,223691008
2019-03-29,223691008
2019-04-01,223691008
2019-04-05,223691008
2019-04-09,223691008
2019-04-10,223691008
2019-04-14,220167008
2019-04-17,220167008
2019-04-18,220167008
2019-04-21,220168000
2019-04-22,220168000
2019-04-29,220168000
2019-05-02,220168000
2019-05-05,220168000
2019-05-07,220168000
2019-05-09,220168000
2019-05-10,220168000
2019-05-12,220168000
2019-05-19,220168000
2019-05-22,220168000
2019-05-23,220168000
2019-05-28,220168000
2019-06-03,220168000
2019-06-04,220168000
2019-06-05,220168000
2019-06-06,220168000
2019-06-10,220168000
2019-06-11,220168000
2019-06-12,220168000
2019-06-17,220168000
2019-06-19,220168000
2019-06-21,220168000
2019-06-23,220168000
2019-06-24,220168000
2019-06-26,220168000
2019-07-03,220668000
2019-07-04,220168000
2019-07-05,217492000
2019-07-06,220168000
2019-07-10,220116000
2019-07-11,218912992
2019-07-12,219852000
2019-07-13,220168000
2019-07-19,217524000
2019-08-05,219406000
2019-08-06,217524000
2019-08-07,222566000
2019-08-08,217382000
2019-08-09,222406000
2019-08-10,217524000
2019-08-23,217720992
2019-08-24,217524000
2019-08-30,217639008
2019-09-02,216208000
2019-09-04,217524000
2019-09-06,212276992
2019-09-09,213372000
2019-09-11,201619008
2019-09-12,217338000
2019-09-13,217524000
2019-09-20,215464992
2019-09-21,217524000
2019-10-04,220931008
2019-10-08,217524000
2019-10-17,217732000
2019-10-21,215871008
2019-10-22,217732000
2019-11-05,218128000
2019-11-06,219008992
2019-11-07,218612000
2019-11-08,223320992
2019-11-09,217732000
2019-11-14,214704000
2019-11-15,219323008
2019-11-16,217732000
2019-12-18,215708000
2019-12-19,217732000
2020-01-08,218663008
2020-01-09,216582000
2020-01-10,217156992
2020-01-11,218310000
2020-01-12,217732000
2020-01-13,217540000
2020-01-14,217732000
2020-02-07,214428000
2020-02-08,217732000
2020-02-12,218524000
2020-02-13,221274000
2020-02-14,216868000
2020-04-08,216868000
2020-04-30,214283008
2020-05-21,213670000
2020-05-22,214283008
2020-07-30,214868992
2020-08-28,214868992
2020-09-05,213444000
2020-09-06,214868992
2020-09-21,223372000
2020-09-22,214868992
2020-10-29,214972992
2020-11-26,214972992
2021-02-20,215014000
2021-02-22,215014000
2021-03-17,215014000
2021-03-27,215052992
2021-03-29,215052992
2021-04-22,215080992
2021-04-23,214947008
2021-04-24,213386000
2021-04-27,215080992
2021-07-13,216215008
2021-07-22,214408000
2021-08-31,217559008
2021-09-01,214408000
2021-10-19,214408000
2021-10-21,212559008
2021-10-26,214920992
2021-10-27,212559008
2022-02-12,208992000
2022-03-19,210283008
2022-03-22,208992000
2022-03-28,206948000
2022-04-22,205732992
2022-05-17,205759008
2022-05-19,205732992
2022-06-01,206808000
2022-06-02,205732992
2022-06-14,211904000
2022-06-15,205732992
2022-07-22,204843008
2022-07-27,209770000
2022-07-28,204843008
2022-07-29,206683008
2022-07-30,204843008
2022-09-02,204843008
2022-09-20,201800000
2022-09-21,204843008
2022-10-20,203916000
2022-10-21,205236000
2022-10-23,203916000
2022-11-01,204366000
2022-11-02,203916000
2023-02-09,202712992
2023-03-08,204946000
2023-03-09,202712992
2023-03-18,205395008
2023-03-22,202712992
2023-03-25,201408992
2023-03-30,205380992
2023-03-31,201408992
2023-04-01,201408992
2023-04-06,203860992
2023-04-07,201408992
2023-04-20,199515008
2023-04-21,199731008
2023-04-22,199515008
2023-05-04,208684000
2023-05-05,199515008
2023-05-11,200675008
2023-05-12,199536992
2023-05-14,199515008
2023-07-06,201934000
2023-07-07,199515008
2023-07-12,206220000
2023-07-13,199515008
2023-07-20,197571008
2023-08-21,197571008
2023-08-23,198046000
2023-08-25,197571008
2023-10-10,197571008
2023-10-11,197571008
2023-10-12,197571008
2023-10-13,197571008
2023-10-14,200274000
2023-10-15,197571008
2023-10-16,197571008
2023-10-17,197571008
2023-10-18,197571008
2023-10-19,197934000
2023-10-20,197934000
2023-10-25,197934000
2023-10-27,197934000
2023-10-28,197934000
2023-11-01,197934000
2023-11-03,197934000
2023-11-04,197934000
2023-11-07,197934000
2023-11-08,198967008
2023-11-09,197934000
2023-11-15,197934000
2023-11-16,197934000
2023-11-18,197934000
2023-11-21,197934000
2023-11-23,197934000
2023-11-29,197934000
2023-11-30,197934000
2023-12-02,197934000
2023-12-05,197934000
2023-12-06,197934000
2023-12-07,197934000
2023-12-08,197934000
2023-12-09,197934000
2023-12-13,197934000
2023-12-20,197934000
2023-12-21,197934000
2023-12-22,197934000
2023-12-23,198739008
2023-12-26,197934000
2023-12-27,197934000
2023-12-28,197934000
2023-12-29,197934000
2023-12-30,197934000
2024-01-04,197934000
2024-01-06,199772000
2024-01-09,197934000
2024-01-12,197934000
2024-01-13,197934000
2024-01-17,197934000
2024-01-20,198068992
2024-01-23,197934000
2024-01-25,197934000
2024-01-27,198130000
2024-01-30,197934000
2024-02-03,197934000
2024-02-08,197992992
2024-02-09,197992992
2024-02-10,202768000
2024-02-13,197992992
2024-02-14,197992992
2024-02-16,197992992
2024-02-21,197992992
2024-02-22,197992992
2024-02-23,197992992
2024-02-27,197992992
2024-03-02,197992992
2024-03-08,197992992
2024-03-12,197992992
2024-03-13,197992992
2024-03-15,197992992
2024-03-16,198787008
2024-03-19,197992992
2024-03-21,197992992
2024-03-26,199252000
2024-03-27,197992992
2024-03-28,197992992
2024-03-29,197992992
2024-04-03,197200000
2024-04-04,198240000
2024-04-16,197287008
2024-04-18,195834000
2024-04-19,195834000
2024-04-20,195834000
2024-04-23,195834000
2024-04-25,195834000
2024-04-26,195834000
2024-05-01,195834000
2024-05-02,195834000
2024-05-03,195834000
2024-05-04,195834000
2024-05-08,195834000
2024-05-10,195834000
2024-05-11,195834000
2024-05-16,195834000
2024-05-17,197880000
2024-05-21,198391008
2024-05-22,195834000
2024-05-23,195834000
2024-05-24,195834000
2024-05-25,195834000
2024-05-31,196696992
2024-06-04,195834000
2024-06-06,195834000
2024-06-07,195834000
2024-06-12,196511008
2024-06-13,196888000
2024-06-14,195834000
2024-06-15,198004000
2024-06-18,195834000
2024-06-19,195834000
2024-06-21,198910000
2024-06-25,195834000
2024-06-28,195834000
2024-06-29,195834000
2024-07-03,195834000
2024-07-04,195834000
2024-07-06,195834000
2024-07-09,195834000
2024-07-17,195834000
2024-07-18,195648992
2024-07-19,195648992
2024-07-20,195648992
2024-07-24,195648992
2024-07-25,195648992
2024-07-30,195648992
2024-08-03,195648992
2024-08-07,195648992
2024-08-08,195648992
2024-08-09,195648992
2024-08-10,195648992
2024-08-13,195648992
2024-08-14,195648992
2024-08-15,195648992
2024-08-16,195648992
2024-08-17,195648992
2024-08-20,195648992
2024-08-21,195648992
2024-08-22,195648992
2024-08-24,195648992
2024-08-27,195648992
