Date,Open,High,Low,Close,Volume
2012-01-03,5.396667,5.415333,5.206667,5.21,18508500
2012-01-04,5.224667,5.330667,5.184667,5.289333,16822500
2012-01-05,5.281333,5.378,5.236,5.360667,10845000
2012-01-06,5.352,5.36,5.300667,5.324,6214500
2012-01-09,5.337333,5.369333,5.330667,5.36,11428500
2012-01-10,5.395333,5.425333,5.376667,5.393333,10687500
2012-01-11,5.404667,5.433333,5.4,5.425333,6906000
2012-01-12,5.442667,5.459333,5.393333,5.454667,9711000
2012-01-13,5.433333,5.464,5.408,5.44,5785500
2012-01-17,5.466667,5.520667,5.446667,5.486667,10717500
2012-01-18,5.48,5.594,5.458667,5.578667,10384500
2012-01-19,5.592667,5.688,5.591333,5.652,17685000
2012-01-20,5.662667,5.672667,5.472667,5.485333,28081500
2012-01-23,5.478667,5.518667,5.398667,5.417333,18337500
2012-01-24,5.396667,5.478,5.393333,5.454,13194000
2012-01-25,5.458667,5.514667,5.441333,5.504667,10695000
2012-01-26,5.548667,5.586667,5.454,5.466,14445000
2012-01-27,5.469333,5.534,5.456,5.504,11352000
2012-01-30,5.487333,5.52,5.437333,5.49,10215000
2012-01-31,5.506,5.506,5.426,5.434,14313000
2012-02-01,5.435333,5.479333,5.432667,5.465333,15436500
2012-02-02,5.472667,5.492,5.428,5.436,14139000
2012-02-03,5.495333,5.583333,5.486,5.522,15424500
2012-02-06,5.5,5.558667,5.470667,5.490667,11947500
2012-02-07,5.484667,5.590667,5.466667,5.59,15169500
2012-02-08,5.593333,5.6,5.49,5.562667,23916000
2012-02-09,5.461333,5.650667,5.46,5.622667,29194500
2012-02-10,5.5,5.61,5.5,5.563333,16138500
2012-02-13,5.577333,5.599333,5.532667,5.548667,15582000
2012-02-14,5.54,5.600667,5.532,5.6,15723000
2012-02-15,5.6,5.614,5.533333,5.563333,16140000
2012-02-16,5.577333,5.674,5.577333,5.634,23410500
2012-02-17,5.636667,5.678667,5.611333,5.636667,25405500
2012-02-21,5.630667,5.658667,5.598,5.630667,14370000
2012-02-22,5.615333,5.672,5.614667,5.651333,12624000
2012-02-23,5.646,5.772667,5.626667,5.76,25146000
2012-02-24,5.755333,5.781333,5.692667,5.711333,16927500
2012-02-27,5.68,5.745333,5.68,5.712667,13668000
2012-02-28,5.733333,5.824,5.718,5.822667,19197000
2012-02-29,5.803333,5.803333,5.755333,5.766667,22641000
2012-03-01,5.776,5.878667,5.768,5.872,15942000
2012-03-02,5.867333,5.914,5.846667,5.888667,9424500
2012-03-05,5.888667,5.998667,5.887333,5.99,12786000
2012-03-06,5.944667,6.010667,5.94,5.956667,10795500
2012-03-07,5.966667,6.020667,5.932,6.006667,12705000
2012-03-08,6.018,6.062667,5.992667,5.994667,12378000
2012-03-09,6.018667,6.045333,5.983333,6.028,12694500
2012-03-12,6.030667,6.035333,5.996667,6.004,12667500
2012-03-13,6.030667,6.056667,5.97,6.004667,13773000
2012-03-14,6.007333,6.018,5.996,6.014,12016500
2012-03-15,6.007333,6.021333,5.974,6.014,13492500
2012-03-16,5.994,6.010667,5.93,5.936,15553500
2012-03-19,5.94,5.985333,5.912,5.967333,11403000
2012-03-20,5.948667,6,5.94,5.99,10413000
2012-03-21,5.980667,6.017333,5.975333,5.984667,13012500
2012-03-22,5.964667,6.054,5.947333,6.024,11682000
2012-03-23,6.014,6.031333,5.934,6.002667,9958500
2012-03-26,6.041333,6.118,6.037333,6.100667,12952500
2012-03-27,6.092,6.108,6.042,6.084667,6888000
2012-03-28,6.072,6.081333,6.002667,6.046,8769000
2012-03-29,6.005333,6.039333,5.987333,6.037333,12676500
2012-03-30,6.068,6.119333,6.033333,6.09,17637000
2012-04-02,6.079333,6.206,6.072667,6.190667,15316500
2012-04-03,6.206667,6.284667,6.189333,6.243333,17817000
2012-04-04,6.186,6.216667,6.128667,6.190667,12648000
2012-04-05,6.178667,6.228667,6.154667,6.176667,8464500
2012-04-09,6.141333,6.218667,6.114,6.202,12343500
2012-04-10,6.192,6.2,6.078667,6.098,16764000
2012-04-11,6.137333,6.257333,6.137333,6.254667,13954500
2012-04-12,6.266667,6.294,6.224667,6.285333,10635000
2012-04-13,6.263333,6.317333,6.262667,6.29,11158500
2012-04-16,6.302,6.343333,6.256,6.317333,11422500
2012-04-17,6.364,6.386667,6.303333,6.369333,9121500
2012-04-18,6.366,6.468667,6.358,6.461333,8848500
2012-04-19,6.428667,6.45,6.368,6.399333,16654500
