Date,Open,High,Low,Close,Volume
2023-01-03,116.64,116.82,114.88,115.81,1792600
2023-01-04,116.95,118.19,115.78,117.07,1475200
2023-01-05,116.39,116.44,113.7,114.36,1352300
2023-01-06,115.59,117.98,114.98,117.45,1257900
2023-01-09,117.35,119.04,117.13,117.41,1484200
2023-01-10,117.23,117.95,115.86,117.31,1112400
2023-01-11,118.08,119.78,117.17,119.68,1579200
2023-01-12,119.49,120.09,118.75,119.85,1373000
2023-01-13,119.66,120.69,119.28,120.31,1237700
2023-01-17,118.89,120.11,117.94,118.42,2157200
2023-01-18,118.64,119.27,117.17,117.23,1809800
2023-01-19,116.91,117.2,115.41,115.52,1122000
2023-01-20,115.67,118.53,114.71,117.93,1987600
2023-01-23,117.78,120.96,117.07,119.99,1599300
2023-01-24,119.9,120.14,117.93,118.62,1332300
2023-01-25,116.44,116.47,112.38,115.62,2335300
2023-01-26,116.19,116.5,114.74,115.1,1679100
2023-01-27,114.18,114.7,112.65,113.03,2257700
2023-01-30,112.76,115.52,112.63,114.69,2798200
2023-01-31,115.15,115.87,113.81,115.86,1564900
2023-02-01,115.64,118.49,115.01,117.71,1535700
2023-02-02,118.6,120.92,117.78,120.6,2475700
2023-02-03,118.85,120.14,116.92,118.58,1791700
2023-02-06,117.37,118.29,116.45,116.66,1102100
2023-02-07,116.02,118.39,115.54,117.87,1128300
2023-02-08,116.02,116.82,114.64,114.93,2081000
2023-02-09,116.14,116.23,113.37,113.75,1890200
2023-02-10,113,114.72,113,114.22,1571800
2023-02-13,114.3,115.58,114.18,115.51,1295700
2023-02-14,115.18,115.75,113,113.94,1246200
2023-02-15,113.63,115.33,113.05,115.23,1415900
2023-02-16,113.72,115.51,113.44,114.66,1263500
2023-02-17,114.25,115.28,113.89,114.75,1220300
2023-02-21,113.43,113.78,111.43,111.52,1775500
2023-02-22,111.67,112.33,110.56,110.68,1219200
2023-02-23,111.04,111.82,110.33,111.32,1266900
2023-02-24,109.91,111.26,109.45,110.98,1569900
2023-02-27,111.8,112.3,110.58,110.99,1164800
2023-02-28,110.66,111.67,110.35,110.4,1691900
2023-03-01,110.24,110.84,108.97,110.7,1925600
2023-03-02,110.02,112.35,110.02,112.1,1427600
2023-03-03,112.29,113.01,111.59,112.73,1694900
2023-03-06,112.89,113.63,112.62,113.13,1212600
2023-03-07,113.08,113.25,111.58,112.09,2161400
2023-03-08,112,113.12,111.53,112.69,1128000
2023-03-09,113.27,113.36,110.96,111.05,1279100
2023-03-10,110.57,110.85,107.6,107.83,1901200
2023-03-13,107.28,110.54,106.78,108.33,1906600
2023-03-14,109.5,110.19,106.85,108.24,1885300
2023-03-15,107.31,107.8,106.29,107,1992900
2023-03-16,106.81,108.91,106.17,108.67,1583000
2023-03-17,108.67,109.31,107.3,107.53,7237500
2023-03-20,108.21,109.88,107.84,109.7,2174400
2023-03-21,110.2,110.71,109.08,110.29,1901500
2023-03-22,110.29,110.66,106.98,107.07,1930400
2023-03-23,107.14,109.76,106.76,107.88,1984700
2023-03-24,107.88,109.13,107.15,108.84,1655000
2023-03-27,109.43,109.66,108.6,109.08,2284400
2023-03-28,108.75,110.61,108.49,108.98,2643500
2023-03-29,110.51,116.86,109.23,116.03,5048100
2023-03-30,117.93,117.93,113.29,113.54,2497400
2023-03-31,114.37,115.12,113.71,114.59,3092600
2023-04-03,112.66,112.76,110.31,111.33,3514600
2023-04-04,111.57,112.32,108.69,109.9,2958400
2023-04-05,109.72,110.29,108.02,108.83,2333800
2023-04-06,108.62,109.59,108.09,109.04,2090100
2023-04-10,107.81,109.3,107.53,109.3,2573400
2023-04-11,109.3,109.6,108.47,109.38,2325200
2023-04-12,110.34,110.57,108.28,108.41,1932300
2023-04-13,108.72,109.33,108.04,109.25,1749600
2023-04-14,109.08,109.95,107.21,107.92,1561200
2023-04-17,108.45,109.57,108.05,109.57,1777900
2023-04-18,109.73,110.27,108.54,109.3,1370100
2023-04-19,109.41,110.22,108.87,109.77,1268800
2023-04-20,108.93,109.66,108.25,109.07,1464000
2023-04-21,109.49,109.63,108.67,109.52,1343100
2023-04-24,109.71,111.01,109.53,110.89,1995600
2023-04-25,110.19,110.19,107.55,107.95,1888600
2023-04-26,105.77,107.09,104.78,105.37,2350000
2023-04-27,105.83,108.06,105.69,107.84,1688400
2023-04-28,108.56,110.02,108.07,109.86,1854200
2023-05-01,109.52,110.72,109.37,110.07,1438100
2023-05-02,109.98,110.2,107.02,107.6,1394000
2023-05-03,108.34,109.15,107.58,107.67,1510500
2023-05-04,107.42,107.87,106.85,107.2,1584700
2023-05-05,108,108.78,106.62,107.83,1539300
2023-05-08,108.04,108.04,106.27,106.33,1205100
2023-05-09,106.5,107.66,105.98,107.25,2051300
2023-05-10,107.72,108.67,106.7,108.62,2249300
2023-05-11,107.83,108.06,106.31,106.61,1919400
2023-05-12,107.17,107.47,105.92,106.89,1010900
2023-05-15,106.89,108.44,106.55,108.17,1551600
2023-05-16,107.86,107.93,105.89,106.06,2063800
2023-05-17,106.67,107.68,105.93,107.31,1667100
2023-05-18,107.18,108.81,106.91,108.76,1053100
2023-05-19,109.1,109.29,107.59,108.11,1480600
2023-05-22,108.8,110.28,107.89,109.99,1419100
2023-05-23,109.96,109.98,108.53,108.85,2351100
2023-05-24,109.07,109.46,108.06,108.33,1723300
2023-05-25,107.65,108.09,106.07,107.88,2619700
2023-05-26,108.19,109.42,107.1,108.17,2188900
2023-05-30,108.55,108.55,105.2,107.34,2164000
2023-05-31,107.52,107.58,104.09,104.93,16804900
2023-06-01,105.89,107.26,105.07,107.2,3044300
2023-06-02,107.42,110.37,106.94,110.25,2892700
2023-06-05,110.69,112.03,110.31,111.65,2547500
2023-06-06,111.75,111.77,110.24,111.41,1581600
2023-06-07,111.75,112.45,110.56,111.91,1849700
2023-06-08,111.59,111.87,110.58,110.96,1513700
2023-06-09,110.67,112.23,110.38,111.69,1545100
2023-06-12,112.18,113.35,111.7,113.09,1768000
2023-06-13,113.52,113.91,113.03,113.51,1381800
2023-06-14,114.09,114.51,111.07,111.54,1615900
2023-06-15,111.47,113.6,111.23,113.31,1366900
2023-06-16,113.81,114.63,113.14,113.59,3843800
2023-06-20,113,113.3,111.8,112.24,1520100
2023-06-21,112.03,113.79,111.12,112.86,2018200
2023-06-22,112.64,113,110.7,111.27,1417700
2023-06-23,110.5,110.51,108.05,108.38,2821200
2023-06-26,108.11,110.84,108.06,110.65,1924200
2023-06-27,111.04,111.83,110.65,111.07,1769200
2023-06-28,111.2,111.48,109.63,110.71,2266900
2023-06-29,114.32,114.77,108.84,109.33,2886700
2023-06-30,111.16,113.39,110.22,111.87,2943600
2023-07-03,111.43,111.82,110.53,111.47,1132000
2023-07-05,111.13,113.52,110.58,112.88,2576700
2023-07-06,111.6,113.94,111.07,113.72,3527300
2023-07-07,112.92,115.25,112.56,113.44,2165000
2023-07-10,113.84,117.06,113.79,116.48,3161100
2023-07-11,116.62,118.63,116.62,118.14,2799800
2023-07-12,119.47,119.55,117.28,118.56,2837900
2023-07-13,118.56,120.7,118.31,120.53,2545900
2023-07-14,120.13,121.27,119.73,120.86,2406000
2023-07-17,120.19,122.05,120,121.03,1839000
2023-07-18,120.93,122.73,120.7,122.19,1675800
2023-07-19,122.35,123.55,122.22,123.31,1479000
2023-07-20,123.11,124.12,122.35,123.85,1599200
2023-07-21,124.66,124.89,123.41,123.41,5885800
2023-07-24,123.61,125.31,123.41,125.25,1646100
2023-07-25,124.98,125.3,124.37,125.02,1329500
2023-07-26,124.93,129.03,124.93,127.75,2452300
2023-07-27,128.05,129.7,126.37,127.05,2217100
2023-07-28,128.01,128.34,125.54,126.52,1909700
2023-07-31,126.3,126.44,124.3,125.47,1508400
2023-08-01,125.24,126.13,124.2,125.81,1550500
2023-08-02,124.53,124.99,123.76,124.39,1490200
2023-08-03,124.52,125.28,123.7,124.67,1012400
2023-08-04,125.03,125.03,122.71,122.99,1268800
2023-08-07,123.44,125.2,123.27,125.07,1056900
2023-08-08,124.46,124.46,122.7,123.9,1533200
2023-08-09,122.83,124.32,122.83,124.03,1044300
2023-08-10,124.31,125.32,123.78,124.31,1002000
2023-08-11,123.96,125.67,123.45,125.48,1419100
2023-08-14,125.25,126.2,124.75,124.99,967900
2023-08-15,124.06,124.67,123.55,123.59,1824500
2023-08-16,123.59,123.94,122.43,122.5,1385200
2023-08-17,122.83,123.59,120.77,121,1836800
2023-08-18,120.46,121.37,120.26,120.48,1480900
2023-08-21,120.34,120.79,119.56,120.57,1404000
2023-08-22,120.92,121.32,119.36,119.45,1394100
2023-08-23,119.94,121.92,119.5,121.62,1164300
2023-08-24,122.3,122.86,120.66,120.76,1146000
2023-08-25,120.94,122.35,120.85,121.87,1452700
2023-08-28,122.46,122.74,121.81,122.2,1460600
2023-08-29,122.2,122.37,120.71,121.98,1694900
2023-08-30,122.16,122.88,121.83,122.53,1171000
2023-08-31,122.27,122.6,121.61,122.23,1930900
2023-09-01,122.69,123.21,121.08,122.4,1219800
2023-09-05,121.38,122.24,120.73,121.37,1977700
2023-09-06,120.54,121.08,119.9,120.37,1149400
2023-09-07,120.44,121.09,119.99,120.19,1056400
2023-09-08,120.76,120.93,120.24,120.54,989600
2023-09-11,120.54,120.72,119.26,119.89,1063100
2023-09-12,119.89,120.12,119.39,119.76,968300
2023-09-13,119.49,119.88,118.82,119.3,872800
2023-09-14,119.69,119.84,118.77,118.94,1479600
2023-09-15,119,119,115.73,115.97,3431500
2023-09-18,115.97,117.15,115.97,116.31,1857900
2023-09-19,115.98,116.42,115.22,116.15,1514400
2023-09-20,116.63,116.95,115.6,115.65,1612400
2023-09-21,115.08,115.38,113.11,113.31,1872400
