Date,Dividend,Split
1995-02-13,0.016461,
1995-05-12,0.016461,
1995-08-17,0.016461,
1995-11-16,0.016461,
1995-12-18,0.01949,
1996-02-15,0.016461,
1996-05-16,0.016461,
1996-08-16,0.016461,
1996-11-15,0.016461,
1996-12-18,0.098765,
1997-02-18,0.016461,
1997-05-22,,2
1997-05-23,0.019753,
1997-08-19,0.019753,
1997-11-18,0.019753,
1997-12-18,0.038979,
1998-02-17,0.019753,
1998-05-19,0.019753,
1998-08-19,0.019753,
1998-11-17,0.019753,
1998-12-17,0.2107,
1999-02-17,0.026337,
1999-05-18,0.026337,
1999-08-18,0.026337,
1999-11-16,0.026337,
1999-12-17,0.2107,
2000-02-16,0.039506,
2000-05-16,0.039506,
2000-08-16,0.039506,
2000-11-16,0.039506,
2000-12-19,0.131687,
2001-02-14,0.039506,
2001-05-17,0.039506,
2001-08-17,0.039506,
2001-11-16,0.039506,
2001-12-17,0.032922,
2002-02-14,0.039506,
2002-05-29,,1.5
2002-05-30,0.039506,
2002-08-19,0.039506,
2002-11-18,0.039506,
2002-12-16,0.138272,
2003-02-13,0.039506,
2003-05-15,0.043457,
2003-08-14,0.043457,
2003-11-14,0.043457,
2003-12-17,0.237037,
2004-02-06,,1.5
2004-02-13,0.044444,
2004-05-17,0.059259,
2004-08-16,0.059259,
2004-11-16,0.059259,
2004-12-16,0.592593,
2005-02-16,0.059259,
2005-05-17,0.062222,
2005-08-16,0.062222,
2005-11-15,0.074074,
2005-12-15,0.592593,
2006-02-15,0.074074,
2006-05-16,0.088889,
2006-08-11,,1.5
2006-08-16,0.088889,
2006-11-15,0.088889,
2006-12-14,0.888889,
2007-02-14,0.088889,
2007-05-16,0.111111,
2007-08-15,0.111111,
2007-10-10,,1.5
2007-11-15,0.12,
2007-12-14,0.666667,
2008-02-14,0.12,
2008-05-15,0.12,
2008-08-14,0.12,
2008-11-14,0.12,
2008-12-17,0.066667,
2009-02-17,0.12,
2009-05-15,0.12,
2009-08-14,0.06,
2009-11-17,0.06,
2010-02-17,0.06,
2010-05-17,0.06,
2010-08-17,0.06,
2010-11-17,0.08,
2010-12-15,0.2,
2011-02-15,0.08,
2011-05-17,0.08,
2011-08-16,0.12,
2011-11-16,0.12,
2011-12-15,0.466667,
2012-02-15,0.12,
2012-05-16,0.133333,
2012-08-15,0.133333,
2012-11-14,0.133333,
2012-12-12,0.533333,
2013-02-13,0.133333,
2013-05-15,0.133333,
2013-08-14,0.133333,
2013-11-13,0.133333,
2013-12-18,0.6,
2014-02-12,0.133333,
2014-05-15,0.146667,
2014-08-13,0.146667,
2014-11-12,0.146667,
2014-12-17,0.666667,
2015-02-11,0.146667,
2015-05-15,0.146667,
2015-08-12,0.16,
2015-11-10,0.16,
2015-12-16,0.933333,
2016-02-10,0.16,
2016-05-17,0.16,
2016-08-10,0.16,
2016-11-16,0.16,
2016-12-14,0.4,
2017-02-10,0.16,
2017-05-17,0.166667,
2017-08-14,0.166667,
2017-11-13,0.166667,
2017-12-13,0.8,
2018-02-12,0.166667,
2018-05-14,0.186667,
2018-08-13,0.186667,
2018-11-09,0.186667,
2018-12-13,1.333333,
2019-02-11,0.213333,
2019-05-13,0.213333,
2019-08-13,0.213333,
2019-11-08,0.213333,
2019-12-19,1.533333,
2020-02-10,0.213333,
2020-05-11,0.213333,
2020-08-10,0.213333,
2020-11-09,0.213333,
2020-12-17,0.466667,
2021-02-08,0.213333,
2021-05-11,0.226667,
2021-08-17,0.226667,
2021-11-15,0.226667,
2021-12-16,1,
2022-02-07,0.226667,
2022-05-10,0.226667,
2022-08-16,0.226667,
2022-11-14,0.246667,
2022-12-15,1.866667,
2023-02-08,,1.5
2023-02-13,0.25,
2023-05-16,0.25,
2023-08-16,0.27,
2023-11-14,0.27,
2023-12-14,3.2,
2024-02-14,0.27,
2024-05-14,0.3,
2024-08-15,0.3,
2024-11-13,0.3,
2024-12-20,3,
2025-02-12,0.33,
2025-05-14,0.33,
2025-08-14,0.33,
2025-11-12,0.33,
2025-12-19,1.4,
2026-02-11,0.33,
2026-05-13,0.35,
2026-08-12,0.35,
