Date,Open,High,Low,Close,Volume
2002-01-02,1.735248,1.735248,1.619376,1.677594,2321190
2002-01-03,1.684377,1.695682,1.593941,1.639159,1949658
2002-01-04,1.61768,1.657246,1.617115,1.644246,2061118
2002-01-07,1.646507,1.656116,1.602419,1.608637,1655971
2002-01-08,1.582636,1.630681,1.582071,1.630681,1931966
2002-01-09,1.636333,1.66742,1.605245,1.614289,2360113
2002-01-10,1.633507,1.662898,1.565679,1.656116,1739124
2002-01-11,1.639159,1.652159,1.565679,1.57868,2075272
2002-01-14,1.520461,1.531766,1.405155,1.520461,8745156
2002-01-15,1.469591,1.554375,1.440199,1.547592,4343386
2002-01-16,1.521026,1.656116,1.520461,1.647637,7798634
2002-01-17,1.661768,1.779335,1.65329,1.755031,9880982
2002-01-18,1.751639,1.796857,1.709812,1.718856,11747488
2002-01-22,1.734682,1.768031,1.684377,1.748813,3380941
2002-01-23,1.730726,1.751074,1.66742,1.718291,1930197
2002-01-24,1.718291,1.752204,1.675899,1.700203,2823643
2002-01-25,1.69116,1.752204,1.664594,1.74203,3432248
2002-01-28,1.751074,1.814945,1.722247,1.800249,11199036
2002-01-29,1.808727,1.864119,1.797423,1.820032,11061038
2002-01-30,1.831336,1.856206,1.722247,1.808727,3955931
2002-01-31,1.839815,1.864685,1.814945,1.830206,5864898
2002-02-01,1.818901,1.826249,1.796292,1.805901,1705509
2002-02-04,1.820032,1.85338,1.662898,1.696247,9194532
2002-02-05,1.667986,1.675899,1.549288,1.622202,13516688
2002-02-06,1.627289,1.636333,1.549288,1.587723,4633535
2002-02-07,1.594506,1.695682,1.583201,1.661768,5762284
2002-02-08,1.65442,1.752204,1.653855,1.735248,8216165
2002-02-11,1.745987,1.805901,1.716595,1.765205,4944914
2002-02-12,1.780466,1.831336,1.758422,1.801379,6659269
2002-02-13,1.817206,1.820032,1.741465,1.794596,13778530
2002-02-14,1.805336,1.876554,1.797423,1.834162,75505918
2002-02-15,1.85225,1.859598,1.827945,1.847728,7359872
2002-02-19,1.853945,1.853945,1.82851,1.843771,8520467
2002-02-20,1.845467,1.886163,1.845467,1.871467,6508887
2002-02-21,1.87825,1.890685,1.79177,1.817206,5327061
2002-02-22,1.81664,1.90199,1.80251,1.890685,8745156
2002-02-25,1.909338,1.961338,1.903685,1.947773,9530680
2002-02-26,1.966991,1.966991,1.91499,1.929121,3214636
2002-02-27,1.936468,2.005991,1.936468,1.993556,7657098
2002-02-28,1.995252,2.015035,1.971513,2.015035,5137757
2002-03-01,2.000904,2.13882,1.995252,2.098689,9293608
2002-03-04,2.147863,2.153516,2.048949,2.054601,19171051
2002-03-05,2.069297,2.074384,1.91612,1.932512,14845357
2002-03-06,1.960773,1.966426,1.853945,1.955686,9051227
2002-03-07,1.982252,2.069862,1.982252,2.012209,8424930
2002-03-08,2.016731,2.055166,1.995817,2.023513,3973623
2002-03-11,2.023513,2.02747,1.941556,1.950034,7285566
2002-03-12,1.908207,1.9896,1.836988,1.976034,9590833
2002-03-13,1.97773,2.022383,1.953991,2.005426,2850181
2002-03-14,2.019557,2.020122,1.974904,1.997513,1544512
2002-03-15,1.978295,2.070427,1.978295,2.036514,2883796
2002-03-18,2.068732,2.108863,1.925164,1.99073,5477443
2002-03-19,1.993556,1.993556,1.912729,1.929121,5866667
2002-03-20,1.921773,1.944382,1.899163,1.925164,2261038
2002-03-21,1.924033,2.004296,1.921773,2.004296,2906796
2002-03-22,1.9766,2.034253,1.976034,1.983382,1977966
2002-03-25,1.981121,2.009383,1.91612,1.944382,2828951
2002-03-26,1.946643,1.990165,1.927425,1.985643,1333977
2002-03-27,1.952295,1.955686,1.920642,1.932512,7766788
2002-03-28,1.933077,2.002035,1.921773,1.979426,3526016
2002-04-01,1.9766,1.978861,1.859598,1.958512,5192602
2002-04-02,1.938729,1.995252,1.936468,1.978861,1411822
2002-04-03,1.955686,1.964165,1.870337,1.955121,12329555
2002-04-04,1.918946,1.989035,1.918946,1.974904,1717893
2002-04-05,1.978295,2.003165,1.953991,1.985643,1889506
2002-04-08,1.996383,2.006557,1.926294,1.995252,2368959
2002-04-09,1.999774,2.090775,1.992991,2.087384,6719422
2002-04-10,2.08908,2.176125,2.085688,2.176125,4950222
2002-04-11,2.148429,2.193082,2.136559,2.17782,3485324
2002-04-12,2.16482,2.190255,2.161994,2.180081,1553358
2002-04-15,2.168212,2.179516,2.13995,2.160864,2170808
2002-04-16,2.174994,2.17556,2.080036,2.096993,3373864
2002-04-17,2.097558,2.117906,2.044427,2.099254,3202252
2002-04-18,2.110558,2.186864,2.094167,2.182908,5210294
2002-04-19,2.169907,2.294823,2.169907,2.272213,8417854
2002-04-22,2.272779,2.299344,2.211169,2.226995,5668517
2002-04-23,2.241126,2.249039,2.125254,2.12808,10866426
2002-04-24,2.124124,2.210038,2.096428,2.177255,6975956
2002-04-25,2.160864,2.181777,2.114515,2.147863,16848092
2002-04-26,2.168212,2.168212,2.136559,2.148429,3833856
2002-04-29,2.167081,2.167646,2.136559,2.148994,4514998
2002-04-30,2.167081,2.173299,2.129776,2.172733,4973221
2002-05-01,2.17556,2.226995,2.161429,2.176125,5569442
2002-05-02,2.17669,2.331562,2.176125,2.313475,4334540
2002-05-03,2.345128,2.360954,2.266561,2.333823,5399598
2002-05-06,2.340041,2.344563,2.194212,2.206647,3074870
2002-05-07,2.20156,2.249039,2.168777,2.241126,1820507
2002-05-08,2.248474,2.280127,2.218517,2.260344,3310173
2002-05-09,2.257518,2.259778,2.108298,2.119602,4836993
2002-05-10,2.112819,2.112819,1.927425,2.090775,16243025
2002-05-13,2.080036,2.198169,2.043296,2.177255,4732610
2002-05-14,2.192516,2.212865,2.071558,2.076645,6892803
2002-05-15,2.082862,2.091906,2.022383,2.03934,5337676
2002-05-16,2.0286,2.104341,2.023513,2.038209,5466828
2002-05-17,2.034818,2.048949,1.972643,2.008252,7554484
2002-05-20,1.975469,1.997513,1.907642,1.918946,7174106
2002-05-21,1.908207,1.950034,1.770292,1.797423,16312024
2002-05-22,1.809292,2.057427,1.808727,2.0286,18235144
2002-05-23,2.067601,2.068166,1.966991,2.006557,7220105
2002-05-24,1.983948,2.073819,1.983948,2.060253,2836028
2002-05-28,2.037644,2.07721,1.978295,1.995252,2747568
2002-05-29,1.998643,2.004296,1.921773,1.938164,3683474
2002-05-30,1.927425,2.020687,1.908772,1.985078,3080177
2002-05-31,2.023513,2.072688,1.960773,2.039905,2708645
2002-06-03,2.062514,2.062514,1.842641,1.869772,8631927
2002-06-04,1.895772,1.901424,1.795162,1.808727,6599116
2002-06-05,1.822293,1.830206,1.790075,1.808727,4111621
2002-06-06,1.812118,1.820032,1.77764,1.77764,3379172
2002-06-07,1.680421,1.792901,1.674203,1.747117,9075996
2002-06-10,1.736378,1.850554,1.735813,1.842076,5778207
2002-06-11,1.856206,1.913859,1.85225,1.871467,4867069
2002-06-12,1.855076,1.875989,1.789509,1.817206,3177483
2002-06-13,1.81664,1.857337,1.786118,1.786683,3161560
