Date,Dividend,Split,DividendRaw
1995-03-06,0.09,,
1995-06-06,0.1,,
1995-09-06,0.1,,
1995-12-06,0.1,,
1996-03-06,0.1,,
1996-05-29,,2,
1996-06-05,0.115,,
1996-09-04,0.115,,
1996-12-04,0.115,,
1997-03-12,0.115,,
1997-06-11,0.125,,
1997-09-17,0.125,,
1997-10-07,3.2,,
1997-12-10,0.125,,
1998-03-11,0.125,,
1998-06-10,0.13,,
1998-09-09,0.13,,
1998-12-09,0.13,,
1999-03-10,0.13,,
1999-06-09,0.135,,
1999-09-08,0.135,,
1999-12-08,0.135,,
2000-03-08,0.135,,
2000-06-07,0.14,,
2000-09-06,0.14,,
2000-12-06,0.14,,
2001-03-07,0.14,,
2001-06-06,0.145,,
2001-09-05,0.145,,
2001-12-05,0.145,,
2002-03-06,0.145,,
2002-06-05,0.15,,
2002-09-04,0.15,,
2002-12-04,0.15,,
2003-03-12,0.15,,
2003-06-11,0.16,,
2003-09-10,0.16,,
2003-12-10,0.16,,
2004-03-10,0.16,,
2004-06-09,0.23,,
2004-09-08,0.23,,
2004-12-08,0.23,,
2005-03-09,0.23,,
2005-06-08,0.26,,
2005-09-07,0.26,,
2005-12-07,0.26,,
2006-03-08,0.26,,
2006-06-07,0.3,,
2006-09-06,0.3,,
2006-12-06,0.3,,
2007-03-07,0.3,,
2007-06-06,0.375,,
2007-09-05,0.375,,
2007-12-05,0.375,,
2008-03-05,0.375,,
2008-06-04,0.425,,
2008-09-03,0.425,,
2008-12-03,0.425,,
2009-03-04,0.425,,
2009-06-03,0.45,,
2009-09-02,0.45,,
2009-12-02,0.45,,
2010-03-03,0.45,,
2010-06-02,0.48,,
2010-09-01,0.48,,
2010-12-01,0.48,,
2011-03-02,0.48,,
2011-06-01,0.515,,
2011-08-31,0.515,,
2011-11-30,0.515,,
2012-02-29,0.515,,
2012-05-30,0.538,,
2012-09-05,0.538,,
2012-12-05,0.537,,
2013-02-27,0.537,,
2013-06-05,0.568,,
2013-09-04,0.568,,
2013-12-04,0.568,,
2014-03-05,0.568,,
2014-06-04,0.655,,
2014-09-03,0.655,,
2014-12-03,0.655,,
2015-03-04,0.655,,
2015-06-03,0.703,,
2015-09-02,0.703,,
2015-12-02,0.703,,
2016-03-02,0.703,,
2016-06-01,0.753,,
2016-08-31,0.753,,
2016-11-30,0.753,,
2017-03-01,0.753,,
2017-05-31,0.805,,
2017-08-30,0.805,,
2017-11-30,0.805,,
2018-03-01,0.805,,
2018-05-31,0.928,,
2018-09-06,0.928,,
2018-12-06,0.928,,
2019-02-28,0.928,,
2019-06-06,0.955,,
2019-09-05,0.955,,
2019-12-05,0.955,,
2020-03-05,0.955,,
2020-06-04,1.023,,
2020-09-03,1.023,,
2020-12-03,1.023,,
2021-03-04,1.023,,
2021-06-03,1.075,,
2021-09-02,1.075,,
2021-12-02,1.075,,
2022-03-03,1.075,,
2022-06-02,1.15,,
2022-09-01,1.15,,
2022-12-01,1.15,,
2023-03-02,1.15,,
2023-06-01,1.265,,
2023-08-31,1.265,,
2023-11-30,1.265,,
2024-02-29,1.265,,
2024-06-07,1.355,,
2024-09-06,1.355,,
2024-12-06,1.355,,
2025-03-07,1.355,,
2025-06-06,1.423,,
2025-09-05,1.423,,
2025-12-05,1.423,,
2026-03-06,1.423,,
2026-06-05,1.48,,
2026-09-04,1.48,,
