Date,Open,High,Low,Close,Volume
2025-01-02,152.88,153.66,149.89,150.21,4970200
2025-01-03,150.96,150.96,149.56,149.65,5218100
2025-01-06,149.6,149.95,146.1,146.27,9470600
2025-01-07,146.46,147.97,145.34,145.4,7473300
2025-01-08,145.4,146.67,144.56,146.54,6791800
2025-01-10,145,145.57,141.51,142.64,9632700
2025-01-13,142.79,145.14,142.14,144.5,8101400
2025-01-14,144.19,145.14,143.56,144.95,6996400
2025-01-15,145.49,146.2,144.17,144.78,7141600
2025-01-16,144.05,146.79,143.69,146.54,5068000
2025-01-17,147.72,148.62,147.17,148.25,7338900
2025-01-21,148.33,149.78,147.77,148.55,7456200
2025-01-22,148.23,149.45,147.79,148.09,5905100
2025-01-23,148.49,148.94,146.61,148.62,4759100
2025-01-24,148.82,149.31,148.13,149.12,4509600
2025-01-27,150.92,155.47,150.9,154.61,9820600
2025-01-28,154.15,154.61,150.12,150.25,6349700
2025-01-29,151.13,152,150.23,150.37,4874100
2025-01-30,151.28,153.08,150.63,151.9,4671300
2025-01-31,150.76,151.69,150.27,150.69,4905500
2025-02-03,149.76,151.13,148.83,150.27,7196200
2025-02-04,146.1,147.75,143,143.49,12804900
2025-02-05,143.39,145.79,142.7,145.66,9248100
2025-02-06,146.26,146.9,143.96,145.35,5604900
2025-02-07,145.01,145.15,143.9,144.58,5872300
2025-02-10,144.35,144.52,143.01,144.35,8715400
2025-02-11,144.37,145.72,143.4,145.64,6354000
2025-02-12,144.04,144.78,143.03,143.99,6658200
2025-02-13,144.23,144.94,143.6,144.58,7175300
2025-02-14,144.67,146.17,143.33,143.39,5001800
2025-02-18,142.9,144.15,141.6,144.1,8738700
2025-02-19,144.23,145.93,144.15,145.81,5777300
2025-02-20,145.11,149.19,145,149.1,6789800
2025-02-21,149.99,154.55,148.9,153.5,10604400
2025-02-24,152.34,156.32,152.12,153.85,7187000
2025-02-25,154.79,158.46,154,156.42,9474600
2025-02-26,155.57,155.61,151.14,151.51,9076500
2025-02-27,150.9,152.69,149.93,152.02,6731000
2025-02-28,153.7,155.1,152.35,153.47,8455500
2025-03-03,151.35,156.15,150.5,155.99,8321700
2025-03-04,157.34,160.15,153.96,154.19,10274200
2025-03-05,152.93,155.34,152.73,153.88,5578700
2025-03-06,154.17,154.97,152.53,154.61,8421000
2025-03-07,153.25,157.59,152.77,154.44,8997700
2025-03-10,155.88,160.08,155.37,156.25,11156900
2025-03-11,155.79,156.05,151.81,152.33,7981600
2025-03-12,147.54,149.53,146.51,148.17,8330200
2025-03-13,148.37,150.48,148.06,148.34,5351100
2025-03-14,147.13,149.16,147.08,148.59,5277500
2025-03-17,149.23,151.67,149.13,151.34,5449500
2025-03-18,150,151.3,148.75,148.99,8158600
2025-03-19,148.16,148.88,146.79,148.11,6080100
2025-03-20,147.56,148.07,146.64,147.15,4536400
2025-03-21,147,147.7,144.75,145.45,11574800
2025-03-24,145.49,146.72,144.83,146.45,5968900
2025-03-25,146.15,146.3,144.83,145.54,4763300
2025-03-26,146,149.33,145.75,148.64,5882200
2025-03-27,149.59,150.41,149.09,149.67,5397500
2025-03-28,150.44,151.38,147.11,149.27,8550900
2025-03-31,150.2,152.59,149.75,149.94,9985700
2025-04-01,150.49,150.79,148.67,149.67,6072800
2025-04-02,150.23,150.5,148.07,149.12,5866200
2025-04-03,151.69,154.05,150.86,151.37,8216200
2025-04-04,152.99,154.92,146.44,146.61,12911400
2025-04-07,141.32,146.1,140.67,143.19,14423200
2025-04-08,143.95,145.4,139.15,140.3,9488900
2025-04-09,140.25,145.95,138.33,145.59,14067000
2025-04-10,145.42,147.14,142.92,144.14,10980300
2025-04-11,145.15,145.29,142.12,144.43,8563300
2025-04-14,144.16,147.18,143.5,146.75,5393800
2025-04-15,145.84,145.98,142.63,142.84,5459600
2025-04-16,144.11,144.4,139.77,140.09,7878600
2025-04-17,140.34,143.57,140.07,142.84,6131400
2025-04-21,142.5,142.83,140.57,141.73,7412800
2025-04-22,142.28,144.28,141.95,143.46,7144700
2025-04-23,143.27,144.01,140.85,142.26,7760000
2025-04-24,141.45,141.85,134.53,135.31,15577300
2025-04-25,135.47,135.61,131.8,133.38,11544700
2025-04-28,133.9,135.41,133.1,133.76,8498600
2025-04-29,132.48,134.46,131.52,134.31,7010700
2025-04-30,135.63,136.18,133.1,135.58,7923500
2025-05-01,134.47,134.81,133.24,133.55,6807000
2025-05-02,134.15,134.4,133.15,133.75,7169700
2025-05-05,134.04,134.04,131.7,131.99,8972200
2025-05-06,131.9,131.9,130.16,130.74,6889900
2025-05-07,130.95,132.67,130.27,131.92,6313200
2025-05-08,131.89,132.98,131.26,131.43,6392400
2025-05-09,131.15,131.65,130.18,130.44,4770500
2025-05-12,130.84,132.33,130.06,131.68,8392700
2025-05-13,131.17,131.64,129.75,130.31,8650200
2025-05-14,130.07,130.17,127.87,128.45,10463000
2025-05-15,129.19,131.55,128.81,131.5,9165100
2025-05-16,132.09,132.26,130.65,131.98,8896400
2025-05-19,132.13,132.26,131.11,131.79,9406200
2025-05-20,131.75,132.17,131.35,131.8,7624200
2025-05-21,131.8,131.9,130.06,130.15,9243700
2025-05-22,130.02,130.7,128.82,130.12,7140200
2025-05-23,129.56,129.76,127.75,129.34,8122500
2025-05-27,130.08,131.46,129.13,131.37,13974800
2025-05-28,131.29,132.19,130.47,130.67,9431500
2025-05-29,130.86,132.07,130.25,131.92,6656900
2025-05-30,132.15,132.72,131.29,131.45,12992100
2025-06-02,130.9,131.03,129.07,130.91,6723700
2025-06-03,130.63,132.21,129.81,131.85,7339500
2025-06-04,132.24,132.74,131.1,131.74,6519700
2025-06-05,131.2,131.41,130.21,131.11,9560800
2025-06-06,130.25,130.67,129.34,130.03,7628200
2025-06-09,129.83,130.65,129.18,129.96,8453100
2025-06-10,130.2,132.12,129.46,131.83,11852900
2025-06-11,131.94,131.97,129.79,129.9,9168400
2025-06-12,129.89,132.33,129.71,132.3,11444900
2025-06-13,131.76,133.06,130.59,130.85,9581000
2025-06-16,131.31,132.09,130.23,131.41,11183700
2025-06-17,131.16,131.69,129.13,129.29,10235200
2025-06-18,129.63,129.68,128.59,129.07,8785800
2025-06-20,129.53,130.42,128.9,129.07,23001000
2025-06-23,129.29,129.5,127.82,129.09,12840400
2025-06-24,129.14,131.21,129.05,131.05,9226800
2025-06-25,130.26,130.59,127.63,128.02,10922600
2025-06-26,127.71,129.16,127.6,128.22,11538100
2025-06-27,128.29,131.34,128.11,131.04,26536500
2025-06-30,131.2,132.36,130.59,132.04,11402400
2025-07-01,132.59,136.39,132.47,135.26,12846700
2025-07-02,135.25,137,134.88,136.48,9388700
2025-07-03,136.7,136.83,135.24,135.38,4941400
2025-07-07,135.53,135.72,133.68,134.45,7773700
2025-07-08,133.41,135.67,133.28,135.04,7718300
2025-07-09,134.9,135.38,132.96,134.48,7762600
2025-07-10,134.43,136.68,133.63,136.08,8869700
2025-07-11,134.84,135.39,133.81,135.26,7963600
2025-07-14,134.75,135.88,133.86,135.57,8480300
2025-07-15,135.43,135.51,133.75,133.81,8933500
2025-07-16,133.95,135.51,133.75,135.35,10941600
2025-07-17,141.7,145.96,141.64,145.44,26161000
2025-07-18,146.26,146.35,142.94,143.24,13752800
2025-07-21,143.1,143.59,140.46,141.7,9025600
2025-07-22,141.23,146.4,141.23,146.04,8281500
2025-07-23,145.86,147.03,145.09,145.66,6166000
2025-07-24,145.82,146.47,143.98,144.51,9749400
2025-07-25,144.81,144.82,142.7,143.45,7021600
2025-07-28,142.7,143.1,141.46,141.57,10639100
2025-07-29,141.57,143.99,141.13,143.89,6282900
2025-07-30,143.77,144.4,142.29,142.86,9738400
2025-07-31,140.98,141.57,137.64,137.92,11689700
2025-08-01,139.1,139.81,138.29,139.28,7630500
2025-08-04,139.29,140.32,138.75,139.56,8384700
2025-08-05,139.6,140.35,139.26,139.45,5535100
2025-08-06,139.9,141.58,139.36,140.8,6747400
2025-08-07,141.24,144.31,140.48,143.92,7674600
2025-08-08,143.92,145.37,143.8,145.21,5315100
2025-08-11,145.32,145.6,143.75,144.87,5773400
2025-08-12,145.55,147.01,144.72,146.87,7668700
2025-08-13,146.89,149.54,146.85,149.35,6147000
2025-08-14,149.04,149.5,148.05,148.62,6892500
2025-08-15,149.39,151.1,148.49,150.4,9162200
2025-08-18,150.55,150.55,148.92,149.55,9901000
2025-08-19,150,152.32,149.86,152.16,8596900
2025-08-20,153.21,154.61,148.69,150.73,10023500
2025-08-21,150.32,150.32,148.6,148.98,8153600
2025-08-22,149.65,151.18,149.09,149.64,5218000
2025-08-25,148.43,148.82,147.58,148.2,6624300
2025-08-26,147.5,148.25,145.81,147,11208100
2025-08-27,147,147.79,146.31,147.64,8092900
2025-08-28,147.96,148.04,146.23,146.98,9265100
2025-08-29,147.1,149.22,146.87,148.65,7760700
2025-09-02,157.44,157.8,150.21,150.28,17348600
2025-09-03,149.95,150.46,147.11,148.64,11259200
2025-09-04,149.02,149.47,146.45,146.89,6342200
2025-09-05,146,147.88,145.28,146.39,7186300
2025-09-08,145.72,145.72,140.35,141.71,11127600
2025-09-09,141.18,143.63,141.1,143.1,5866400
2025-09-10,142.23,143.11,141.42,142.66,6015100
2025-09-11,142.89,144.75,142.5,144.23,6144400
2025-09-12,144.07,144.25,142.9,143.53,5713700
2025-09-15,143.4,143.53,140.53,140.64,7279600
2025-09-16,140.69,141.31,139.91,140.03,9283500
2025-09-17,140.17,142.04,140.15,141.23,6092900
2025-09-18,140.64,141.63,140.39,140.73,6106600
2025-09-19,141.46,142.08,140.46,141.76,12365500
2025-09-22,141.08,141.52,139.94,141.03,5797600
2025-09-23,141.04,142.23,139.96,141.9,6356500
2025-09-24,141.81,142.34,141.01,142.17,5949100
2025-09-25,143,143.42,139.86,139.92,7101700
2025-09-26,139.94,140.99,139.85,140.44,6224700
2025-09-29,140.44,140.67,139.12,140.17,11930200
2025-09-30,140.17,141.03,139.83,140.44,7583400
2025-10-01,140.81,143.37,140.48,143.14,5880800
2025-10-02,141.89,143.25,141.37,142.31,4497300
2025-10-03,142.26,143.36,141.86,141.98,5425700
2025-10-06,141.77,141.85,138.88,139.7,6750700
2025-10-07,140.37,141.84,139.69,140.79,6110300
2025-10-08,140.79,140.98,138.69,138.84,8256700
2025-10-09,140.46,144.74,138.59,144.71,13706600
2025-10-10,145.63,150.82,145,150.08,17545200
2025-10-13,148.65,149.98,147.34,148.89,7272000
2025-10-14,148.69,151.62,148.5,151.54,8371100
2025-10-15,151.33,152.39,149.17,151.16,6101100
2025-10-16,152.38,154.38,152.29,152.67,8532900
2025-10-17,153.77,153.91,151.74,153.71,6710100
2025-10-20,154.42,154.42,152.72,153.64,4810600
2025-10-21,154.7,155.19,152.84,153.18,5614300
2025-10-22,153.15,155.18,152.71,153.03,6486000
2025-10-23,153.17,153.4,151.03,151.51,6091800
2025-10-24,152.04,152.42,151.27,151.55,3580200
2025-10-27,151.01,152.87,150.96,152.63,4744600
2025-10-28,151.41,153.21,149.92,150.12,5626500
2025-10-29,148.05,148.66,143.67,146.16,7767600
2025-10-30,146.34,148.09,146.25,147.55,5752700
2025-10-31,146.2,147,145.3,146.09,6313600
2025-11-03,145.86,145.91,143.25,143.6,8331500
2025-11-04,144.7,144.93,142.06,142.9,8302900
2025-11-05,142.9,143.28,141.58,142.86,7136400
2025-11-06,142.41,143.21,141.3,141.58,6449400
2025-11-07,142.93,144.05,141.65,142.95,7592300
2025-11-10,142.49,143.02,141.26,142.62,6617500
2025-11-11,143.28,145.76,142.68,145.08,7683600
2025-11-12,144.56,145.5,144.06,144.39,5790100
2025-11-13,144.1,146.39,143.65,145.02,6663300
2025-11-14,145.89,146.84,143.93,145.85,5770500
2025-11-17,146.12,148.11,145.22,147.83,7320200
2025-11-18,148.3,149.83,147.45,148.77,10821500
2025-11-19,148.3,148.8,146.69,147.11,8123200
2025-11-20,146.6,147.08,144.9,146.1,6878900
2025-11-21,146.28,148.94,145.98,146.33,7911800
2025-11-24,145.83,146.34,144.76,145.5,9391400
2025-11-25,145.93,147.12,145.57,146.11,8954000
2025-11-26,146.32,148.47,146.23,147.98,5180600
2025-11-28,147.23,148.82,147.23,148.74,2969300
2025-12-01,148.63,149.82,148.51,149.51,7623300
2025-12-02,149.46,149.51,146.53,148.61,6830300
2025-12-03,148.69,150.7,147.91,148.06,5109200
2025-12-04,147.75,148.25,146.13,146.91,6803000
2025-12-05,145.62,145.8,144.51,145.02,5971300
2025-12-08,145.01,146.56,144.2,145.63,6327400
2025-12-09,146.35,147.56,143.91,144.64,10035200
2025-12-10,147.77,149.78,147,149.7,18526400
2025-12-11,150.15,150.89,148.13,149.04,7854000
2025-12-12,149.75,150.67,148.74,150.65,8143100
2025-12-15,150.94,151.7,150.28,151.22,8409600
2025-12-16,151.99,152.35,149.99,150.37,7520300
2025-12-17,150.38,151.24,149.48,150.08,8067100
