Date,Open,High,Low,Close,Volume
2018-01-02,56.46,56.46,55.07,55.36,2715500
2018-01-03,55.32,55.56,54.86,55.33,3247300
2018-01-04,55.43,55.8,55.1,55.32,2573300
2018-01-05,55.44,55.59,54.87,55.53,3264800
2018-01-08,55.61,55.82,55.32,55.7,3075600
2018-01-09,55.81,56.57,55.77,56.17,3823600
2018-01-10,56.06,56.2,55.44,55.68,3212700
2018-01-11,55.84,56.04,55.5,55.66,2087100
2018-01-12,55.82,56.1,55.37,55.94,2659800
2018-01-16,56.08,56.53,55.88,56.27,3800300
2018-01-17,56.48,57.4,56.23,57.23,3169500
2018-01-18,57.24,57.44,56.91,57.29,2042900
2018-01-19,57.51,57.85,57.34,57.66,3847600
2018-01-22,57.85,58.25,57.79,58.22,2632800
2018-01-23,58.17,58.25,56.33,57.05,4611300
2018-01-24,57.63,57.63,54.01,55.33,7594900
2018-01-25,55.7,55.81,55.08,55.76,4766600
2018-01-26,55.98,56.76,54.05,54.83,5802800
2018-01-29,54.76,54.85,53.09,53.13,7824800
2018-01-30,53.15,54.47,53.15,53.49,5233600
2018-01-31,53.82,54.5,53.5,54.1,6765400
2018-02-01,53.15,54.41,53.1,53.58,4502800
2018-02-02,53.56,54.45,53.16,53.24,3004400
2018-02-05,52.96,54.37,51.94,51.95,4452700
2018-02-06,51.44,53.11,50.79,52.87,5951100
2018-02-07,52.78,54.1,52.55,53.4,4334500
2018-02-08,53.47,53.51,51.04,51.07,5464800
2018-02-09,51.6,52.55,51.22,52.22,5109500
2018-02-12,52.42,52.79,51.47,52.38,2850800
2018-02-13,52.11,53.24,51.99,53.22,3078400
2018-02-14,53.77,56.35,53.57,56.3,6304600
2018-02-15,56.9,57,56.24,56.78,4209000
2018-02-16,56.59,57.53,56.59,57.35,3704700
2018-02-20,57.06,57.29,56.47,56.54,3807300
2018-02-21,56.73,58.1,56.59,57.17,3649100
2018-02-22,57.28,57.79,56.67,56.85,3358100
2018-02-23,56.99,57.76,56.92,57.71,1968600
2018-02-26,57.8,59.06,57.74,58.85,3290000
2018-02-27,58.8,59.26,58.53,58.53,4889100
2018-02-28,58.88,59.36,57.57,57.58,4031800
2018-03-01,57.75,58.6,57.28,57.79,3158200
2018-03-02,57.4,57.84,56.98,57.58,4006000
2018-03-05,57.32,58.95,57.03,58.79,3180000
2018-03-06,58.86,58.97,57.68,58.62,3362400
2018-03-07,58.2,58.67,58.17,58.42,2326400
2018-03-08,58.53,59.09,58.4,59.02,1455500
2018-03-09,59.37,60.38,59.17,60.37,1860700
2018-03-12,60.35,60.43,59.74,59.97,2553300
2018-03-13,60.06,60.69,59.96,60.01,3339800
2018-03-14,61.3,61.63,60.72,61.4,3348400
2018-03-15,61.55,61.71,60.8,61.58,3345400
2018-03-16,61.81,62.14,61.63,61.92,3086100
2018-03-19,61.92,62.52,61.4,61.87,2321700
2018-03-20,62.06,62.74,62.02,62.33,2611000
2018-03-21,62.39,62.71,61.73,62.01,2383700
2018-03-22,61.49,61.99,60.47,60.55,2713900
2018-03-23,60.51,61,59.61,59.68,3541500
2018-03-26,60.09,60.98,59.51,60.85,3699100
2018-03-27,61.09,61.43,59.93,60.29,3576000
2018-03-28,60.35,60.87,59.78,60.44,3403100
2018-03-29,60.77,61.46,60.44,60.93,3268600
2018-04-02,60.99,61.27,59.17,59.81,3481500
2018-04-03,60.07,60.96,59.85,60.69,3498700
2018-04-04,60.13,61.55,60.04,61.41,3841200
2018-04-05,61.65,61.97,61.05,61.25,2900400
2018-04-06,60.86,61.39,59.7,60.04,3661400
2018-04-09,60.4,60.9,59.89,60,2952800
2018-04-10,60.81,60.98,60.32,60.39,3033400
2018-04-11,59.96,60.33,59.81,59.99,2315000
2018-04-12,60.39,60.76,60.22,60.5,2155800
2018-04-13,60.92,60.98,59.92,60.07,2711900
2018-04-16,60.58,61.42,60.46,60.93,4648000
2018-04-17,61.45,62.78,61.01,62.28,5132100
2018-04-18,62.39,62.43,60.83,61.18,3973000
2018-04-19,61.18,61.74,60.86,61.13,2991800
2018-04-20,61.23,61.39,60.8,61.05,2886600
2018-04-23,61.5,61.59,60.96,61.22,2146600
2018-04-24,61.33,61.49,60.26,60.71,2820000
2018-04-25,60.8,60.97,59.96,60.3,3370000
2018-04-26,60.36,60.88,59.98,60.63,1601000
2018-04-27,60.53,61.01,60.43,60.98,1519200
2018-04-30,61.1,61.25,60.29,60.29,2506600
2018-05-01,60.32,60.53,59.92,60.5,1929300
2018-05-02,60.15,60.24,58.11,58.98,3929200
2018-05-03,58.72,59.62,58.23,59.27,3764500
2018-05-04,59.03,60.11,58.64,59.81,2457300
2018-05-07,59.84,61.01,59.81,60.7,2675700
2018-05-08,60.53,61.28,60.48,61.16,2546500
2018-05-09,61.13,61.8,61.02,61.79,1600800
2018-05-10,61.9,62.61,61.65,62.37,2522700
2018-05-11,62.34,62.99,62.22,62.43,2073700
2018-05-14,62.48,62.59,61.62,61.72,3026600
2018-05-15,61.59,62.52,61.55,61.91,3991200
2018-05-16,62.1,62.3,61.03,61.61,3366700
2018-05-17,61.09,61.24,60.2,60.36,3644600
2018-05-18,60.49,61.04,60.28,60.93,4993500
2018-05-21,61.31,61.92,61.01,61.66,3327200
2018-05-22,61.8,62.8,61.62,61.99,3209000
2018-05-23,61.85,62.36,61.75,62.23,3086100
2018-05-24,62.24,62.63,61.82,62.63,2624200
2018-05-25,62.54,62.67,62.19,62.35,2078400
2018-05-29,62.04,62.09,61.32,61.71,2881000
2018-05-30,62.04,63.28,62.01,63,2260500
2018-05-31,62.91,62.91,61.99,62.09,6675300
2018-06-01,62.56,62.69,61.96,62.43,2687100
2018-06-04,62.61,62.97,62.48,62.83,4704200
2018-06-05,62.78,63.55,62.66,62.99,3009600
2018-06-06,63.08,63.39,61.1,62.59,4162300
2018-06-07,62.63,62.82,61.92,62.61,3935500
2018-06-08,62.65,62.87,62.39,62.84,2320900
2018-06-11,62.93,63.14,62.33,62.74,1987300
2018-06-12,62.85,63,61.78,61.92,3707400
2018-06-13,62.25,64.77,62.15,62.52,4815500
2018-06-14,62.81,62.97,61.7,61.89,3327900
2018-06-15,61.85,62.38,61.36,62.36,4254100
2018-06-18,61.91,61.99,61.35,61.5,2181000
2018-06-19,61.01,62.24,61,61.96,5244700
2018-06-20,62.34,62.34,61.38,61.42,2579400
2018-06-21,61.24,61.53,60.9,61.05,1740900
2018-06-22,61.32,61.39,60.64,60.78,9044800
2018-06-25,60.85,61.14,60.1,60.18,4257000
2018-06-26,60.36,60.48,59.74,59.75,3434000
2018-06-27,60.1,60.15,58.68,58.71,3850800
2018-06-28,58.73,59.87,58.7,59.53,2824800
2018-06-29,59.68,59.91,59.13,59.15,3864800
2018-07-02,58.97,59.76,58.93,59.74,3414400
2018-07-03,59.86,60.19,59.3,59.33,1198900
2018-07-05,59.59,59.77,58.92,59.06,2880100
2018-07-06,58.99,59.61,58.87,59.19,1985700
2018-07-09,59.53,59.74,59.3,59.57,2632600
2018-07-10,59.66,60.29,59.55,59.65,3386900
2018-07-11,59.38,59.7,59.17,59.23,3175900
2018-07-12,59.61,59.67,58.63,58.66,3730800
2018-07-13,58.64,58.76,58.3,58.44,3363000
2018-07-16,58.73,58.89,58.33,58.42,4640700
2018-07-17,59,60.23,58.75,59.4,6385700
2018-07-18,59.56,60.5,59.13,60.39,8770400
2018-07-19,59.93,60.13,59.37,59.51,5577200
2018-07-20,59.43,60.05,59.22,59.83,3081600
2018-07-23,59.8,59.91,59.18,59.58,3027700
2018-07-24,59.64,59.83,59.18,59.39,3128200
2018-07-25,59.32,59.68,59.15,59.52,3190900
2018-07-26,59.76,60.53,59.67,60.12,3260200
2018-07-27,60.53,60.95,59.72,59.87,2013000
2018-07-30,59.86,60.17,59.34,59.42,2181200
2018-07-31,59.67,60.07,59.19,60.01,4230500
2018-08-01,60.01,60.63,59.78,60.52,3367200
2018-08-02,60.41,61.78,60.39,61.68,4257700
2018-08-03,61.5,61.73,60.85,61.55,3862300
2018-08-06,61.54,61.71,61.26,61.43,2317800
2018-08-07,61.48,62.26,61.31,61.82,3744700
2018-08-08,61.71,62.02,61.47,61.91,2091700
2018-08-09,61.94,62.9,61.84,62.54,2170200
2018-08-10,62.18,62.65,61.92,62.44,2446100
2018-08-13,62.38,62.95,61.93,61.96,2578500
2018-08-14,61.92,62.55,61.8,62.29,5674900
2018-08-15,62.36,64.19,61.98,64.06,3433800
2018-08-16,64.49,65.32,63.72,65.05,4532400
2018-08-17,65.01,66.42,65,66.28,5710900
2018-08-20,66.54,67.02,66.43,66.9,4511100
2018-08-21,66.84,67.63,66.78,67.22,4178500
2018-08-22,67.08,67.33,66.64,66.72,3542000
2018-08-23,66.78,66.97,66.68,66.81,1939200
2018-08-24,66.8,66.98,66.42,66.92,2092900
2018-08-27,67.04,67.36,66.88,67.26,1751100
2018-08-28,67.28,67.43,66.95,67.15,1836700
2018-08-29,67.4,67.88,67.2,67.67,2298500
2018-08-30,67.71,67.71,66.97,67.17,1948800
2018-08-31,67.17,67.59,66.91,67.53,2579000
2018-09-04,67.6,68.41,67.53,68.39,2068900
2018-09-05,68.46,68.95,68.41,68.79,2256900
2018-09-06,68.69,68.92,68.46,68.82,1778100
2018-09-07,68.76,69.01,68.56,68.87,2108000
2018-09-10,68.76,68.76,67.65,67.79,2471000
2018-09-11,67.21,68.28,66.8,67.99,2769100
2018-09-12,68.14,68.63,67.83,68.36,2870000
2018-09-13,68.7,68.85,68.05,68.74,2254600
2018-09-14,68.97,68.97,67.99,68.24,3930200
2018-09-17,68.37,68.68,68.03,68.53,1899200
2018-09-18,68.7,69.73,68.53,69.68,2379600
2018-09-19,69.68,70.61,69.65,69.88,3019100
2018-09-20,70.14,70.82,70,70.78,2293800
2018-09-21,71.2,71.23,70.64,70.72,4119400
2018-09-24,70.77,70.86,70.26,70.37,1649900
2018-09-25,70.23,71.24,70.08,71.2,3131100
2018-09-26,71.47,71.61,70.79,70.88,2836700
2018-09-27,70.8,71.26,70.17,70.32,1698800
2018-09-28,70.15,71.08,70.08,71.04,2437700
2018-10-01,71.36,71.77,70.57,70.7,2337800
2018-10-02,70.84,71.09,70.55,70.96,2620200
2018-10-03,71.16,71.51,70.97,71.06,2438200
2018-10-04,71.1,71.3,70.53,71.11,2691700
2018-10-05,71.03,71.21,70.41,70.67,2220800
2018-10-08,70.81,71.29,70.43,71.03,2551500
2018-10-09,71.09,72.02,70.95,71.83,3643300
2018-10-10,70.59,71,68.48,68.52,6340800
2018-10-11,68.1,68.68,66.76,66.97,5592800
2018-10-12,67.48,67.91,65.8,66.86,4845600
2018-10-15,66.79,67.23,66.22,66.24,2893300
2018-10-16,68.1,70.34,67.95,70.27,5629900
2018-10-17,70.33,70.87,69.53,70.63,3182500
2018-10-18,70.43,72.72,70.43,71.8,4935000
2018-10-19,71.05,71.29,70.28,70.55,4438100
2018-10-22,70.78,71.18,70.01,70.26,3509000
2018-10-23,69.29,70,68.68,69.44,4214700
2018-10-24,69.24,69.8,67.62,67.74,3564300
2018-10-25,68.12,69.62,67.89,68.96,2562200
2018-10-26,68.33,68.76,67.48,68.11,2597400
2018-10-29,68.94,69.95,68.09,68.87,2259400
2018-10-30,69.13,70.03,68.4,69.79,2701000
2018-10-31,70.16,70.59,69.65,69.7,3703300
2018-11-01,69.18,69.55,68.21,69.04,5145200
2018-11-02,69.62,70.09,67.95,68.38,3448500
2018-11-05,68.61,69.95,68.53,69.73,2218600
2018-11-06,69.62,70.14,69.44,69.78,2174400
2018-11-07,71.45,73.69,71.26,73.12,4782700
2018-11-08,72.74,73.61,72.73,73.46,2494900
2018-11-09,73.32,73.65,72.91,73.19,2344700
2018-11-12,73.18,73.44,71.77,71.9,1985500
2018-11-13,71.73,72.28,71.15,71.59,3227500
2018-11-14,69.33,69.5,64.69,64.8,8984700
2018-11-15,64.51,66.31,64.51,66.3,6524500
2018-11-16,66,66.84,65.72,66.34,3799100
2018-11-19,66.67,66.72,64.43,65.01,4328300
2018-11-20,64.17,65.12,63.35,64.38,6430300
2018-11-21,64.38,64.69,63.67,63.69,3361500
2018-11-23,63.16,63.46,62.87,62.95,1350500
2018-11-26,63.45,63.68,62.99,63.23,3407000
2018-11-27,63.04,63.44,61.48,61.89,3947100
2018-11-28,62.14,64.25,62.14,64.25,4633200
2018-11-29,63.8,65.53,63.76,65.19,3903200
2018-11-30,65.09,66.41,65.03,66.29,5104800
2018-12-03,67.19,67.56,65.66,66.81,5428300
2018-12-04,66.78,66.88,64.42,64.63,4625900
2018-12-06,63.66,64.93,62.53,64.83,4231100
2018-12-07,64.56,65.39,63.09,63.42,3469600
2018-12-10,63.2,64.13,61.79,63.65,5100400
2018-12-11,64.89,65.3,62.97,63.47,4215300
2018-12-12,64.42,65.16,63.98,64.06,3924800
2018-12-13,64.01,64.31,62.56,63.15,3194900
2018-12-14,62.43,62.84,61.77,62,3577100
2018-12-17,61.89,62.1,60.79,61.07,4626200
2018-12-18,61.39,61.92,60.46,61.08,3632100
2018-12-19,61.28,62.89,60.55,60.87,3961000
