Date,Open,High,Low,Close,Volume
2017-01-03,142.2,144.25,140.83,142.55,1115000
2017-01-04,142.5,143.2,141.9,142.64,637900
2017-01-05,142.35,142.67,139.92,141.37,557900
2017-01-06,141.91,142.4,141.06,141.49,727500
2017-01-09,141.54,142.15,140.37,140.78,519200
2017-01-10,141.16,142.05,140.74,141.83,721400
2017-01-11,142.01,145.34,141.29,145.21,1441300
2017-01-12,144.5,144.61,141.68,143.75,1231400
2017-01-13,144.7,146.34,144.31,146.25,947200
2017-01-17,145.4,145.46,143.55,143.62,1623900
2017-01-18,143.82,145.44,143.64,144.4,802000
2017-01-19,144.39,145.52,143.17,143.75,1174600
2017-01-20,144.46,144.5,142.44,142.52,1350300
2017-01-23,142.5,142.82,141.06,142.5,998400
2017-01-24,142.9,146.17,142.73,145.48,781100
2017-01-25,146.04,149.88,145.79,149.52,1634200
2017-01-26,149.07,149.98,148.03,149.1,1117200
2017-01-27,149.53,150.14,148.97,149.27,717200
2017-01-30,148.9,148.9,145.85,147.33,983000
2017-01-31,146.86,147.52,144.82,147.13,1345900
2017-02-01,147.15,148.1,145.09,145.45,1423200
2017-02-02,148.98,152.87,148.04,149.75,2040300
2017-02-03,150.69,151.15,149.15,150.21,1073000
2017-02-06,149.62,150.11,148.05,148.65,945000
2017-02-07,150.43,150.43,147.59,147.97,1342300
2017-02-08,146.89,147.63,145.38,147.45,1372400
2017-02-09,147.79,149.52,147.37,149.37,1002700
2017-02-10,149.76,150.33,149.05,150.25,1059000
2017-02-13,151.01,153.13,151,152.46,1625200
2017-02-14,151.95,152.83,150.95,152.63,836200
2017-02-15,153.64,156.44,153.07,155.49,1762900
2017-02-16,155.47,155.75,153.43,154.41,823200
2017-02-17,153.7,154.38,152.53,153.89,1079000
2017-02-21,154.12,155.96,154,155.62,921200
2017-02-22,156.49,156.84,155.49,155.86,1057900
2017-02-23,156.48,156.48,152.89,153.7,702200
2017-02-24,152.51,155.11,151.77,155.04,647700
2017-02-27,154.84,156.27,154.2,156.14,690600
2017-02-28,155.8,156.62,154.7,154.84,1090300
2017-03-01,156.94,159.05,155.03,158.44,1410000
2017-03-02,158.31,159.04,156.83,157.09,1159300
2017-03-03,157.01,157.33,155.95,157.06,766000
2017-03-06,155.94,158.09,155.87,157.93,964900
2017-03-07,158,158.43,156.84,157.49,1044400
2017-03-08,157.67,159.36,157.56,157.65,1164600
2017-03-09,157.36,158.16,155.25,156.29,879600
2017-03-10,157.75,158.75,156.16,157.32,1392300
2017-03-13,157.88,159.07,157.06,158.08,1055600
2017-03-14,157.31,157.76,156.14,157.05,742400
2017-03-15,157.9,160.08,157.72,159.58,822100
2017-03-16,160.08,160.23,157.71,158.24,1182400
2017-03-17,158.35,159.51,157.88,159.1,1806900
2017-03-20,159.18,159.38,157.82,158.24,833700
2017-03-21,159.2,159.69,156.48,156.9,1262400
2017-03-22,157.13,157.77,156.1,157.55,1018700
2017-03-23,157.63,158.71,156.7,158,872400
2017-03-24,158.03,158.55,156.05,156.69,1111100
2017-03-27,154.86,156.32,152.62,155.65,976300
