Date,Open,High,Low,Close,Volume
1996-01-02,4.2344,4.25,4.2031,4.2344,319200
1996-01-03,4.2344,4.3281,4.2344,4.2969,674400
1996-01-04,4.2812,4.3281,4.1719,4.2344,1054400
1996-01-05,4.1562,4.1875,4.1406,4.1875,180000
1996-01-08,4.2031,4.25,4.2031,4.25,145600
1996-01-09,4.2656,4.2969,4.2188,4.2188,674400
1996-01-10,4.1875,4.1875,3.9688,3.9688,402400
1996-01-11,3.9688,3.9844,3.9219,3.9219,476800
1996-01-12,3.9375,3.9688,3.9219,3.9688,200000
1996-01-15,3.9531,4,3.9531,3.9688,416000
1996-01-16,3.9844,3.9844,3.8125,3.8594,433600
1996-01-17,3.8594,3.9375,3.8281,3.9062,334400
1996-01-18,3.9375,3.9375,3.8438,3.8906,268800
1996-01-19,3.875,3.9844,3.875,3.9688,417600
1996-01-22,3.9375,4.0469,3.9375,4.0469,1052800
1996-01-23,4.0625,4.0781,4.0156,4.0469,593600
1996-01-24,4.0312,4.0938,4,4.0469,192000
1996-01-25,3.9844,4.0312,3.9375,4,474400
1996-01-26,4.0312,4.0469,3.9844,4,202400
1996-01-29,4.0156,4.0156,3.9531,3.9688,272000
1996-01-30,3.9688,4.0469,3.9531,4,817600
1996-01-31,4.0469,4.125,4.0312,4.125,383200
1996-02-01,4.1562,4.2188,4.1562,4.1719,292800
1996-02-02,4.1562,4.1875,4.1406,4.1875,521600
1996-02-05,4.1875,4.1875,4,4.0469,424000
1996-02-06,4.0625,4.0938,4.0469,4.0781,380800
1996-02-07,4.1094,4.125,4.0312,4.0312,1041600
1996-02-08,4.0156,4.0312,3.9531,4.0312,740000
1996-02-09,4.0625,4.0625,4.0156,4.0469,956800
1996-02-12,4.0469,4.0469,4.0156,4.0312,651200
1996-02-13,4,4.0312,3.9375,4.0312,740000
1996-02-14,4.0312,4.0469,4,4.0156,330400
1996-02-15,4.0156,4.0156,3.9062,3.9062,287200
1996-02-16,3.9375,3.9375,3.8438,3.875,600800
1996-02-20,3.8594,3.8594,3.625,3.7031,625600
1996-02-21,3.75,3.7812,3.7188,3.7344,672000
1996-02-22,3.7656,3.8125,3.75,3.7812,1062400
1996-02-23,3.7969,3.875,3.75,3.7812,767200
1996-02-26,3.7656,3.7812,3.7031,3.7188,728000
1996-02-27,3.75,3.75,3.6719,3.7031,584000
1996-02-28,3.7188,3.7812,3.6406,3.6406,515200
1996-02-29,3.7188,3.7656,3.6719,3.7344,464000
1996-03-01,3.7344,3.7656,3.7031,3.75,571200
1996-03-04,3.8125,3.8594,3.75,3.75,335200
1996-03-05,3.7812,3.8438,3.75,3.8438,201600
1996-03-06,3.8438,3.8438,3.75,3.75,501600
1996-03-07,3.7812,3.8125,3.7344,3.75,779200
