Date,Open,High,Low,Close,Volume
2024-01-02,132.84,134.71,132.1,134.62,2899100
2024-01-03,133,133.02,130.12,130.52,3195000
2024-01-04,130.02,131.1,129.02,130.29,3613800
2024-01-05,129.21,132,128.29,130.56,2393600
2024-01-08,130.83,133.67,130.31,133.17,3208700
2024-01-09,131.71,134.33,130.65,133.07,3109500
2024-01-10,134.37,134.99,133.1,133.55,2354000
2024-01-11,132.68,132.99,130.59,131.32,2787500
2024-01-12,132.65,132.97,130.6,131.55,2380600
2024-01-16,130.27,131.53,129.17,129.97,4001200
2024-01-17,127.94,129.54,125.37,126.86,3912900
2024-01-18,126.79,127.25,124.67,126.26,4062900
2024-01-19,126.92,128.87,126.06,128.44,3559000
2024-01-22,128.76,130.39,128.68,128.74,2280900
2024-01-23,129.79,129.99,127.92,128.01,3426400
2024-01-24,129.83,129.83,125.31,125.44,3491500
2024-01-25,126.88,127.42,125.5,126.2,2590400
2024-01-26,126.89,127.34,125.76,126.87,2333000
2024-01-29,126.92,128.35,126.27,127.89,2553900
2024-01-30,127.03,127.71,125.57,126.53,2764300
2024-01-31,127.33,129.09,125.93,126.69,4811300
2024-02-01,126.61,130.46,126.2,130.44,3984000
2024-02-02,128.21,130.27,126.5,129.25,4195000
2024-02-05,127.47,128.08,126.08,126.91,3591800
2024-02-06,127.53,130.75,126.93,130.5,3764300
2024-02-07,130.31,131.04,128.75,129.09,3907500
2024-02-08,129.03,132.37,128.79,131.66,3261000
2024-02-09,131.38,132.77,130.45,132.48,2870400
2024-02-12,133,134.23,131.8,132.05,2523800
2024-02-13,128.75,130.99,127.24,130.88,4759100
2024-02-14,130.94,131.82,129.23,130.5,4294100
2024-02-15,131.7,133.19,131.7,133.1,3409200
2024-02-16,131.94,134.18,131.32,133.39,3421200
2024-02-20,132.35,133.94,131.57,133.35,2995200
2024-02-21,133.24,134.49,133.03,133.42,2436400
2024-02-22,133.51,134.84,132.98,133.44,2946900
2024-02-23,133.48,134.2,133.05,133.21,2131800
2024-02-26,132.82,133.22,131.53,132.56,2000500
2024-02-27,133.25,134.46,131.75,132.49,2976900
2024-02-28,132.02,135.11,131.93,133.99,2478800
2024-02-29,135.08,135.7,133,133.27,5131300
2024-03-01,133.04,134.73,130.23,134.6,2786500
2024-03-04,134.26,134.6,130.96,133.61,3316200
2024-03-05,133.05,133.72,131.78,132.44,2328800
2024-03-06,133.12,133.86,132.42,133.08,2245500
2024-03-07,134.04,134.56,131.97,132.74,2080400
2024-03-08,133.74,135.43,133.43,135.07,2942200
2024-03-11,134.69,135.76,133.15,134.12,2068900
2024-03-12,133.6,135,132.79,134.57,1729200
2024-03-13,134.71,135.27,132.7,133.33,3061400
2024-03-14,132.91,133.18,129.5,130.75,3076000
2024-03-15,127.81,130.29,127.38,129.02,6698800
2024-03-18,128.8,129.81,127.88,128.14,2274300
2024-03-19,128.08,128.85,126.96,127.85,2641200
2024-03-20,127.2,129.29,126.68,128.7,2565700
2024-03-21,128.97,130.43,128.31,129.89,3020100
2024-03-22,130.2,130.2,128.01,128.62,2738500
2024-03-25,128.9,128.94,127.11,127.13,2472700
2024-03-26,126.52,127.07,125.07,125.14,3567300
2024-03-27,126.92,129.09,126.84,128.86,3202100
2024-03-28,129.41,130.54,129.1,130.22,3676100
2024-04-01,130.22,130.77,127.45,127.92,1762900
2024-04-02,126.88,127.15,124.84,125.58,3187400
2024-04-03,125.07,126.66,124.62,126.09,3585000
2024-04-04,128.24,128.71,124.32,124.69,4335800
2024-04-05,124.03,124.92,123.25,124.74,5099600
2024-04-08,125.22,126.29,124.74,126.17,2821600
2024-04-09,126.37,126.8,125.59,126.26,2965800
