Date,Shares
2015-11-05,507806000
2016-01-19,504000000
2016-02-29,501105000
2016-04-15,499000000
2016-05-04,499324000
2016-07-18,493000000
2016-08-03,491409000
2016-11-04,486502000
2017-01-17,485000000
2017-03-01,486156000
2017-04-17,483900992
2017-05-03,483900992
2017-07-18,479207008
2017-08-02,479207008
2017-10-13,461424992
2018-11-12,461424992
2018-11-14,461424992
2018-11-15,461424992
2018-11-19,461424992
2018-11-21,461424992
2018-11-22,461424992
2018-11-26,461424992
2018-11-28,461424992
2018-11-29,461424992
2018-12-02,461424992
2018-12-03,461424992
2018-12-04,461424992
2018-12-06,461424992
2018-12-07,461424992
2018-12-10,461424992
2018-12-11,461424992
2018-12-12,461424992
2018-12-14,461424992
2018-12-16,461424992
2018-12-17,461424992
2018-12-19,461424992
2018-12-21,461424992
2018-12-30,461424992
2019-01-05,461424992
2019-01-07,461424992
2019-01-09,461424992
2019-01-10,461424992
2019-01-12,461424992
2019-01-14,461424992
2019-01-16,461424992
2019-01-20,461424992
2019-01-25,457000000
2019-01-26,457000000
2019-01-30,457000000
2019-02-07,457000000
2019-02-13,457000000
2019-02-15,457000000
2019-02-17,457000000
2019-02-20,457000000
2019-02-28,457000000
2019-03-07,453612992
2019-03-09,453612992
2019-03-10,453612992
2019-03-11,453612992
2019-03-14,453612992
2019-03-17,453612992
2019-03-26,453612992
2019-03-29,453612992
2019-04-01,453612992
2019-04-05,453612992
2019-04-09,453612992
2019-04-10,453612992
2019-04-14,452000000
2019-04-17,452000000
2019-04-21,452000000
2019-04-29,452000000
2019-05-02,452000000
2019-05-05,451438016
2019-05-07,451438016
2019-05-09,451438016
2019-05-10,451438016
2019-05-12,451438016
2019-05-19,451438016
2019-05-22,451438016
2019-05-23,451438016
2019-05-28,451438016
2019-06-03,451438016
2019-06-04,451438016
2019-06-05,451438016
2019-06-06,451438016
2019-06-10,451438016
2019-06-11,451438016
2019-06-12,451438016
2019-06-17,451438016
2019-06-19,451438016
2019-06-21,451438016
2019-06-23,451438016
2019-06-24,451438016
2019-06-26,451438016
2019-07-03,450760000
2019-07-04,451438016
2019-07-05,447972000
2019-07-06,451438016
2019-07-10,454326016
2019-07-11,449064992
2019-07-12,455983008
2019-07-13,451438016
2019-07-19,447000000
2019-08-05,447972000
2019-08-06,445256992
2019-08-07,462140000
2019-08-08,434671008
2019-08-09,436012000
2019-08-10,445256992
2019-08-23,446740992
2019-08-24,445256992
2019-08-30,439217984
2019-09-02,437072000
2019-09-04,445256992
2019-09-06,436356000
2019-09-09,435825984
2019-09-11,416324000
2019-09-12,439153984
2019-09-13,445256992
2019-09-20,444625984
2019-09-21,445256992
2019-10-04,441903008
2019-10-08,445256992
2019-10-21,441646016
2019-10-22,439000000
2019-11-05,432775008
2019-11-06,429312992
2019-11-07,435488000
2019-11-08,443136000
2019-11-09,438169984
2019-11-14,433912000
2019-11-15,432940992
2019-11-16,438169984
2019-12-18,441918016
2019-12-19,438169984
2020-01-08,443312000
2020-01-09,434715008
2020-01-10,439220992
2020-01-11,442712000
2020-01-12,438169984
2020-01-13,437288000
2020-01-14,438169984
2020-01-17,433000000
2020-02-07,430352992
2020-02-08,433000000
2020-02-12,435616992
2020-02-13,434175008
2020-02-14,433000000
2020-03-04,428727008
2020-03-19,428727008
2020-04-17,424000000
2020-05-07,424260000
2020-05-21,410972000
2020-05-22,424260000
2020-07-17,425000000
2020-08-06,424503008
2020-08-28,424503008
2020-09-05,427278016
2020-09-06,424503008
2020-09-21,424959008
2020-09-22,424503008
2020-10-16,424000000
2020-11-05,423700992
2020-11-26,423700992
2021-01-19,423700992
2021-01-20,424000000
2021-03-02,424020000
2021-03-17,428703008
2021-04-20,425000000
2021-04-23,428153984
2021-04-24,418054016
2021-04-27,425000000
2021-04-28,425000000
2021-05-07,424857984
2021-05-10,424857984
2021-08-10,424992992
2021-09-09,424992992
2021-10-19,423000000
2021-11-03,424087008
2021-11-05,433161984
2021-11-06,422640992
2021-11-18,422640992
2022-01-21,420000000
2022-02-11,420000000
2022-03-01,418455008
2022-03-19,418672000
2022-03-22,418455008
2022-04-12,420092000
2022-04-14,418455008
2022-04-18,415000000
2022-05-06,413580992
2022-06-03,413580992
2022-07-18,411000000
2022-08-05,410124000
2022-09-02,410124000
2022-10-04,398444000
2022-10-06,410124000
2022-10-15,404000000
2022-10-18,404000000
2022-10-21,414156000
2022-10-23,404000000
2022-11-04,418283008
2022-11-05,403319008
2023-01-21,401000000
2023-02-04,402891008
2023-02-05,401000000
2023-02-25,399681984
2023-03-08,418772000
2023-03-09,399681984
2023-03-18,420358016
2023-03-22,399681984
2023-03-30,406172000
2023-04-01,399681984
2023-04-04,406396992
2023-04-05,399681984
2023-04-06,404289984
2023-04-07,399681984
2023-05-03,399681984
2023-05-04,408214016
2023-05-06,399681984
2023-05-11,405166016
2023-05-12,409732000
2023-05-13,407656992
2023-05-16,399681984
2023-07-12,402705984
2023-07-13,399681984
2023-07-20,398000000
2023-08-21,398255008
2023-08-23,411337984
2023-08-28,398255008
2023-09-07,398255008
2023-10-15,398340992
2023-10-17,398340992
2023-10-19,410184992
2023-10-24,398340992
2023-10-25,398340992
2023-10-27,398340992
2023-10-28,398340992
2023-11-04,398340992
2023-11-07,398340992
2023-11-08,400880992
2023-11-09,398340992
2023-11-11,398340992
2023-11-15,398340992
2023-11-17,398340992
2023-11-18,398340992
2023-11-21,398340992
2023-11-22,398340992
2023-12-02,398340992
2023-12-05,398340992
2023-12-06,404460000
2023-12-12,398340992
2023-12-13,398340992
2023-12-14,398340992
2023-12-21,398340992
2023-12-22,398340992
2023-12-23,398340992
2023-12-26,398340992
2023-12-27,398340992
2023-12-30,398340992
2024-01-03,398340992
2024-01-04,398340992
2024-01-05,398340992
2024-01-06,408004000
2024-01-11,398340992
2024-01-12,398340992
2024-01-13,408024000
2024-01-16,398340992
2024-01-17,398028992
2024-01-18,398028992
2024-01-20,398028992
2024-01-25,398028992
2024-01-26,398028992
2024-02-01,398028992
2024-02-02,398028992
2024-02-07,398028992
2024-02-08,401038016
2024-02-09,401688992
2024-02-10,398460000
2024-02-13,398028992
2024-02-15,398028992
2024-02-17,398028992
2024-02-21,398028992
2024-02-23,397808000
2024-02-24,397808000
2024-03-02,397808000
2024-03-05,397808000
2024-03-06,397808000
2024-03-07,397808000
2024-03-08,397808000
2024-03-09,397808000
2024-03-12,397808000
2024-03-13,397808000
2024-03-15,397844992
2024-03-16,397844992
2024-03-20,397844992
2024-03-26,397871008
2024-03-27,397844992
2024-03-28,397844992
2024-03-29,397844992
2024-04-02,397844992
2024-04-03,397844992
2024-04-04,397844992
2024-04-05,397844992
2024-04-06,397844992
2024-04-09,397844992
2024-04-10,397844992
2024-04-12,397844992
2024-04-13,397844992
2024-04-16,400692000
2024-04-17,406044000
2024-04-18,398047008
2024-04-19,398047008
2024-04-20,398047008
2024-04-25,398047008
2024-04-26,398047008
2024-04-30,398047008
2024-05-03,398047008
2024-05-04,397907008
2024-05-05,397907008
2024-05-06,397907008
2024-05-09,397907008
2024-05-10,398135008
2024-05-11,397907008
2024-05-17,399020000
2024-05-23,397907008
2024-05-24,397907008
2024-05-25,397907008
2024-05-29,397907008
2024-05-30,397907008
2024-05-31,397907008
2024-06-01,397907008
2024-06-04,397907008
2024-06-06,397907008
2024-06-07,397907008
2024-06-08,397907008
2024-06-12,404368992
2024-06-15,399644992
2024-06-21,397907008
2024-06-27,397907008
2024-06-28,397907008
2024-07-06,397907008
2024-07-10,397907008
2024-07-11,397907008
2024-07-13,397907008
2024-07-17,397558016
2024-07-18,397558016
2024-07-24,397558016
2024-07-25,397558016
2024-07-27,397558016
2024-07-30,397558016
2024-08-01,397558016
2024-08-02,397558016
2024-08-03,397496000
2024-08-07,397496000
2024-08-09,397496000
2024-08-10,398337984
2024-08-13,404398016
2024-08-14,397496000
2024-08-15,397496000
2024-08-20,397496000
2024-08-21,397496000
2024-08-23,397496000
2024-08-27,397496000
2024-08-28,397496000
2024-08-29,397496000
2024-08-30,397496000
2024-08-31,397496000
2024-09-04,397496000
2024-09-05,402160992
2024-09-06,400593984
2024-09-07,407056992
2024-09-11,406012000
2024-09-12,397496000
2024-09-13,397496000
2024-09-14,397496000
2024-09-16,397496000
2024-09-17,397496000
2024-09-18,397496000
2024-09-19,397496000
2024-09-21,399288000
2024-09-24,397496000
2024-09-25,397496000
2024-09-27,397496000
2024-09-28,398039008
2024-10-01,397496000
2024-10-02,397496000
2024-10-03,397496000
2024-10-04,399747008
2024-10-05,397496000
2024-10-11,397496000
2024-10-15,397496000
2024-10-16,396919008
2024-10-18,396919008
2024-10-19,396919008
2024-10-23,396919008
2024-10-25,402024000
2024-10-29,396919008
2024-10-30,396919008
2024-11-01,396919008
2024-11-02,396783008
2024-11-05,396783008
2024-11-06,396783008
2024-11-08,400220000
2024-11-09,396783008
2024-11-12,396783008
2024-11-13,396783008
2024-11-14,400081984
2024-11-15,396783008
2024-11-16,396783008
2024-11-19,398414016
2024-11-20,396783008
2024-11-21,396783008
2024-11-22,396783008
2024-11-23,396783008
2024-11-26,396783008
2024-11-27,396783008
2024-11-28,396783008
2024-11-30,397300992
2024-12-03,396783008
2024-12-04,401244992
2024-12-05,396783008
2024-12-06,396783008
2024-12-07,396783008
2024-12-10,396783008
2024-12-11,396900000
2024-12-12,396783008
2024-12-13,398881984
2024-12-14,396783008
2024-12-17,398703008
2024-12-18,396783008
2024-12-19,396783008
2024-12-21,396783008
2024-12-27,396783008
2025-01-07,396864992
2025-01-09,396783008
2025-01-11,408664992
2025-01-14,396783008
2025-01-15,396783008
2025-01-16,396783008
2025-01-17,395936992
2025-01-23,395936992
2025-01-24,395936992
2025-01-25,395936992
2025-01-29,395936992
2025-01-31,395936992
2025-02-01,395936992
2025-02-05,395936992
2025-02-08,395936992
2025-02-11,395936992
2025-02-15,399040992
2025-02-22,395936992
2025-02-25,395750016
2025-02-26,395750016
2025-02-27,395750016
2025-02-28,395750016
2025-03-04,400824992
2025-03-05,395750016
2025-03-08,395750016
2025-03-10,407444992
2025-03-11,395750016
2025-03-15,395750016
2025-03-20,395750016
2025-03-21,395750016
2025-03-22,395750016
2025-03-26,395750016
2025-03-27,400160000
2025-03-28,395750016
2025-03-29,395750016
2025-04-01,395750016
2025-04-02,395750016
2025-04-03,395750016
2025-04-04,395750016
2025-04-10,416739008
2025-04-11,395750016
2025-04-15,395750016
2025-04-16,395791008
2025-04-17,395791008
2025-04-22,401591008
2025-04-23,395791008
2025-04-26,399012992
2025-04-29,395791008
2025-05-04,395791008
2025-05-06,395567008
2025-05-07,395567008
2025-05-10,395567008
2025-05-13,395567008
2025-05-14,395567008
2025-05-16,395567008
2025-05-17,395567008
2025-05-21,395567008
2025-05-23,395567008
2025-05-24,395567008
2025-05-29,400728000
2025-05-30,398503008
2025-05-31,395567008
2025-06-04,395567008
2025-06-05,398847008
2025-06-06,395928992
2025-06-07,395567008
2025-06-10,395567008
2025-06-11,395567008
2025-06-14,405537984
2025-06-17,399998016
2025-06-18,395567008
2025-06-21,395567008
2025-06-25,395567008
2025-06-26,395567008
2025-06-27,395567008
2025-06-28,395567008
2025-07-03,395567008
2025-07-08,396212000
2025-07-10,395567008
2025-07-11,399216992
2025-07-12,395567008
2025-07-15,395567008
2025-07-16,395567008
2025-07-17,393985984
2025-07-18,393985984
2025-07-23,393985984
2025-07-24,393985984
2025-07-26,393985984
2025-07-31,393985984
2025-08-02,393985984
2025-08-04,393807008
2025-08-05,393807008
2025-08-06,393807008
2025-08-07,394704992
2025-08-08,393807008
2025-08-12,393807008
2025-08-13,393807008
2025-08-16,393807008
2025-08-19,393807008
2025-08-20,393807008
2025-08-23,393807008
2025-08-26,393807008
2025-08-27,393807008
2025-08-28,393807008
2025-08-29,393807008
2025-08-30,393807008
2025-09-05,393807008
2025-09-09,393807008
2025-09-10,393807008
2025-09-12,393807008
2025-09-13,393807008
2025-09-16,393807008
2025-09-17,393807008
2025-09-20,395244495
2025-09-23,398460482
2025-09-24,393807382
2025-09-25,393807382
2025-09-26,396410232
2025-09-27,393807382
2025-09-30,396675338
2025-10-01,398491599
2025-10-02,403491821
2025-10-07,393807382
2025-10-08,397485166
2025-10-09,392381546
2025-10-16,392381546
2025-10-17,392381546
2025-10-24,392381546
2025-10-27,395735234
2025-10-28,392381546
2025-11-01,392381546
2025-11-05,392158451
2025-11-06,392158451
2025-11-08,392158451
2025-11-11,392158451
2025-11-13,392158451
2025-11-17,392936988
2026-01-20,404313875
2026-03-04,404313876
2026-04-16,403370923
2026-05-06,401564632
2026-07-17,399000000
2026-08-20,398943667
