Date,Open,High,Low,Close,Volume
2023-01-03,29.31,29.42,28.71,29.2,5784700
2023-01-04,29.35,30.23,29.26,29.93,7792100
2023-01-05,29.72,29.86,29.2,29.24,6309900
2023-01-06,29.57,29.99,29.41,29.96,5201300
2023-01-09,29.91,30.42,29.91,30.17,5623300
2023-01-10,30.11,30.18,29.72,30.17,5476200
2023-01-11,30.1,31.74,30.08,30.8,12511000
2023-01-12,30.84,31.01,30.65,30.72,6368000
2023-01-13,30.45,30.7,30.24,30.61,3854500
2023-01-17,30.65,30.83,30.5,30.59,4143000
2023-01-18,30.63,30.63,29.67,29.71,3986600
2023-01-19,29.64,29.65,29.15,29.15,3885600
2023-01-20,29.16,29.34,28.8,29.32,4067400
2023-01-23,29.23,29.63,29.03,29.32,2911400
2023-01-24,29.18,29.56,28.86,29.49,3332600
2023-01-25,29.2,29.51,29.06,29.5,3500200
2023-01-26,29.45,29.71,29.26,29.68,4778800
2023-01-27,29.63,29.84,29.47,29.63,3075400
2023-01-30,29.49,29.77,29.42,29.45,3087100
2023-01-31,29.51,29.75,29.14,29.6,17865800
2023-02-01,29.46,29.7,28.93,29.61,7074300
2023-02-02,29.7,30.04,29.34,29.39,4922200
2023-02-03,29.16,29.18,28.37,28.66,4688500
2023-02-06,28.59,28.88,28.43,28.84,3562700
2023-02-07,28.7,28.91,28.41,28.75,3406800
2023-02-08,28.65,28.69,28.29,28.37,3033400
2023-02-09,28.44,28.56,27.98,28.06,3481000
2023-02-10,28.11,28.68,28.02,28.66,2840900
2023-02-13,28.64,28.86,28.58,28.81,3086900
2023-02-14,28.75,28.93,28.45,28.54,2960900
2023-02-15,28.42,28.79,28.35,28.68,3877900
2023-02-16,28.52,28.66,28.13,28.45,5584300
2023-02-17,28.43,29.14,28.32,28.81,7645300
2023-02-21,28.21,28.53,27.79,27.82,13507900
2023-02-22,28.01,28.18,27.61,27.71,9842500
2023-02-23,27.71,27.92,27.42,27.86,7867800
2023-02-24,27.76,27.81,27.41,27.69,5296300
2023-02-27,27.7,28.16,27.51,27.55,5525700
2023-02-28,27.53,27.68,27.06,27.07,5261600
2023-03-01,26.81,26.99,26.58,26.68,6145700
2023-03-02,26.68,27.18,26.58,27.12,5263900
2023-03-03,27.34,27.42,26.94,27.39,4726100
2023-03-06,27.39,27.56,27.35,27.48,5766000
2023-03-07,27.5,27.55,26.79,26.88,3996000
2023-03-08,26.93,27.14,26.76,27,7130900
2023-03-09,26.83,27.02,26.46,26.58,5180700
2023-03-10,26.64,26.7,26.01,26.25,6167400
2023-03-13,26.02,27.41,25.97,26.76,8740300
2023-03-14,27.01,27.2,26.69,26.99,5399600
2023-03-15,26.82,27.58,26.74,27.24,9166400
2023-03-16,27.09,27.29,26.72,27.2,9987700
2023-03-17,27.02,27.19,26.65,26.83,10608400
2023-03-20,26.95,27.41,26.87,27.27,6249300
2023-03-21,27.38,27.38,26.42,26.78,5933400
2023-03-22,26.7,26.88,26.24,26.26,4027200
2023-03-23,26.32,26.46,25.79,25.91,4820300
2023-03-24,25.91,26.79,25.89,26.78,5873800
2023-03-27,26.87,27.17,26.87,26.96,6388900
2023-03-28,27.02,27.41,26.85,27.09,4867500
2023-03-29,27.28,27.71,27.27,27.53,7405400
2023-03-30,27.64,27.78,27.47,27.55,4242000
2023-03-31,27.6,27.8,27.47,27.79,4419700
2023-04-03,27.67,27.8,27.31,27.58,6059600
2023-04-04,27.56,27.57,27.32,27.55,4549400
2023-04-05,27.65,28.39,27.59,28.38,5286300
2023-04-06,28.51,28.62,28.25,28.55,4524900
2023-04-10,28.44,28.66,28.18,28.64,4155900
2023-04-11,28.67,28.93,28.54,28.83,7556800
2023-04-12,28.99,28.99,28.58,28.66,4931400
2023-04-13,28.53,28.86,28.33,28.76,5796100
2023-04-14,28.58,28.71,28.36,28.57,3860000
2023-04-17,28.67,28.85,28.45,28.72,3684300
2023-04-18,28.61,28.71,28.35,28.49,4336500
2023-04-19,28.57,28.84,28.49,28.7,3213300
2023-04-20,28.75,28.75,28.43,28.6,3864300
2023-04-21,28.8,28.9,28.48,28.69,2440000
2023-04-24,28.77,28.77,28.49,28.67,3972000
2023-04-25,28.64,28.83,28.57,28.7,3760300
2023-04-26,28.48,28.68,28.19,28.33,3007300
2023-04-27,28.35,28.78,28.35,28.77,4373000
2023-04-28,28.73,28.88,28.58,28.72,3968800
2023-05-01,28.72,29.04,28.64,28.77,5339700
2023-05-02,28.75,28.8,28.18,28.5,4532100
2023-05-03,28.64,28.83,28.44,28.49,4270300
2023-05-04,28.71,28.86,28.34,28.7,5248900
2023-05-05,28.62,28.83,28.39,28.75,5717300
2023-05-08,28.68,28.93,28.54,28.59,4194200
2023-05-09,28.49,28.67,28.37,28.54,5482100
2023-05-10,28.74,28.92,28.52,28.76,4855700
2023-05-11,28.7,28.73,28.26,28.39,4208700
2023-05-12,28.55,28.66,28.18,28.45,5434700
2023-05-15,28.48,28.55,27.92,28.14,5341000
2023-05-16,28.16,28.22,27.57,27.57,4863900
2023-05-17,27.67,27.71,27.39,27.6,5414000
2023-05-18,27.33,27.38,27.07,27.22,6442300
2023-05-19,27.36,27.54,27.06,27.06,4385100
2023-05-22,27.12,27.28,26.86,27.03,4581900
2023-05-23,26.99,27.25,26.74,26.78,4542600
2023-05-24,26.78,26.9,26.38,26.44,4958700
2023-05-25,26.32,26.36,25.93,26,4913300
2023-05-26,25.99,26.01,25.72,26.01,6114700
2023-05-30,26.03,26.36,26,26.09,5754500
2023-05-31,26.08,26.45,25.92,26.2,8913500
2023-06-01,26.29,26.29,25.94,26.1,8393200
2023-06-02,26.02,26.58,25.95,26.52,6290800
2023-06-05,26.52,26.75,26.46,26.63,3939100
2023-06-06,26.77,26.84,26.51,26.59,5706300
2023-06-07,26.67,27.08,26.44,27,4412600
2023-06-08,26.7,26.86,26.53,26.84,4193300
2023-06-09,26.85,26.91,26.68,26.82,3949000
2023-06-12,26.85,26.96,26.62,26.81,3864900
2023-06-13,26.62,26.92,26.54,26.9,3881300
2023-06-14,27,27.21,26.83,26.86,4011700
2023-06-15,26.97,27.07,26.78,27.01,4539500
2023-06-16,26.97,27.26,26.97,26.99,8313100
2023-06-20,26.91,26.96,26.64,26.7,4522700
2023-06-21,26.58,26.95,26.29,26.89,3977300
2023-06-22,26.96,27,26.54,26.72,3744200
2023-06-23,26.76,26.77,26.29,26.38,5277000
2023-06-26,26.51,26.62,26.21,26.53,5035100
2023-06-27,26.54,26.67,26.48,26.63,3630800
2023-06-28,26.62,26.62,26.12,26.2,3998800
2023-06-29,26.06,26.3,25.91,26.18,5390100
2023-06-30,26.17,26.47,26.16,26.46,4617700
2023-07-03,26.37,26.69,26.3,26.67,2550000
2023-07-05,26.53,26.98,26.48,26.72,4316500
2023-07-06,26.52,26.62,26.35,26.56,3526600
2023-07-07,26.43,26.47,26.18,26.21,4833600
2023-07-10,26.14,26.34,25.81,25.96,4977500
2023-07-11,25.94,26.3,25.91,26.3,4405300
2023-07-12,26.48,26.75,26.36,26.69,4335600
2023-07-13,26.63,26.85,26.58,26.85,3952800
2023-07-14,26.73,26.86,26.55,26.76,4227200
2023-07-17,26.72,26.83,26.42,26.45,4928600
2023-07-18,26.48,26.73,26.06,26.32,4745800
2023-07-19,26.37,27,26.35,27,7577800
2023-07-20,27.11,27.42,26.85,27.39,6648100
2023-07-21,27.5,27.94,27.41,27.89,6530700
2023-07-24,27.93,27.93,27.54,27.8,5753900
2023-07-25,27.8,28.04,27.72,27.97,4268300
2023-07-26,27.92,28.28,27.87,28.06,3992100
2023-07-27,27.97,28.08,27.45,27.49,5730900
2023-07-28,27.67,27.72,27.33,27.46,3600400
2023-07-31,27.58,27.6,27.35,27.53,4124200
2023-08-01,27.5,27.63,27.26,27.33,8866400
2023-08-02,27.16,27.42,27.09,27.33,4649600
2023-08-03,27.3,27.36,26.62,26.63,5704300
2023-08-04,26.64,26.86,25.97,26.08,6182200
2023-08-07,26.14,26.31,26.1,26.11,4788500
2023-08-08,26.09,26.16,25.76,26.1,4882600
2023-08-09,26.11,26.52,26.09,26.23,4409700
2023-08-10,26.35,26.55,25.98,26.1,4916500
