Date,Open,High,Low,Close,Volume
2023-01-03,100.03,100.5,98.77,99.48,1590700
2023-01-04,100.51,101.66,100.2,101.18,1417600
2023-01-05,100.67,100.85,98.82,99.44,1372900
2023-01-06,100.4,101.37,100.03,101.01,1680800
2023-01-09,100.17,100.79,97.87,98.26,2154500
2023-01-10,98.4,99.44,97.71,99.35,1199300
2023-01-11,99.06,100.03,98.77,100,1305400
2023-01-12,100.62,100.62,99.43,99.6,1664300
2023-01-13,98.79,101.25,98.32,101,1241900
2023-01-17,101,101.41,100.55,101.08,1281500
2023-01-18,100.63,101.19,98.37,98.57,1510100
2023-01-19,97.85,98.1,96.46,96.94,1702700
2023-01-20,97.34,98.65,96.74,98.63,1412700
2023-01-23,98.66,100.95,98.41,99.99,1307300
2023-01-24,99.24,101.15,98.26,100.88,1147100
2023-01-25,100,101.59,99.57,101.53,954800
2023-01-26,102.1,102.95,101.13,102.83,1208300
2023-01-27,102.64,104.09,102.53,103.5,1246800
2023-01-30,103.28,103.89,102.41,103.25,1304900
2023-01-31,103.79,104.96,102.47,104.94,2059000
2023-02-01,104,105.31,103.15,104.26,1412100
2023-02-02,104.79,104.79,102,102.82,1854800
2023-02-03,102.18,102.9,101.16,101.86,1714100
2023-02-06,101.04,102.4,100.93,102.1,1551400
2023-02-07,101.45,103.5,100.82,102.8,2392400
2023-02-08,101.32,107.31,101.28,104.34,3469400
2023-02-09,105.02,106,102.74,102.97,1987600
2023-02-10,102.76,103.22,102.02,103.03,1307900
2023-02-13,102.75,104.59,102.72,104.43,1443500
2023-02-14,103.91,104.39,102.86,103.27,1585000
2023-02-15,102.32,104.02,102.18,103.96,1610300
2023-02-16,103.53,104.05,102.7,103.11,1510500
2023-02-17,101.74,101.88,100.9,101.53,1557100
2023-02-21,100.59,100.72,97.54,98.1,2102200
2023-02-22,97.7,98.94,97.53,98.35,1830300
2023-02-23,98.87,99.65,97.63,98.52,1237400
2023-02-24,97.62,99.25,97.24,99.04,1376300
2023-02-27,100,100.54,98.7,99.03,1268900
2023-02-28,99.44,100.46,99.1,100,2769500
2023-03-01,100.01,101.5,99.63,99.95,1683600
2023-03-02,99.28,99.6,97.24,98.01,1976200
2023-03-03,98.6,99.33,97.72,99.08,1632200
2023-03-06,99.04,99.6,98.4,98.56,1717300
2023-03-07,97.92,98.43,95.38,95.96,1977600
2023-03-08,95.91,96.49,93.98,94.73,1836900
2023-03-09,94.68,94.69,90.23,90.7,2459700
2023-03-10,89.45,90.52,87.79,88.52,4192600
2023-03-13,85.05,85.95,81.41,82.18,6310700
2023-03-14,85.82,86.82,82.94,83.67,4857400
2023-03-15,80.73,81.27,78.47,80.16,5423700
2023-03-16,78.82,82.77,76.9,82.19,5200200
2023-03-17,80.94,81.28,77.45,78.02,16323500
2023-03-20,79.06,81.48,78.57,80.31,3254000
2023-03-21,82.53,83.43,82.08,82.45,3006700
2023-03-22,82.19,82.42,78.66,78.68,3363700
2023-03-23,78.75,79.77,76.53,77.23,3022100
2023-03-24,76.02,77.65,75.37,77.58,2823900
2023-03-27,79.46,80.15,78.12,79.4,2801800
2023-03-28,79.3,80.17,78.81,79.4,1792300
2023-03-29,80.78,81.27,80.05,81.19,2280500
2023-03-30,82.37,82.94,81.29,81.75,2525200
2023-03-31,82.35,82.9,82.08,82.74,2493800
2023-04-03,82.75,83.49,82.34,82.43,2310000
2023-04-04,84.4,84.52,81.62,82.24,2839600
2023-04-05,80.92,82.88,80.68,82.84,2343300
2023-04-06,83.18,83.93,82.85,83.36,1921400
2023-04-10,83.24,84.26,83.14,84.15,1654100
2023-04-11,84.43,86.01,84.22,85.41,1928100
2023-04-12,86.29,86.77,84.4,84.84,2076400
2023-04-13,84.66,85.11,83.8,84.87,1842100
2023-04-14,85.93,86.3,84.9,85.58,1372700
2023-04-17,84.99,87.15,84.61,87.08,2192200
2023-04-18,87.8,87.81,86.63,87,2012900
2023-04-19,87.01,88.05,86.64,87.85,2044800
2023-04-20,87.14,87.72,86.16,86.44,1981200
2023-04-21,86.34,86.34,85.07,85.71,1510500
2023-04-24,85.58,86.08,85.25,85.87,1472300
2023-04-25,84.92,84.92,83.57,83.88,1955400
2023-04-26,83.59,85,83.19,83.7,1924100
2023-04-27,84.04,85.74,84.01,85.59,2755000
2023-04-28,85.3,87.17,85.01,87,2577900
2023-05-01,86.5,87.4,86.19,86.31,1652600
2023-05-02,85.81,86,82.66,83.54,3156000
2023-05-03,83,84.86,80.97,81.36,4207100
2023-05-04,80.55,80.95,77.22,79.11,3343700
2023-05-05,80.81,82.42,80.58,82.05,2561700
2023-05-08,83.1,83.54,82.01,82.57,1450300
2023-05-09,81.73,82.09,80.97,81.5,1856200
2023-05-10,82.13,82.25,79.63,80.35,2089500
2023-05-11,79.46,80.58,78.94,80.51,2351200
2023-05-12,80.96,81.01,77.87,78.94,3246800
2023-05-15,78.92,79.61,78.81,79.4,2452300
2023-05-16,79.25,79.62,77.97,78.04,2334400
2023-05-17,78.82,81.19,78.82,81.08,2455300
2023-05-18,80.83,82.47,80.09,82.39,2338600
