Date,Open,High,Low,Close,Volume
2014-01-02,73.61,73.77,73.26,73.32,10110200
2014-01-03,73.33,73.48,72.44,72.89,7970400
2014-01-06,73.08,73.2,72.55,72.7,7696200
2014-01-07,72.8,73.31,72.6,73.24,5902700
2014-01-08,73.15,73.68,72.68,73.68,8976900
2014-01-09,74.04,74.1,73.68,73.91,9067900
2014-01-10,74.11,74.5,73.17,73.87,8877600
2014-01-13,73.78,74.27,72.83,73.22,8576300
2014-01-14,72.37,73.7,72.37,73.39,9924300
2014-01-15,73.47,74.69,73.4,74.51,10000700
2014-01-16,74.47,74.88,74.01,74.72,10263200
2014-01-17,74.7,74.98,74.43,74.73,12272700
2014-01-21,75,75.57,74.86,75.46,8806800
2014-01-22,75.5,75.86,75.12,75.78,7242400
2014-01-23,75.49,75.9,75.16,75.87,8078300
2014-01-24,75.29,75.44,74.06,74.08,11916500
2014-01-27,74.01,74.36,72.74,73.2,12580700
2014-01-28,72,73.14,71.75,71.99,18188900
2014-01-29,71.4,72.08,70.98,71.12,16625000
2014-01-30,72.65,73.4,71.97,73.26,17741800
2014-01-31,72.68,74.49,72.62,74.22,15420700
2014-02-03,73.67,73.95,72.93,73.32,15929600
2014-02-04,73.4,73.45,72.28,72.51,11704500
2014-02-05,72.1,72.66,72.03,72.37,10481600
2014-02-06,72.74,73.33,72.32,73.24,8178700
2014-02-07,73.4,74.47,73.2,74.41,8891200
2014-02-10,74.2,74.73,73.89,74.69,7598300
2014-02-11,74.81,75.73,74.53,75.62,8934900
2014-02-12,75.66,76.65,75.66,76.42,11498600
2014-02-13,76,76.75,76,76.44,9047200
2014-02-14,76.01,76.42,75.82,76.28,8325500
2014-02-18,76.25,76.25,75.53,75.6,8850100
2014-02-19,75.37,75.99,75.11,75.77,8527600
2014-02-20,75.96,76.2,75.68,75.95,7194200
2014-02-21,76.18,76.55,75.57,75.61,8725000
2014-02-24,75.97,75.99,75.39,75.43,9191900
2014-02-25,75.62,75.88,74.74,74.91,6974800
2014-02-26,75.15,75.5,74.9,75.05,5545900
2014-02-27,74.89,75.26,74.5,75.19,9465100
2014-02-28,75.41,75.43,74.85,75.29,9451900
2014-03-03,74.62,74.64,73.04,73.63,11401400
2014-03-04,75.5,76.79,75.35,76.11,13513600
2014-03-05,76.44,76.96,75.79,76.67,6774600
2014-03-06,77,77.18,76.54,77,7747100
2014-03-07,77.1,77.2,76.44,76.79,7276900
2014-03-10,76.79,77.07,76.55,77.07,7704100
2014-03-11,77.09,77.2,76.58,76.71,8272900
2014-03-12,76.59,77.14,76.31,76.97,6897300
2014-03-13,77,77.12,75.39,75.63,8956100
2014-03-14,75.23,75.91,74.5,74.74,10508000
2014-03-17,75.72,77.31,75.53,77.02,13851500
2014-03-18,77.19,77.75,76.9,77.45,7932100
2014-03-19,77.22,77.57,76.42,76.81,7808200
2014-03-20,76.78,78.37,76.7,78.1,10264100
2014-03-21,79.03,79.03,77.51,78.19,27473300
2014-03-24,78.44,78.7,77.31,77.74,11314000
2014-03-25,78.13,78.76,77.99,78.56,8131800
2014-03-26,78.82,79.62,78.31,78.31,14202600
2014-03-27,78.42,79.72,78.31,79.05,10373200
2014-03-28,79.5,79.5,78.1,79.28,8550900
2014-03-31,79.49,79.61,78.81,78.86,7769900
2014-04-01,79.42,80.16,78.99,80.1,10588800
2014-04-02,79.98,80.26,79.75,80.14,7410400
2014-04-03,80.21,81.3,80.21,80.55,8723900
2014-04-04,81.09,81.36,78.46,78.53,11250700
2014-04-07,78,79.26,77.6,78.08,10082600
2014-04-08,77.71,78.94,77.48,78.89,9079100
2014-04-09,79.26,79.94,78.85,79.93,8468500
2014-04-10,80.1,80.3,77.85,78.07,10322000
2014-04-11,77.53,78.92,77.53,78.01,9288900
2014-04-14,78.7,79.2,78.03,79.14,8170500
2014-04-15,78.99,79.94,78.5,79.49,8785700
2014-04-16,79.99,80.28,79.42,80.18,7286100
2014-04-17,80.14,81.34,80.04,81.32,10566100
2014-04-21,81.19,81.66,80.56,80.93,5963900
2014-04-22,81.17,81.34,80.58,80.61,8098800
2014-04-23,81,81,80.16,80.71,13593900
2014-04-24,77.5,78.62,76.77,77.87,22779700
2014-04-25,77.59,77.88,77.33,77.61,10507700
2014-04-28,78,78.6,77.37,78.05,12603300
2014-04-29,78.64,79.01,78.23,78.52,8034000
2014-04-30,78.56,78.86,78.14,78.71,9443100
2014-05-01,78.53,79.49,78.53,78.99,7017800
2014-05-02,79.3,79.3,78.5,78.99,6063000
