Date,Open,High,Low,Close,Volume
1995-01-03,6.1875,6.3125,6.125,6.125,177200
1995-01-04,6.125,6.25,6.125,6.15625,303600
1995-01-05,6.25,6.25,6.125,6.21875,139600
1995-01-06,6.25,6.25,6.125,6.125,214800
1995-01-09,6.25,6.25,6.0625,6.125,81200
1995-01-10,6.125,6.125,6,6.125,365600
1995-01-11,6,6.1875,6,6.0625,623600
1995-01-12,6,6.125,6,6.125,1718400
1995-01-13,6,6.1875,6,6.0625,100400
1995-01-16,6,6.1875,6,6.0625,779600
1995-01-17,6,6.1875,6,6.1875,68400
1995-01-18,6.1875,6.1875,5.875,5.875,443200
1995-01-19,5.875,5.9375,5.875,5.9375,194000
1995-01-20,5.875,5.9375,5.5625,5.9375,1621200
1995-01-23,5.75,5.75,5.625,5.625,712800
1995-01-24,5.6875,5.6875,5.25,5.3125,771600
1995-01-25,5.375,5.8125,5.25,5.625,1272800
1995-01-26,5.8125,5.875,5.625,5.625,213200
1995-01-27,5.8125,5.8125,5.625,5.6875,414000
1995-01-30,5.75,5.75,5.5,5.5625,296800
1995-01-31,5.5625,5.5625,5.25,5.4375,635600
1995-02-01,5.25,5.4375,5.25,5.375,164000
1995-02-02,5.25,5.4375,5.25,5.375,110800
1995-02-03,5.4375,5.5625,5.375,5.375,231600
1995-02-06,5.375,5.5,5.3125,5.40625,285600
1995-02-07,5.46875,5.5625,5.3125,5.5,108400
1995-02-08,5.5,5.5,5.3125,5.4375,146400
1995-02-09,5.375,5.5625,5.375,5.4375,85200
1995-02-10,5.5,5.5625,5.375,5.5,614000
1995-02-13,5.375,5.5625,5.34375,5.34375,129200
1995-02-14,5.5,5.5,5.3125,5.46875,381200
1995-02-15,5.71875,6.25,5.6875,6,575600
1995-02-16,5.9375,6.25,5.9375,6.25,364400
1995-02-17,6.0625,6.375,6.0625,6.3125,125200
1995-02-21,6.1875,6.5625,6.1875,6.5,179200
1995-02-22,6.5,6.5625,6.375,6.4375,162000
1995-02-23,6.3125,6.375,6.1875,6.1875,260000
1995-02-24,6.1875,6.25,6.0625,6.0625,468000
1995-02-27,6.1875,6.25,6.0625,6.125,78800
1995-02-28,6.09375,6.25,6.0625,6.25,74000
1995-03-01,6.25,6.25,6.0625,6.0625,25600
1995-03-02,6.25,6.25,6.0625,6.0625,146000
1995-03-03,6.125,6.3125,6.125,6.1875,422800
1995-03-06,6.1875,6.3125,5.90625,5.90625,146800
1995-03-07,5.9375,5.9375,5.59375,5.71875,223200
1995-03-08,5.75,6.0625,5.625,5.875,265600
1995-03-09,6,6.0625,5.875,6,86000
1995-03-10,5.9375,6.125,5.9375,6,51200
1995-03-13,5.9375,6.0625,5.9375,5.9375,47200
1995-03-14,5.875,6.125,5.875,6.09375,155600
1995-03-15,6.09375,6.1875,5.9375,6.0625,361600
1995-03-16,6,6.1875,6,6,26000
1995-03-17,6,6.15625,6,6.15625,288800
1995-03-20,6.25,6.5,6.125,6.46875,228800
1995-03-21,6.3125,6.625,6.3125,6.4375,78000
1995-03-22,6.625,6.625,6.3125,6.375,46000
1995-03-23,6.375,6.5625,6.375,6.375,20400
1995-03-24,6.5625,6.5625,6.375,6.375,52000
1995-03-27,6.46875,6.625,6.375,6.5625,320000
1995-03-28,6.5625,6.75,6.5,6.65625,301200
1995-03-29,6.625,6.875,6.625,6.75,260000
1995-03-30,6.6875,6.8125,6.625,6.71875,136000
1995-03-31,6.625,6.71875,6.625,6.71875,172400
1995-04-03,6.8125,6.8125,6.625,6.625,71600
1995-04-04,6.625,6.8125,6.625,6.8125,141600
