Date,Dividend,Split,DividendRaw
1995-02-17,0.039333,,
1995-05-15,0.039333,,
1995-08-16,0.039333,,
1995-11-15,0.043266,,
1996-02-21,0.043266,,
1996-05-22,0.043266,,
1996-08-21,0.043266,,
1996-11-20,0.043266,,
1996-12-11,,2,
1997-02-19,0.048773,,
1997-05-21,0.048773,,
1997-08-20,0.048773,,
1997-11-19,0.048773,,
1998-02-18,0.048773,,
1998-05-20,0.056639,,
1998-08-19,0.056639,,
1998-11-18,0.056639,,
1999-02-17,0.056639,,
1999-05-05,0.056639,,
1999-05-18,,2,
1999-08-25,0.056639,,
1999-11-17,0.062933,,
2000-02-16,0.062933,,
2000-05-17,0.062933,,
2000-08-23,0.062933,,
2000-11-15,0.070799,,
2001-02-14,0.070799,,
2001-05-16,0.070799,,
2001-08-22,0.070799,,
2001-11-14,0.070799,,
2002-02-13,0.077093,,
2002-05-15,0.077093,,
2002-08-21,0.077093,,
2002-11-13,0.077093,,
2003-02-12,0.077093,,
2003-05-14,0.084959,,
2003-08-20,0.084959,,
2003-11-12,0.110132,,
2004-02-18,0.110132,,
2004-05-19,0.110132,,
2004-08-18,0.110132,,
2004-11-17,0.110132,,
2005-02-16,0.138452,,
2005-05-18,0.138452,,
2005-06-13,,2,
2005-08-17,0.138452,,
2005-11-16,0.138452,,
2006-02-15,0.138452,,
2006-05-17,0.166772,,
2006-08-16,0.166772,,
2006-11-15,0.166772,,
2007-02-14,0.166772,,
2007-05-16,0.166772,,
2007-08-15,0.201385,,
2007-11-14,0.201385,,
2008-02-13,0.201385,,
2008-05-14,0.201385,,
2008-08-13,0.201385,,
2008-11-12,0.242291,,
2009-02-18,0.242291,,
2009-05-13,0.242291,,
2009-08-19,0.242291,,
2009-11-18,0.242291,,
2010-02-17,0.267464,,
2010-05-12,0.267464,,
2010-08-18,0.267464,,
2010-11-17,0.267464,,
2011-02-16,0.267464,,
2011-05-18,0.302077,,
2011-08-17,0.302077,,
2011-11-16,0.302077,,
2012-02-15,0.302077,,
2012-05-16,0.302077,,
2012-08-15,0.33669,,
2012-11-14,0.33669,,
2013-02-13,0.33669,,
2013-05-15,0.33669,,
2013-08-14,0.33669,,
2013-11-13,0.371303,,
2014-02-12,0.371303,,
2014-05-14,0.371303,,
2014-08-13,0.371303,,
2014-11-12,0.371303,,
2015-02-11,0.402769,,
2015-05-13,0.402769,,
2015-08-12,0.402769,,
2015-11-10,0.402769,,
2016-02-17,0.402769,,
2016-05-18,0.415356,,
2016-08-17,0.415356,,
2016-11-16,0.415356,,
2017-02-15,0.415356,,
2017-05-17,0.415356,,
2017-08-16,0.440529,,
2017-11-16,0.440529,,
2018-02-15,0.440529,,
2018-05-17,0.440529,,
2018-08-16,0.440529,,
2018-11-15,0.462555,,
2019-02-14,0.462555,,
2019-05-16,0.462555,,
2019-08-15,0.462555,,
2019-11-14,0.462555,,
2020-02-13,0.462555,,
2020-04-03,,1.589,
2020-05-14,0.475,,
2020-08-13,0.475,,
2020-11-12,0.475,,
2021-02-25,0.475,,
2021-05-20,0.51,,
2021-08-19,0.51,,
2021-11-18,0.51,,
2022-02-24,0.51,,
2022-05-19,0.55,,
2022-08-18,0.55,,
2022-11-17,0.55,,
2023-02-23,0.55,,
2023-05-18,0.59,,
2023-08-17,0.59,,
2023-11-16,0.59,,
2024-02-22,0.59,,
2024-05-16,0.63,,
2024-08-16,0.63,,
2024-11-15,0.63,,
2025-02-21,0.63,,
2025-05-23,0.68,,
2025-08-15,0.68,,
2025-11-21,0.68,,
2026-02-20,0.68,,
2026-05-22,0.73,,
2026-08-14,0.73,,
