Date,Open,High,Low,Close,Volume
2022-01-03,199.43,201.05,189.92,192.2,1124500
2022-01-04,190.47,190.47,180.37,183.45,2186700
2022-01-05,183.33,185.52,180.95,181.06,991400
2022-01-06,179.08,183.01,176.28,181.6,1320000
2022-01-07,181.51,183.48,179.46,181.65,884200
2022-01-10,178.65,184,177.79,183.75,874700
2022-01-11,183,183.32,172.22,178.46,2118500
2022-01-12,178.42,183.17,178.24,182.81,928600
2022-01-13,183.08,183.08,177.78,179.53,1368400
2022-01-14,178.59,180.21,175.66,178.47,1470800
2022-01-18,175.18,177.27,173.6,173.78,1077400
2022-01-19,174.56,177.86,173.68,176.8,1190600
2022-01-20,177.88,179.79,174.45,175.14,809500
2022-01-21,175.14,176.78,173,174.88,849000
2022-01-24,173.2,174.95,164.62,174.11,1979600
2022-01-25,170.63,171.41,167.17,168.86,932400
2022-01-26,168.14,172.5,165.4,166.47,726500
2022-01-27,167.93,168.42,163.36,163.85,893200
2022-01-28,164.35,169.5,162.2,169.43,959900
2022-01-31,168.71,172.19,168.1,172.17,996200
2022-02-01,172.86,174.84,170.76,174.28,1094300
2022-02-02,174.98,186.51,172.55,185.12,2117100
2022-02-03,184.73,189.69,183.58,187.94,1770200
2022-02-04,186.82,186.82,182.39,182.95,1008300
2022-02-07,183.13,185.5,181.64,182.49,636800
2022-02-08,180.55,185.57,180.25,184.74,514200
2022-02-09,186.52,190.56,186.52,189.26,607800
2022-02-10,185.42,188.11,183.18,184.3,817600
2022-02-11,184.28,185.1,178.92,180.55,804300
2022-02-14,180.14,183.15,179.08,181.13,768300
2022-02-15,182.56,184.97,179.19,180.88,822900
2022-02-16,179.42,182.23,177.89,181.92,763400
2022-02-17,180.65,181.77,177.55,177.82,581700
2022-02-18,177.8,180.23,176.02,179.21,621400
2022-02-22,178.67,180.5,175.5,176.07,851500
2022-02-23,176.4,179.8,173.25,173.37,618000
2022-02-24,169.96,178.44,169.03,177.98,693900
2022-02-25,177.84,184.49,176.87,183.2,653500
2022-02-28,181.92,183.23,178.34,179.61,836600
2022-03-01,179.84,180.13,175.82,177.2,574600
2022-03-02,176.69,179.04,175.56,177.31,590200
2022-03-03,178.86,179.29,175.81,179,493000
2022-03-04,176.35,177.99,172.75,176.43,841700
2022-03-07,176.01,176.01,170.37,172.26,749300
2022-03-08,170.56,173.36,165.21,165.31,1174600
2022-03-09,169.46,172.82,168.34,172.58,860900
2022-03-10,170.37,173.44,170.03,172.34,454500
2022-03-11,173.41,174.36,165.51,165.89,820100
2022-03-14,167.55,170.34,161.8,162.31,957900
2022-03-15,164.46,169,163.28,168.88,852800
2022-03-16,170.25,176.38,170.25,176.1,955700
2022-03-17,175.55,179.25,175.06,178.36,562000
2022-03-18,177.6,182.76,176.66,182.39,1189800
2022-03-21,181.19,182.98,178.75,180.64,652200
2022-03-22,180.47,184.75,179.81,184.54,565900
2022-03-23,182.83,182.83,176.57,176.65,630500
2022-03-24,177.5,179.35,176,179.34,382200
2022-03-25,180.33,180.59,174.17,176.8,519000
