Date,Open,High,Low,Close,Volume
2026-01-02,65.58,66.47,65.075,66.43,911500
2026-01-05,68.35,69.95,68.35,69.93,3162900
2026-01-06,70.37,71.15,70.3,71.13,1482300
2026-01-07,71.97,72.859,70.86,70.97,2931900
2026-01-08,73.61,74.74,72.53,72.97,3834000
2026-01-09,73.59,75.41,73.59,75.14,3003700
2026-01-12,75.78,76.566,75.705,76.35,3090200
2026-01-13,77.11,77.11,76.085,76.38,2601300
2026-01-14,75.97,76.87,75.27,76.85,2180000
2026-01-15,76.905,77.52,76.25,77.35,2200300
2026-01-16,77.69,78.089,77.15,77.91,2528100
2026-01-20,77.64,78.493,76.83,77.01,3151900
2026-01-21,76.7,77.32,75.778,76.87,3690500
2026-01-22,76.93,76.93,75.515,76.28,2296000
2026-01-23,76.66,77.145,76.32,76.92,2612100
2026-01-26,76.71,76.74,75.84,76.18,2311400
2026-01-27,76.44,77.935,76.18,77.87,3808500
2026-01-28,77.49,77.5,76.45,77.22,2193300
2026-01-29,77.4,78.05,75.73,76.44,1967600
2026-01-30,75.84,76.48,74.54,75.24,1514600
2026-02-02,74.64,74.84,73.98,74.44,1795000
2026-02-03,75.77,76.34,75.07,76.3,1785500
2026-02-04,76.42,76.42,71.95,72.69,2258900
2026-02-05,71.29,72.63,70.8,70.97,1348900
2026-02-06,71.49,72.98,71.49,72.86,1155100
2026-02-09,73.59,74.709,73.41,74.37,1283900
2026-02-10,74.06,74.09,72.83,72.92,1433100
2026-02-11,73.04,73.04,70.94,71.39,1438300
2026-02-12,71.9,72.335,70.725,71.07,1201100
2026-02-13,71.32,72.67,71.32,72.21,1146200
2026-02-17,72,72.87,71.43,72.34,1188100
2026-02-18,73.24,74.6,73.23,74.19,1674600
2026-02-19,74.34,75.75,74,75.72,1461900
2026-02-20,75.94,76.39,75.078,75.46,1302900
2026-02-23,74.72,74.75,74,74.34,1210700
2026-02-24,74.3,74.984,73.55,74.89,1200000
2026-02-25,74.79,74.79,72.94,73.92,2074800
2026-02-26,73.66,74.46,73.166,74.34,1326000
2026-02-27,73.85,75.061,73.85,74.86,1029200
2026-03-02,76.93,77.89,76.3,77.08,4644200
2026-03-03,77.07,77.406,75.105,76.79,3232500
2026-03-04,76.8,77.53,75.89,77.31,2432100
2026-03-05,76.68,76.8,73.68,75,2228400
2026-03-06,75.465,77.97,75.32,77.24,3274500
2026-03-09,77.615,78.448,76.475,78.02,3080500
2026-03-10,77.54,77.73,76.54,76.86,2022100
2026-03-11,75.42,76.14,75.03,75.64,4575600
2026-03-12,76.22,76.72,75.44,76,7237600
2026-03-13,76.36,77.01,75.14,75.61,2743100
2026-03-16,76.28,76.97,75.92,76.66,2051200
2026-03-17,76.58,76.99,76.22,76.93,2059400
2026-03-18,76.76,77.195,76.01,76.06,1580100
2026-03-19,75.13,76.25,74.3,75.88,2384600
2026-03-20,75.06,75.165,72.57,73.14,1893300
2026-03-23,73.42,74.299,72.97,73.06,2921400
2026-03-24,72.01,72.54,71.5,72.19,1697900
2026-03-25,73.32,73.78,73,73.53,1394900
2026-03-26,72.61,72.965,71.44,71.6,1302900
2026-03-27,70.83,71.07,69.73,69.87,1671300
2026-03-30,70.26,70.33,67.965,68.3,1939200
2026-03-31,69.35,71.06,69.132,70.84,2032000
2026-04-01,72.75,74.05,72.73,73.48,2167200
2026-04-02,72.54,74.46,72.27,73.96,1492200
2026-04-06,74.06,74.89,74.05,74.78,1439200
2026-04-07,74,74.18,73.04,73.92,1514600
2026-04-08,74.78,75.27,74.5,74.96,1885800
2026-04-09,74.54,74.933,74.13,74.25,1204800
2026-04-10,73.34,73.34,72.1,72.7,1727100
2026-04-13,73.02,74.56,73.02,74.52,1767600
2026-04-14,74.255,74.76,74.01,74.33,1505500
2026-04-15,74.405,74.69,74.06,74.59,1378900
2026-04-16,74.59,74.83,73.33,73.74,1375000
2026-04-17,74.24,74.805,73.275,73.35,1861200
2026-04-20,73.26,73.499,72.74,72.99,1535700
2026-04-21,72.1,72.2,70.34,70.49,2999900
2026-04-22,71.17,71.38,69.95,70.29,1915200
2026-04-23,69.59,69.75,68.01,68.83,1945600
2026-04-24,68.34,68.52,67.19,67.57,2904200
2026-04-27,67.425,68.3,67.328,67.48,1322800
2026-04-28,67.065,67.18,66.48,67.11,1981600
2026-04-29,67.61,67.68,66.38,66.59,1759600
2026-04-30,67.06,68.28,67.05,68.21,1684100
2026-05-01,68.36,68.37,67.8,67.92,1364800
2026-05-04,68.13,69.03,67.981,68.08,1619700
2026-05-05,68.76,68.79,67.33,67.53,1665900
2026-05-06,67.38,68.16,66.808,67.96,1667300
2026-05-07,66.95,67,65.47,65.91,3554400
2026-05-08,65.58,65.64,64.91,65.25,1977400
2026-05-11,64.34,64.935,64.07,64.75,2862100
2026-05-12,64.24,64.73,63.87,64.64,1291200
2026-05-13,63.79,63.975,62.925,63.79,1944000
2026-05-14,63.82,64.39,63.8,64.1,1439300
2026-05-15,63.27,63.36,62.21,62.34,1345400
2026-05-18,62.91,63.685,62.815,63.65,1631500
2026-05-19,64.17,64.55,63.625,64.02,4885400
2026-05-20,64.23,64.64,63.74,64.6,1876100
2026-05-21,64.39,64.67,63.89,64.37,1729400
2026-05-22,65.01,65.317,64.7,65.15,1388200
2026-05-26,66,66.37,65.62,66.13,1965900
2026-05-27,65.99,66,65.3,65.53,1356600
2026-05-28,66.31,68.1,66.25,67.92,4876300
2026-05-29,67.69,67.69,66.92,67.53,2123000
2026-06-01,66.7,66.7,65.201,65.62,2231000
2026-06-02,64.9,65.08,64.49,64.86,2897500
2026-06-03,64.18,64.18,63.27,63.31,1347500
2026-06-04,63.71,64.39,63.6,64.31,1520900
2026-06-05,64.09,64.135,62.74,63.05,1941100
2026-06-08,63.59,63.85,62.8,63.07,1240400
2026-06-09,63.26,63.715,61.8,63.11,1435300
2026-06-10,63.21,63.52,62.275,62.36,1198600
2026-06-11,62.88,65.32,62.77,65.15,2238600
2026-06-12,64.52,64.66,63.62,63.82,973500
2026-06-15,63.815,64,63.155,63.28,2125400
2026-06-16,63.74,64.065,63.28,63.86,1588500
2026-06-17,63.95,64.84,63.66,63.83,1365500
2026-06-18,63.96,64.2,61.93,62.3,1749800
2026-06-22,61.83,61.84,60.31,60.59,4956100
2026-06-23,60.465,60.9,60.36,60.56,1417200
2026-06-24,59.7,59.9,58.855,58.88,2412500
2026-06-25,58.6,59.16,58.14,58.2,2683800
2026-06-26,57.9,59.02,57.89,58.39,1904600
2026-06-29,58.7,59.115,58.57,58.7,1464400
2026-06-30,58.88,59.79,58.75,59.71,1924600
2026-07-01,60.55,61.79,60.34,61.2,2164100
2026-07-02,62.87,64.29,62.78,63.96,1319400
2026-07-06,64.34,65.01,64.14,64.84,987900
2026-07-07,64.84,65.043,63.61,63.79,1296600
2026-07-08,62.7,62.815,62.18,62.67,1335600
2026-07-09,61.74,61.75,61.155,61.46,810900
2026-07-10,61.27,61.27,60.61,61.19,650200
2026-07-13,61.1,61.19,60.205,60.47,981000
2026-07-14,60,60.95,59.93,60.22,909400
2026-07-15,60.47,60.92,59.98,60.26,1065100
2026-07-16,60.22,60.355,59.585,59.89,878700
2026-07-17,60.11,60.8,59.96,60.06,967400
2026-07-20,60.14,60.57,59.97,60.03,1105900
2026-07-21,59.71,60.6,59.09,60.25,791500
2026-07-22,60.86,61.33,60.56,60.73,656700
2026-07-23,61.98,63.68,61.98,62.75,1270300
2026-07-24,63.26,63.62,62.95,63.01,952900
2026-07-27,63.39,64.158,63.362,63.85,1196800
2026-07-28,64.24,64.275,63.52,63.91,2387700
2026-07-29,63.67,63.855,61.87,62.03,853200
2026-07-30,62.14,62.808,61.502,62.77,919600
2026-07-31,62.93,63.38,62.14,63.25,1045800
2026-08-03,63.95,64.52,63.735,64.37,886200
2026-08-04,66.05,67.84,66.02,67.57,1422500
2026-08-05,67.99,68.49,67.26,67.37,832100
2026-08-06,67.43,68.165,67.43,67.78,799900
2026-08-07,68.35,69.06,68.02,69.04,1166400
2026-08-10,69.15,70.32,69.15,69.85,925900
2026-08-11,69.5,69.963,69.27,69.45,747100
2026-08-12,70,70.32,69.5,70.15,647400
2026-08-13,70.45,70.52,69.794,70.27,751000
2026-08-14,70.75,71.14,70.41,70.81,585800
2026-08-17,70.56,70.92,69.91,69.97,806200
2026-08-18,69.54,70.27,69.525,69.82,532100
2026-08-19,70.18,70.18,69.13,69.2,707500
