Date,Open,High,Low,Close,Volume
2017-01-03,4.328,4.346,4.2135,4.282,7054000
2017-01-04,4.326,4.442,4.285,4.414,8481000
2017-01-05,4.447,4.794,4.425,4.768,50702000
2017-01-06,4.736,4.765,4.57,4.69,20613000
2017-01-09,4.711,4.754,4.67,4.718,9211000
2017-01-10,4.702,4.913,4.702,4.787,16009000
2017-01-11,4.793,4.871,4.7281,4.833,9476000
2017-01-12,4.864,4.885,4.761,4.858,9289000
2017-01-13,4.858,4.943,4.802,4.81,10542000
2017-01-17,4.883,4.975,4.831,4.952,13060000
2017-01-18,4.966,5,4.904,4.998,8457000
2017-01-19,5.012,5.113,4.99,5.066,10003000
2017-01-20,5.077,5.137,4.9871,5.009,9163000
2017-01-23,5.01,5.035,4.925,4.944,8716000
2017-01-24,4.986,5,4.893,4.942,8523000
2017-01-25,5.011,5.198,5.002,5.136,11162000
2017-01-26,5.181,5.2,5.065,5.101,8371000
2017-01-27,5.1,5.164,5.1,5.154,5323000
2017-01-30,5.161,5.173,4.997,5.07,9377000
2017-01-31,5.034,5.085,5.017,5.082,7043000
2017-02-01,5.164,5.1707,5.062,5.119,5519000
2017-02-02,5.118,5.265,5.104,5.232,9548000
2017-02-03,5.261,5.263,5.14,5.212,7689000
2017-02-06,5.219,5.274,5.146,5.268,4210000
2017-02-07,5.299,5.366,5.265,5.313,6809000
2017-02-08,5.359,5.364,5.273,5.337,7043000
2017-02-09,5.375,5.5,5.375,5.461,9000000
2017-02-10,5.523,5.625,5.49,5.522,17852000
2017-02-13,5.601,5.716,5.532,5.605,25408000
2017-02-14,5.632,5.632,5.515,5.605,19666000
2017-02-15,5.487,6.149,5.43,6.061,56969000
2017-02-16,6.118,6.247,5.956,6.097,21866000
2017-02-17,6.076,6.168,6.003,6.152,11943000
2017-02-21,6.215,6.393,6.186,6.308,19515000
2017-02-22,6.3,6.38,6.178,6.359,11984000
2017-02-23,6.417,6.436,6.183,6.273,14697000
2017-02-24,6.202,6.228,6.0591,6.175,11684000
2017-02-27,6.18,6.187,5.982,5.993,15343000
2017-02-28,5.947,6.084,5.915,5.921,11342000
2017-03-01,6.017,6.017,5.902,5.965,11018000
2017-03-02,5.972,6.065,5.948,5.967,9641000
2017-03-03,5.964,6.038,5.912,6.029,9893000
2017-03-06,5.994,6.026,5.8627,5.932,6985000
2017-03-07,5.929,6.066,5.92,6.013,10834000
2017-03-08,6.025,6.15,6.008,6.091,8751000
2017-03-09,6.106,6.253,6.0715,6.239,9959000
2017-03-10,6.34,6.433,6.25,6.415,12180000
2017-03-13,6.438,6.521,6.396,6.493,10032000
