Date,Dividend,Split,DividendRaw
2000-11-15,0.16,,
2001-02-13,0.16,,
2001-05-16,0.16,,
2001-08-17,0.16,,
2001-11-15,0.16,,
2002-02-13,0.16,,
2002-05-16,0.16,,
2002-08-16,0.2,,
2002-11-14,0.2,,
2003-02-12,0.2,,
2003-05-15,0.23,,
2003-08-15,0.23,,
2003-11-13,0.23,,
2004-02-12,0.23,,
2004-05-14,0.25,,
2004-08-16,0.25,,
2004-11-15,0.25,,
2005-02-10,0.25,,
2005-05-12,0.27,,
2005-08-12,0.27,,
2005-11-09,0.27,,
2006-02-09,0.27,,
2006-05-11,0.28,,
2006-08-14,0.28,,
2006-11-13,0.28,,
2007-02-08,0.28,,
2007-05-11,0.3,,
2007-08-14,0.3,,
2007-11-13,0.3,,
2008-02-13,0.3,,
2008-05-14,0.32,,
2008-08-13,0.32,,
2008-09-26,5,,
2008-11-17,0.32,,
2009-02-11,0.32,,
2009-05-13,0.35,,
2009-08-12,0.35,,
2009-11-10,0.35,,
2010-02-10,0.35,,
2010-05-12,0.4,,
2010-08-11,0.4,,
2010-11-09,0.4,,
2011-02-09,0.44,,
2011-05-11,0.44,,
2011-08-10,0.48,,
2011-11-08,0.48,,
2012-02-08,0.48,,
2012-05-09,0.48,,
2012-08-08,0.52,,
2012-11-14,0.52,,
2013-02-13,0.52,,
2013-05-15,0.52,,
2013-08-14,0.58,,
2013-11-13,0.58,,
2014-02-12,0.58,,
2014-05-14,0.58,,
2014-08-13,0.64,,
2014-11-12,0.64,,
2015-02-11,0.64,,
2015-05-13,0.64,,
2015-08-12,0.67,,
2015-11-10,0.67,,
2016-02-10,0.67,,
2016-05-11,0.67,,
2016-08-10,0.75,,
2016-11-08,0.75,,
2017-02-08,0.75,,
2017-05-10,0.75,,
2017-08-09,0.78,,
2017-11-09,0.78,,
2018-02-08,0.78,,
2018-05-10,0.78,,
2018-08-16,0.85,,
2018-11-15,0.85,,
2019-02-14,0.85,,
2019-05-16,0.85,,
2019-08-15,0.88,,
2019-11-14,0.88,,
2020-02-13,0.88,,
2020-05-14,0.88,,
2020-08-13,0.9,,
2020-11-12,0.9,,
2021-02-11,0.9,,
2021-05-13,0.9,,
2021-08-12,0.99,,
2021-11-10,0.99,,
2022-02-10,0.99,,
2022-05-12,0.99,,
2022-08-11,1.02,,
2022-11-09,1.02,,
2023-02-09,1.02,,
2023-05-11,1.02,,
2023-08-17,1.06,,
2023-11-16,1.06,,
2024-02-15,1.06,,
2024-05-16,1.06,,
2024-08-16,1.08,,
2024-11-15,1.08,,
2025-02-14,1.08,,
2025-05-16,1.08,,
2025-08-15,1.1,,
2025-11-14,1.1,,
2026-02-13,1.1,,
2026-05-15,1.1,,
2026-08-14,1.12,,
