Date,Open,High,Low,Close,Volume
2001-01-02,8.041458,8.048904,7.460686,7.483024,4644400
2001-01-03,7.497915,8.086133,7.40112,7.870205,11713827
2001-01-04,7.877651,7.937217,7.222421,7.371337,10854281
2001-01-05,7.326662,7.557482,7.140517,7.162854,12874717
2001-01-08,7.192638,7.386228,7.177746,7.326662,12132688
2001-01-09,7.341553,7.445795,7.103288,7.103288,5767517
2001-01-10,7.043722,7.289433,6.984155,7.1703,7297744
2001-01-11,7.162854,7.304325,7.133071,7.267096,4097111
2001-01-12,7.267096,7.274541,7.177746,7.207529,5543398
2001-01-16,7.192638,7.334108,7.185192,7.237312,4990233
2001-01-17,7.177746,7.296879,7.177746,7.222421,2712101
2001-01-18,7.207529,7.222421,6.820348,6.924589,10508449
2001-01-19,6.969264,7.013939,6.65654,6.97671,9778171
2001-01-22,7.02883,7.25965,6.891083,7.133071,4838302
2001-01-23,7.133071,7.371337,7.013939,7.348999,6255209
2001-01-24,7.267096,7.550036,7.229867,7.430903,7981015
2001-01-25,7.430903,7.535144,7.371337,7.490469,5691132
2001-01-26,7.386228,7.557482,7.386228,7.505361,7824887
2001-01-29,7.494639,7.53157,7.296879,7.296879,4395938
2001-01-30,7.308792,7.516083,7.255182,7.516083,5123698
2001-01-31,7.516083,7.541101,7.393376,7.485108,4050944
2001-02-01,7.505361,7.892542,7.462473,7.862759,12426478
2001-02-02,7.862759,7.981892,7.803193,7.886586,6799140
2001-02-05,7.887777,7.958065,7.832976,7.903264,2514003
2001-02-06,7.922325,8.041458,7.843698,7.986657,5388109
2001-02-07,7.969979,8.26781,7.958065,8.167739,12679137
2001-02-08,8.154634,8.458423,8.101025,8.172504,15208249
2001-02-09,8.154634,8.327377,8.154634,8.255897,6552356
2001-02-12,8.255897,8.40243,8.229688,8.398856,5343620
2001-02-13,8.427448,8.446509,8.120086,8.236836,9311464
2001-02-14,8.220157,8.422683,8.160591,8.208244,5974849
2001-02-15,8.196331,8.291637,8.13319,8.218966,3317309
2001-02-16,8.218966,8.523946,8.202287,8.442935,7829084
2001-02-20,8.353586,8.547772,8.202287,8.531094,7459748
2001-02-21,8.577555,8.875387,8.57279,8.622826,18716941
2001-02-22,8.583512,8.649035,8.459614,8.60853,8287396
2001-02-23,8.577555,8.8873,8.547772,8.875387,21565025
2001-02-26,8.465571,8.51918,8.37503,8.452466,31685671
2001-02-27,8.458423,8.559685,8.439361,8.488206,12638006
2001-02-28,8.547772,8.732428,8.460805,8.640696,10684723
2001-03-01,8.678818,8.863474,8.628782,8.863474,7212125
2001-03-02,8.846795,8.934954,8.803908,8.888492,5672665
2001-03-05,8.928997,8.932571,8.827734,8.92304,7645255
2001-03-06,8.934954,8.97665,8.738385,8.882535,5959740
2001-03-07,8.857517,9.066,8.833691,9.060043,6239260
2001-03-08,9.018346,9.113653,8.91351,8.970693,7983533
2001-03-09,9.024303,9.024303,8.780081,8.861091,3954413
2001-03-12,8.774124,8.775316,8.553729,8.556112,5203441
