Date,Open,High,Low,Close,Volume
2026-01-02,344.55,351.11,342.34,350.95,219800
2026-01-05,349.45,356.17,349.45,354.2,212900
2026-01-06,351.81,359.41,351.64,357.73,254400
2026-01-07,357.77,359.99,350.57,352.58,249600
2026-01-08,351.12,363.39,350.36,361.31,299300
2026-01-09,363.24,366.17,361.29,362.17,247400
2026-01-12,361.8,365.29,357.5,358.14,234700
2026-01-13,359.04,362.54,357.46,360.55,188500
2026-01-14,361.38,364.46,360.06,362.42,307300
2026-01-15,365.25,365.65,361.94,363.45,231400
2026-01-16,362.66,364.46,360.78,361.36,393400
2026-01-20,356.34,365.95,354.8,364.58,390900
2026-01-21,367.95,372.63,366.99,371.64,316700
2026-01-22,373.24,375.17,370.94,372.27,277300
2026-01-23,372.85,372.85,367.49,369.1,178000
2026-01-26,370.48,372.19,367.53,370.13,313000
2026-01-27,369.69,371.99,366.56,367.82,166800
2026-01-28,367.04,374.26,366.27,370.07,383800
2026-01-29,372.62,375.28,365.04,366.63,514300
2026-01-30,363.63,366.39,360.8,366.11,257200
2026-02-02,365.43,371.79,364.91,371.52,369100
2026-02-03,372.11,380.2,368.66,378.4,596700
2026-02-04,381.03,387.25,381.03,382.91,596800
2026-02-05,388.96,388.96,364.01,370.8,602100
2026-02-06,366.55,371.7,360.09,369.34,463800
2026-02-09,369.34,371.46,364.78,368.12,448300
2026-02-10,368.55,379.68,368.55,377.41,477900
2026-02-11,378.65,387.33,375.48,382.68,602100
2026-02-12,384.11,390.13,378.32,378.55,516000
2026-02-13,381,386.8,377.69,384.61,288800
2026-02-17,381.83,383.31,378.39,381.69,365100
2026-02-18,382.16,386.46,381.39,384.36,359200
2026-02-19,382.87,385.27,380.76,383.87,237900
2026-02-20,383.58,387.08,381.56,385.88,295100
2026-02-23,386.09,389.91,380.8,385.37,391100
2026-02-24,383.98,387.51,383.41,387.04,254700
2026-02-25,387.3,388.73,381.85,386.46,327100
2026-02-26,387.91,390.05,381.78,386.67,460500
2026-02-27,384.63,385.92,379.48,385.22,358300
2026-03-02,383.01,389.84,380.3,389.59,301800
2026-03-03,381.7,384.6,374.71,383.84,301200
2026-03-04,385.57,387.48,381.62,383.5,316000
2026-03-05,382,382.57,377.33,382.27,455500
2026-03-06,376.35,376.52,370.71,372.14,358300
2026-03-09,365.64,374.72,361.63,373.57,358000
2026-03-10,373.01,376.63,369.97,370,379100
2026-03-11,369.3,374.66,363.34,369.77,565800
2026-03-12,367.95,370.14,363.92,364.21,351600
2026-03-13,367.23,368.72,362.13,367.51,377800
2026-03-16,369.76,371.48,367.25,369.59,343100
2026-03-17,371.86,372.43,361.94,367.4,292900
2026-03-18,366.12,368.15,361.22,362,351900
2026-03-19,357.53,363.36,355.67,360.77,348000
2026-03-20,359.9,361.69,354.97,356.9,1629800
2026-03-23,364.71,370.13,358.67,362.55,407300
2026-03-24,359.11,365.88,359.11,363.08,427200
2026-03-25,366.47,368.49,362.87,367.62,349700
2026-03-26,365.01,368.45,361.16,362,393000
2026-03-27,362.16,363.2,356.45,359.04,434000
2026-03-30,362.07,363.4,355.38,356.6,294900
2026-03-31,360.78,365.62,356.36,363.22,364000
2026-04-01,364.63,368.26,363,367.02,304800
2026-04-02,361.89,370.52,359.31,365.58,306400
2026-04-06,363.43,366.32,362.42,366.27,205400
2026-04-07,365.49,369.02,362.68,366.7,265400
2026-04-08,375.57,381.13,375.57,380.62,315300
2026-04-09,379.39,385,364.68,383.78,262600
2026-04-10,385,386.88,379.53,379.72,398600
2026-04-13,379.72,381.71,375.01,381.71,380100
2026-04-14,381.4,382.29,377.04,377.87,316600
2026-04-15,375.25,375.99,364.52,368.01,384300
2026-04-16,367.95,371.2,364.26,366.86,345600
2026-04-17,368.74,382.58,368.74,380.27,408400
2026-04-20,380.16,387.81,378.8,386.86,517600
2026-04-21,386.38,389.9,383.46,383.58,455800
2026-04-22,382.89,386.85,380.41,382.38,598900
2026-04-23,400.88,400.88,375.89,390.75,756600
2026-04-24,391.8,392.8,376.15,378.42,590900
2026-04-27,378.93,387.03,375.18,384.47,675600
2026-04-28,385.27,385.99,375.15,377.53,437400
2026-04-29,378.37,381.29,375.03,378.46,383200
2026-04-30,379.77,384.57,379.32,383.4,293800
2026-05-01,387.84,388.01,380.33,380.39,306900
2026-05-04,378.06,380.57,372.03,372.12,309600
2026-05-05,374.23,379.6,370.98,378.8,267800
2026-05-06,382.96,388.8,382.96,386.32,295700
2026-05-07,387.4,388.55,364.9,370.67,668800
2026-05-08,372.87,374.94,370.67,374,329400
2026-05-11,374.89,374.89,368.87,370.46,331600
2026-05-12,370.7,374.01,365.57,369.23,273000
2026-05-13,369.35,370.43,364.46,366.6,264500
2026-05-14,369.65,370.73,365.66,366.37,227100
2026-05-15,362.55,365.43,358.69,359.65,464400
2026-05-18,360.73,364.69,359.56,363.55,323300
2026-05-19,360.55,362.88,355.52,359.95,281500
2026-05-20,359.28,363.44,356.19,363.31,512400
2026-05-21,361.04,364.36,356.22,362.31,364200
2026-05-22,363.9,368.34,360.43,366.65,298900
2026-05-26,370,373.42,368.58,372.1,326100
2026-05-27,373.52,375.02,370.82,372.13,245800
2026-05-28,372.5,375,368.35,374.46,254900
2026-05-29,373.35,374.69,371,371.21,539000
2026-06-01,366.07,369.12,363,366.45,225100
2026-06-02,365.96,372.8,364.81,372.45,226500
2026-06-03,373.64,378.29,371.63,377.39,236100
2026-06-04,380.05,382.1,377.25,378.9,247200
2026-06-05,377.44,383.53,377.23,379.77,307900
2026-06-08,379.24,384.04,377.5,380.65,210100
2026-06-09,384.2,389.07,382.26,387.26,244300
2026-06-10,387.77,390.25,377.58,378.45,300300
2026-06-11,381.37,387,379.16,384.67,300700
2026-06-12,387.09,390.22,381.43,387.48,272600
2026-06-15,391.01,393.94,386.3,386.63,306700
2026-06-16,388,392.97,387.47,389.39,306900
2026-06-17,389.09,392,379.54,381.26,287600
2026-06-18,384.43,390.36,382.71,387.25,1031300
2026-06-22,386.05,391.92,383.22,390.7,490800
2026-06-23,387.35,391.14,384.22,385.85,590600
2026-06-24,387.34,395.3,385,392.14,392200
2026-06-25,395.38,403.35,393.19,400.95,336200
2026-06-26,398.15,400.95,395.01,397.1,456000
2026-06-29,395.74,398.54,393.49,398.36,274100
2026-06-30,400,404.46,398.11,402.4,282600
2026-07-01,399.98,406.3,395.71,403.28,302500
2026-07-02,405.28,412.33,402.69,412.09,415400
2026-07-06,412.14,414.62,408.89,413.62,382500
2026-07-07,412.63,412.72,405.77,408.74,261300
2026-07-08,404.85,406.82,396.59,401.11,297500
2026-07-09,403.64,404.77,399.22,400.03,412700
2026-07-10,399.46,405.5,398.69,401.94,194100
2026-07-13,402.01,405.64,399.1,401.11,235900
2026-07-14,406.01,408.88,402.72,404.62,328000
2026-07-15,403.42,405.18,401.61,403.7,261100
2026-07-16,402.72,415.4,402.28,414.97,286700
2026-07-17,411.99,419.68,408.87,410.99,461700
2026-07-20,411.43,411.43,403.93,406.53,392100
2026-07-21,408.51,411.44,402.3,404,550100
2026-07-22,404.68,409.54,404.54,406.17,469600
2026-07-23,403.2,417.74,394.35,395.41,682700
2026-07-24,399.06,405.65,392.42,404.12,527200
2026-07-27,403.91,407.83,403.62,407.42,352900
2026-07-28,410.18,420.91,410.18,419.31,392000
2026-07-29,416.09,419.02,411.59,414.83,431200
2026-07-30,416.94,416.94,406.49,409.05,322500
2026-07-31,409.35,413.05,408.05,410.41,384900
2026-08-03,411.63,417.13,408.57,409.41,346100
2026-08-04,410,420.29,405.93,418.34,560300
2026-08-05,419.47,421.16,416.39,418.85,343200
