Date,Open,High,Low,Close,Volume
2018-01-02,85.9,86.13,85.08,86.03,984400
2018-01-03,85.94,87.25,85.74,87.06,877200
2018-01-04,87.25,88.7,87.05,87.89,1059900
2018-01-05,88.28,89.4,87.9,88.93,905200
2018-01-08,88.74,89.92,88.56,89.76,1010100
2018-01-09,89.91,90.47,89.36,89.69,776900
2018-01-10,89.28,89.6,88.84,89.34,687200
2018-01-11,89.41,90.41,89.06,89.71,696200
2018-01-12,89.89,90.6,89.55,90.37,616100
2018-01-16,90.4,91.29,89.03,89.27,940100
2018-01-17,89.94,91.29,89.82,90.98,658100
2018-01-18,90.75,92.02,90.75,91.47,958800
2018-01-19,91.88,92.69,91.37,92.61,1027400
2018-01-22,92.47,93.49,92.04,92.96,743100
2018-01-23,93.02,93.46,92.5,93.38,572900
2018-01-24,93.83,94.14,92.72,92.84,711600
2018-01-25,93.16,93.69,91.71,91.91,663000
2018-01-26,92.43,93.08,92.16,92.96,758200
2018-01-29,92.42,92.99,91.2,91.28,779700
2018-01-30,91.23,91.92,90.99,91.32,826400
2018-01-31,91.51,92.91,91.28,92.61,1099400
2018-02-01,91.89,92.94,90.89,91.38,1115000
2018-02-02,90.83,91.57,90.14,90.16,1017500
2018-02-05,89.92,91.37,87.62,87.62,1488000
2018-02-06,86.6,87.92,83.83,87.45,1815700
2018-02-07,86.89,87.68,85.82,85.85,1431400
2018-02-08,85.85,86.25,82.56,82.62,1827400
2018-02-09,83.32,85.16,82.1,84.34,1718700
2018-02-12,84.66,85.79,84.38,85.33,908800
2018-02-13,84.76,85.77,84.47,85.5,752500
2018-02-14,84.77,86.68,84.56,86.62,1292600
2018-02-15,86.96,89.13,86.39,88.93,1414100
2018-02-16,88.86,89.76,88.77,89.07,1184500
2018-02-20,88.84,89.99,88.59,89.76,1191600
2018-02-21,89.9,90.39,88.42,88.46,1474800
2018-02-22,91.15,92.88,84.35,84.38,3378500
2018-02-23,85.2,85.58,84.22,85.24,1577500
2018-02-26,85.79,86.23,84.89,85.47,977000
2018-02-27,85.9,86.37,84.87,84.94,1048700
2018-02-28,85.27,86.14,84.67,84.67,1253600
2018-03-01,84.67,85.19,83.62,84.53,1778900
2018-03-02,83.52,85.95,83.09,85.77,1148800
2018-03-05,85.44,86.39,83.76,86.06,873800
2018-03-06,86.21,86.8,86.03,86.26,880900
2018-03-07,86,86.82,85.78,86.74,779400
2018-03-08,87,88.75,86.79,88.64,1587800
2018-03-09,89,89.86,88.14,89.73,952300
2018-03-12,89.9,89.98,89.06,89.09,797500
2018-03-13,89.9,89.98,88.17,88.48,737700
2018-03-14,88.92,89.09,87.29,87.82,620200
2018-03-15,88.04,88.59,87.42,87.83,581200
2018-03-16,88.11,88.44,87.49,88.13,1275200
2018-03-19,87.72,87.91,85.76,86.61,913800
2018-03-20,86.71,87.25,86.52,86.71,621300
2018-03-21,86.6,87.51,86.16,86.59,647500
2018-03-22,85.72,86.39,84.74,84.8,821200
2018-03-23,84.74,84.74,82.34,82.36,783200
2018-03-26,83.43,84.32,82.66,84.22,888700
2018-03-27,84.69,85.41,82.5,82.89,1023600
2018-03-28,82.81,84.01,82.15,82.3,1187100
2018-03-29,82.7,84.49,82.46,83.24,1202200
2018-04-02,83.01,83.4,80.13,80.77,1126400
2018-04-03,81.04,81.86,80.51,81.64,863900
2018-04-04,80.67,82.94,80.26,82.74,1080300
2018-04-05,83.4,83.78,82.81,82.96,729700
2018-04-06,82.55,83.03,80.91,81.39,1207000
2018-04-09,81.76,83.41,81.63,81.75,954400
2018-04-10,82.53,83.26,81.96,82.63,1026800
2018-04-11,82.22,83.9,82.15,83.16,975400
2018-04-12,83.28,84.93,82.58,84.48,692800
2018-04-13,84.84,84.94,83.55,83.82,734900
2018-04-16,84.06,84.56,83.37,84.48,889100
2018-04-17,85,86.27,84.42,86.2,928500
2018-04-18,86,86.05,85.34,85.69,812900
2018-04-19,85.42,85.75,83.82,84.14,901000
2018-04-20,84,84.17,82.64,83.01,1420900
2018-04-23,83.32,83.88,82.56,82.6,987900
2018-04-24,83.48,85.12,83.02,84.04,1789100
2018-04-25,83.94,85.27,82.38,83.74,1373300
2018-04-26,84.08,85.62,83.67,85.41,1117000
2018-04-27,85.47,85.78,84.69,85.19,858100
2018-04-30,85.5,85.9,85.24,85.51,1127200
2018-05-01,85.4,86.15,85.17,86.07,643200
2018-05-02,85.84,86.49,85.4,86.01,988800
2018-05-03,85.87,86.53,85.14,86.49,1160300
2018-05-04,86.13,88.03,85.55,87.72,503400
2018-05-07,88.1,89.31,88.02,89,982500
2018-05-08,88.89,89.62,88.39,89.05,1307600
2018-05-09,89.26,90.98,88.96,90.83,843200
2018-05-10,91.03,91.39,90.71,91.19,1020000
2018-05-11,91.05,91.64,90.66,91.02,1050800
2018-05-14,91.15,91.4,89.78,89.89,805500
2018-05-15,89.18,89.44,88.45,88.66,977000
2018-05-16,88.71,89.17,88.17,88.95,851100
2018-05-17,88.76,89.35,88.31,88.9,813700
2018-05-18,88.89,89.5,88.67,89.25,2569900
2018-05-21,89.58,89.96,89.04,89.43,697100
2018-05-22,89.62,90.16,89.14,89.27,713100
2018-05-23,88.75,90.34,88.21,90.33,1259600
2018-05-24,88.1,90.33,86.51,88.56,2177300
2018-05-25,88.81,88.81,87.69,88.32,901600
2018-05-29,87.98,88.24,87.26,87.78,844400
2018-05-30,88.11,88.49,87.49,87.5,657000
2018-05-31,88.07,88.86,87.61,88.07,1375000
2018-06-01,88.49,89.54,88,89.46,805800
2018-06-04,89.38,89.95,88.77,89.68,556600
2018-06-05,90,90.43,89.67,90.3,802500
2018-06-06,90.97,91.53,90.65,91.43,973200
2018-06-07,91.31,91.67,89.47,90.12,923800
2018-06-08,89.93,90.54,89.5,90.51,765500
2018-06-11,90.5,90.66,90.12,90.59,516700
2018-06-12,90.65,91.05,90.29,90.79,439100
2018-06-13,90.79,91.39,90.32,90.47,709000
2018-06-14,90.86,91.36,90.34,90.87,545400
2018-06-15,90.9,90.92,89.83,90.57,1362500
2018-06-18,89.56,90.57,89.19,90.48,923400
2018-06-19,89.6,89.93,88.95,89.2,1171000
2018-06-20,89.7,90.99,89.38,90.31,930100
2018-06-21,90.29,90.72,89.15,89.23,622300
2018-06-22,89.52,89.7,88.05,88.12,1020200
2018-06-25,87.69,88.09,85.97,86.52,1001900
2018-06-26,86.67,87.25,86.31,86.41,912600
2018-06-27,86.6,87.44,84.45,84.57,1126700
2018-06-28,84.48,85.26,84.01,84.99,781500
2018-06-29,85.27,86.13,85.16,85.57,1312500
2018-07-02,85.13,86.46,84.75,86.4,766100
2018-07-03,86.89,87.09,85.87,86.27,539400
2018-07-05,86.86,87.41,86.4,87.17,746400
2018-07-06,87.14,88.27,87.13,88.18,826500
2018-07-09,88.52,88.75,87.75,88.49,947000
2018-07-10,88.82,89.05,88.26,88.99,1081000
2018-07-11,88.23,89.29,88.23,89.19,998800
2018-07-12,89.68,91.56,89.17,91.48,892400
2018-07-13,91.22,91.67,91.09,91.41,643300
2018-07-16,91.58,91.79,91.21,91.49,864300
2018-07-17,91,92.45,90.79,92.11,1059500
2018-07-18,92.11,92.62,91.6,91.94,1267800
2018-07-19,91.75,92.34,91.55,91.77,783300
2018-07-20,91.73,92.5,91.6,91.69,1053800
2018-07-23,91.69,92,91.22,91.84,609700
2018-07-24,92.25,92.68,91.68,91.97,1011500
2018-07-25,91.84,93.17,91.84,93.16,1067800
2018-07-26,93.1,93.58,92.83,93.15,749900
2018-07-27,93.37,93.66,91.91,92.58,1832700
2018-07-30,92.39,92.75,89.27,89.33,1961600
2018-07-31,89.61,90.04,88.48,89.43,1258800
2018-08-01,89.23,90.44,89.23,89.75,733200
2018-08-02,89.02,90.7,89.02,90.66,1120000
2018-08-03,90.9,91.23,90.3,91.14,703100
2018-08-06,91.04,92.38,90.7,92.33,965400
2018-08-07,92.42,92.89,91.98,92.65,1339000
2018-08-08,92.67,92.99,92.17,92.88,795300
2018-08-09,93.1,93.74,92.96,93.42,1016900
2018-08-10,92.77,93.87,92.77,93.53,1159000
2018-08-13,93.65,94.11,92.39,92.87,914400
2018-08-14,92.9,93.47,92.65,93.2,588300
2018-08-15,92.59,93.1,91.63,92.64,770500
2018-08-16,93.31,93.54,92.7,93.42,768400
2018-08-17,93.05,93.5,92.54,93.34,820400
2018-08-20,93.7,93.98,92.97,93.55,816100
2018-08-21,93.63,94.22,93.63,93.92,768800
2018-08-22,93.76,94.8,93.76,94.67,1117600
2018-08-23,98.57,101.76,96.57,100.69,4212100
2018-08-24,101.1,102.41,100.69,102.13,1969600
2018-08-27,102.5,102.91,102.02,102.13,1202800
2018-08-28,102.03,102.66,101.36,101.86,803900
2018-08-29,102.03,102.83,101.58,102.17,799700
2018-08-30,101.88,102.29,101.65,102.03,747500
2018-08-31,101.94,102.66,101.88,102.14,797500
2018-09-04,101.54,102.14,101.19,101.82,853300
2018-09-05,101.32,101.76,99.87,100.67,1227900
2018-09-06,100.71,101.95,100.54,101.78,1023400
2018-09-07,101.28,102.23,101,102.05,1159400
