Date,Open,High,Low,Close,Volume
2002-01-02,27.2317,27.5102,26.7305,27.2688,379360
2002-01-03,27.3338,27.7051,27.3338,27.6772,543127
2002-01-04,27.6772,27.7422,27.3802,27.5102,435278
2002-01-07,27.2874,27.6123,27.2874,27.2874,405541
2002-01-08,27.3988,27.5102,27.1575,27.3895,435816
2002-01-09,27.3895,27.5566,27.2039,27.2039,790180
2002-01-10,27.1946,27.3709,27.1946,27.3153,316007
2002-01-11,27.306,27.3709,27.2317,27.2317,218285
2002-01-14,27.3338,27.7144,27.3338,27.6401,903309
2002-01-15,27.7051,27.9371,27.5658,27.5658,873249
2002-01-16,27.6123,27.7979,27.3338,27.4545,194259
2002-01-17,27.4545,27.7051,27.3988,27.6772,284331
2002-01-18,27.6772,27.7236,27.3245,27.3895,410713
2002-01-22,27.4266,27.6123,27.3895,27.473,434631
2002-01-23,27.3338,27.603,27.241,27.4452,421810
2002-01-24,27.5102,27.8443,27.5102,27.7329,728013
2002-01-25,27.7979,27.965,27.7515,27.7515,380760
2002-01-28,27.7515,27.8443,27.6679,27.8072,198138
2002-01-29,27.8443,27.9278,27.7515,27.7793,315792
2002-01-30,27.8257,27.9371,27.6587,27.9278,262460
2002-01-31,27.835,28.1691,27.7886,28.1135,518347
2002-02-01,28.1135,28.1135,27.9557,28.067,185855
2002-02-04,28.067,28.1227,27.9,28.0856,411251
2002-02-05,28.0299,28.3733,28.0299,28.1599,465445
2002-02-06,28.262,28.3084,28.0392,28.262,794382
2002-02-07,28.2712,28.6703,28.1691,28.1877,284762
2002-02-08,28.197,28.5311,28.1042,28.2527,368262
2002-02-11,28.4476,28.6796,28.3548,28.4847,384747
2002-02-12,28.5868,28.6054,28.262,28.4012,736740
2002-02-13,28.0299,28.3548,27.8443,28.2155,377851
2002-02-14,28.2063,28.2155,28.0856,28.1784,450685
2002-02-15,28.2063,28.429,28.2063,28.429,745251
2002-02-19,28.4012,28.5033,28.3084,28.4383,463722
2002-02-20,28.3548,28.494,28.3269,28.4476,539357
2002-02-21,28.494,28.5311,28.2248,28.2248,335724
2002-02-22,28.1691,28.3733,28.1691,28.3733,831661
2002-02-25,28.3826,28.494,28.262,28.3362,385932
2002-02-26,28.5868,28.6796,28.4754,28.5311,326135
2002-02-27,28.5404,28.7724,28.3362,28.494,299200
2002-02-28,28.726,28.726,28.4476,28.5682,571140
2002-03-01,28.7539,28.7539,28.5497,28.6703,1442235
2002-03-04,28.726,28.9581,28.6332,28.9024,1215330
2002-03-05,28.791,29.4221,28.791,29.3664,488826
2002-03-06,29.3664,29.3664,28.9581,29.3108,667785
2002-03-07,29.3757,29.4221,29.1715,29.2736,327643
2002-03-08,29.3293,29.3664,29.2551,29.2644,862690
2002-03-11,29.0323,29.3664,28.8838,28.9581,359966
2002-03-12,28.9395,28.9766,28.6796,28.856,763783
2002-03-13,28.9117,29.0323,28.7724,28.9581,1354317
2002-03-14,28.9581,29.4778,28.8652,29.4593,1534569
2002-03-15,29.4685,29.7934,29.3293,29.6727,833492
