Date,Open,High,Low,Close,Volume
2018-01-02,11.7744,11.8947,11.6541,11.6692,369341
2018-01-03,11.6541,11.6692,11.4887,11.5489,498218
2018-01-04,11.6015,11.7218,11.4211,11.5789,550886
2018-01-05,11.6316,11.7368,11.4812,11.5188,434378
2018-01-08,11.5038,11.5489,11.3083,11.4436,392749
2018-01-09,11.4286,11.782,11.4286,11.4962,472948
2018-01-10,11.4511,11.7444,11.391,11.7218,591717
2018-01-11,11.7519,12.203,11.7519,12.1203,837900
2018-01-12,12.0977,12.2105,11.9925,12.0602,411369
2018-01-16,12.1353,12.2331,11.9699,11.9774,448609
2018-01-17,11.985,12.0752,11.8496,12.015,312683
2018-01-18,11.9925,12.1429,11.9925,12.0301,284088
2018-01-19,12,12.1955,11.8797,12.1504,350322
2018-01-22,12.1053,12.2105,12.0075,12.1579,303107
2018-01-23,12.1353,12.188,11.7744,11.9699,360430
2018-01-24,11.9925,12.1053,11.9323,12.0226,373863
2018-01-25,12.0526,12.391,12.0526,12.3008,675906
2018-01-26,12.3383,12.6466,12.3008,12.6391,381976
2018-01-29,12.6466,12.7444,12.5564,12.6541,393946
2018-01-30,12.6165,12.7293,12.4135,12.4361,434378
2018-01-31,12.3759,12.5789,11.9925,12.0376,471485
2018-02-01,12.015,12.3008,12.015,12.2932,460047
2018-02-02,12.203,12.2782,11.7368,11.812,555009
2018-02-05,11.6917,11.7669,11.2556,11.3083,628824
2018-02-06,11.1654,11.4662,11.0902,11.3158,619248
2018-02-07,11.3083,11.4887,11.1429,11.1504,413763
2018-02-08,11.2782,11.4737,10.9699,10.9774,616322
2018-02-09,10.985,11.0376,10.6316,10.9699,964117
2018-02-12,11,11.2632,10.9699,11.0752,392616
2018-02-13,11.015,11.5038,11.015,11.3008,312284
2018-02-14,11.2105,11.3985,11.2105,11.2481,535990
2018-02-15,11.3008,11.3459,11.0827,11.2932,293797
2018-02-16,11.2932,11.4662,11.0827,11.1128,448476
2018-02-20,11.0376,11.3684,11.0376,11.2707,246183
2018-02-21,11.2707,11.4361,11.203,11.2256,454993
2018-02-22,11.2256,11.3158,11.0677,11.1729,450870
2018-02-23,11.1955,11.4211,11.0752,11.391,366149
2018-02-26,11.4361,11.7218,11.3459,11.6692,346465
2018-02-27,11.594,11.609,11.3459,11.3759,601825
2018-02-28,11.4737,11.5414,10.2707,10.3534,1522850
2018-03-01,10.3008,10.406,9.7368,9.9624,1497314
2018-03-02,9.8496,10.2782,9.8496,10.2632,636006
2018-03-05,10.2256,10.4737,10.2256,10.2632,526813
2018-03-06,10.2932,10.3233,9.9474,10.1053,821142
2018-03-07,9.985,10.0752,9.6541,9.812,682024
2018-03-08,9.812,10,9.782,9.9023,577220
2018-03-09,9.985,10.0752,9.8421,9.9624,398202
2018-03-12,9.9323,10.1278,9.9323,10.0977,401394
2018-03-13,10.1504,10.2406,9.985,10.0226,578683
2018-03-14,10.0677,10.1429,9.9774,10.0376,518833
2018-03-15,10.0376,10.1278,9.797,9.8195,396606
2018-03-16,9.8195,9.8496,9.6165,9.7895,1550780
2018-03-19,9.7895,9.7895,9.406,9.5338,910651
2018-03-20,9.5263,9.609,9.3158,9.4662,1020376
2018-03-21,9.4511,9.5489,9.3383,9.3985,503804
2018-03-22,9.3083,9.4211,9.1053,9.1278,549556
2018-03-23,9.1128,9.1805,8.9248,8.9398,650636
2018-03-26,9.0977,9.218,8.8271,9,532665
2018-03-27,9.0226,9.2105,8.9023,9.1278,610603
2018-03-28,9.1579,9.3383,9.0451,9.1053,809039
2018-03-29,9.1278,9.218,8.9925,9.015,502740
2018-04-02,9.015,9.0451,8.6316,8.6617,795340
2018-04-03,8.7143,8.8647,8.5489,8.7519,750918
2018-04-04,8.6015,8.9549,8.594,8.8797,579082
2018-04-05,8.9248,8.9248,8.7143,8.812,431186
2018-04-06,8.7594,8.8797,8.6015,8.7143,655025
2018-04-09,8.7594,8.8947,8.6917,8.7444,609672
2018-04-10,8.8571,8.8571,8.6241,8.6466,668724
2018-04-11,8.594,8.6466,8.5113,8.5414,402857
2018-04-12,8.5639,8.6316,8.4436,8.4586,354711
2018-04-13,8.5038,8.5639,8.3684,8.4737,715939
2018-04-16,8.5489,8.782,8.4135,8.6767,409507
2018-04-17,8.7368,8.7669,8.609,8.6617,412566
2018-04-18,8.6617,8.782,8.6541,8.7218,343406
2018-04-19,8.7368,9.0301,8.7218,8.8797,380646
2018-04-20,8.8571,8.9023,8.5038,8.6316,704767
2018-04-23,8.6241,8.6391,8.5038,8.5113,374794
2018-04-24,8.5564,8.7068,8.5113,8.609,374129
2018-04-25,8.6165,8.9173,8.5789,8.9023,622307
2018-04-26,8.8571,8.9098,8.7368,8.797,615125
2018-04-27,8.7519,8.7594,8.4361,8.6466,836437
2018-04-30,8.6617,8.6767,8.3233,8.3684,779513
2018-05-01,8.2632,8.3985,8.1504,8.3383,784833
2018-05-02,8.3383,8.4135,8.1729,8.1729,386764
2018-05-03,8.1579,8.203,8.0451,8.0977,1013327
2018-05-04,8.0752,8.4962,8.0376,8.4211,884184
2018-05-07,8.4737,9.4737,8.4586,9.3008,1348221
2018-05-08,9.1128,9.391,9.0451,9.188,1050301
2018-05-09,9.188,9.4737,9.188,9.4361,784168
2018-05-10,9.4361,9.5113,9.2632,9.3083,762622
2018-05-11,9.3459,9.3985,9.218,9.3008,480529
2018-05-14,9.3233,9.5714,9.2707,9.5038,500878
2018-05-15,9.3233,9.6391,9.3233,9.5639,471884
2018-05-16,9.6316,9.8571,9.5564,9.812,489307
2018-05-17,9.8346,9.9398,9.7594,9.7744,771001
2018-05-18,9.7895,9.8872,9.7444,9.8496,446747
2018-05-21,9.9248,9.9624,9.8346,9.9474,424270
2018-05-22,9.9624,10.1429,9.8872,10.0226,412034
2018-05-23,9.9774,10,9.6241,9.6767,443821
2018-05-24,9.6466,9.6917,9.4511,9.6165,387296
2018-05-25,9.6241,9.8421,9.6015,9.6316,425334
2018-05-29,9.5188,9.6617,9.391,9.5263,362957
2018-05-30,9.5789,9.7444,9.5113,9.6316,436107
2018-05-31,9.6241,9.6617,9.3083,9.391,426132
2018-06-01,9.4135,9.5038,9.3008,9.406,559930
2018-06-04,9.4812,9.4887,9.2707,9.3759,487046
2018-06-05,9.391,9.5338,9.1429,9.2256,986062
2018-06-06,9.2256,9.5113,9.2105,9.4812,906262
2018-06-07,9.5263,9.8496,9.4962,9.7143,694127
2018-06-08,9.7143,9.7143,9.7143,9.7143,0
2018-06-11,9.8947,10.3459,9.8872,10.2256,644784
2018-06-12,10.218,10.2632,9.9925,10.0827,498218
2018-06-13,10.1203,10.5113,10.0301,10.1278,413098
2018-06-14,10.1654,10.3308,10.1353,10.3308,439964
2018-06-15,10.3083,10.4511,10.2857,10.3534,838698
2018-06-18,10.3083,10.5038,10.1278,10.2632,947492
2018-06-19,10.2256,10.2632,10.0902,10.1579,750386
2018-06-20,10.2632,10.7744,10.1955,10.7594,849870
2018-06-21,10.7368,10.782,10.391,10.4211,879130
2018-06-22,10.4887,10.6391,10.3383,10.3383,2407300
2018-06-25,10.4135,10.5338,10.1654,10.3158,543837
2018-06-26,10.2932,10.5338,10.0902,10.5263,577353
2018-06-27,10.5338,10.6617,10.3835,10.3835,509257
2018-06-28,10.406,10.4962,10.1955,10.2932,516306
2018-06-29,10.3308,10.3459,10.0602,10.0677,493696
2018-07-02,10.0376,10.1429,9.9023,10.0977,345800
2018-07-03,10.1579,10.3459,10.0827,10.1278,207480
2018-07-05,10.1654,10.2857,10.1278,10.2782,586663
2018-07-06,10.2556,10.4887,10.2556,10.4812,276507
2018-07-09,10.5263,10.7293,10.4211,10.7293,610603
2018-07-10,10.8045,10.8195,10.4286,10.4962,625233
2018-07-11,10.4737,10.8271,10.4211,10.5338,487844
2018-07-12,10.5338,10.6015,10.3459,10.5564,253099
2018-07-13,10.5789,10.6391,10.3083,10.3308,244853
2018-07-16,10.3459,10.5489,9.6992,9.812,657153
2018-07-17,9.812,9.8571,9.609,9.6391,368809
2018-07-18,9.6466,9.8346,9.4586,9.8271,443555
2018-07-19,9.7744,9.8872,9.6391,9.6842,386365
2018-07-20,9.6541,9.7368,9.4211,9.6992,304038
2018-07-23,9.7143,9.797,9.6541,9.7519,289940
2018-07-24,9.7519,9.8421,9.5639,9.7368,474012
2018-07-25,9.7068,9.9624,9.4812,9.8647,1795500
2018-07-26,9.8571,10.1504,9.812,9.8271,699181
2018-07-27,9.8647,9.8647,9.3534,9.4737,347662
2018-07-30,9.4962,9.8421,9.4962,9.5789,385700
2018-07-31,9.5714,9.9023,9.5038,9.8496,403123
2018-08-01,9.8346,9.8346,9.5489,9.6842,472815
2018-08-02,9.6391,9.812,9.5038,9.7895,514444
2018-08-03,10.1429,10.5263,9.8496,10.3459,792946
2018-08-06,10.4286,10.7218,9.9774,10.7068,680029
2018-08-07,10.6767,11.188,10.6316,10.9098,835905
2018-08-08,10.9398,11.1429,10,10.9699,490770
2018-08-09,10.9624,11.0075,10.6917,10.7594,500479
2018-08-10,10.7519,10.8496,10.6316,10.7218,407512
2018-08-13,10.7218,10.7519,10.5188,10.7068,259749
2018-08-14,10.7068,11,10.7068,10.8346,290738
2018-08-15,10.7519,10.8647,10.6391,10.8496,279965
2018-08-16,10.8722,11.1353,10.8722,11.1203,378651
2018-08-17,11.0602,11.1203,10.8872,10.9098,278369
2018-08-20,10.9474,10.9925,10.8045,10.8722,285418
2018-08-21,10.9774,11.1504,10.8722,11.1429,665798
2018-08-22,11.1654,11.3609,11.1203,11.1805,359898
2018-08-23,11.1729,11.1805,10.8947,10.9023,266665
2018-08-24,10.9549,11.2256,10.8647,10.9549,328244
2018-08-27,11.0226,11.1579,10.9098,10.9474,344071
2018-08-28,10.9474,11.0376,10.812,10.8647,254030
2018-08-29,10.9023,10.9699,10.7669,10.9173,309225
2018-08-30,10.9023,11.0677,10.8195,11,416822
2018-08-31,10.9549,11.0451,10.782,11.0301,328510
2018-09-04,11.0451,11.1429,10.8722,11.1353,315077
2018-09-05,11.0902,11.4511,11.0226,11.4436,516306
2018-09-06,11.406,11.6391,11.1805,11.1955,332367
2018-09-07,11.1654,11.4286,11.1579,11.3985,333697
2018-09-10,11.4511,11.6165,11.2632,11.3008,341544
2018-09-11,11.2632,11.3233,11.1053,11.2782,300846
2018-09-12,11.2782,12.0677,11.2256,11.9699,773129
2018-09-13,11.9398,12.1805,11.9398,12.0752,471352
2018-09-14,12.1203,12.406,12.1203,12.3008,466298
2018-09-17,12.3308,12.3684,12.203,12.2331,484253
2018-09-18,12.2406,12.2857,12.0451,12.188,451801
2018-09-19,12.2256,12.4962,12.1579,12.4436,1044981
2018-09-20,12.5338,12.7218,12.4286,12.4436,819679
2018-09-21,12.4662,12.6541,12.2932,12.3083,1013593
2018-09-24,12.2707,12.3233,12.1053,12.1504,673512
2018-09-25,12.1805,12.3158,12.1128,12.2331,397803
2018-09-26,12.2857,12.4286,12.1579,12.1729,717269
2018-09-27,12.2932,12.5113,12.203,12.391,959196
2018-09-28,12.3459,12.4436,12.2782,12.406,579880
2018-10-01,12.4361,12.5338,12.1429,12.2105,471751
2018-10-02,12.2481,12.391,12.0526,12.218,713678
2018-10-03,12.2932,12.4887,12.2556,12.3308,742140
2018-10-04,12.3308,12.4586,12.2707,12.3308,472283
2018-10-05,12.3008,12.4962,12.1353,12.203,381976
2018-10-08,12.1353,12.6617,12.1353,12.5714,1046311
2018-10-09,12.609,12.8045,12.5414,12.6391,596372
2018-10-10,12.7669,12.9023,12.2857,12.3008,641991
2018-10-11,12.2857,12.406,12.0075,12.0602,586131
2018-10-12,12.2331,12.2857,11.9624,12.1278,379848
2018-10-15,12.0902,12.4361,12.0902,12.3008,387961
2018-10-16,12.391,12.5338,12.2707,12.4586,683620
2018-10-17,12.6391,12.6917,12.3985,12.5564,405384
2018-10-18,12.5789,12.9398,12.5789,12.8271,773262
2018-10-19,12.782,13.0451,12.7444,12.9474,792414
2018-10-22,13.0752,13.6842,13.0526,13.2256,1502102
2018-10-23,12.9699,13.188,12.6241,12.9774,912912
2018-10-24,12.985,13.0226,12.015,12.0827,583072
2018-10-25,12.2632,12.4286,12.1504,12.3008,487312
2018-10-26,12.0827,12.2256,11.8496,11.9925,413896
2018-10-29,12.2632,12.4511,11.782,11.9925,609672
2018-10-30,12.0526,12.6316,12.0526,12.4286,887642
2018-10-31,12.6165,12.9925,12.5263,12.6466,698250
2018-11-01,12.8571,13.1654,12.797,13.015,734160
2018-11-02,13.0301,13.3158,12.7744,12.9248,542640
2018-11-05,12.9173,13.218,12.9173,13.0977,478933
2018-11-06,13.1353,13.2632,13.015,13.2331,447412
2018-11-07,13.2556,13.4135,13.2406,13.3083,547561
2018-11-08,13.3008,13.4361,12.8647,13.3383,1359792
2018-11-09,13.8195,13.8647,12.3684,12.6692,2173752
2018-11-12,12.7594,13.5789,12.3158,13.1203,1639624
2018-11-13,13.1805,13.4211,13.0827,13.1278,1397431
2018-11-14,13.1805,13.2707,12.8346,12.8947,1025031
2018-11-15,12.8496,13.0827,12.7068,13.0451,758100
2018-11-16,13,13.2481,13,13.1504,759164
2018-11-19,13.0977,13.2632,12.9248,12.9774,484785
2018-11-20,12.7669,13.0301,12.4586,12.5188,834708
2018-11-21,12.6165,13.0677,12.5564,12.8647,493829
2018-11-23,12.812,13,12.7368,12.8045,268394
2018-11-26,13.0226,13.1353,12.7444,12.7895,532931
2018-11-27,12.6917,13.0376,12.6917,12.8722,616455
2018-11-28,13.0301,13.0451,12.782,13.0451,669389
2018-11-29,12.9774,13.3383,12.6992,13.2707,698649
2018-11-30,13.3008,13.391,13.1053,13.2556,749854
2018-12-03,13.3985,13.4436,12.9098,13.2782,545832
2018-12-04,13.2857,13.406,12.8797,12.9398,546364
2018-12-06,12.8571,12.9774,12.7143,12.9774,632415
2018-12-07,12.9398,13.1278,12.6241,12.6767,506198
2018-12-10,12.7744,12.9023,12.3233,12.4586,378917
2018-12-11,12.6241,12.985,12.6241,12.7293,561925
2018-12-12,12.8947,13.0602,12.6992,12.8722,361494
2018-12-13,12.9173,12.985,12.3083,12.5113,429324
2018-12-14,12.406,12.8421,12.2406,12.2707,814359
2018-12-17,12.2632,12.3383,11.9098,11.9398,1187291
2018-12-18,12.0301,12.1955,11.9624,11.9925,612199
2018-12-19,11.9925,12.203,11.7594,11.8346,503405
2018-12-20,11.8045,11.985,11.5263,11.6541,545167
2018-12-21,11.6617,11.8947,11.2857,11.391,1775683
2018-12-24,11.3835,11.5865,11.2481,11.2782,313614
2018-12-26,11.391,11.6917,11.3008,11.6617,396340
2018-12-27,11.5038,11.7594,11.3083,11.7519,387296
2018-12-28,11.7444,11.9699,11.5489,11.7218,845880
