Date,Open,High,Low,Close,Volume
1997-01-02,21.625,21.6875,21,21.1875,803600
1997-01-03,21.25,21.5,20.625,21.125,420600
1997-01-06,21.0625,21.25,20.5,20.75,359400
1997-01-07,20.625,20.9375,20.5,20.875,344800
1997-01-08,21,21.125,20.25,20.25,271600
1997-01-09,20.4375,20.75,20.375,20.6875,1141200
1997-01-10,20.5,20.75,20.25,20.5,723000
1997-01-13,20.4375,20.625,19.625,19.625,525400
1997-01-14,19.75,20.25,18.625,18.75,1071000
1997-01-15,18.625,18.9375,18.5625,18.8125,1903400
1997-01-16,18.875,19,18.625,18.8125,981400
1997-01-17,18.875,19,18.8125,18.9375,754600
1997-01-20,19,19.3125,18.75,19.125,788400
1997-01-21,19.3125,19.3125,18.875,19,388000
1997-01-22,19.125,19.125,13.25,14.625,20865800
1997-01-23,15.125,15.25,14.625,14.75,8008600
1997-01-24,14.75,14.9375,14.375,14.6562,1891000
1997-01-27,15,15.125,14.5625,14.8125,1137400
1997-01-28,15,15.125,14.1875,14.25,801200
1997-01-29,14.75,15.0625,14.375,14.75,840200
1997-01-30,14.875,14.875,14.375,14.5312,507400
1997-01-31,14.9375,15.25,14.5625,14.9375,877800
1997-02-03,14.9375,14.9375,14.3125,14.5,711400
1997-02-04,14.5625,14.625,14.3125,14.5,1366800
1997-02-05,14.5,14.5625,14.0625,14.0625,947800
1997-02-06,14.125,14.4375,14.125,14.3125,1885800
1997-02-07,14.375,14.5625,14.125,14.3125,471400
1997-02-10,14.3125,14.3125,12.75,12.875,1092200
1997-02-11,13.0625,13.0625,12.25,12.6875,1906000
1997-02-12,12.6875,12.8125,11.875,12.3125,1482800
1997-02-13,12.3125,12.5,12,12.3125,1826200
1997-02-14,12.3125,12.9375,12.1875,12.8125,1157400
1997-02-18,12.9375,12.9375,12.25,12.25,808600
1997-02-19,12.4375,12.625,12.0625,12.125,2105800
1997-02-20,12.25,12.5625,12.125,12.5,1800600
1997-02-21,12.625,12.9375,12.5,12.6875,1969200
1997-02-24,12.6875,12.75,12.625,12.6562,1033200
1997-02-25,12.6875,12.6875,12.5625,12.625,355200
1997-02-26,12.625,12.6875,12.3125,12.4062,475800
1997-02-27,12.4375,12.75,12.3125,12.6875,434200
1997-02-28,12.5,12.75,12.5,12.625,225400
1997-03-03,12.625,13.4375,12.5625,13.125,666400
1997-03-04,13.1875,13.875,13.125,13.625,1152400
1997-03-05,13.75,14.25,13.75,13.9375,1051200
1997-03-06,14,14.125,13.6875,13.9375,682000
1997-03-07,13.8125,13.9375,13.6875,13.9375,561200
1997-03-10,13.9375,13.9375,13.5,13.75,706600
1997-03-11,13.75,13.75,13.5,13.5625,575000
1997-03-12,13.5625,13.625,13.3125,13.4375,552600
1997-03-13,13.375,13.4375,12.875,13.0625,1478600
1997-03-14,13.5625,13.625,13.3125,13.4375,890800
1997-03-17,13.5,13.5,13,13.25,462000
1997-03-18,13.25,13.25,12.375,12.375,1289800
1997-03-19,12.375,12.375,11.8125,12.125,2075000
1997-03-20,12.1875,12.5,11.3125,11.4375,1166400
1997-03-21,11.8125,12.3125,11.625,12.125,481200
1997-03-24,12,12.375,12,12.25,958200
1997-03-25,12.3125,12.3125,12.1875,12.1875,459200
1997-03-26,12.3125,12.375,12.25,12.25,148600
1997-03-27,12.375,12.8125,12.1875,12.3125,374000
1997-03-31,12.25,12.375,12.125,12.1875,299400
1997-04-01,12.1875,12.375,12.0625,12.0625,122000
1997-04-02,12.25,12.25,11.75,11.875,668800
1997-04-03,11.875,12.125,11.75,12.0625,202400
1997-04-04,12.0625,13.1875,11.875,12.9375,510600
1997-04-07,13.25,13.6875,13,13.4375,232800
1997-04-08,13.4375,13.5,12.875,13.1875,257800
1997-04-09,13.375,15,13.375,14.3125,3392400
1997-04-10,14.8125,15.125,14.25,14.3125,1810000
1997-04-11,14.3125,14.5,13.5625,14.1875,750800
1997-04-14,14.375,14.375,13.6875,14.25,277000
1997-04-15,14.25,14.25,13.875,14,748400
1997-04-16,14,14,13.6875,13.75,597000
1997-04-17,13.875,14.0625,13.6875,13.875,393200
1997-04-18,13.9375,14.1875,13.75,13.875,321800
1997-04-21,13.875,13.875,13.1875,13.3125,1076800
1997-04-22,13.4375,13.6875,13.1875,13.375,292800
1997-04-23,13.375,13.5,12.9375,13.1875,174600
1997-04-24,13,13.3125,13,13.0938,302400
1997-04-25,13.1875,13.4375,12.8125,12.875,511800
1997-04-28,13,13.4375,12.875,13.1875,602400
1997-04-29,13.3125,14.375,13.3125,14.25,832400
1997-04-30,14.75,16.4375,14.75,16.375,4060200
1997-05-01,16.25,17.25,14.9375,15.75,2485600
