Date,Open,High,Low,Close,Volume
2012-01-03,20.96,21.03,20.73,20.73,1643500
2012-01-04,20.45,20.82,20.41,20.44,2571200
2012-01-05,19.62,19.9,19.14,19.73,3075000
2012-01-06,19.83,19.9,19.6,19.66,1898700
2012-01-09,19.63,20.15,19.5,20.01,1603200
2012-01-10,20.25,20.7,20.2,20.7,1825700
2012-01-11,20.66,21.02,20.63,20.98,1999900
2012-01-12,20.96,21.18,20.93,21,1235500
2012-01-13,20.85,20.98,20.6,20.7,1138000
2012-01-17,20.93,21.04,20.64,20.66,1223400
2012-01-18,20.64,20.81,20.58,20.77,1508600
2012-01-19,20.86,21.02,20.71,21.02,1181100
2012-01-20,21.03,21.05,20.81,21.03,926500
2012-01-23,21.03,21.16,20.98,21.08,915500
2012-01-24,20.94,21.05,20.79,20.94,1054400
2012-01-25,20.88,21.22,20.67,21.15,1097900
2012-01-26,21.23,21.24,20.77,20.92,1302000
2012-01-27,20.86,21.04,20.75,20.92,1328500
2012-01-30,20.75,20.89,20.65,20.78,858400
2012-01-31,20.89,20.98,20.62,20.9,2549100
2012-02-01,21.09,21.79,21.05,21.38,2434700
2012-02-02,21.47,21.99,21.43,21.68,2067600
2012-02-03,21.85,22.03,21.76,21.87,1414300
2012-02-06,21.74,21.99,21.72,21.82,1594000
2012-02-07,21.81,22,21.8,21.89,1016400
2012-02-08,21.87,21.97,21.56,21.63,1303000
2012-02-09,21.64,21.81,21.49,21.71,1310700
2012-02-10,21.58,21.65,21.29,21.45,969700
2012-02-13,21.62,21.78,21.51,21.59,1047900
2012-02-14,21.6,21.72,21.39,21.46,1424400
2012-02-15,21.6,21.66,21.32,21.47,1970600
2012-02-16,21.51,22.07,21.5,22.01,1643200
2012-02-17,22.12,22.34,22.06,22.22,1651100
2012-02-21,22.21,22.3,21.83,21.83,1696100
2012-02-22,21.83,21.95,21.74,21.85,1100700
2012-02-23,21.82,21.85,21.41,21.53,1505700
2012-02-24,21.61,21.73,21.5,21.57,1006300
2012-02-27,21.45,21.68,21.27,21.48,1628800
2012-02-28,21.56,21.85,21.54,21.66,1306700
2012-02-29,21.74,22.15,21.69,21.84,1994000
2012-03-01,21.93,22.68,21.92,22.51,2766300
2012-03-02,22.48,22.53,22.2,22.23,1078400
2012-03-05,22.18,22.34,21.99,22.21,1041900
2012-03-06,22.04,22.12,21.73,21.82,1155800
2012-03-07,21.85,21.99,21.68,21.83,954100
2012-03-08,22.06,22.29,22.02,22.21,768200
2012-03-09,22.26,22.48,22.19,22.34,851700
2012-03-12,22.35,22.71,22.31,22.57,981200
2012-03-13,22.61,22.85,22.36,22.83,1207100
2012-03-14,22.79,22.87,22.61,22.64,967700
2012-03-15,22.61,22.75,22.56,22.69,774600
2012-03-16,22.71,22.89,22.62,22.77,1318500
2012-03-19,22.74,22.83,22.67,22.72,791400
2012-03-20,22.54,22.68,22.44,22.56,1080900
2012-03-21,22.65,22.9,22.38,22.82,984300
2012-03-22,22.78,23.39,22.69,23.37,1977000
2012-03-23,23.45,23.61,23.31,23.53,1766000
2012-03-26,23.67,23.86,23.53,23.78,1306200
2012-03-27,23.85,23.9,23.6,23.77,1264000
2012-03-28,23.75,23.78,23.49,23.75,1132800
2012-03-29,23.56,23.72,23.27,23.62,1717200
2012-03-30,23.78,23.92,23.51,23.59,2317500
2012-04-02,23.53,24.03,23.53,23.95,2700200
2012-04-03,24.35,24.79,24.2,24.5,4658400
2012-04-04,24.35,24.87,24.26,24.69,5279100
2012-04-05,22.66,23,20.98,21.61,15637700
2012-04-09,21.37,21.55,20.93,21.55,4354600
2012-04-10,21.42,21.57,20.98,21.17,3813400
2012-04-11,21.36,21.43,21.04,21.21,2556900
2012-04-12,21.24,21.62,21.22,21.49,2059500
2012-04-13,21.45,21.75,21.45,21.59,1717000
2012-04-16,21.66,21.76,21.4,21.51,2183700
2012-04-17,21.64,21.73,21.49,21.6,3022100
2012-04-18,21.47,21.59,21.29,21.32,2602200
2012-04-19,21.33,21.49,21.04,21.1,3633400
2012-04-20,21.15,21.34,21.07,21.24,3815300
2012-04-23,21.03,21.31,21,21.23,2416900
2012-04-24,21.28,21.59,21.28,21.49,2079200
2012-04-25,21.6,21.93,21.56,21.76,1934600
2012-04-26,21.7,22.04,21.7,21.95,2852100
2012-04-27,22.05,22.09,21.73,21.77,3986300
2012-04-30,21.69,21.71,21.44,21.6,2499400
2012-05-01,21.59,21.88,21.52,21.71,2152600
2012-05-02,21.64,21.64,21.43,21.5,3322600
2012-05-03,21.55,21.75,21.55,21.59,2592400
2012-05-04,21.48,21.51,20.77,20.81,2687400
2012-05-07,20.7,20.87,20.61,20.73,2150300
2012-05-08,20.62,20.66,20.49,20.59,2179500
2012-05-09,20.32,20.52,20.22,20.28,2692500
2012-05-10,20.36,20.52,20.14,20.17,2040800
2012-05-11,20.11,20.2,19.93,19.95,3147400
2012-05-14,19.73,19.9,19.28,19.32,2672800
2012-05-15,19.28,19.37,18.98,19.06,4304100
2012-05-16,19.09,19.26,19.01,19.14,3146200
2012-05-17,19.12,19.23,18.85,18.85,2732700
2012-05-18,18.77,19.03,18.73,18.79,1888700
2012-05-21,18.85,19.07,18.69,19.01,1302400
